,Category,Subject,Link
0,Advertising,Business Collection,https://guides.library.umass.edu/business
1,Advertising,"Trendspotting: Culture, Consumer & Business Trends",https://guides.library.umass.edu/trendspotting
2,Advertising,UMass Library for Isenberg Online,https://guides.library.umass.edu/IsenbergOnline
3,African Studies,African Studies,https://guides.library.umass.edu/africa
4,Afro American Studies,Afro American Studies,https://guides.library.umass.edu/afroam
5,Afro American Studies,Afro-Am 491C: Cuba--A Social History,https://guides.library.umass.edu/cuba
6,Afro American Studies,Reparations in the United States,https://guides.library.umass.edu/reparations
7,Agriculture,Agriculture - Research Guide,https://guides.library.umass.edu/agriculture
8,Agriculture,Microbiology,https://guides.library.umass.edu/microbio
9,Agriculture,Organic Food and Health -,https://guides.library.umass.edu/orgfoodhealth
10,Animal Sciences,Microbiology,https://guides.library.umass.edu/microbio
11,Animal Sciences,Psychological & Brain Sciences,https://guides.library.umass.edu/psychology
12,Animal Sciences,Veterinary and Animal Sciences,https://guides.library.umass.edu/vasci
13,Anthropology,Anthropology,https://guides.library.umass.edu/anthro
14,Anthropology,Anthropology of Food: Guide to Library Research,https://guides.library.umass.edu/foodandculture
15,Architecture,Arch-Des 541,https://guides.library.umass.edu/arch-des541
16,Architecture,Building & Construction Technology program,https://guides.library.umass.edu/bct
17,Architecture,Medieval Studies,https://guides.library.umass.edu/medieval
18,Art,Art History 313: High Renaissance and Mannerist Art in Italy,https://guides.library.umass.edu/renaissance
19,Art,Medieval Studies,https://guides.library.umass.edu/medieval
20,Arts Management,Arts Management,https://guides.library.umass.edu/arts_management
21,Astronomy,Astronomy,https://guides.library.umass.edu/astronomy
22,Astronomy,Astronomy 105: Weather and Our Atmosphere,https://guides.library.umass.edu/astro105
23,Astronomy,NASA REPORTS,https://guides.library.umass.edu/nasa
24,Biochemistry & Molecular Biology,Biochemistry & Molecular Biology,https://guides.library.umass.edu/bmb
25,Biochemistry & Molecular Biology,Microbiology,https://guides.library.umass.edu/microbio
26,Biology,Biology,https://guides.library.umass.edu/BioLib
27,Biology,BIOLOGY 312 Writing In Biology - Akiko Okusu,https://guides.library.umass.edu/bio312okusu
28,Biology,BIOLOGY 312 Writing In Biology - Caralyn Zehnder,https://guides.library.umass.edu/bio312zehnder
29,Biology,BIOLOGY 312 Writing In Biology - Sarah Emel,https://guides.library.umass.edu/bio312
30,Biology,Coastal & Marine Sciences,https://guides.library.umass.edu/marine
31,Biology,"HONORS 499C Bioterrorism: Interdisciplinary Perspective on International, Political & Scientific Challenges",https://guides.library.umass.edu/honors499c
32,Biology,Microbiology,https://guides.library.umass.edu/microbio
33,Biology,NRC 597F - Conservation Genetics,https://guides.library.umass.edu/ConservationGenetics
34,Biology,Psychological & Brain Sciences,https://guides.library.umass.edu/psychology
35,British & Irish History,British & Irish History,https://guides.library.umass.edu/brithist
36,Business,Business Collection,https://guides.library.umass.edu/business
37,Business,Entrepreneurship Collection,https://guides.library.umass.edu/entrepreneurship
38,Business,Labor Studies,https://guides.library.umass.edu/LaborStudies
39,Business,Resource Economics,https://guides.library.umass.edu/ResourceEcon
40,Business,"Trendspotting: Culture, Consumer & Business Trends",https://guides.library.umass.edu/trendspotting
41,Business,UMass Library for Isenberg Online,https://guides.library.umass.edu/IsenbergOnline
42,Chemical Engineering,Chemical Engineering,https://guides.library.umass.edu/chemeng
43,Chemical Engineering,Standards,https://guides.library.umass.edu/c.php?g=719645
44,Chemical Engineering,Using SAE Mobilus,https://guides.library.umass.edu/c.php?g=853582
45,Chemistry,Chemistry,https://guides.library.umass.edu/chemistry
46,Chinese,Chinese 391G: Junior Year Writing,https://guides.library.umass.edu/chi391g
47,Chinese,Chinese 570 Research in Chinese Studies,https://guides.library.umass.edu/chi570
48,Chinese,Chinese Bibliography,https://guides.library.umass.edu/chnbib
