,Category,Subject,Link
0,African-American Literature,ENGL 3231: Early African American Literature,https://guides.library.uncc.edu/c.php?g=173543
1,Africana Studies,Africana Studies,https://guides.library.uncc.edu/AFRS
2,Africana Studies,Africana Studies 1100 - Dr. Crystal Eddins,https://guides.library.uncc.edu/c.php?g=799810
3,Africana Studies,Africana Studies Databases,https://guides.library.uncc.edu/database_africana
4,Africana Studies,AFRS 3240 - African Americans & the Legal Process,https://guides.library.uncc.edu/c.php?g=396232
5,Africana Studies,AFRS 4010: African Diaspora Theory / AFRS 6610: Diaspora and Transnational Theories 1100 - Dr. Crystal Eddins,https://guides.library.uncc.edu/c.php?g=800508
6,Africana Studies,HIST 2161: African American History Survey Since 1865,https://guides.library.uncc.edu/africanamericanhistorysurveysince1865
7,Africana Studies,HIST 3002: Apartheid in South Africa,https://guides.library.uncc.edu/southafrica
8,Africana Studies,"LBST 2101-202: Liberty, Equality, and Power - Blacks in America",https://guides.library.uncc.edu/LBST2101-202
9,American Studies,American Studies Databases,https://guides.library.uncc.edu/database_american
10,American Studies,AMST 3000-006: Racism and Racial Violence in American Culture,https://guides.library.uncc.edu/c.php?g=173584
11,American Studies,AMST 3000/ENGL 3053: Southern Folklore and Literature,https://guides.library.uncc.edu/Southern_Folklore
12,American Studies,AMST 3000: Up Close and Personal: Slavery in Mecklenburg County,https://guides.library.uncc.edu/SlaveryinMecklenburg
13,American Studies,HIST 2161: African American History Survey Since 1865,https://guides.library.uncc.edu/africanamericanhistorysurveysince1865
14,Anthropology,ANTH 3111: Applied Anthropology,https://guides.library.uncc.edu/ANTH_3111
15,Anthropology,Anthropology Databases,https://guides.library.uncc.edu/database_anthropology
16,Architecture,Architecture Databases,https://guides.library.uncc.edu/database_architecture
17,Architecture,Architecture Research Guide,https://guides.library.uncc.edu/architecture
18,Architecture,GEOG 6501/ARCH 6050/MUDD 5601 - Community Planning Workshop,https://guides.library.uncc.edu/communityplanning
19,Architecture,Urban Design,https://guides.library.uncc.edu/urban_design
20,Archives,AMST 3000: Up Close and Personal: Slavery in Mecklenburg County,https://guides.library.uncc.edu/SlaveryinMecklenburg
21,Archives,HIST 2160: African American History Survey 1400-1860,https://guides.library.uncc.edu/americanhistorysurvey1400-1860
22,Archives,Manuscript and Archival Collections,https://guides.library.uncc.edu/archival-collections
23,Art,Art & Art History Databases,https://guides.library.uncc.edu/database_art
24,Art,Art Education Research Guide,https://guides.library.uncc.edu/arte_2100
25,Art,Art Research Guide,https://guides.library.uncc.edu/art
26,Art History,Art & Art History Databases,https://guides.library.uncc.edu/database_art
