,Category,Subject,Link
0,*How To/Research Tips,Academic Productivity Tools,https://guides.main.library.emory.edu/productivity-tools
1,*How To/Research Tips,Archive and Library Grants,https://guides.main.library.emory.edu/archive-library-grants
2,*How To/Research Tips,Citing Your Sources,https://guides.main.library.emory.edu/citing_your_sources
3,*How To/Research Tips,Currey Seminar,https://guides.main.library.emory.edu/c.php?g=485360
4,*How To/Research Tips,"Digital Image Guide - Finding, Using, and Creating Digital Image Collections",https://guides.main.library.emory.edu/DigitalImages
5,*How To/Research Tips,E-books,https://guides.main.library.emory.edu/ebooks
6,*How To/Research Tips,Equipment Collections at Emory,https://guides.main.library.emory.edu/equipment
7,*How To/Research Tips,Find Articles at Woodruff,https://guides.main.library.emory.edu/finding_articles
8,*How To/Research Tips,"Find it, Use it, Get Help",https://guides.main.library.emory.edu/Research_Info
9,*How To/Research Tips,Finding Dissertations,https://guides.main.library.emory.edu/dissertations
10,*How To/Research Tips,Free Audiobooks Guide,https://guides.main.library.emory.edu/audiobooks
11,*How To/Research Tips,"Grants, Fellowships & Scholarships for Undergraduates",https://guides.main.library.emory.edu/undergraduate_grants
12,*How To/Research Tips,"Grants, Foundations, and Scholarships",https://guides.main.library.emory.edu/Grants
13,*How To/Research Tips,How do I find newspapers?,https://guides.main.library.emory.edu/united-states-newspapers
14,*How To/Research Tips,Impact Factors and Citation Analysis,https://guides.main.library.emory.edu/citationanalysis
15,*How To/Research Tips,LibX Library Plug-in,https://guides.main.library.emory.edu/libx
16,*How To/Research Tips,Preservation and Conservation,https://guides.main.library.emory.edu/preservation
17,*How To/Research Tips,Primary Sources Research Guide,https://guides.main.library.emory.edu/primary_sources_overview
18,*How To/Research Tips,Research Data Management,https://guides.main.library.emory.edu/datamgmt
19,*How To/Research Tips,Resources in DiscoverE,https://guides.main.library.emory.edu/discovere_databases
20,*Technology Tools,Academic Productivity Tools,https://guides.main.library.emory.edu/productivity-tools
21,*Technology Tools,"Digital Image Guide - Finding, Using, and Creating Digital Image Collections",https://guides.main.library.emory.edu/DigitalImages
22,*Technology Tools,E-books,https://guides.main.library.emory.edu/ebooks
23,*Technology Tools,EndNote,https://guides.main.library.emory.edu/endnote
24,*Technology Tools,Equipment Collections at Emory,https://guides.main.library.emory.edu/equipment
25,*Technology Tools,LibX Library Plug-in,https://guides.main.library.emory.edu/libx
26,*Technology Tools,Zotero,https://guides.main.library.emory.edu/zotero
27,African American Studies,AAS/ARTHIST 389 Art of the Harlem Renaissance,https://guides.main.library.emory.edu/HarlemRenaissance
28,African American Studies,AAS495A: African American Studies Honors Research,https://guides.main.library.emory.edu/AFAM_Honors
29,African American Studies,African American History and Culture (Rose Library),https://guides.main.library.emory.edu/c.php?g=50191
30,African American Studies,African American Newspapers,https://guides.main.library.emory.edu/african-american-news
31,African American Studies,African American Studies Research Guide,https://guides.main.library.emory.edu/african-american-studies
32,African American Studies,American Human Rights Policy,https://guides.main.library.emory.edu/human-rights
33,African American Studies,Civil Rights Cold Cases,https://guides.main.library.emory.edu/cold-cases
34,African American Studies,Data Resources: Political Economy of Violence and Non-Violence (MESAS 370-003),https://guides.main.library.emory.edu/EDC_MESAS370_003
35,African American Studies,History of African Americans Since 1865,https://guides.main.library.emory.edu/AfricanAmericanHistory1865present
36,African American Studies,Political Science 385/African American Studies 385: New Black Political Leadership,https://guides.main.library.emory.edu/new_black_leadership
37,African American Studies,"Political Science 494/WGS 475: Gender, Race and Political Representation in the U.S.",https://guides.main.library.emory.edu/pols490_race_gender_representation
38,African American Studies,The Black Athlete and American Society,https://guides.main.library.emory.edu/black-athlete
39,African American Studies,The Civil Rights Movement,https://guides.main.library.emory.edu/civil-rights-movement
40,African American Studies,US Cold War and Foreign Policy,https://guides.main.library.emory.edu/cold-war-foreign-policy
41,African American Studies,War Crimes and Genocide,https://guides.main.library.emory.edu/war-crimes
42,African Studies,*African Studies Research Guide,https://guides.main.library.emory.edu/africa1
43,African Studies,*African Studies Research Guide: Films,https://guides.main.library.emory.edu/africa2
44,African Studies,*African Studies Research Guide: News,https://guides.main.library.emory.edu/africa3
45,African Studies,*African Studies Research Guide: Primary Sources,https://guides.main.library.emory.edu/africa4
46,African Studies,African Literature,https://guides.main.library.emory.edu/africanliterature
47,African Studies,Chinese-African Relations,https://guides.main.library.emory.edu/chineseafrica
48,African Studies,Data Resources: Development Issues for Africa (AFS 366W/ECON 366W),https://guides.main.library.emory.edu/EDC_ECON366-000
49,African Studies,Development Practice,https://guides.main.library.emory.edu/developmentstudies1
50,African Studies,"Francophone World Resources: Africa, the Americas, Asia, and the Caribbean",https://guides.main.library.emory.edu/FrancophoneWorld
51,African Studies,Gender and Sexuality in Africa,https://guides.main.library.emory.edu/GenderSexualityAfrica
52,African Studies,Health and Disease in Africa,https://guides.main.library.emory.edu/AfricaHealth
53,African Studies,Nelson Mandela,https://guides.main.library.emory.edu/mandela
54,African Studies,War Crimes and Genocide,https://guides.main.library.emory.edu/war-crimes
55,American Studies,Literature and Environment Research Guide,https://guides.main.library.emory.edu/c.php?g=50791
56,Anthropology,ANT 385W: Muslims in and of the West,https://guides.main.library.emory.edu/c.php?g=875984
57,Anthropology,Anthropology Journals,https://guides.main.library.emory.edu/anthjournals
58,Anthropology,Anthropology of Death (ANT369W),https://guides.main.library.emory.edu/anthdeath
59,Anthropology,Anthropology Research Guide,https://guides.main.library.emory.edu/anthropology_research
60,Anthropology,China: Anthropological Perspectives (ANT 280),https://guides.main.library.emory.edu/anthro_china
61,Anthropology,Concepts & Methods in Biological Anthropology (ANT 201),https://guides.main.library.emory.edu/bioanth
62,Anthropology,Data Resources and Support,https://guides.main.library.emory.edu/Data_Services
63,Anthropology,Data Resources for International Development,https://guides.main.library.emory.edu/EDC_DEVEL
64,Anthropology,Evolutionary Medicine (ANT 334),https://guides.main.library.emory.edu/evolutionarymedicine
65,Anthropology,Fertility and Mortality in Cultural Context (GHCS 300R),https://guides.main.library.emory.edu/fertilityandmortality
66,Anthropology,"From Tortillas to Tostitos: Food Politics, Sustainability and the Microbiome in Latin America (ANT385-003)",https://guides.main.library.emory.edu/c.php?g=208637
67,Anthropology,Gender and Global Health (GHCS 300R),https://guides.main.library.emory.edu/gender_globalhealth
68,Anthropology,Global Health: Biosocial Model (ANT 338W),https://guides.main.library.emory.edu/biosocialhealth
69,Anthropology,Health and Humanities (HLTH 230),https://guides.main.library.emory.edu/medhum
70,Anthropology,New Films for Anthropology,https://guides.main.library.emory.edu/anthronew
71,Anthropology,Other Lives (ANT 190),https://guides.main.library.emory.edu/otherlives
72,Anthropology,Primate Behavior and Ecology (ANT 302),https://guides.main.library.emory.edu/primatebehavior
73,Anthropology,Readings in Anthropology,https://guides.main.library.emory.edu/anthreading
74,Anthropology,"WGS/ANT/EAS 385W Body and Culture in East Asia -- Spring 2018, Zhang",https://guides.main.library.emory.edu/body_and_culture
75,Archives and Primary Sources,Primary Sources Research Guide,https://guides.main.library.emory.edu/primary_sources_overview
76,Archives and Primary Sources,QEP First-Year Seminar Faculty Toolkit,https://guides.main.library.emory.edu/QEP_Faculty_Toolkit
77,"Art, Architecture, Art History",A Art History Research Guide,https://guides.main.library.emory.edu/ARTHISTORY
78,"Art, Architecture, Art History",AAS/ARTHIST 389 Art of the Harlem Renaissance,https://guides.main.library.emory.edu/HarlemRenaissance
79,"Art, Architecture, Art History",AH 485W | AFS 489W: Art and Evidence: How Do We Learn about Art?,https://guides.main.library.emory.edu/AH485Fall2018
80,"Art, Architecture, Art History",ARTHIST 282 : Arts of Africa: An Introduction (Fall 2018),https://guides.main.library.emory.edu/ArtsofAfricaFall2018
81,"Art, Architecture, Art History",ARTHIST 369R The Architect + the City,https://guides.main.library.emory.edu/ArchitectANDtheCity
82,"Art, Architecture, Art History",ARTHIST495RW: Art History Honors,https://guides.main.library.emory.edu/ArtHistoryHonors
83,"Art, Architecture, Art History",Digital Art History,https://guides.main.library.emory.edu/DigitalArtHistory
84,"Art, Architecture, Art History","Digital Image Guide - Finding, Using, and Creating Digital Image Collections",https://guides.main.library.emory.edu/DigitalImages
85,"Art, Architecture, Art History",Finding Images: a guide to using visual resources,https://guides.main.library.emory.edu/Findingimages
86,"Art, Architecture, Art History",Medieval and Early Modern Literature,https://guides.main.library.emory.edu/medievalearlymodernliterature
87,"Art, Architecture, Art History",The ARTHIST 329 Reconstructing Ancient Rome guide (Fall 2012),https://guides.main.library.emory.edu/ARTHIS329AncientRome
88,Biological Sciences,Ethnobotany,https://guides.main.library.emory.edu/ethnobotany
89,Biology,Ecology,https://guides.main.library.emory.edu/ecology
90,Biology,Ethnobotany,https://guides.main.library.emory.edu/ethnobotany
91,Business,Data Resources and Support,https://guides.main.library.emory.edu/Data_Services
92,Career,"Grants, Foundations, and Scholarships",https://guides.main.library.emory.edu/Grants
93,Career,Researching Graduate Schools,https://guides.main.library.emory.edu/c.php?g=49976
94,Chemistry,CHEM 597R - Course Requirements,https://guides.main.library.emory.edu/chem597r
95,Chemistry,CHEM 597R - Information for January Class,https://guides.main.library.emory.edu/c.php?g=50583
96,Chemistry,"CHEM 597R - Introduction to Research Data Management, Scholarly Publishing, Citation Analysis and Impact Factors",https://guides.main.library.emory.edu/chem597_datamanagement_scholarlypublishing
97,Chemistry,CHEM 597R - Library and Campus Resources (August),https://guides.main.library.emory.edu/resources
98,Chemistry,CHEM 597R - The Scientific Paper and Peer Review,https://guides.main.library.emory.edu/chem597scientificpaper
99,Chemistry,SciFinder,https://guides.main.library.emory.edu/scifinder
100,Chinese Studies,CHN 230: Description and Analysis of the Chinese Language,https://guides.main.library.emory.edu/CHN230
101,Chinese Studies,CHN 368: Writing Women in Traditional China,https://guides.main.library.emory.edu/c.php?g=144988
102,Chinese Studies,CHN 373: Confucian Classics,https://guides.main.library.emory.edu/c.php?g=50832
103,Chinese Studies,Course Guide to CHN 190: MIND AND BODY IN CHINA,https://guides.main.library.emory.edu/Screening-China
104,Chinese Studies,Course Guide to CHN 375: China and the West,https://guides.main.library.emory.edu/ChinaWest
105,Chinese Studies,COURSE GUIDE TO CHN 404: Contemporary Chinese Fiction in the Original,https://guides.main.library.emory.edu/Chinese_Literature
106,Chinese Studies,Course Guide to CHN/EAS/HIST 279W: China after 1976,https://guides.main.library.emory.edu/c.php?g=806339
107,Chinese Studies,Course Guide to CHN272: Literature in Early and Imperial China,https://guides.main.library.emory.edu/ChineseStudies
108,Chinese Studies,Course Guide to CHN278/EAS278/GUST278: REVOLUTIONS & REPUBLICS China in the 20th and 21st Centuries,https://guides.main.library.emory.edu/CHN278
109,Chinese Studies,Course Guide to CHN359: Women and Religion in China,https://guides.main.library.emory.edu/CHN359
110,Chinese Studies,Course Guide to CHN404: Readings in Contemporary Chinese Literature,https://guides.main.library.emory.edu/c.php?g=50140
111,Chinese Studies,Course Guide to EAS271: Modern China in Film and Fiction,https://guides.main.library.emory.edu/EAS271
112,Chinese Studies,Course Guide to EAS450W: East Asian Heritage Language Learning and Teaching,https://guides.main.library.emory.edu/c.php?g=814606
113,Chinese Studies,Course Guide to SOC 389: Contemporary Chinese Society and Culture,https://guides.main.library.emory.edu/c.php?g=571377
114,Classics,A Classics Research Guide,https://guides.main.library.emory.edu/CLASSICSGuide
115,Classics,Women and Family in Roman Law and Life,https://guides.main.library.emory.edu/women_and_roman_law
116,Comparative Literature,A Comparative Literature Research Guide,https://guides.main.library.emory.edu/COMPLIT
117,Comparative Literature,African Literature,https://guides.main.library.emory.edu/africanliterature
118,Comparative Literature,Animal Studies Research Guide,https://guides.main.library.emory.edu/c.php?g=50800
119,Comparative Literature,First-Year Composition Instructor Toolkit,https://guides.main.library.emory.edu/FYCToolkit
120,Comparative Literature,Literature and Environment Research Guide,https://guides.main.library.emory.edu/c.php?g=50791
121,Computer Science,Math & Computer Science Honors Research Guide,https://guides.main.library.emory.edu/mathcomputerscihonors
122,Customer Data,Library Survey Results & Analysis--2013 and previous years,https://guides.main.library.emory.edu/library_surveys
123,Dance,DANC 220 - History of Western Concert Dance,https://guides.main.library.emory.edu/dance_220
124,Dance,DANC 220 - History of Western Concert Dance - Spring 2018,https://guides.main.library.emory.edu/danc_220_spring_2018
125,Dance,Dance Research Guide,https://guides.main.library.emory.edu/dance_general
126,Dance,Yoga Research Guide,https://guides.main.library.emory.edu/yoga
127,Development Studies,Data Resources and Support,https://guides.main.library.emory.edu/Data_Services
128,Development Studies,Data Resources for International Development,https://guides.main.library.emory.edu/EDC_DEVEL
129,Development Studies,Development Practice,https://guides.main.library.emory.edu/developmentstudies1
130,Development Studies,Health and Disease in Africa,https://guides.main.library.emory.edu/AfricaHealth
131,Development Studies,World Inequality and Global Poverty,https://guides.main.library.emory.edu/globalinequality
132,Dissertations,Finding Dissertations,https://guides.main.library.emory.edu/dissertations
133,Dissertations,History Dissertations Arranged by Date,https://guides.main.library.emory.edu/History_Dissertations
134,East Asian Studies,Chinese-African Relations,https://guides.main.library.emory.edu/chineseafrica
135,East Asian Studies,CHN 230: Description and Analysis of the Chinese Language,https://guides.main.library.emory.edu/CHN230
136,East Asian Studies,CHN 368: Writing Women in Traditional China,https://guides.main.library.emory.edu/c.php?g=144988
137,East Asian Studies,CHN 373: Confucian Classics,https://guides.main.library.emory.edu/c.php?g=50832
138,East Asian Studies,Course Guide to CHN 190: MIND AND BODY IN CHINA,https://guides.main.library.emory.edu/Screening-China
139,East Asian Studies,Course Guide to CHN 375: China and the West,https://guides.main.library.emory.edu/ChinaWest
