,Category,Subject,Link
0,Africana Studies,Africana Studies,https://guides.mtholyoke.edu/africanastudies
1,Anthropology,Anthropology,https://guides.mtholyoke.edu/anthropology
2,Art & Architecture,Art and Art History,https://guides.mtholyoke.edu/arthistory
3,Art & Architecture,Finding Images,https://guides.mtholyoke.edu/images
4,Asian Studies,Asian Studies,https://guides.mtholyoke.edu/newasianstudies
5,Astronomy,Astronomy,https://guides.mtholyoke.edu/astronomy
6,Biochemistry,Biochemistry,https://guides.mtholyoke.edu/biochemistry
7,Biological Sciences,Biological Sciences,https://guides.mtholyoke.edu/biology
8,Chemistry,Chemistry,https://guides.mtholyoke.edu/chemistry
9,Common Read,Common Read 2017,https://guides.mtholyoke.edu/c.php?g=664296
10,Common Read,Common Read 2018,https://guides.mtholyoke.edu/commonread2018
11,Computer Science,Computer Science,https://guides.mtholyoke.edu/cs
12,Computer Science,Data Sciences,https://guides.mtholyoke.edu/datascience
13,Computer Science,Data Sources,https://guides.mtholyoke.edu/datasources
14,Course Guides,ENGL 217BF: British and Irish Fiction 1900-1949,https://guides.mtholyoke.edu/engl217bf
15,Course Guides,"ENGL 301 Reporting Lab: Holyoke, MA",https://guides.mtholyoke.edu/engl301fa2018
16,Course Guides,First Year Seminar: United States Since World War II,https://guides.mtholyoke.edu/fysem110dsFall2018
17,Course Guides,FYSEM 110: Jack the Ripper and the Making of late-Victorian London,https://guides.mtholyoke.edu/fysem110fall2018
18,Course Guides,FYSEM 110ML: U.S. Multiethnic Literatures,https://guides.mtholyoke.edu/fysem110ml
19,Course Guides,FYSEM-110RR-01 and 02: Remembering as Reconciliation,https://guides.mtholyoke.edu/fysem110rrFall2018
20,Course Guides,"FYSEM-110VH Volcanoes and Volcanic Hazards, Fall 2018",https://guides.mtholyoke.edu/fysem110VHFA18
21,Course Guides,Geography 105: World Regional Geography FA2018,https://guides.mtholyoke.edu/geog105fa18
22,Course Guides,Geology 203: Earth's Surface. Fall 2018,https://guides.mtholyoke.edu/geol203FA18
23,Course Guides,History 301 New York City: Capital of the World,https://guides.mtholyoke.edu/history301Fall2018
24,Creative Writing,Creative Writing,https://guides.mtholyoke.edu/creativewriting
25,Dance,Dance,https://guides.mtholyoke.edu/dance
26,Economics,Economics,https://guides.mtholyoke.edu/economics
27,Economics,Menu Commands in SPSS and Stata,https://guides.mtholyoke.edu/spss-stata
28,Education,Education,https://guides.mtholyoke.edu/education
29,Education,Resources for PaGE Students,https://guides.mtholyoke.edu/PageStudent
30,English,Creative Writing,https://guides.mtholyoke.edu/creativewriting
31,English,Early Modern Drama,https://guides.mtholyoke.edu/earlymoderndrama
32,English,ENGL 217BF: British and Irish Fiction 1900-1949,https://guides.mtholyoke.edu/engl217bf
33,English,"ENGL 301 Reporting Lab: Holyoke, MA",https://guides.mtholyoke.edu/engl301fa2018
34,English,English,https://guides.mtholyoke.edu/english
35,English,ESOL,https://guides.mtholyoke.edu/esol
36,English,FYSEM 110ML: U.S. Multiethnic Literatures,https://guides.mtholyoke.edu/fysem110ml
37,English,Journalism,https://guides.mtholyoke.edu/journalism
38,Environmental Studies,Environmental Studies,https://guides.mtholyoke.edu/environment
39,Film Studies,Film Studies,https://guides.mtholyoke.edu/filmstudies
40,French,French,https://guides.mtholyoke.edu/french
41,French,French Language Guide,https://guides.mtholyoke.edu/frenchlanguage
42,Gender Studies,Feminist Research Methodologies,https://guides.mtholyoke.edu/feministmethodologies
43,Gender Studies,Gender Studies,https://guides.mtholyoke.edu/genderstudies
44,Geography,Finding Maps,https://guides.mtholyoke.edu/maps
45,Geography,Geography 105: World Regional Geography FA2018,https://guides.mtholyoke.edu/geog105fa18
46,Geography,Geology and Geography,https://guides.mtholyoke.edu/geo
47,Geology,Finding Maps,https://guides.mtholyoke.edu/maps
48,Geology,"FYSEM-110VH Volcanoes and Volcanic Hazards, Fall 2018",https://guides.mtholyoke.edu/fysem110VHFA18
49,Geology,Geology 203: Earth's Surface. Fall 2018,https://guides.mtholyoke.edu/geol203FA18
50,Geology,Geology and Geography,https://guides.mtholyoke.edu/geo
51,German Studies,FYSEM-110RR-01 and 02: Remembering as Reconciliation,https://guides.mtholyoke.edu/fysem110rrFall2018
52,German Studies,German Language Guide,https://guides.mtholyoke.edu/germanlanguage
53,German Studies,German Studies,https://guides.mtholyoke.edu/germanstudies
54,History,First Year Seminar: United States Since World War II,https://guides.mtholyoke.edu/fysem110dsFall2018
55,History,FYSEM 110: Jack the Ripper and the Making of late-Victorian London,https://guides.mtholyoke.edu/fysem110fall2018
56,History,FYSEM-110RR-01 and 02: Remembering as Reconciliation,https://guides.mtholyoke.edu/fysem110rrFall2018
57,History,History,https://guides.mtholyoke.edu/history
58,History,History 301 New York City: Capital of the World,https://guides.mtholyoke.edu/history301Fall2018
59,How-To Guides,Advanced Research,https://guides.mtholyoke.edu/advancedresearch
60,How-To Guides,AWS Educate Program,https://guides.mtholyoke.edu/aws-educate
61,How-To Guides,Citing Sources,https://guides.mtholyoke.edu/citation
62,How-To Guides,Copyright,https://guides.mtholyoke.edu/copyright
63,How-To Guides,Creating Accessible Documents and Media,https://guides.mtholyoke.edu/creating-accessible-documents-and-media
64,How-To Guides,Electronic and Information Technology (EIT) Accessibility Standards and Procedures,https://guides.mtholyoke.edu/eit-accessibility-standards
65,How-To Guides,Feminist Research Methodologies,https://guides.mtholyoke.edu/feministmethodologies
66,How-To Guides,Finding Dissertations,https://guides.mtholyoke.edu/dissertations
67,How-To Guides,Finding Fiction,https://guides.mtholyoke.edu/fiction
68,How-To Guides,Finding Images,https://guides.mtholyoke.edu/images
69,How-To Guides,Finding Maps,https://guides.mtholyoke.edu/maps
70,How-To Guides,Introduction to Research at MHC,https://guides.mtholyoke.edu/intro-research
71,How-To Guides,Legal Sources for Multimedia Projects,https://guides.mtholyoke.edu/legalsourcesmultimedia
72,How-To Guides,LITS Services and Resources for Individuals with Disabilities,https://guides.mtholyoke.edu/lits-accessibility
73,How-To Guides,Menu Commands in SPSS and Stata,https://guides.mtholyoke.edu/spss-stata
74,How-To Guides,Moodle Quick Help Guide,https://guides.mtholyoke.edu/moodle
75,How-To Guides,News Sources,https://guides.mtholyoke.edu/news
76,How-To Guides,Open Educational Resources,https://guides.mtholyoke.edu/OER
77,How-To Guides,Resources for Graduate Instructors,https://guides.mtholyoke.edu/GradInstructors
78,How-To Guides,Resources for PaGE Students,https://guides.mtholyoke.edu/PageStudent
79,How-To Guides,Science Research at Mount Holyoke,https://guides.mtholyoke.edu/science
80,How-To Guides,Travel Resources,https://guides.mtholyoke.edu/travel
81,How-To Guides,United States Government Information,https://guides.mtholyoke.edu/govinfo
82,International Relations,International Relations,https://guides.mtholyoke.edu/internationalrelations
83,Italian,Italian Language Guide,https://guides.mtholyoke.edu/italianlanguage
84,Jewish Studies,Jewish Studies,https://guides.mtholyoke.edu/jewishstudies
85,Journalism,"ENGL 301 Reporting Lab: Holyoke, MA",https://guides.mtholyoke.edu/engl301fa2018
86,Journalism,Journalism,https://guides.mtholyoke.edu/journalism
87,Journalism,News Sources,https://guides.mtholyoke.edu/news
88,Languages,Ancient Greek & Latin Language Guide,https://guides.mtholyoke.edu/ancientgreekandlatin
89,Languages,Arabic Language Guide,https://guides.mtholyoke.edu/arabiclanguage
90,Languages,Chinese Language Guide,https://guides.mtholyoke.edu/chineselanguage
91,Languages,ESOL,https://guides.mtholyoke.edu/esol
92,Languages,French Language Guide,https://guides.mtholyoke.edu/frenchlanguage
93,Languages,German Language Guide,https://guides.mtholyoke.edu/germanlanguage
94,Languages,Hebrew Language Guide,https://guides.mtholyoke.edu/hebrewlanguage
95,Languages,Italian Language Guide,https://guides.mtholyoke.edu/italianlanguage
96,Languages,Japanese Language Guide,https://guides.mtholyoke.edu/japaneselanguage
97,Languages,Korean Language Guide,https://guides.mtholyoke.edu/koreanlanguage
98,Languages,Russian Language Guide,https://guides.mtholyoke.edu/russianlanguage
99,Languages,Spanish Language Guide,https://guides.mtholyoke.edu/spanishlanguage
100,Latino/a Studies,Latina/o/x & Latin American Studies,https://guides.mtholyoke.edu/hispanophonestudies
101,Literature,English,https://guides.mtholyoke.edu/english
102,Mathematics,Data Sciences,https://guides.mtholyoke.edu/datascience
103,Mathematics,Mathematics and Statistics,https://guides.mtholyoke.edu/mathstat
104,Medieval Studies,Medieval Studies,https://guides.mtholyoke.edu/medievalstudies
105,Music,Music,https://guides.mtholyoke.edu/music
