,Category,Subject,Link
0,Africana Studies,African American Drama,https://guides.nyu.edu/AfricanAmericanDrama
1,Africana Studies,African Diaspora Studies,https://guides.nyu.edu/africandiaspora
2,Africana Studies,Africana Studies,https://guides.nyu.edu/africana
3,Anthropology,Anthropology,https://guides.nyu.edu/anthropology
4,Anthropology,Global Studies,https://guides.nyu.edu/globalstudies
5,Anthropology,Native American and Indigenous Studies Research Guide,https://guides.nyu.edu/indigenousstudies
6,Anthropology,NYC Subcultures and Scenes,https://guides.nyu.edu/subcultures
7,Anthropology,Social Sciences Projects,https://guides.nyu.edu/socialsciences
8,Archaeology,Institute of Fine Arts,https://guides.nyu.edu/ifa
9,Art & Architecture,Archives Beyond Bobst,https://guides.nyu.edu/Beyond
10,Art & Architecture,Career Building for Artists,https://guides.nyu.edu/ArtistsCareers
11,Art & Architecture,Costume Studies,https://guides.nyu.edu/CostumeStudies
12,Art & Architecture,Finding Images Online and In Print,https://guides.nyu.edu/FindingImages
13,Art & Architecture,Fine and Decorative Arts,https://guides.nyu.edu/FineAndDecArts
14,Art & Architecture,First World War,https://guides.nyu.edu/wwi
15,Art & Architecture,Graphic Novels and Comics,https://guides.nyu.edu/graphicnovels
16,Art & Architecture,Institute of Fine Arts,https://guides.nyu.edu/ifa
17,Art & Architecture,Introduction to Iberian Cultural Studies,https://guides.nyu.edu/Cultura
18,Art & Architecture,Jack Tchen's New York City,https://guides.nyu.edu/tchen
19,Art & Architecture,NYU Florence Library & Online Resources,https://guides.nyu.edu/Florence
20,Art & Architecture,Resources for Artists,https://guides.nyu.edu/StudioArtists
21,Art & Architecture,The NYUAD Arts Center Events: 600 Highwaymen - The Fever,https://guides.nyu.edu/600highwaymenthefever
22,Art & Architecture,"Using Archival Footage, Photos, & Audio",https://guides.nyu.edu/archival
23,Art & Architecture,Visual Arts,https://guides.nyu.edu/visualarts
24,Astronomy,Life in the Universe,https://guides.nyu.edu/lifeintheuniverse
25,Biology,Animal Alternatives Searching,https://guides.nyu.edu/alternatives
26,Biology,Biology,https://guides.nyu.edu/nyuadbiology
27,Biology,Biology (New York/Shanghai),https://guides.nyu.edu/biology
28,Biology,Coles Science Center,https://guides.nyu.edu/science
29,Biology,"Evolution, Complexity, Information Theory & Entropy",https://guides.nyu.edu/entropy
30,Biology,Foundations of Science 1,https://guides.nyu.edu/ShanghaiFOS1
31,Biology,Foundations of Science 1 & 2,https://guides.nyu.edu/fos1
32,Biology,Foundations of Science 3 & 4 Lab,https://guides.nyu.edu/foslab
33,Biology,Foundations of Science- Biology I Spring 2016,https://guides.nyu.edu/FOS_bio1
34,Biology,Life in the Universe,https://guides.nyu.edu/lifeintheuniverse
35,Biology,Nanotechnology,https://guides.nyu.edu/nano
36,Biology,Social Issues in the New Biosciences,https://guides.nyu.edu/biosciences
37,Business,Advertising Research and Planning,https://guides.nyu.edu/adresearch
38,Business,Bloomberg Guide,https://guides.nyu.edu/bloombergguide
39,Business,Business & Government Information Services,https://guides.nyu.edu/biz
40,Business,Business and Economics Working Papers,https://guides.nyu.edu/businessworkingpapers
41,Business,Business of Media,https://guides.nyu.edu/businessofmedia
42,Business,"Career Research, Interviewing, and Compensation",https://guides.nyu.edu/jobsearchresources
43,Business,Career Resources at NYU Shanghai,https://guides.nyu.edu/career
44,Business,Company Research for Technology Management,https://guides.nyu.edu/dibnercompany
45,Business,Country Information,https://guides.nyu.edu/countryinfo
46,Business,Datastream Guide,https://guides.nyu.edu/datastreamguide
47,Business,Economics,https://guides.nyu.edu/nyuadeconomics
48,Business,Economics Resources,https://guides.nyu.edu/economics
49,Business,Entrepreneurship,https://guides.nyu.edu/entrepreneurship
50,Business,Environmentally Responsible/Green Business,https://guides.nyu.edu/greenbusiness
51,Business,Finance,https://guides.nyu.edu/financial
52,Business,Finding New York City Information,https://guides.nyu.edu/FindingNewYorkCityInfo
53,Business,Fundraising and Philanthropy,https://guides.nyu.edu/fundraising
54,Business,Global Affairs,https://guides.nyu.edu/globalaffairs
55,Business,Hospitality and Tourism,https://guides.nyu.edu/Hospitality
56,Business,International Marketing,https://guides.nyu.edu/internationalmarketing
57,Business,International Statistics,https://guides.nyu.edu/int_statistics
58,Business,International Trade Statistics,https://guides.nyu.edu/internationaltradestastistics
59,Business,Introduction to Econometrics,https://guides.nyu.edu/econometrics
60,Business,Jack Brause Library,https://guides.nyu.edu/jackbrauselibrary
61,Business,Literature Reviews in the Social Sciences,https://guides.nyu.edu/litreviews
62,Business,Luxury Marketing,https://guides.nyu.edu/luxury
63,Business,Marketing,https://guides.nyu.edu/marketing
64,Business,Music Business,https://guides.nyu.edu/musicbusiness
65,Business,NYU Florence Library & Online Resources,https://guides.nyu.edu/Florence
66,Business,Public Relations,https://guides.nyu.edu/PR
67,Business,Publishing: Digital and Print Media,https://guides.nyu.edu/c.php?g=277030
68,Business,Real Estate,https://guides.nyu.edu/realestate
69,Business,Social Entrepreneurship,https://guides.nyu.edu/socialentrepreneurship
70,Business,Sports Management,https://guides.nyu.edu/sportsmanagement
71,Business,SPS Capstone & Thesis Research,https://guides.nyu.edu/capstone
72,Business,Statistics for the Social & Behavioral Sciences,https://guides.nyu.edu/socscistats
73,Business,Technology Management,https://guides.nyu.edu/techmanagement
74,Business,US Company and Industry Information,https://guides.nyu.edu/Company
75,Business,Virtual Business Library,https://guides.nyu.edu/vbl
76,Chemistry,Chemistry,https://guides.nyu.edu/chemistry
77,Chemistry,Chemistry,https://guides.nyu.edu/nyuadchemistry
78,Chemistry,Coles Science Center,https://guides.nyu.edu/science
79,Chemistry,Energy and the Environment Fall 2018,https://guides.nyu.edu/c.php?g=872875
80,Chemistry,"Evolution, Complexity, Information Theory & Entropy",https://guides.nyu.edu/entropy
81,Chemistry,Foundations of Science 1,https://guides.nyu.edu/ShanghaiFOS1
82,Chemistry,Foundations of Science 1 & 2,https://guides.nyu.edu/fos1
83,Chemistry,Foundations of Science 3 & 4 Lab,https://guides.nyu.edu/foslab
84,Chemistry,Keeping Current with Chemistry,https://guides.nyu.edu/keepingcurrentchemistry
85,Cinema Studies,Actors Page,https://guides.nyu.edu/actorspage
86,Cinema Studies,Cinema Studies,https://guides.nyu.edu/Cinema
87,Cinema Studies,Copyright Information for Music and Video,https://guides.nyu.edu/copyright_music_video
88,Cinema Studies,Design for Stage and Film,https://guides.nyu.edu/DesignStageandFilm
89,Cinema Studies,Documentary Film,https://guides.nyu.edu/DocumentaryFilm
90,Cinema Studies,Film & New Media,https://guides.nyu.edu/filmandmedia
91,Cinema Studies,Moving Image Archive,https://guides.nyu.edu/Movingimagearchive
92,Cinema Studies,NYU Florence Library & Online Resources,https://guides.nyu.edu/Florence
93,Cinema Studies,Russian Directors,https://guides.nyu.edu/RussianDirectors
94,Cinema Studies,Science Fiction Universe,https://guides.nyu.edu/ScienceFictionUniverse
95,Cinema Studies,Shakespeare Studies,https://guides.nyu.edu/ShakespeareStudies
96,Cinema Studies,Television,https://guides.nyu.edu/Television
97,Cinema Studies,"Using Archival Footage, Photos, & Audio",https://guides.nyu.edu/archival
98,Cinema Studies,"Web Audio, Video, and Music Scores",https://guides.nyu.edu/web_audio_video
99,Classics,Classical Studies,https://guides.nyu.edu/classics
100,Classics,Papyrology,https://guides.nyu.edu/c.php?g=479056
101,Comparative Literature,American Literature,https://guides.nyu.edu/americanlit
102,Comparative Literature,Animal Studies,https://guides.nyu.edu/animalstudies
103,Comparative Literature,Comparative Literature,https://guides.nyu.edu/comparative
104,Comparative Literature,Dramaturgy,https://guides.nyu.edu/dramaturgy
105,Comparative Literature,English and American Literature,https://guides.nyu.edu/english
106,Comparative Literature,Essays and Essayists,https://guides.nyu.edu/essays
107,Comparative Literature,Francophone Literature,https://guides.nyu.edu/francophone
108,Comparative Literature,French Language & Literature,https://guides.nyu.edu/french
109,Comparative Literature,Germanic Languages and Literature,https://guides.nyu.edu/german
110,Comparative Literature,Graphic Novels and Comics,https://guides.nyu.edu/graphicnovels
111,Comparative Literature,How to Find Translations into and from English,https://guides.nyu.edu/translations
112,Comparative Literature,"Irish Studies: Literature, Film and Theatre",https://guides.nyu.edu/irishlit
113,Comparative Literature,Italian Studies - Medieval and Early Modern,https://guides.nyu.edu/memitaly
114,Comparative Literature,Italian Studies - Modern,https://guides.nyu.edu/moditaly
115,Comparative Literature,Literature and Writing,https://guides.nyu.edu/lit
116,Comparative Literature,"Myths, Fairy Tales and Folklore",https://guides.nyu.edu/fairytales
117,Comparative Literature,Plays and Playwrights,https://guides.nyu.edu/Playsplaywrights
118,Comparative Literature,Poems and Poets,https://guides.nyu.edu/poetry
119,Comparative Literature,Science Fiction Universe,https://guides.nyu.edu/ScienceFictionUniverse
120,Comparative Literature,Spanish and Portuguese Languages and Literatures,https://guides.nyu.edu/spanish_portuguese
121,Comparative Literature,Translation Studies,https://guides.nyu.edu/translation
122,Dance,"Balanchine's Nutcracker, Midsummer Night's Dream and As You Like It",https://guides.nyu.edu/BalanchineDance
123,Dance,Dance Education,https://guides.nyu.edu/DanceEducation
124,Dance,Performing Arts Administration,https://guides.nyu.edu/performingartsadmin
