,Category,Subject,Link
0,Basic Sciences & Social Sciences,"Anthropology, History, and Social Medicine",https://guides.ucsf.edu/AnthropologyHistoryandSocialMedicine
1,Bioinformatics and Statistics,Bioinformatics and Statistics Resources,https://guides.ucsf.edu/bistats
2,Clinical Medicine,Systematic Review,https://guides.ucsf.edu/systematic
3,Consumer Health,Consumer Health,https://guides.ucsf.edu/consumer_health
4,Consumer Health,Resources for UCSF Alumni and the Public,https://guides.ucsf.edu/alumni
5,Consumer Health,Tobacco Control,https://guides.ucsf.edu/tobacco
6,Copyright,Copyright at UCSF,https://guides.ucsf.edu/copyright
7,Copyright,NIH Public Access Policy,https://guides.ucsf.edu/nihpolicy
8,Data Management,Data Sharing & Data Management,https://guides.ucsf.edu/datamgmt
9,Data Management,NIH Public Access Policy,https://guides.ucsf.edu/nihpolicy
10,Dentistry,Dentistry Guide,https://guides.ucsf.edu/DENTISTRY
11,Evidence Based Practice,Dentistry Guide,https://guides.ucsf.edu/DENTISTRY
12,Evidence Based Practice,Information Literacy for Health Sciences Students,https://guides.ucsf.edu/infolitUCSF
13,Evidence Based Practice,Information Retrieval and Management (IRAM),https://guides.ucsf.edu/iram
14,Evidence Based Practice,Medicine,https://guides.ucsf.edu/medicine
15,Evidence Based Practice,Nursing,https://guides.ucsf.edu/nursing
16,Evidence Based Practice,Systematic Review,https://guides.ucsf.edu/systematic
17,General,Getting Started at the Library,https://guides.ucsf.edu/gettingstarted
18,Grants,Grants,https://guides.ucsf.edu/grants
19,Grants,NIH Public Access Policy,https://guides.ucsf.edu/nihpolicy
20,Grants,Open Access Publishing Fund,https://guides.ucsf.edu/oafund
21,Grants,UCSF Research Development Office (RDO): Grant Templates and Guides,https://guides.ucsf.edu/rdo
22,Health Administration,Health Administration and Interprofessional Leadership (HAIL),https://guides.ucsf.edu/HAIL
23,History of Health Sciences,Finding and Using Images,https://guides.ucsf.edu/images
24,History of Health Sciences,Historic Homeopathy Materials in the UCSF Archives & Special Collections,https://guides.ucsf.edu/homeopathy
25,Images and Media,Finding and Using Images,https://guides.ucsf.edu/images
26,LGBT Health,LGBT Health,https://guides.ucsf.edu/lgbt_health
27,Medicine,Information Retrieval and Management (IRAM),https://guides.ucsf.edu/iram
28,Medicine,Medical Education,https://guides.ucsf.edu/meded
29,Medicine,Medicine,https://guides.ucsf.edu/medicine
30,Nursing,Nursing,https://guides.ucsf.edu/nursing
31,Open Access,NIH Public Access Policy,https://guides.ucsf.edu/nihpolicy
32,Open Access,Open Access Publishing Fund,https://guides.ucsf.edu/oafund
33,Pharmacy,Pharmacy & Pharmacology,https://guides.ucsf.edu/pharmacy
34,Pharmacy,PharmD EdTech Guide,https://guides.ucsf.edu/pharmdedtechguide
35,Pharmacy,School of Pharmacy -- Required and Recommended Textbooks,https://guides.ucsf.edu/SOP
36,Pharmacy,Welcome PharmD Students,https://guides.ucsf.edu/PharmD_Students
37,Physical Therapy,Physical Therapy & Rehabilitation,https://guides.ucsf.edu/physical_therapy
38,Public Health,Tobacco Control,https://guides.ucsf.edu/tobacco
39,PubMed,Introduction to PubMed@UCSF,https://guides.ucsf.edu/introtopubmed
40,Reference Managers,"EndNote, RefWorks and Other Reference Managers",https://guides.ucsf.edu/referencemanagers
41,Reference Managers,Information Retrieval and Management (IRAM),https://guides.ucsf.edu/iram
42,Special Collections,Historic Homeopathy Materials in the UCSF Archives & Special Collections,https://guides.ucsf.edu/homeopathy
43,Special Collections,Tobacco Control,https://guides.ucsf.edu/tobacco
44,Systematic Reviews,"EndNote, RefWorks and Other Reference Managers",https://guides.ucsf.edu/referencemanagers
45,Systematic Reviews,Systematic Review,https://guides.ucsf.edu/systematic
