,Category,Subject,Link
0,Africana Studies,African Studies Library Guide,https://iupui.campusguides.com/africanstudies
1,Africana Studies,Africana Studies Research Guide,https://iupui.campusguides.com/africanastudies
2,American Studies,American Studies,https://iupui.campusguides.com/americanstudies
3,Anthropology,Anthropology,https://iupui.campusguides.com/anthropology
4,Archives,Research in African American History in IUPUI Special Collections and Archives,https://iupui.campusguides.com/c.php?g=260314
5,Art,Herron Art Library - Art Research Guide,https://iupui.campusguides.com/art
6,Biology,Biological Sciences Guide,https://iupui.campusguides.com/Biology
7,Business,Accounting,https://iupui.campusguides.com/accounting
8,Business,Bloomberg,https://iupui.campusguides.com/bloomberg
9,Business,BUS D355 - Business Opportunities And Challenges in EU,https://iupui.campusguides.com/D355
10,Business,BUS J401 - Ketner,https://iupui.campusguides.com/J401Ketner
11,Business,BUS M401 - International Marketing,https://iupui.campusguides.com/m401
12,Business,BUS M426 - Sales Management,https://iupui.campusguides.com/M426SalesMgt
13,Business,BUS X203,https://iupui.campusguides.com/X203
14,Business,BUS X220/ X300/ X320 - Career Research,https://iupui.campusguides.com/buscareer
15,Business,BUS X522 - Enterprise Lectures,https://iupui.campusguides.com/BUSX522
16,Business,BUSG L512 - Law and Ethics in Business,https://iupui.campusguides.com/BUSG-L512
17,Business,Business Guide,https://iupui.campusguides.com/business
18,Business,Business Law,https://iupui.campusguides.com/businesslaw
19,Business,Business of Medicine - Market Research,https://iupui.campusguides.com/busmedmarketresearch
20,Business,Company Research,https://iupui.campusguides.com/company
21,Business,Entrepreneurship,https://iupui.campusguides.com/entrepreneurship
22,Business,Finance,https://iupui.campusguides.com/finance
23,Business,Global Business Research,https://iupui.campusguides.com/global
24,Business,I-CORE Research Guide,https://iupui.campusguides.com/I-CORE
25,Business,Industry Research,https://iupui.campusguides.com/industry
26,Business,Management,https://iupui.campusguides.com/management
27,Business,Marketing,https://iupui.campusguides.com/marketing
28,Business,Supply Chain Management,https://iupui.campusguides.com/supplychain
29,Chemistry,Chemistry,https://iupui.campusguides.com/chemistry
30,Classics,Classics Research Guide,https://iupui.campusguides.com/classics
31,Communication Studies,Communication Studies Research Guide,https://iupui.campusguides.com/communicationstudies
32,Computer Science,Computer Science,https://iupui.campusguides.com/compsci
33,Criminal Justice,Criminal Justice Research Guide,https://iupui.campusguides.com/criminal
34,Criminal Justice,SPEA Guide,https://iupui.campusguides.com/spea
35,Earth Sciences/Geology,Earth Sciences/Geology,https://iupui.campusguides.com/Geology
36,Economics,Economics,https://iupui.campusguides.com/econ
37,Economics,Health Economics,https://iupui.campusguides.com/healthecon
38,Education,IUPUI School of Education Library Guide,https://iupui.campusguides.com/education
39,Education,Urban Education PhD,https://iupui.campusguides.com/urbaned
40,Engineering & Technology,"Architectural, Interior Design & Construction Engineering Management Technology",https://iupui.campusguides.com/architecturaltech
41,Engineering & Technology,Biomedical Engineering & Biomedical Engineering Technology,https://iupui.campusguides.com/bmet
42,Engineering & Technology,Computer & Information Technology & Computer Graphics Technology,https://iupui.campusguides.com/cit-cgt
43,Engineering & Technology,Electrical & Computer Engineering/Electrical & Computer Engineering Technology,https://iupui.campusguides.com/electrical_computer_eng
44,Engineering & Technology,Mechanical & Energy Engineering & Mechanical Engineering Technology,https://iupui.campusguides.com/mechanical_eng
45,Engineering & Technology,Music and Arts Technology,https://iupui.campusguides.com/musictech
46,Engineering & Technology,Organizational Leadership & Supervision,https://iupui.campusguides.com/ols
47,Engineering & Technology,Technical Communication,https://iupui.campusguides.com/tcm
48,English,ENG L506: Introduction to Methods of Criticism and Research,https://iupui.campusguides.com/Eng_L506
49,English,ENG W130 EAP: Principles of Composition,https://iupui.campusguides.com/Eng-W130-eap
50,English,"ENG W131: Reading, Writing, & Inquiry",https://iupui.campusguides.com/ENG-W131
51,English,ENG W210: Literacy and Public Life,https://iupui.campusguides.com/c.php?g=709759
52,English,ENG W230: Writing in the Sciences,https://iupui.campusguides.com/w230-writingforthesciences
53,English,ENG W231: Professional Writing Skills,https://iupui.campusguides.com/eng-w231
54,English,ENG W270: Argumentative Writing,https://iupui.campusguides.com/eng-w270
55,English,ENG W377: Writing for Social Change,https://iupui.campusguides.com/digitalstorytelling
56,English,ENG W509: Introduction to Writing and Literacy Studies,https://iupui.campusguides.com/w509
57,English,English,https://iupui.campusguides.com/english
58,Environmental Science,Earth Sciences/Geology,https://iupui.campusguides.com/Geology
59,Environmental Science,Environmental & Natural Resources Law,https://iupui.campusguides.com/enrlaw
60,Film Studies,Film Studies Research Guide,https://iupui.campusguides.com/film
61,Forensic Science,Forensic Science,https://iupui.campusguides.com/forensicscience
62,Geography,IUPUI Department of Geography Library Guide,https://iupui.campusguides.com/geography
63,Government Information,Indiana State Government,https://iupui.campusguides.com/indiana_government
64,Government Information,Intergovernmental Organizations & Foreign Governments,https://iupui.campusguides.com/international_information
65,Government Information,U.S. Federal Government,https://iupui.campusguides.com/fedgov
66,Health Sciences,Bridge - SHHS,https://iupui.campusguides.com/bridgeSHRS
67,Health Sciences,Global Health,https://iupui.campusguides.com/globalhealth
68,Health Sciences,Health Sciences,https://iupui.campusguides.com/shrs
69,Health Sciences,SHRS-W250: Health and Rehabilitation Systems Across the World,https://iupui.campusguides.com/globalhealthandrehab
70,Health Sciences,SHRS-W340 Psychological Aspects of Disability,https://iupui.campusguides.com/disabilitypsychology
71,History,History of Medicine Resources,https://iupui.campusguides.com/rlmlhomresources
72,History,History Research Guide,https://iupui.campusguides.com/history
73,Informatics & Computing,BioHealth Informatics,https://iupui.campusguides.com/biohealthinformatics
74,Informatics & Computing,Human-Centered Computing,https://iupui.campusguides.com/hcc
75,Informatics & Computing,INFO H559: HMI/D Strategies and Design for IoTecosystems,https://iupui.campusguides.com/c.php?g=703219
76,Informatics & Computing,Informatics,https://iupui.campusguides.com/informatics
77,Informatics & Computing,Library and Information Science,https://iupui.campusguides.com/lis
78,International Studies,International Studies,https://iupui.campusguides.com/intlstudies
79,Journalism,Journalism,https://iupui.campusguides.com/journalism
80,Journalism,Public Relations and Advertising,https://iupui.campusguides.com/prandadvertising
81,Journalism,Sports Journalism,https://iupui.campusguides.com/sportsjournalism
82,Kinesiology,Kinesiology,https://iupui.campusguides.com/hper
83,Labor Studies,Labor Studies,https://iupui.campusguides.com/labor
84,Languages & Cultures,American Sign Language | ASL,https://iupui.campusguides.com/ASL
85,Languages & Cultures,Arabic | اللغة العربية,https://iupui.campusguides.com/arabic
86,Languages & Cultures,Chinese | 中文,https://iupui.campusguides.com/chinese
87,Languages & Cultures,French | Français,https://iupui.campusguides.com/french
88,Languages & Cultures,German | Deutsch,https://iupui.campusguides.com/german
89,Languages & Cultures,Japanese | 日本語,https://iupui.campusguides.com/japanese
90,Languages & Cultures,Latino Studies,https://iupui.campusguides.com/latinostudies
91,Languages & Cultures,SPAN S313: Writing Spanish,https://iupui.campusguides.com/SPAN_S313
92,Languages & Cultures,SPAN S318: Writing Spanish for Heritage Speakers,https://iupui.campusguides.com/Span-S318
93,Languages & Cultures,Spanish | español,https://iupui.campusguides.com/spanish
94,Languages & Cultures,Translation Studies,https://iupui.campusguides.com/translation
95,LGBTQ Studies,LGBTQ Studies,https://iupui.campusguides.com/glbtq
96,Library & Information Science,Library and Information Science,https://iupui.campusguides.com/lis
97,Mathematics,Mathematics,https://iupui.campusguides.com/math
98,Medical Humanities,Medical Humanities,https://iupui.campusguides.com/medhum
99,Medicine,Animal Research & Welfare,https://iupui.campusguides.com/iacuc
100,Medicine,Bioethics,https://iupui.campusguides.com/bioethics
101,Medicine,Dermatology,https://iupui.campusguides.com/dermatology
102,Medicine,EndNote,https://iupui.campusguides.com/endnote/rlml
103,Medicine,Evidence Based Medicine,https://iupui.campusguides.com/EBM
104,Medicine,Family Medicine,https://iupui.campusguides.com/familymedicine
105,Medicine,Free and Sponsored Medical/Health Resources,https://iupui.campusguides.com/medresources
106,Medicine,Health Related Statistics,https://iupui.campusguides.com/healthstats
107,Medicine,Linking to Articles/Library Resources in Canvas,https://iupui.campusguides.com/canvaslinking
108,Medicine,Medical & Molecular Genetics,https://iupui.campusguides.com/genetics
109,Medicine,Medical Education Resources,https://iupui.campusguides.com/meded
110,Medicine,Medical Library Research Guide,https://iupui.campusguides.com/medlibresearch
111,Medicine,Neurological Surgery,https://iupui.campusguides.com/neurosurg
112,Medicine,Neurology,https://iupui.campusguides.com/neurology
113,Medicine,Obstetrics/Gynecology,https://iupui.campusguides.com/OB_GYN
114,Medicine,Opiate Addiction & Treatment,https://iupui.campusguides.com/Opioid
115,Medicine,Orthopedic Resources,https://iupui.campusguides.com/orthopedics
116,Medicine,Otolaryngology-Head & Neck Surgery,https://iupui.campusguides.com/otolaryngology
117,Medicine,Pediatrics,https://iupui.campusguides.com/peds
118,Medicine,Radiation Oncology Resources,https://iupui.campusguides.com/radonc
119,Medicine,Surgery Resources,https://iupui.campusguides.com/surgery
120,Medicine,Systematic Reviews,https://iupui.campusguides.com/systreviews
121,Medicine,Urology,https://iupui.campusguides.com/urology
122,Medicine,Vascular Surgery,https://iupui.campusguides.com/vascularsurg
123,Museum Studies,Museum Studies,https://iupui.campusguides.com/museumstudies
124,Nursing,Nursing - Library Research Guide (IUPUI),https://iupui.campusguides.com/nursing
125,Nutrition,Nutrition and Dietetics,https://iupui.campusguides.com/nutritionanddietetics
126,Occupational Therapy,Occupational Therapy,https://iupui.campusguides.com/OT
127,Philanthropy,Philanthropy and Nonprofit Management,https://iupui.campusguides.com/philanthropy_nonprofit_management
128,Philanthropy,PHST P301 Historical Contexts for and Contemporary Approaches to Philanthropy,https://iupui.campusguides.com/phst_p301
129,Philanthropy,"PHST-P105/ENG-L115/UCOL-U110: ""A Change is Gonna Come"" Themed Learning Community",https://iupui.campusguides.com/c.php?g=841092
130,Philanthropy,Researching History in Philanthropy,https://iupui.campusguides.com/histphil
131,Philosophy,Philosophy,https://iupui.campusguides.com/philosophy
132,Physical Therapy,Physical Therapy,https://iupui.campusguides.com/PT
133,Physics,Physics,https://iupui.campusguides.com/physics
