,Category,Subject,Link
0,Arts & Humanities,Asian American Literature,https://lib.siena.edu/AsianAmericanLiterature
1,Arts & Humanities,Classics,https://lib.siena.edu/classics
2,Arts & Humanities,Creative Arts,https://lib.siena.edu/arts
3,Arts & Humanities,Film Research,https://lib.siena.edu/films
4,Arts & Humanities,FYS: Internationalization and Global Education,https://lib.siena.edu/globaleducation
5,Arts & Humanities,International Studies/Globalization,https://lib.siena.edu/internationalstudies
6,Arts & Humanities,Latino/a Literature,https://lib.siena.edu/LatinoLatinaLiterature
7,Arts & Humanities,Multicultural Education Resources,https://lib.siena.edu/multiculturaleducation
8,Arts & Humanities,Music,https://lib.siena.edu/music
9,Arts & Humanities,Peer Tutoring in Writing (WRIT--240),https://lib.siena.edu/peerwriting
10,Arts & Humanities,Survey of English Literature I,https://lib.siena.edu/c.php?g=752587
11,Arts & Humanities,The Adirondacks,https://lib.siena.edu/adirondacks
12,Arts & Humanities,Theatre,https://lib.siena.edu/theatreguide
13,Business,Economics,https://lib.siena.edu/economics
14,Business,Finding Statistics,https://lib.siena.edu/stats
15,Business,Law,https://lib.siena.edu/law
16,Business,MACC 512,https://lib.siena.edu/macc512
17,Business,"Macro-Economic Analysis, ECON 202 (Spring 2016)",https://lib.siena.edu/macro-economics
18,Business,Management,https://lib.siena.edu/mgmt
19,Business,Risk Management,https://lib.siena.edu/risk
20,General Purpose,Citation Management & Research Tools,https://lib.siena.edu/research
21,General Purpose,Copyright Assistance,https://lib.siena.edu/copyrighthelp
22,General Purpose,E-books at Siena,https://lib.siena.edu/ebooks
23,General Purpose,Fake News,https://lib.siena.edu/fakenews
24,General Purpose,Film Research,https://lib.siena.edu/films
25,General Purpose,Finding Statistics,https://lib.siena.edu/stats
26,General Purpose,"Image, Sound and Film Files",https://lib.siena.edu/imagesoundfilm
27,General Purpose,Plagiarism,https://lib.siena.edu/plagiarism
28,General Purpose,Primary Sources,https://lib.siena.edu/primary_sources
29,General Purpose,Print Magazines Across the Ideological Spectrum at Standish Library,https://lib.siena.edu/ideologicalspectrumtitles
30,General Purpose,Scholarly vs. Popular Articles,https://lib.siena.edu/scholarlypopular
31,General Purpose,Siena Lecture Series,https://lib.siena.edu/lecture
