,Category,Subject,Link
0,Architecture,Research Guide to Architecture,https://libguides.aacc.edu/architecture
1,Architecture,Research Guide to Sustainability,https://libguides.aacc.edu/sustainability
2,Business,Research Guide to Business,https://libguides.aacc.edu/business
3,Business,Research Guide to Sustainability,https://libguides.aacc.edu/sustainability
4,Citing Sources,Citation Guide,https://libguides.aacc.edu/citationguide
5,Citing Sources,Finding Materials from Citations,https://libguides.aacc.edu/readingcitations
6,Citing Sources,Plagiarism,https://libguides.aacc.edu/plagiarism
7,Citing Sources,The Research Process,https://libguides.aacc.edu/researchprocess
8,Criminal Justice & Homeland Security,Research Guide to Criminal Justice & Homeland Security,https://libguides.aacc.edu/criminaljustice
9,Criminal Justice & Homeland Security,Research Guide to Legal Resources,https://libguides.aacc.edu/legalresources
10,Culinary Arts & Food Science,Research Guide to Culinary Arts & Food Science,https://libguides.aacc.edu/culinaryarts
11,Culinary Arts & Food Science,Research Guide to Sustainability,https://libguides.aacc.edu/sustainability
12,Current Controversies,Research Guide to Current Controversies,https://libguides.aacc.edu/controversies
13,Current Controversies,Research Guide to Sustainability,https://libguides.aacc.edu/sustainability
14,Education & Testing,Research Guide to Careers,https://libguides.aacc.edu/careers
15,Education & Testing,Research Guide to Education,https://libguides.aacc.edu/education
16,Education & Testing,Research Guide to Open Educational Resources,https://libguides.aacc.edu/oer
17,Education & Testing,Resource Guide to Competency-Based Education,https://libguides.aacc.edu/competency-basededucation
18,Education & Testing,Resource Guide: Testing & Education Reference Center,https://libguides.aacc.edu/terc
19,Gender & Sexuality Studies,Research Guide to Gender & Sexuality Studies,https://libguides.aacc.edu/genderstudies
20,Health & Wellness,Research Guide to Health & Wellness,https://libguides.aacc.edu/healthandwellness
21,Health & Wellness,Science Models,https://libguides.aacc.edu/models
22,History,Research Guide to African American Studies,https://libguides.aacc.edu/africanamerican
23,History,Research Guide to History,https://libguides.aacc.edu/history
24,Legal Resources,Research Guide to Criminal Justice & Homeland Security,https://libguides.aacc.edu/criminaljustice
25,Legal Resources,Research Guide to Legal Resources,https://libguides.aacc.edu/legalresources
26,Literature,A Doll's House (1879),https://libguides.aacc.edu/dollshouse
27,Literature,A Farewell to Arms (1929),https://libguides.aacc.edu/farewelltoarms
28,Literature,"A Narrative of the Life of Frederick Douglass, An American Slave (1845)",https://libguides.aacc.edu/frederickdouglass
29,Literature,A Raisin in the Sun (1959),https://libguides.aacc.edu/raisininthesun
30,Literature,All Quiet on the Western Front (1929),https://libguides.aacc.edu/allquiet
31,Literature,Antigone (5th Century B.C.),https://libguides.aacc.edu/antigone
32,Literature,As I Lay Dying (1930),https://libguides.aacc.edu/asilaydying
33,Literature,"Bartleby, the Scrivener: A Story of Wall-Street (1853)",https://libguides.aacc.edu/bartleby
34,Literature,Beowulf (8th Century A.D.),https://libguides.aacc.edu/beowulf
35,Literature,Catch-22 (1961),https://libguides.aacc.edu/catch-22
36,Literature,Crime and Punishment (1866),https://libguides.aacc.edu/crimeandpunishment
37,Literature,Death of a Salesman (1949),https://libguides.aacc.edu/deathofasalesman
38,Literature,Dracula (1897),https://libguides.aacc.edu/dracula
39,Literature,Frankenstein (1818),https://libguides.aacc.edu/frankenstein
40,Literature,Gulliver's Travels (1726),https://libguides.aacc.edu/gulliverstravels
41,Literature,Hamlet (1603),https://libguides.aacc.edu/hamlet
42,Literature,Heart of Darkness (1899),https://libguides.aacc.edu/heartofdarkness
43,Literature,Home (2012),https://libguides.aacc.edu/home
44,Literature,Julius Caesar (1603),https://libguides.aacc.edu/juliuscaesar
45,Literature,My Antonia (1918),https://libguides.aacc.edu/myantonia
46,Literature,Oedipus the King (5th Century B.C.),https://libguides.aacc.edu/oedipus
47,Literature,Research Guide to African American Studies,https://libguides.aacc.edu/africanamerican
48,Literature,Research Guide to Literary Criticism,https://libguides.aacc.edu/literarycriticism
49,Literature,Silas Marner: The Weaver Of Raveloe (1861),https://libguides.aacc.edu/silasmarner
50,Literature,Snow Falling on Cedars (1994),https://libguides.aacc.edu/snowfallingoncedars
51,Literature,Sula (1973),https://libguides.aacc.edu/sula
52,Literature,The Adventures of Huckleberry Finn (1884),https://libguides.aacc.edu/huckfinn
53,Literature,The Age of Innocence (1920),https://libguides.aacc.edu/ageofinnocence
54,Literature,The Assistant (1957),https://libguides.aacc.edu/theassistant
55,Literature,The Awakening (1899),https://libguides.aacc.edu/theawakening
56,Literature,The Glass Menagerie (1944),https://libguides.aacc.edu/glassmenagerie
57,Literature,The Great Gatsby (1925),https://libguides.aacc.edu/greatgatsby
58,Literature,The Handmaid's Tale (1985),https://libguides.aacc.edu/handmaidstale
59,Literature,The Maltese Falcon (1930),https://libguides.aacc.edu/maltesefalcon
60,Literature,The Mayor of Casterbridge (1886),https://libguides.aacc.edu/mayorofcasterbridge
61,Literature,The Picture of Dorian Gray (1890),https://libguides.aacc.edu/doriangray
62,Literature,The Poisonwood Bible (1998),https://libguides.aacc.edu/poisonwoodbible
63,Literature,The Scarlet Letter (1850),https://libguides.aacc.edu/scarletletter
64,Literature,The Stranger (1942),https://libguides.aacc.edu/thestranger
65,Literature,The Sun Also Rises (1926),https://libguides.aacc.edu/sunalsorises
66,Literature,The Woman Warrior (1976),https://libguides.aacc.edu/womanwarrior
67,Literature,Their Eyes Were Watching God (1937),https://libguides.aacc.edu/theireyeswerewatchinggod
68,Literature,Things Fall Apart (1958),https://libguides.aacc.edu/thingsfallapart
69,Literature,Trifles (1916),https://libguides.aacc.edu/trifles
70,Performing Arts,Research Guide to Dance,https://libguides.aacc.edu/dance
71,Performing Arts,Research Guide to Music,https://libguides.aacc.edu/music
72,Performing Arts,Research Guide to Theater Arts,https://libguides.aacc.edu/theaterarts
73,Philosophy,Research Guide to Philosophy,https://libguides.aacc.edu/philosophy
74,Social Sciences,Research Guide to African American Studies,https://libguides.aacc.edu/africanamerican
75,Social Sciences,Research Guide to Psychology,https://libguides.aacc.edu/psychology
76,Social Sciences,Research Guide to World Cultures,https://libguides.aacc.edu/cultures
77,"STEM: Science, Technology, Engineering, & Math","Research Guide to STEM: Science, Technology, Engineering, & Math",https://libguides.aacc.edu/stem
78,"STEM: Science, Technology, Engineering, & Math",Research Guide to Sustainability,https://libguides.aacc.edu/sustainability
79,"STEM: Science, Technology, Engineering, & Math",Science Models,https://libguides.aacc.edu/models
80,Visual Arts,Research Guide to Visual Arts,https://libguides.aacc.edu/visualarts
81,Writing College Papers,Citation Guide,https://libguides.aacc.edu/citationguide
82,Writing College Papers,Plagiarism,https://libguides.aacc.edu/plagiarism
83,Writing College Papers,Resource Guide: Evaluating Websites,https://libguides.aacc.edu/evaluatingwebsites
84,Writing College Papers,Resource Guide: Journals v. Magazines,https://libguides.aacc.edu/journalsvsmagazines
85,Writing College Papers,The Research Process,https://libguides.aacc.edu/researchprocess
86,Writing College Papers,Writing College Papers,https://libguides.aacc.edu/writingcollegepapers
