,Category,Subject,Link
0,Adult Literacy and General Education,Careers and Employment,https://libguides.bhtafe.edu.au/careers
1,Adult Literacy and General Education,Guide for new users of the library,https://libguides.bhtafe.edu.au/newuser
2,Adult Literacy and General Education,Teaching and Learning College,https://libguides.bhtafe.edu.au/teachlearn
3,Adult Literacy and General Education,Training and Education,https://libguides.bhtafe.edu.au/teachinged
4,Animal Studies,Animal Biomechanical Medicine,https://libguides.bhtafe.edu.au/biomechanical
5,Animal Studies,Animal Technology,https://libguides.bhtafe.edu.au/animaltechnology
6,Animal Studies,Captive Animals,https://libguides.bhtafe.edu.au/captiveanimals
7,Animal Studies,Companion Animals,https://libguides.bhtafe.edu.au/companionanimals
8,Animal Studies,The Equine Industry,https://libguides.bhtafe.edu.au/equineindustry
9,Animal Studies,Veterinary Nursing,https://libguides.bhtafe.edu.au/veterinarynursing
10,Art and Design,Careers and Employment,https://libguides.bhtafe.edu.au/careers
11,Art and Design,Fashion,https://libguides.bhtafe.edu.au/fashion
12,Art and Design,Fashion - 20th Century fashion,https://libguides.bhtafe.edu.au/20thCenturyFashion
13,Art and Design,Fashion - menswear,https://libguides.bhtafe.edu.au/menswear
14,Art and Design,Fashion - sustainable fashion and ethical design,https://libguides.bhtafe.edu.au/sustainableandethicaldesign
15,Art and Design,Graphic Design,https://libguides.bhtafe.edu.au/graphicdesign
16,Art and Design,Guide for new users of the library,https://libguides.bhtafe.edu.au/newuser
17,Art and Design,OH&S Resources for Art and Design Students,https://libguides.bhtafe.edu.au/OHSartdesign
18,Art and Design,Setting Up and Marketing a Small Business for Design Students,https://libguides.bhtafe.edu.au/smallbusinessdesign
19,Automotive,Automotive,https://libguides.bhtafe.edu.au/automotive
20,Beauty,Beauty,https://libguides.bhtafe.edu.au/Beauty
21,Beauty,Hairdressing,https://libguides.bhtafe.edu.au/hairdressing
22,Building and Construction,Building and Construction,https://libguides.bhtafe.edu.au/buildingconstruction
23,Building and Construction,Carpentry,https://libguides.bhtafe.edu.au/carpentry
24,Building and Construction,Concrete,https://libguides.bhtafe.edu.au/concrete
25,Building and Construction,"Furniture Making, Cabinet Making, Kitchen & Bathroom",https://libguides.bhtafe.edu.au/Cabinet_making
26,Building and Construction,Plumbing,https://libguides.bhtafe.edu.au/plumbing
27,Business,Accounting,https://libguides.bhtafe.edu.au/accounting
28,Business,Fashion - Entrepreneurship & business management for the fashion industry,https://libguides.bhtafe.edu.au/fashionentrepreneur
29,Business,Human Resource Management,https://libguides.bhtafe.edu.au/human_resources
30,Business,Management,https://libguides.bhtafe.edu.au/management
31,Business,Marketing and Public Relations,https://libguides.bhtafe.edu.au/marketing
32,Business,ONLINE BUSINESS RESOURCES,https://libguides.bhtafe.edu.au/ONLINE_Resources
33,Business,Research and Investigation,https://libguides.bhtafe.edu.au/Govt_Investigation
34,Business,Setting Up and Marketing a Small Business for Design Students,https://libguides.bhtafe.edu.au/smallbusinessdesign
35,Business,Small Business,https://libguides.bhtafe.edu.au/small_business
36,Business,Sports Management,https://libguides.bhtafe.edu.au/c.php?g=762843
37,Careers,Careers and Employment,https://libguides.bhtafe.edu.au/careers
38,Community Services,Community Services,https://libguides.bhtafe.edu.au/community_services
39,Community Services,Disability,https://libguides.bhtafe.edu.au/disability
40,Community Services,Individual Support (Aged and Community Care),https://libguides.bhtafe.edu.au/indiv-support
41,Community Services,Work education,https://libguides.bhtafe.edu.au/work_education
42,Community Services,Youth Services,https://libguides.bhtafe.edu.au/youth_services
43,Early Childhood,Early Childhood,https://libguides.bhtafe.edu.au/early_childhood_education
44,Early Childhood,Guide for new users of the library,https://libguides.bhtafe.edu.au/newuser
45,eBooks,eBooks,https://libguides.bhtafe.edu.au/ebooks
46,Electrical and Electronics,Electrical Studies,https://libguides.bhtafe.edu.au/electrical
47,Fashion,Fashion,https://libguides.bhtafe.edu.au/fashion
48,Fashion,Fashion - 20th Century fashion,https://libguides.bhtafe.edu.au/20thCenturyFashion
49,Fashion,Fashion - Entrepreneurship & business management for the fashion industry,https://libguides.bhtafe.edu.au/fashionentrepreneur
50,Fashion,Fashion - menswear,https://libguides.bhtafe.edu.au/menswear
51,Fashion,Fashion - sustainable fashion and ethical design,https://libguides.bhtafe.edu.au/sustainableandethicaldesign
52,Fashion,Guide for new users of the library,https://libguides.bhtafe.edu.au/newuser
53,Fashion,OH&S Resources for Art and Design Students,https://libguides.bhtafe.edu.au/OHSartdesign
54,Floristry,Floristry,https://libguides.bhtafe.edu.au/floristry
55,Hairdressing,Hairdressing,https://libguides.bhtafe.edu.au/hairdressing
56,Health,Allied Health Assistance,https://libguides.bhtafe.edu.au/allied_health_assistance
57,Health,Dental assisting,https://libguides.bhtafe.edu.au/dental_assisting
