,Category,Subject,Link
0,Accounting,Accounting Research LibGuide,https://libguides.brescia.edu/Accounting
1,Art,Art Research Guide,https://libguides.brescia.edu/Art
2,Biology,BIO115 MolecCell,https://libguides.brescia.edu/c.php?g=45413
3,Biology,Biology Research LibGuide,https://libguides.brescia.edu/biology
4,Biology,Laboratory of Dr. Jacob Adler,https://libguides.brescia.edu/adlerlab
5,Business,Accounting Research LibGuide,https://libguides.brescia.edu/Accounting
6,Business,BAd 405 Libguide for Management Information Systems,https://libguides.brescia.edu/bad405
7,Business,Business Research LibGuide,https://libguides.brescia.edu/Business
8,Business,Economics Research Guide,https://libguides.brescia.edu/economics
9,Business,MGT 306 LibGuide for Management Concepts,https://libguides.brescia.edu/mgt306
10,Chemistry,Chemistry Research LibGuide,https://libguides.brescia.edu/chemistry
11,Economics,Economics Research Guide,https://libguides.brescia.edu/economics
12,Education,Early Childhood Education Research LibGuide,https://libguides.brescia.edu/Early_childhood_education
13,Education,Education Research LibGuide,https://libguides.brescia.edu/Education
14,Education,Elementary Education Research Guide,https://libguides.brescia.edu/elementary_education
15,Education,Middle School Education Research Guide,https://libguides.brescia.edu/middle_school
16,Education,Secondary Education Guide,https://libguides.brescia.edu/secondary
17,Education,Special Education Research Guide,https://libguides.brescia.edu/special_education
18,English Grammar,English Research LibGuide,https://libguides.brescia.edu/English
19,English Grammar,English 101 Writing 1,https://libguides.brescia.edu/c.php?g=45390
20,French,French Language Research LibGuide,https://libguides.brescia.edu/French
21,Geography,Geography Research Guide,https://libguides.brescia.edu/Geography
22,History,History Research Libguide,https://libguides.brescia.edu/History
23,History,World Civilization Research Guide,https://libguides.brescia.edu/world_civilization
24,Literature,American Literature Research Guide,https://libguides.brescia.edu/americanlit
25,Literature,Classical Literature Research LibGuide,https://libguides.brescia.edu/Classical_literature
26,Literature,Eng 204 Introduction to Literature,https://libguides.brescia.edu/c.php?g=45368
27,Literature,English Research LibGuide,https://libguides.brescia.edu/English
28,Literature,English 428 Modern British Fiction,https://libguides.brescia.edu/c.php?g=45354
29,Literature,English Literature Research LibGuide,https://libguides.brescia.edu/English_literature
30,Math & Computer Science,Math and Computer Science Research Guide,https://libguides.brescia.edu/math_computer_science
31,Math & Computer Science,Mth 006 Course Reference,https://libguides.brescia.edu/c.php?g=585649
32,Music,Music Research Guide,https://libguides.brescia.edu/music
33,Online Students,Info for Online Students,https://libguides.brescia.edu/onlinestudents
34,Philosophy,Ethics and Morality Research LibGuide,https://libguides.brescia.edu/Ethics
35,Philosophy,Philosophy Research LibGuide,https://libguides.brescia.edu/Philosophy
36,Plagiarism,Plagiarism,https://libguides.brescia.edu/c.php?g=46480
37,Political Science,Political Science Research LibGuide,https://libguides.brescia.edu/Political_science
38,Psychology,Psychology Research Guide,https://libguides.brescia.edu/psychology
39,Science,Biology Research LibGuide,https://libguides.brescia.edu/biology
40,Science,Chemistry Research LibGuide,https://libguides.brescia.edu/chemistry
41,Science,Ecology Research LibGuide,https://libguides.brescia.edu/Ecology
42,Science,Genetics Research LibGuide,https://libguides.brescia.edu/Genetics
43,Science,Lib Guides for Linda Girouard's courses,https://libguides.brescia.edu/c.php?g=45322
44,Science,Physics Research LibGuide,https://libguides.brescia.edu/physics
45,Social Work,LeAnn Howell's SW308 Libguide,https://libguides.brescia.edu/lhowell
46,Social Work,Morgan Fields,https://libguides.brescia.edu/c.php?g=362925
47,Social Work,Social Work Research Guide,https://libguides.brescia.edu/social_work
48,Social Work,Susan Howard's LibGuides,https://libguides.brescia.edu/soc204
49,Social Work,Todd Palmer,https://libguides.brescia.edu/SocialWork
50,Spanish,Spanish Language Research LibGuide,https://libguides.brescia.edu/Spanish
51,Speech and Drama,Speech and Drama Research LibGuide,https://libguides.brescia.edu/Speech_drama
52,Speech Pathology,Speech Pathology and Audiology Research Guide,https://libguides.brescia.edu/speech_pathology
53,Speech Pathology,SPPA 254,https://libguides.brescia.edu/c.php?g=45350
54,Sports Management,Sports Management Research Guide,https://libguides.brescia.edu/sportsmanagement
55,Theology,Introduction to the New Testament (Squires),https://libguides.brescia.edu/c.php?g=45401
56,Theology,Old Testament Research Guide,https://libguides.brescia.edu/old_testament
57,Theology,Th 110: The Catholic Faith: An Introduction to Theology (Squires),https://libguides.brescia.edu/c.php?g=45414
58,Theology,Th. 303: The Catholic Moral Tradition (Squires),https://libguides.brescia.edu/c.php?g=366391
59,Theology,Th. 318 Faith and Justice: The Gospel and Social Values (Squires),https://libguides.brescia.edu/c.php?g=45412
60,Theology,Th. 320 The Church (Squires),https://libguides.brescia.edu/c.php?g=127246
61,Theology,Th223 Spirituality and Vocation (Goetz),https://libguides.brescia.edu/c.php?g=204235
62,Theology,TH310: Women in Christian Tradition,https://libguides.brescia.edu/theology310
63,Theology,Theology 219: World Religions (Squires),https://libguides.brescia.edu/c.php?g=45399
64,Theology,Theology Research Guide,https://libguides.brescia.edu/introtheology
65,Tutoring,URSULINE CENTER FOR TEACHING AND LEARNING,https://libguides.brescia.edu/uctl
66,Women's Studies,Women's Studies Research Guide,https://libguides.brescia.edu/Womens_studies
67,Writing,English 101 Writing 1,https://libguides.brescia.edu/c.php?g=45390
