,Category,Subject,Link
0,Africana Studies,"AFRI0990 Black Lavender, Black Gay/Lesbian Plays/Dramatic Constructions in American Theatre",https://libguides.brown.edu/AFRI0990
1,Africana Studies,"AFRI1110 Voices Beneath the Veil, African American Drama from 1858 to Present",https://libguides.brown.edu/AFRI1110
2,Africana Studies,African-American History at Brown University,https://libguides.brown.edu/c.php?g=447930
3,Africana Studies,Africana Studies,https://libguides.brown.edu/afri
4,Africana Studies,Development Studies,https://libguides.brown.edu/development
5,Africana Studies,Diversity and Inclusion Collections in the Library,https://libguides.brown.edu/DIAP
6,Africana Studies,HIAA0770 Architecture and Urbanism of Africa,https://libguides.brown.edu/Architecture-Africa
7,Africana Studies,HIST1970B Enslaved! Indians and Africans in an Unfree Atlantic World,https://libguides.brown.edu/HIST1970B
8,Africana Studies,History of Sub-Saharan Africa,https://libguides.brown.edu/SubSaharanAfrica
9,Africana Studies,Researching Slavery and the Slave Trade,https://libguides.brown.edu/slavery
10,American Studies,"AFRI0990 Black Lavender, Black Gay/Lesbian Plays/Dramatic Constructions in American Theatre",https://libguides.brown.edu/AFRI0990
11,American Studies,American Conservatism,https://libguides.brown.edu/c.php?g=293906
12,American Studies,American Studies,https://libguides.brown.edu/amstudies
13,American Studies,AMST1601 Health and Healing in American History,https://libguides.brown.edu/AMST1601
14,American Studies,AMST1905R Theory and Practice of Local History,https://libguides.brown.edu/c.php?g=621253
15,American Studies,Diversity and Inclusion Collections in the Library,https://libguides.brown.edu/DIAP
16,American Studies,Ethnic Studies,https://libguides.brown.edu/EthnicStudies
17,American Studies,HIST1512 First Nations: The Peoples and Cultures of Native North America to 1800,https://libguides.brown.edu/HIST1512
18,American Studies,History - American,https://libguides.brown.edu/c.php?g=573676
19,American Studies,Native American and Indigenous Studies,https://libguides.brown.edu/NAISAB
20,American Studies,Primary Sources for History of Health in the Americas,https://libguides.brown.edu/historyhealthamericas
21,American Studies,Public Humanities,https://libguides.brown.edu/PublicHumanities
22,American Studies,Researching Slavery and the Slave Trade,https://libguides.brown.edu/slavery
23,American Studies,The Gorham Manufacturing Company Archive,https://libguides.brown.edu/Gorham
24,Anthropology,Alcohol and Addiction Studies Collections,https://libguides.brown.edu/AAStudies
25,Anthropology,Anthropology,https://libguides.brown.edu/anthropology
26,Anthropology,ARCH0297 Material Culture: Material Nature,https://libguides.brown.edu/MaterialCulture
27,Anthropology,BIARI resources,https://libguides.brown.edu/BIARI
28,Anthropology,Diversity and Inclusion Collections in the Library,https://libguides.brown.edu/DIAP
29,Anthropology,Ethnic Studies,https://libguides.brown.edu/EthnicStudies
30,Anthropology,Ethnography,https://libguides.brown.edu/ethnography
31,Anthropology,Feminist Theory Archive,https://libguides.brown.edu/FTA
32,Anthropology,HIST1512 First Nations: The Peoples and Cultures of Native North America to 1800,https://libguides.brown.edu/HIST1512
33,Anthropology,"HIST1977B Feathery Things, an Avian Introduction to Animal Studies",https://libguides.brown.edu/HMAN1972F
34,Anthropology,"Latin American, Iberian and Caribbean Resources",https://libguides.brown.edu/latinamerica
35,Anthropology,Native American and Indigenous Studies,https://libguides.brown.edu/NAISAB
36,Applied Mathematics,Applied Mathematics,https://libguides.brown.edu/appliedmath
37,Applied Mathematics,Economics,https://libguides.brown.edu/economics
38,Applied Mathematics,Mathematics,https://libguides.brown.edu/math
39,Applied Mathematics,Statistical Sciences & Biostatistics,https://libguides.brown.edu/Statistics
40,Archaeology and the Ancient World,ARCH0297 Material Culture: Material Nature,https://libguides.brown.edu/MaterialCulture
41,Archaeology and the Ancient World,Archaeology,https://libguides.brown.edu/archaeology
42,Arts,ARCH0297 Material Culture: Material Nature,https://libguides.brown.edu/MaterialCulture
43,Arts,Feminist Theory Archive,https://libguides.brown.edu/FTA
44,Arts,HIAA0770 Architecture and Urbanism of Africa,https://libguides.brown.edu/Architecture-Africa
45,Arts,History of Art and Architecture Resources,https://libguides.brown.edu/HIAA
46,Arts,Images: Finding and Using,https://libguides.brown.edu/images
47,Arts,Islamic Studies,https://libguides.brown.edu/Islam
48,Arts,LACA1503 Art and the Global City,https://libguides.brown.edu/ArtGlobalCity
49,Arts,Literary Arts,https://libguides.brown.edu/LiteraryArts
