,Category,Subject,Link
0,Arts and Humanities,English and Creative Writing,https://libguides.brunel.ac.uk/english
1,Arts and Humanities,Film and TV,https://libguides.brunel.ac.uk/filmandtv
2,Arts and Humanities,Games design,https://libguides.brunel.ac.uk/gamesdesign
3,Arts and Humanities,Music,https://libguides.brunel.ac.uk/music
4,Arts and Humanities,Theatre,https://libguides.brunel.ac.uk/theatre
5,Business,Business and management,https://libguides.brunel.ac.uk/business
6,Business,Data and Statistics,https://libguides.brunel.ac.uk/data
7,Business,Market research,https://libguides.brunel.ac.uk/marketresearch
8,Clinical Sciences,Health sciences,https://libguides.brunel.ac.uk/health
9,Clinical Sciences,Social work,https://libguides.brunel.ac.uk/socialwork
10,Clinical Sciences,Systematic reviews,https://libguides.brunel.ac.uk/systematicreviews
11,Clinical Sciences,Youth studies,https://libguides.brunel.ac.uk/youth
12,Computer Science,Computer science,https://libguides.brunel.ac.uk/computerscience
13,Design,Design,https://libguides.brunel.ac.uk/design
14,Economics and Finance,Data and Statistics,https://libguides.brunel.ac.uk/data
15,Economics and Finance,Economics and Finance,https://libguides.brunel.ac.uk/economicsandfinance
16,Education,Education,https://libguides.brunel.ac.uk/education
17,Electronic and Computer Engineering,Digital media,https://libguides.brunel.ac.uk/digitalmedia
18,Electronic and Computer Engineering,Electronic and computer engineering,https://libguides.brunel.ac.uk/ece
19,English and Creative Writing,English and Creative Writing,https://libguides.brunel.ac.uk/english
20,Life Sciences,Biosciences,https://libguides.brunel.ac.uk/biosciences
21,Life Sciences,Environment,https://libguides.brunel.ac.uk/environment
22,Life Sciences,Psychology,https://libguides.brunel.ac.uk/psychology
23,Life Sciences,"Sport, health and exercise sciences",https://libguides.brunel.ac.uk/sport
24,Life Sciences,Systematic reviews,https://libguides.brunel.ac.uk/systematicreviews
25,Market research,Business and management,https://libguides.brunel.ac.uk/business
26,Market research,Data and Statistics,https://libguides.brunel.ac.uk/data
27,Market research,Market research,https://libguides.brunel.ac.uk/marketresearch
28,Mathematics,Mathematics,https://libguides.brunel.ac.uk/mathematics
29,"Mechanical, Aerospace and Civil Engineering",Advanced manufacturing and enterprise engineering (AMEE),https://libguides.brunel.ac.uk/amee
30,"Mechanical, Aerospace and Civil Engineering",Civil and environmental engineering,https://libguides.brunel.ac.uk/civil
31,"Mechanical, Aerospace and Civil Engineering",Mechanical and aerospace engineering,https://libguides.brunel.ac.uk/mechanical
32,Music,Music,https://libguides.brunel.ac.uk/music
33,"Politics, History and Law",History,https://libguides.brunel.ac.uk/history
34,"Politics, History and Law",Law,https://libguides.brunel.ac.uk/law
35,"Politics, History and Law",Politics and international relations,https://libguides.brunel.ac.uk/politics
36,Referencing,LibSmart,https://libguides.brunel.ac.uk/libsmart
37,Referencing,Referencing,https://libguides.brunel.ac.uk/referencing
38,Research,Archiving your thesis,https://libguides.brunel.ac.uk/archivingyourthesis
39,Research,BRAD | REF Eligibility | Funder Compliance,https://libguides.brunel.ac.uk/BRAD
40,Research,LibSmart,https://libguides.brunel.ac.uk/libsmart
41,Research,Open access publishing | REF eligibility | Funder compliance,https://libguides.brunel.ac.uk/openaccess
42,Research,Open access roadmap | REF eligibility | Funder compliance,https://libguides.brunel.ac.uk/roadmap
43,Research,"Social media for learning, teaching and research",https://libguides.brunel.ac.uk/socialmedia
44,Research,Tools for managing and sharing information,https://libguides.brunel.ac.uk/managinginfo
45,Research,Visibility and Impact,https://libguides.brunel.ac.uk/visibilityandimpact
46,"Social Sciences, Media and Communications",Anthropology,https://libguides.brunel.ac.uk/anthropology
47,"Social Sciences, Media and Communications",Journalism,https://libguides.brunel.ac.uk/journalism
48,"Social Sciences, Media and Communications",Sociology and communications,https://libguides.brunel.ac.uk/soccoms
49,Special Collections,Special Collections,https://libguides.brunel.ac.uk/specialcollections
50,Sport,"Sport, health and exercise sciences",https://libguides.brunel.ac.uk/sport
