,Category,Subject,Link
0,Academic Language and Study Skills,Academic Language and Study Skills,https://libguides.cdu.edu.au/grammarandpunctuation
1,Academic Language and Study Skills,Lynda.com for Students,https://libguides.cdu.edu.au/lynda
2,Arts & Humanities,Creative Arts & Humanities Guide,https://libguides.cdu.edu.au/creativeartsandhumanities
3,Arts & Humanities,Literature Subject Guide,https://libguides.cdu.edu.au/literature
4,Arts & Humanities,Modernity Guide,https://libguides.cdu.edu.au/modernity
5,Arts & Humanities,New Media Subject Guide,https://libguides.cdu.edu.au/newmedia
6,Arts & Humanities,Northern Territory History Guide,https://libguides.cdu.edu.au/nthistory
7,Arts & Humanities,Public Policy Guide,https://libguides.cdu.edu.au/publicpolicy
8,Arts & Humanities,Visual Arts Subject Guide,https://libguides.cdu.edu.au/visualarts
9,Asia,China Guide,https://libguides.cdu.edu.au/china
10,Asia,CUC106 Guide,https://libguides.cdu.edu.au/cuc106
11,Asia,East Timor (Timor-Leste) Guide,https://libguides.cdu.edu.au/east-timor
12,Asia,Southeast Asia Guide,https://libguides.cdu.edu.au/SEAsia
13,Business,Academic Language and Study Skills,https://libguides.cdu.edu.au/grammarandpunctuation
14,Business,Business Studies Guide,https://libguides.cdu.edu.au/businessstudies
15,Common Units,CUC100 Guide,https://libguides.cdu.edu.au/cuc100
16,Common Units,CUC106 Guide,https://libguides.cdu.edu.au/cuc106
17,Common Units,CUC107 Guide,https://libguides.cdu.edu.au/cuc107
18,Education,Education Guide,https://libguides.cdu.edu.au/education
19,Education,NT Secondary Students LibGuide,https://libguides.cdu.edu.au/ntsecondary
20,Education,Teaching in Higher Education,https://libguides.cdu.edu.au/c.php?g=732218
21,Engineering,Engineering Guide,https://libguides.cdu.edu.au/engineering
22,Environment,Environment Guide,https://libguides.cdu.edu.au/environment
23,Health Sciences,Child and Family Health Guide,https://libguides.cdu.edu.au/childhealth
24,Health Sciences,Evidence Based Practice,https://libguides.cdu.edu.au/evidence
25,Health Sciences,Exercise and Sport Science Guide,https://libguides.cdu.edu.au/exercisescience
26,Health Sciences,Health Research Guide,https://libguides.cdu.edu.au/c.php?g=211521
27,Health Sciences,Health Science Guide,https://libguides.cdu.edu.au/healthscience
28,Health Sciences,Humanitarian and Community Studies Guide,https://libguides.cdu.edu.au/Humanitarian
29,Health Sciences,Medical Laboratory Science Guide,https://libguides.cdu.edu.au/medlab
30,Health Sciences,Midwifery Guide,https://libguides.cdu.edu.au/midwifery
31,Health Sciences,Nursing Guide,https://libguides.cdu.edu.au/nursing
32,Health Sciences,Pharmacy Guide,https://libguides.cdu.edu.au/pharmacy
33,Health Sciences,Postgraduate Health Guide,https://libguides.cdu.edu.au/postgradhealth
34,Health Sciences,Social Work Guide,https://libguides.cdu.edu.au/socialwork
35,Indigenous Knowledge,Incorporating Indigenous Knowledges Guide,https://libguides.cdu.edu.au/IndigenousEducation
36,Indigenous Knowledge,Indigenous Knowledges and Learning,https://libguides.cdu.edu.au/acike
37,Indigenous Knowledge,Indigenous Studies Guide,https://libguides.cdu.edu.au/acikeunits
38,Indigenous Knowledge,PTS Guide,https://libguides.cdu.edu.au/pts
39,Information Technology,Information Technology Guide,https://libguides.cdu.edu.au/IT
40,Law,Law Guide,https://libguides.cdu.edu.au/cdulaw
41,Law,Law Research Guide,https://libguides.cdu.edu.au/lawresearch
42,Library Services,Copyright @ CDU,https://libguides.cdu.edu.au/copyright
43,Library Services,Distance Library Services Guide,https://libguides.cdu.edu.au/DistanceServices
44,Library Services,eBooks Guide,https://libguides.cdu.edu.au/ebooks
45,Library Services,EndNote Guide,https://libguides.cdu.edu.au/endnote
46,Library Services,Evaluating Information Sources Guide,https://libguides.cdu.edu.au/evaluation
47,Library Services,Learning Precinct Guide,https://libguides.cdu.edu.au/librarydesk
48,Library Services,Lynda.com for Students,https://libguides.cdu.edu.au/lynda
49,Library Services,New Students Guide,https://libguides.cdu.edu.au/studentwelcome
50,Library Services,Newspaper Guide,https://libguides.cdu.edu.au/newspapers
51,Library Services,Open Educational Resources (OER),https://libguides.cdu.edu.au/openeducationalresources
52,Library Services,Resources for Academics Guide,https://libguides.cdu.edu.au/academics
53,Library Services,SafeAssign,https://libguides.cdu.edu.au/c.php?g=519508
54,NT Secondary Schools,Civil Rights Movement,https://libguides.cdu.edu.au/civilrightsmovement
55,NT Secondary Schools,Food and Hospitality Industry Guide,https://libguides.cdu.edu.au/food_and_hospitality_industry
56,NT Secondary Schools,Issues in Biology Guide,https://libguides.cdu.edu.au/issues_in_biology
57,NT Secondary Schools,Issues in Society Guide,https://libguides.cdu.edu.au/issues
58,NT Secondary Schools,Leisure Reading Guide,https://libguides.cdu.edu.au/leisurereadingguide
59,NT Secondary Schools,NT Secondary Students LibGuide,https://libguides.cdu.edu.au/ntsecondary
60,NT Secondary Schools,Tourism Topics Guide,https://libguides.cdu.edu.au/tourism
61,Nursing,Evidence Based Practice,https://libguides.cdu.edu.au/evidence
62,Nursing,Health Research Guide,https://libguides.cdu.edu.au/c.php?g=211521
63,Nursing,Midwifery Guide,https://libguides.cdu.edu.au/midwifery
64,Nursing,Nursing Guide,https://libguides.cdu.edu.au/nursing
65,Nursing,Postgraduate Health Guide,https://libguides.cdu.edu.au/postgradhealth
66,Orientation,New Students Guide,https://libguides.cdu.edu.au/studentwelcome
67,Pharmacy,Pharmacy Guide,https://libguides.cdu.edu.au/pharmacy
68,Psychology,Master of Psychology Guide (Clinical),https://libguides.cdu.edu.au/masterpsychology
69,Psychology,Psychology Guide,https://libguides.cdu.edu.au/psychology
70,Referencing,CDU Library Referencing Guide,https://libguides.cdu.edu.au/cdureferencing
71,Referencing,EndNote Guide,https://libguides.cdu.edu.au/endnote
72,Research,EndNote Guide,https://libguides.cdu.edu.au/endnote
73,Research,Literature Review Guide,https://libguides.cdu.edu.au/literaturereview
74,Research,Measuring Research Impact,https://libguides.cdu.edu.au/researchimpact
75,Research,Open Access Subject Guide,https://libguides.cdu.edu.au/open_access
76,Research,Publishing,https://libguides.cdu.edu.au/Publishing
77,Research,Research Data Management Guide,https://libguides.cdu.edu.au/rdm
78,Research,Research Methods Guide,https://libguides.cdu.edu.au/researchmethods
79,Research,Research Support Guide,https://libguides.cdu.edu.au/research_support
80,Research,Researcher Identifiers,https://libguides.cdu.edu.au/ResearcherIdentifiers
81,Research,Theses Guide,https://libguides.cdu.edu.au/Theses
82,Resources for Academics,Copyright @ CDU,https://libguides.cdu.edu.au/copyright
83,Resources for Academics,Open Educational Resources (OER),https://libguides.cdu.edu.au/openeducationalresources
84,Resources for Academics,Resources for Academics Guide,https://libguides.cdu.edu.au/academics
85,Resources for Academics,Teaching in Higher Education,https://libguides.cdu.edu.au/c.php?g=732218
86,TEP,TEP Guide,https://libguides.cdu.edu.au/TEP
87,VET,VET Business Guide,https://libguides.cdu.edu.au/VETBusiness
88,VET,VET Culinary Arts & Personal Services,https://libguides.cdu.edu.au/culinaryartspersonalservices
89,VET,"VET Health, Community & Children's Services Guide",https://libguides.cdu.edu.au/communityservices
90,VET,VET Human Resources,https://libguides.cdu.edu.au/vethumanresources
91,VET,VET Trades Guide,https://libguides.cdu.edu.au/VETtrades
92,Welcome,New Students Guide,https://libguides.cdu.edu.au/studentwelcome
93,Welcome,Resources for Academics Guide,https://libguides.cdu.edu.au/academics
