,Category,Subject,Link
0,Anthropology,ANT 351: The Race Concept and Human Variation,https://libguides.cmich.edu/ant351
1,Anthropology,ANT 388A Social Issues in Human Genetics,https://libguides.cmich.edu/ant388a
2,Anthropology,Anthropology,https://libguides.cmich.edu/ant
3,Anthropology,Museum Studies,https://libguides.cmich.edu/museumstudies
4,Anthropology,"Water as Life, Death, and Power",https://libguides.cmich.edu/water
5,Arts & Humanities,Art,https://libguides.cmich.edu/art
6,Arts & Humanities,Children's Literature and Criticism,https://libguides.cmich.edu/ChildrensLit
7,Arts & Humanities,English Language and Literature,https://libguides.cmich.edu/English
8,Arts & Humanities,"French Language, Literature, and Culture",https://libguides.cmich.edu/frenchresources
9,Arts & Humanities,FRN 325: French Literature in Translation (Dr. Ransom),https://libguides.cmich.edu/FRN325
10,Arts & Humanities,"German Language, Literature, and Culture",https://libguides.cmich.edu/germanresources
11,Arts & Humanities,History,https://libguides.cmich.edu/history
12,Arts & Humanities,Journalism: Writing Resources,https://libguides.cmich.edu/journalism
13,Arts & Humanities,Museum Studies,https://libguides.cmich.edu/museumstudies
14,Arts & Humanities,Music Education,https://libguides.cmich.edu/musiceducation
15,Arts & Humanities,Music for the Disabled,https://libguides.cmich.edu/musicforthedisabled
16,Arts & Humanities,Music Research,https://libguides.cmich.edu/music
17,Arts & Humanities,Philosophy,https://libguides.cmich.edu/philosophy
18,Arts & Humanities,Queer Literature,https://libguides.cmich.edu/QueerLiterature
19,Arts & Humanities,"Spanish Language, Literature, and Culture",https://libguides.cmich.edu/spanishresources
20,Arts & Humanities,SPN 376 WI: Culture & Civilization of Spain (Professor Richardson),https://libguides.cmich.edu/SPN376WI
21,Arts & Humanities,World Cultures,https://libguides.cmich.edu/worldcultures
22,Arts & Humanities,World Music,https://libguides.cmich.edu/worldmusic
23,Biographies,Biographies,https://libguides.cmich.edu/biographies
24,Biology,Biology,https://libguides.cmich.edu/biology
25,Biology,"Water as Life, Death, and Power",https://libguides.cmich.edu/water
26,Broadcasting,BCA 101--History and Appreciation of the Cinema,https://libguides.cmich.edu/BCA101
27,Broadcasting,BCA 265QR: Understanding Media Measurement,https://libguides.cmich.edu/bca265qr
28,Broadcasting,BCA 310: Broadcast History & New Media Technology,https://libguides.cmich.edu/BCA310
29,Broadcasting,BCA 600: Introduction to Electronic Media Research and Writing,https://libguides.cmich.edu/BCA600
30,Broadcasting,BCA 601: Theories of Mass Communication,https://libguides.cmich.edu/BCA601
31,Broadcasting,BCA 603: Qualitative Mass Communication Research Methods,https://libguides.cmich.edu/BCA603
32,Broadcasting,"Rob Faleer, MSLS",https://libguides.cmich.edu/faleer
33,Business (Companies),Business / Competitive Intelligence,https://libguides.cmich.edu/competitive_intelligence
34,Business (Companies),Company and Industry Research,https://libguides.cmich.edu/companyindustry
35,Business (Companies),Company Information,https://libguides.cmich.edu/corporate
36,Business (Consumer Markets),Business-Consumer Markets,https://libguides.cmich.edu/c.php?g=247296
37,Business (Industries),Business / Competitive Intelligence,https://libguides.cmich.edu/competitive_intelligence
38,Business (Industries),Company and Industry Research,https://libguides.cmich.edu/companyindustry
39,Business (Industries),Feasibility Study Resources,https://libguides.cmich.edu/feasibility
40,Business (Industries),Industry Information,https://libguides.cmich.edu/industry
41,Business Administration,Accounting,https://libguides.cmich.edu/accounting
42,Business Administration,BUS 501: Project Management Fundamentals,https://libguides.cmich.edu/BUS501
43,Business Administration,BUS 505: Application of Project Management Principles,https://libguides.cmich.edu/BUS505
44,Business Administration,BUS 507: Advanced Project Management Methodologies,https://libguides.cmich.edu/BUS507
45,Business Administration,Business / Competitive Intelligence,https://libguides.cmich.edu/competitive_intelligence
46,Business Administration,Business Administration,https://libguides.cmich.edu/general_business
