,Category,Subject,Link
0,Accounting,Accounting & Taxation,https://libguides.colostate.edu/accountingtaxes
1,Agriculture,AGRI116 - Plants and Civilizations,https://libguides.colostate.edu/agri116
2,Agriculture,AGRI192 - Orientation to Agricultural Systems,https://libguides.colostate.edu/agri192
3,Agriculture,Agriculture,https://libguides.colostate.edu/agriculture
4,Agriculture,BSPM365 - Integrated Tree Health Management,https://libguides.colostate.edu/bspm365
5,Agriculture,BSPM424 - Principles of Systematic Zoology,https://libguides.colostate.edu/bspm424
6,Agriculture,CSU Extension,https://libguides.colostate.edu/extension
7,Agriculture,SOCR796 - Plant Breeding for Drought Tolerance Workshop,https://libguides.colostate.edu/socr796
8,Agriculture & Natural Resources,AGRI116 - Plants and Civilizations,https://libguides.colostate.edu/agri116
9,Agriculture & Natural Resources,AGRI192 - Orientation to Agricultural Systems,https://libguides.colostate.edu/agri192
10,Agriculture & Natural Resources,Agriculture,https://libguides.colostate.edu/agriculture
11,Agriculture & Natural Resources,ANEQ300A - Topics in Animal Sciences-Livestock Handling,https://libguides.colostate.edu/aneq300a
12,Agriculture & Natural Resources,BSPM365 - Integrated Tree Health Management,https://libguides.colostate.edu/bspm365
13,Agriculture & Natural Resources,BSPM424 - Principles of Systematic Zoology,https://libguides.colostate.edu/bspm424
14,Agriculture & Natural Resources,Collaborative Conservation,https://libguides.colostate.edu/conservation
15,Agriculture & Natural Resources,CSU Extension,https://libguides.colostate.edu/extension
16,Agriculture & Natural Resources,Ecology,https://libguides.colostate.edu/ecology
17,Agriculture & Natural Resources,Equine Sciences,https://libguides.colostate.edu/equinescience
18,Agriculture & Natural Resources,Fish & Fisheries,https://libguides.colostate.edu/fish
19,Agriculture & Natural Resources,Forest and Rangeland Stewardship (FRS),https://libguides.colostate.edu/forest-rangeland
20,Agriculture & Natural Resources,Geology & Geosciences,https://libguides.colostate.edu/geosciences
21,Agriculture & Natural Resources,Human Dimensions of Natural Resources (HDNR),https://libguides.colostate.edu/human-dimensions
22,Agriculture & Natural Resources,NR320 - Natural Resources History and Policy,https://libguides.colostate.edu/nr320
23,Agriculture & Natural Resources,NR567 - Analysis of Environmental Impact,https://libguides.colostate.edu/NR567
24,Agriculture & Natural Resources,SOCR796 - Plant Breeding for Drought Tolerance Workshop,https://libguides.colostate.edu/socr796
25,Agriculture & Natural Resources,Water Resources,https://libguides.colostate.edu/waterresources
26,Agriculture & Natural Resources,Wildlife Biology,https://libguides.colostate.edu/wildlifebiology
27,Anthropology,ANTH100 - Introduction to Cultural Anthropology,https://libguides.colostate.edu/ANTH100
28,Anthropology,ANTH140 - Introduction to Prehistory,https://libguides.colostate.edu/ANTH140
29,Anthropology,ANTH330 - Human Ecology,https://libguides.colostate.edu/ANTH330
30,Anthropology,ANTH340 - Medical Anthropology,https://libguides.colostate.edu/ANTH340
