,Category,Subject,Link
0,Aerospace Engineering,Aerospace Engineering,https://libguides.coventry.ac.uk/aero
1,Architecture,Architecture and Architectural Technology,https://libguides.coventry.ac.uk/arch
2,Art & Design,Art & Design,https://libguides.coventry.ac.uk/ad
3,Automotive & Motorsport Engineering,Automotive & Motorsport Engineering,https://libguides.coventry.ac.uk/auto
4,Aviation Management,Aviation Management,https://libguides.coventry.ac.uk/c.php?g=574084
5,Biomolecular Sciences,Biomolecular Sciences,https://libguides.coventry.ac.uk/c.php?g=558069
6,"Business, Management & Economics","Business, Management & Economics",https://libguides.coventry.ac.uk/BME
7,"Business, Management & Economics",Centre for Financial and Corporate Integrity (FCI),https://libguides.coventry.ac.uk/FCI
8,Careers Guidance,Careers Guidance,https://libguides.coventry.ac.uk/c.php?g=559134
9,Childhood & Youth Studies,Childhood & Youth Studies,https://libguides.coventry.ac.uk/c.php?g=572521
10,"Civil Engineering, Building & Surveying","Civil Engineering, Building & Surveying",https://libguides.coventry.ac.uk/civ
11,Computing & Information Systems,Computing & Information Systems,https://libguides.coventry.ac.uk/comp
12,"Counselling, Coaching & Mentoring","Counselling, Coaching & Mentoring",https://libguides.coventry.ac.uk/c.php?g=663391
13,Criminology & Forensics,Criminology & Forensics,https://libguides.coventry.ac.uk/c.php?g=573372
14,Dietetics,Dietetics,https://libguides.coventry.ac.uk/Dietetics
15,Disaster Management,Disaster Management and Emergency Planning,https://libguides.coventry.ac.uk/DM
16,Education,Education,https://libguides.coventry.ac.uk/c.php?g=573368
17,Electrical & Electronic Engineering,Electrical & Electronic Engineering,https://libguides.coventry.ac.uk/c.php?g=573367
18,Engineering,Engineering,https://libguides.coventry.ac.uk/c.php?g=573366
19,Engineering Management,Engineering Management,https://libguides.coventry.ac.uk/c.php?g=655061
20,English & Languages,English & Languages,https://libguides.coventry.ac.uk/c.php?g=573364
21,Environmental Health,Environmental Health,https://libguides.coventry.ac.uk/c.php?g=573338
22,Fashion,Fashion,https://libguides.coventry.ac.uk/fash
23,Food & Nutrition,Food & Nutrition,https://libguides.coventry.ac.uk/food
24,Geography & the Environment,Geography & the Environment,https://libguides.coventry.ac.uk/Geoenv
25,Health Management,Health Management,https://libguides.coventry.ac.uk/healthman
26,History,History,https://libguides.coventry.ac.uk/c.php?g=573356
27,Images,Images,https://libguides.coventry.ac.uk/img
28,Industrial Design,Industrial Design,https://libguides.coventry.ac.uk/id
29,International Relations & Politics,International Relations & Politics,https://libguides.coventry.ac.uk/c.php?g=573350
30,Journalism,Journalism,https://libguides.coventry.ac.uk/journalism
31,Law,Law,https://libguides.coventry.ac.uk/c.php?g=573349
32,Logistics,Logistics,https://libguides.coventry.ac.uk/logistics
33,Mathematics & Physics,Mathematics & Physics,https://libguides.coventry.ac.uk/c.php?g=573348
34,Mechanical & Manufacturing Engineering,Mechanical & Manufacturing Engineering,https://libguides.coventry.ac.uk/c.php?g=573347
35,Media & Communication,Media & Communication,https://libguides.coventry.ac.uk/c.php?g=573346
36,Metrology,Metrology,https://libguides.coventry.ac.uk/metrology
37,Midwifery,Midwifery,https://libguides.coventry.ac.uk/c.php?g=583507
38,Mindfulness & Compassion,Mindfulness & Compassion,https://libguides.coventry.ac.uk/c.php?g=663392
39,Music Technology,Music Technology,https://libguides.coventry.ac.uk/mt
40,Nursing,Nursing,https://libguides.coventry.ac.uk/c.php?g=583506
41,Occupational Therapy,Occupational Therapy,https://libguides.coventry.ac.uk/ot
42,Oil & Gas Management,Oil & Gas Management,https://libguides.coventry.ac.uk/c.php?g=573344
43,Operating Department Practice,Operating Department Practice,https://libguides.coventry.ac.uk/c.php?g=583512
44,Paramedic Science,Paramedic Science,https://libguides.coventry.ac.uk/c.php?g=583509
45,Performing Arts,Performing Arts,https://libguides.coventry.ac.uk/pa
46,Photography,Photography,https://libguides.coventry.ac.uk/c.php?g=573340
47,Physiotherapy,Physiotherapy,https://libguides.coventry.ac.uk/c.php?g=592130
48,Pre-Hospital Emergency Care,Pre-Hospital Emergency Care,https://libguides.coventry.ac.uk/c.php?g=583511
49,Psychology,Psychology,https://libguides.coventry.ac.uk/c.php?g=573339
50,Public Health,Public Health,https://libguides.coventry.ac.uk/c.php?g=583513
51,Social Work,Social Work,https://libguides.coventry.ac.uk/c.php?g=573341
52,Sociology,Sociology,https://libguides.coventry.ac.uk/c.php?g=573337
53,Sport & Event Management,Sport & Event Management,https://libguides.coventry.ac.uk/EventManagement
54,Sport & Exercise Science,Sports & Exercise Science,https://libguides.coventry.ac.uk/c.php?g=573336
55,Statistics,Statistics,https://libguides.coventry.ac.uk/Stats
56,Tourism,Tourism,https://libguides.coventry.ac.uk/Tourism
