,Category,Subject,Link
0,Agriculture,Agribusiness,https://libguides.csuchico.edu/agribusiness_dg
1,Agriculture,Agricultural Science Research Guide,https://libguides.csuchico.edu/agriculture_dg
2,Agriculture,Animal Science,https://libguides.csuchico.edu/animalscience
3,Anthropology,Anthropology,https://libguides.csuchico.edu/c.php?g=414133
4,Art & Art History,Art & Art History Resource Guide,https://libguides.csuchico.edu/art
5,Biology,BIOL 371 - Microbiology,https://libguides.csuchico.edu/biol371
6,Biology,BIOL 600 - Research in Biological Sciences,https://libguides.csuchico.edu/bio600
7,Biology,BIOL 611 - Advanced Physiology/Cell Biology,https://libguides.csuchico.edu/biol_611
8,Biology,Biological Sciences,https://libguides.csuchico.edu/biological_sciences
9,Biology,NSCI 321 - Scientific Inquiry,https://libguides.csuchico.edu/NSCI_321
10,Business,ACCT 437/537 - Federal Income Taxes,https://libguides.csuchico.edu/ACCT437
11,Business,BADM 101,https://libguides.csuchico.edu/BADM_101
12,Business,BADM 300 - Business Communications,https://libguides.csuchico.edu/globalbusiness
13,Business,Business Gateway,https://libguides.csuchico.edu/BusinessGateway
14,Business,Business Information Systems,https://libguides.csuchico.edu/bis
15,Business,"Careers, Jobs, Biz School",https://libguides.csuchico.edu/businessjobs
16,Business,Citing Business Sources | APA Style,https://libguides.csuchico.edu/citingbusiness
17,Business,Company Information,https://libguides.csuchico.edu/companyinformation
18,Business,Customer Research,https://libguides.csuchico.edu/customers
19,Business,Economics,https://libguides.csuchico.edu/economics
20,Business,Entrepreneurship,https://libguides.csuchico.edu/entrepreneurship
21,Business,Finance & Investments,https://libguides.csuchico.edu/finance
22,Business,Industry Information,https://libguides.csuchico.edu/IndustrySources
23,Business,Management & Business Law,https://libguides.csuchico.edu/management
24,Business,Marketing & Advertising,https://libguides.csuchico.edu/marketing
25,Business,MGMT 450/451/452 - New Business Opportunities,https://libguides.csuchico.edu/MGMT450_451
26,Business,MGMT 460 - Managing for Sustainability,https://libguides.csuchico.edu/MGMT460
27,Business,MKTG 305 - Industry Analysis for Marketing,https://libguides.csuchico.edu/MKTG305
28,Business,MKTG 305 - Marketing Audit,https://libguides.csuchico.edu/marketingaudit
29,Business,MKTG 371 - Consumer Behavior,https://libguides.csuchico.edu/MKTG371
30,Business,MKTG 476 - Business Marketing,https://libguides.csuchico.edu/MKTG476
31,Business,MKTG 477 - International Marketing,https://libguides.csuchico.edu/internationalmarketing
32,Chemistry and Biochemistry,Chemistry and Biochemistry,https://libguides.csuchico.edu/c.php?g=865743
33,Chemistry and Biochemistry,NSCI 321 - Scientific Inquiry,https://libguides.csuchico.edu/NSCI_321
34,Child Development,Child Development Research Guide,https://libguides.csuchico.edu/child_development
35,Citation Guides,Changes to the APA citation style,https://libguides.csuchico.edu/APA-changes
36,Citation Guides,Citing Business Sources | APA Style,https://libguides.csuchico.edu/citingbusiness
37,Citation Guides,Citing Sources,https://libguides.csuchico.edu/cite
38,Citation Guides,Citing Sources -- APA,https://libguides.csuchico.edu/APA
39,Citation Guides,Citing Sources -- Chicago,https://libguides.csuchico.edu/citingsources-chicago
40,Citation Guides,Citing Sources -- Chicago -- Author-date style,https://libguides.csuchico.edu/citingsources-chicago-author-date-style
41,Citation Guides,Citing Sources -- Chicago -- Bibliography style,https://libguides.csuchico.edu/chicago
42,Citation Guides,"Citing Sources -- MLA, 8th ed.",https://libguides.csuchico.edu/MLA
43,Citation Guides,EndNote Basic (formerly Endnote Web),https://libguides.csuchico.edu/EndNoteWeb
44,Communication Sciences and Disorders,Communication Sciences and Disorders,https://libguides.csuchico.edu/c.php?g=866586
45,Communication Studies,Communication Studies,https://libguides.csuchico.edu/c.php?g=866827
46,Computer Science,Computer Science,https://libguides.csuchico.edu/computerscience
47,Construction Management,Construction Management,https://libguides.csuchico.edu/ConstructionManagement
48,Course Guides,ACCT 437/537 - Federal Income Taxes,https://libguides.csuchico.edu/ACCT437
49,Course Guides,EDCI 674 & 675 - Computer Graphics & Presentation K-12 / Digital Media and Online Learning,https://libguides.csuchico.edu/EDCI674-675
50,Course Guides,EDMA 610 / 611 - Introduction to Inquiry in Education / Research Seminar in Education,https://libguides.csuchico.edu/EDMA610-611
51,Course Guides,HIST 492 & 494 - Archival Research Seminar/ Introduction to Public History,https://libguides.csuchico.edu/hist_492_494
52,Course Guides,MGMT 450/451/452 - New Business Opportunities,https://libguides.csuchico.edu/MGMT450_451
53,Course Guides,MGMT 460 - Managing for Sustainability,https://libguides.csuchico.edu/MGMT460
54,Course Guides,MKTG 305 - Industry Analysis for Marketing,https://libguides.csuchico.edu/MKTG305
55,Course Guides,MKTG 371 - Consumer Behavior,https://libguides.csuchico.edu/MKTG371
56,Course Guides,MKTG 477 - International Marketing,https://libguides.csuchico.edu/internationalmarketing
57,Course Guides,"POLS 112 - Law, Politics, Justice",https://libguides.csuchico.edu/POLS112
58,Course Guides,"POLS 155 - American Government: National, State, and Local",https://libguides.csuchico.edu/POLS155
59,Course Guides,POLS 321 - Central American & Caribbean: Comparative Politics,https://libguides.csuchico.edu/pols321
60,Course Guides,POLS 331 - Intro to Political Inquiry,https://libguides.csuchico.edu/POLS331
61,Course Guides,POLS 352 - Policing in America,https://libguides.csuchico.edu/POLS352
62,Course Guides,POLS 413 - Politics of Developing Nations,https://libguides.csuchico.edu/POLS413
63,Course Guides,POLS 441 - International Politics: Theory and Concepts,https://libguides.csuchico.edu/POLS441
64,Course Guides,POLS 455 - The Legal Para-Professional,https://libguides.csuchico.edu/POLS455
65,Course Guides,POLS 623 - Political Parties,https://libguides.csuchico.edu/POLS623
66,Course Guides,SWRK 330 - Social Work Research Methods,https://libguides.csuchico.edu/SWRK330
67,Course Guides,SWRK 435 - Social Work Methods,https://libguides.csuchico.edu/swrk435
68,Course Guides,SWRK 605 - Social Welfare Policies and Services,https://libguides.csuchico.edu/SWRK605
69,Course Guides,SWRK 654 - Social Policy in Mental Health Services,https://libguides.csuchico.edu/SWRK654
70,Course Guides,"SWRK 655 - Social Policy in Families, Children & Youth Services",https://libguides.csuchico.edu/SWRK655
71,Criminal Justice,Criminal Justice Research Guide,https://libguides.csuchico.edu/criminaljustice
72,Criminal Justice,Empirical Research,https://libguides.csuchico.edu/empirical
73,Criminal Justice,POLS 331 - Intro to Political Inquiry,https://libguides.csuchico.edu/POLS331
74,Criminal Justice,POLS 352 - Policing in America,https://libguides.csuchico.edu/POLS352
75,Economics,Business Gateway,https://libguides.csuchico.edu/BusinessGateway
76,Economics,ECON 375 - Developing Countries,https://libguides.csuchico.edu/ECON375
77,Economics,Economics,https://libguides.csuchico.edu/economics
78,Economics,Pathway -- Global Development Studies,https://libguides.csuchico.edu/globaldevelopment
79,Education,Annotated Bibliographies and Source Sheets,https://libguides.csuchico.edu/annotatedbibliography
80,Education,EDCI 674 & 675 - Computer Graphics & Presentation K-12 / Digital Media and Online Learning,https://libguides.csuchico.edu/EDCI674-675
81,Education,EDMA 610 / 611 - Introduction to Inquiry in Education / Research Seminar in Education,https://libguides.csuchico.edu/EDMA610-611
82,Education,EDSL 635 - Current Research and Developments in Foreign/Second Language Education,https://libguides.csuchico.edu/EDSL635
83,Education,EDTE 302 - Access & Equity in Education,https://libguides.csuchico.edu/EDTE302
84,Education,Education,https://libguides.csuchico.edu/EDUC
85,Education,SPED 343 - Overview of Special Education,https://libguides.csuchico.edu/SPED343
86,Education,SPED 580 - Introduction to Autism Spectrum Disorder,https://libguides.csuchico.edu/SPED580
87,Engineering,Civil Engineering,https://libguides.csuchico.edu/c.php?g=414134
88,Engineering,Electrical and Computer Engineering,https://libguides.csuchico.edu/c.php?g=414135
89,Engineering,"Mechanical and Mechatronic Engineering, and Sustainable Manufacturing",https://libguides.csuchico.edu/c.php?g=414136
90,English,Annotated Bibliographies and Source Sheets,https://libguides.csuchico.edu/annotatedbibliography
91,English,Banned Books Week,https://libguides.csuchico.edu/banned_books
92,English,Book Reviews,https://libguides.csuchico.edu/bookreviews
93,English,ENGL 130 - Academic Writing,https://libguides.csuchico.edu/ENGL_130
94,English,ENGL 130 - Academic Writing; Society and Culture from a Dystopian Perspective,https://libguides.csuchico.edu/ENGL_130_Dystopian
95,English,ENGL 240 - Literature for Life,https://libguides.csuchico.edu/ENGL240
96,English,ENGL 252 - American Indian Literature,https://libguides.csuchico.edu/engl252
97,English,"ENGL 356 - Lit, Politics, and Activism",https://libguides.csuchico.edu/ENGL_356
98,English,ENGL 454 - Comparative Literature,https://libguides.csuchico.edu/ENGL_454
99,English,ENGL 456 - 19th-Century British Novel,https://libguides.csuchico.edu/ENGL_456
100,English,ENGL 468 - 20th-Century and Contemporary British Literature,https://libguides.csuchico.edu/engl468
101,English,ENGL 657 - Comparative Literature,https://libguides.csuchico.edu/ENGL_657
102,English,English,https://libguides.csuchico.edu/englishresources
103,English,EOP 50th Anniversary Summer Bridge,https://libguides.csuchico.edu/EOP-50-summer-bridge-primary-source-research
104,English,Primary Research,https://libguides.csuchico.edu/primaryresearch
105,Environmental Studies,Environmental Studies,https://libguides.csuchico.edu/c.php?g=414241
106,Environmental Studies,GEOS 315 - Pollution Science,https://libguides.csuchico.edu/GEOS315
107,General,What is a Scholarly Article and How Do I Find One?,https://libguides.csuchico.edu/scholarly
108,Geography & Planning,California State Agency Databases,https://libguides.csuchico.edu/c.php?g=440938
109,Geological Sciences,Geological and Environmental Sciences,https://libguides.csuchico.edu/c.php?g=414221
110,Geological Sciences,GEOS 315 - Pollution Science,https://libguides.csuchico.edu/GEOS315
111,Government Documents,Government Documents,https://libguides.csuchico.edu/classification
112,Health & Community Services,HCSV 425 - Health Research Guide,https://libguides.csuchico.edu/HCSV_425_Library_Research_Guide
113,Health & Community Services,Health & Community Services,https://libguides.csuchico.edu/Health_and_Comm_Services
114,History,Butte County Directories Collection,https://libguides.csuchico.edu/bcd
115,History,Chico State University Yearbook: The Normal Record,https://libguides.csuchico.edu/chico-state-yearbook-the-record
116,History,EOP 50th Anniversary Summer Bridge,https://libguides.csuchico.edu/EOP-50-summer-bridge-primary-source-research
117,History,HIST 492 & 494 - Archival Research Seminar/ Introduction to Public History,https://libguides.csuchico.edu/hist_492_494
118,History,History Resource Guide,https://libguides.csuchico.edu/history
119,"International Languages, Literatures, & Culture",International Resources,https://libguides.csuchico.edu/international
120,"International Languages, Literatures, & Culture",POLS 321 - Central American & Caribbean: Comparative Politics,https://libguides.csuchico.edu/pols321
121,Journalism,JOUR 320 - Mass Communication Law,https://libguides.csuchico.edu/JOUR320
122,Journalism,Journalism and Public Relations,https://libguides.csuchico.edu/journalism
123,Kinesiology,Kinesiology,https://libguides.csuchico.edu/kinesiology
124,Law and Legal Studies,JOUR 320 - Mass Communication Law,https://libguides.csuchico.edu/JOUR320
125,Law and Legal Studies,Law and Legal Studies,https://libguides.csuchico.edu/legalstudies
126,Law and Legal Studies,Legislative Histories,https://libguides.csuchico.edu/legislativehistory
127,Law and Legal Studies,"POLS 112 - Law, Politics, Justice",https://libguides.csuchico.edu/POLS112
128,Law and Legal Studies,POLS 454 - Legal Research and Writing,https://libguides.csuchico.edu/POLS454
129,Law and Legal Studies,POLS 455 - The Legal Para-Professional,https://libguides.csuchico.edu/POLS455
130,Law and Legal Studies,SWRK 654 - Social Policy in Mental Health Services,https://libguides.csuchico.edu/SWRK654
131,Law and Legal Studies,WestlawNext and America's News,https://libguides.csuchico.edu/Westlaw
132,Mathematics & Statistics,Mathematics and Statistics,https://libguides.csuchico.edu/c.php?g=864808
133,"Media Arts, Design & Technology",MADT 344 - American Cinema Research,https://libguides.csuchico.edu/americancinema
134,"Media Arts, Design & Technology","Media Arts, Design, and Technology Research Guide",https://libguides.csuchico.edu/c.php?g=430501
135,Multicultural and Gender Studies,EOP 50th Anniversary Summer Bridge,https://libguides.csuchico.edu/EOP-50-summer-bridge-primary-source-research
136,Multicultural and Gender Studies,Multicultural & Gender Studies,https://libguides.csuchico.edu/MCGS
