,Category,Subject,Link
0,Accounting and Information Systems,Accounting and Information Systems,https://libguides.csun.edu/accounting
1,Accounting and Information Systems,IS 312: Information Systems for Business,https://libguides.csun.edu/IS312
2,Accounting and Information Systems,IS 435: Business Data Communication,https://libguides.csun.edu/IS435
3,Accounting and Information Systems,IS 451: Systems Development Project,https://libguides.csun.edu/IS451
4,African Studies,Africana/African Studies,https://libguides.csun.edu/africana-african-studies
5,Africana Studies,Africana/African Studies,https://libguides.csun.edu/africana-african-studies
6,Africana Studies,AFRS 100: Black Studies and Culture,https://libguides.csun.edu/AFRS100-Richards
7,Africana Studies,AFRS 113A: University Writing,https://libguides.csun.edu/afrs113a
8,Africana Studies,AFRS 115: University Writing,https://libguides.csun.edu/afrs115
9,Africana Studies,AFRS 300: Contemporary Issues,https://libguides.csun.edu/afrs300
10,Africana Studies,AFRS 324: Contemporary Black Woman,https://libguides.csun.edu/afrs324
11,Africana Studies,AFRS 325: The Black Male,https://libguides.csun.edu/AFRS325
12,American Indian Studies,American Indian Studies,https://libguides.csun.edu/ais
13,Anthropology,ANTH 345: Diversity in the United States,https://libguides.csun.edu/anth345
14,Anthropology,Anthropology,https://libguides.csun.edu/anthropology
15,Art,Art,https://libguides.csun.edu/art
16,Art,ART 344: Graphic Design II,https://libguides.csun.edu/art344
17,Art,Art 413: History of Chinese Art,https://libguides.csun.edu/art413
18,Art,ART 416: History of Ancient Near Eastern Art,https://libguides.csun.edu/art416
19,Art,ART 420: History of Greek Art & Architecture,https://libguides.csun.edu/art420
20,Art,ART 421: History of Roman Art & Architecture,https://libguides.csun.edu/art421
21,Art,ART 462: History of Photography,https://libguides.csun.edu/art462
22,Art,ART 510: Historiography and Practice of Art History,https://libguides.csun.edu/art510
23,Art,Art of Los Angeles,https://libguides.csun.edu/art-of-los-angeles
24,Assistive Technology,Assistive Technology Studies and Human Services,https://libguides.csun.edu/ATHS
25,Biology,BIOL 327: Ecology and People,https://libguides.csun.edu/biol327
26,Biology,SCI 100: Science for Life,https://libguides.csun.edu/sci100
27,Business and Economics,Accounting and Information Systems,https://libguides.csun.edu/accounting
28,Business and Economics,BLAW 418: Real Estate Market Analysis,https://libguides.csun.edu/blaw418
29,Business and Economics,BUS 497: Strategic Management,https://libguides.csun.edu/bus497
30,Business and Economics,Business Law,https://libguides.csun.edu/blaw
31,Business and Economics,Business Research Strategies,https://libguides.csun.edu/bus
32,Business and Economics,ECON 409: Introduction to Econometrics,https://libguides.csun.edu/ECON409
33,Business and Economics,Economics,https://libguides.csun.edu/economics
34,Business and Economics,Entrepreneurship,https://libguides.csun.edu/entrepreneurship
35,Business and Economics,Finance,https://libguides.csun.edu/finance
36,Business and Economics,GBUS 600: Analysis of Contemporary Organizations,https://libguides.csun.edu/gbus600
37,Business and Economics,International Business,https://libguides.csun.edu/international-business
38,Business and Economics,IS 312: Information Systems for Business,https://libguides.csun.edu/IS312
39,Business and Economics,IS 435: Business Data Communication,https://libguides.csun.edu/IS435
40,Business and Economics,IS 451: Systems Development Project,https://libguides.csun.edu/IS451
41,Business and Economics,Management,https://libguides.csun.edu/management
42,Business and Economics,Marketing,https://libguides.csun.edu/marketing
43,Business and Economics,MGT 450: Organizational Change and Development,https://libguides.csun.edu/mgt450
44,Business and Economics,MKT 346: Marketing Research,https://libguides.csun.edu/mkt346
45,Business and Economics,MKT 348: Consumer Behavior,https://libguides.csun.edu/mkt348
46,Business and Economics,MUS 419: Music Industry Foundations,https://libguides.csun.edu/mus419
47,Business and Economics,Systems and Operations Management,https://libguides.csun.edu/systems-operations-management
48,Business Law,BLAW 418: Real Estate Market Analysis,https://libguides.csun.edu/blaw418
49,Business Law,Business Law,https://libguides.csun.edu/blaw
50,Business Law,MUS 580: Music Industry Developments,https://libguides.csun.edu/mus580
51,California Studies,Los Angeles & the San Fernando Valley,https://libguides.csun.edu/la-san-fernando-valley
52,Central American Studies,Central American Studies,https://libguides.csun.edu/cas
53,Chemistry and Biochemistry,CHEM 461L: Biochemistry I Laboratory,https://libguides.csun.edu/chem461l
54,Chemistry and Biochemistry,CHEM 464L: Principles of Biochemistry Laboratory,https://libguides.csun.edu/chem464l
55,Chemistry and Biochemistry,CHEM 465: Topics in Biochemistry,https://libguides.csun.edu/chem465
56,Chemistry and Biochemistry,SCI 100: Science for Life,https://libguides.csun.edu/sci100
57,Chicana and Chicano Studies,Chicana and Chicano Studies,https://libguides.csun.edu/chs
58,Child and Adolescent Development,CADV 452: Child Advocacy,https://libguides.csun.edu/cadv452
59,Child and Adolescent Development,Child and Adolescent Development,https://libguides.csun.edu/cadv
60,Child and Adolescent Development,TCC Resource/Research Guides,https://libguides.csun.edu/tcc
61,Cinema and Television Arts,Cinema and Television Arts,https://libguides.csun.edu/ctva
62,Cinema and Television Arts,CTVA 210: Film and Television Aesthetics,https://libguides.csun.edu/ctva210
63,Cinema and Television Arts,CTVA 220: Foundations of Media Writing,https://libguides.csun.edu/ctva220
64,Cinema and Television Arts,CTVA 301: Design of the Media Message,https://libguides.csun.edu/ctva301
65,Cinema and Television Arts,CTVA 309: Film as Literature,https://libguides.csun.edu/ctva309
66,Cinema and Television Arts,CTVA 315: New Directions in Electronic Media Systems,https://libguides.csun.edu/ctva315
67,Cinema and Television Arts,CTVA 416: The Documentary Tradition,https://libguides.csun.edu/ctva416
68,Communication Disorders and Sciences,CD 450: Fluency Disorders,https://libguides.csun.edu/CD450
69,Communication Disorders and Sciences,Communication Disorders and Sciences,https://libguides.csun.edu/CD
70,Communication Studies,Communication Studies,https://libguides.csun.edu/coms-research
71,Communication Studies,COMS 151: Public Speaking,https://libguides.csun.edu/coms151
72,Communication Studies,MCOM 600: Research Methods Seminar,https://libguides.csun.edu/mcom600
73,Computer Science,COMP 100: Computers: Their Impact and Use,https://libguides.csun.edu/computer100
74,Computer Science,Computer Science,https://libguides.csun.edu/comp
75,Criminology and Justice Studies,CJS 340 : Ethics in Criminal Justice,https://libguides.csun.edu/cjs340
76,Criminology and Justice Studies,CJS 452CY: Cybercrime,https://libguides.csun.edu/cjs452cy
77,Criminology and Justice Studies,CJS 454: Minorities & Criminal Justice,https://libguides.csun.edu/cjs454
78,Deaf Studies,Deaf Studies,https://libguides.csun.edu/DeafStudies
79,Economics,ECON 409: Introduction to Econometrics,https://libguides.csun.edu/ECON409
80,Economics,Economics,https://libguides.csun.edu/economics
81,Educational Leadership and Policy Studies,Educational Leadership & Policy Studies (ELPS),https://libguides.csun.edu/elps
82,Elementary Education,Elementary Education,https://libguides.csun.edu/elementary-education
83,Elementary Education,TCC Resource/Research Guides,https://libguides.csun.edu/tcc
84,English,ENGL 305OL: Intermediate Expository Writing,https://libguides.csun.edu/engl305ol
85,English,ENGL 306OL: Report Writing,https://libguides.csun.edu/engl306ol
86,English,English,https://libguides.csun.edu/English
87,Environmental and Occupational Health,Environmental and Occupational Health,https://libguides.csun.edu/eoh
88,Environmental and Occupational Health,EOH 353: Global Perspective of Environmental Health,https://libguides.csun.edu/eoh353
89,Family and Consumer Sciences,Family and Consumer Sciences,https://libguides.csun.edu/fcs
90,Family and Consumer Sciences,FCS 255 : Fashion Industry,https://libguides.csun.edu/fcs255
91,Family and Consumer Sciences,FCS 380: Family and Consumer Sciences Foundations and Research,https://libguides.csun.edu/fcs380
92,Family and Consumer Sciences,FCS 455 and 535: Fashion Merchandising and Theory,https://libguides.csun.edu/fcs455
93,Family and Consumer Sciences,FCS 455: Fashion Merchandising,https://libguides.csun.edu/FCS455L
94,Family and Consumer Sciences,FCS 535: Fashion Theory,https://libguides.csun.edu/c.php?g=718379
95,"Finance, Financial Planning, and Insurance",Finance,https://libguides.csun.edu/finance
96,Gender and Women's Studies,Gender & Women's Studies,https://libguides.csun.edu/c.php?g=694387
97,Gender and Women's Studies,GWS 302: Feminist Methods,https://libguides.csun.edu/GWS302
98,Gender and Women's Studies,GWS 495: Selected Topics in Gender and Women’s Studies,https://libguides.csun.edu/GWS495
99,Geography,GEOG 300: The Geographer's Craft,https://libguides.csun.edu/geog300
100,Geography,GEOG 301: Cultural Geography,https://libguides.csun.edu/geog301
101,Geography,"GEOG 600: Geographic Thought, Analysis, and Research",https://libguides.csun.edu/geog600
102,Geography,Geographic Information Systems (GIS),https://libguides.csun.edu/gis
103,Geography,Geography,https://libguides.csun.edu/geography
104,Geological Sciences,GEOL 101: Geology of Planet Earth,https://libguides.csun.edu/geol101
105,Geological Sciences,Geological Sciences,https://libguides.csun.edu/geol
106,Geological Sciences,SCI 100: Science for Life,https://libguides.csun.edu/sci100
107,Health Sciences,Health Sciences,https://libguides.csun.edu/hsci
108,Health Sciences,Literature Review How To,https://libguides.csun.edu/literature-review
109,History,HIST 192: History of Modern East Asia,https://libguides.csun.edu/hist192
110,History,"HIST 301: The Historian’s Craft: Reading, Research and Writing History",https://libguides.csun.edu/hist301
111,History,HIST 349A: Women in American History Through 1848,https://libguides.csun.edu/history349A
112,History,HIST 371: Problems in American History: 1865 to Present,https://libguides.csun.edu/History371
113,History,HIST 497B: Proseminar,https://libguides.csun.edu/history497B
114,History,HIST 630: Research Seminar in World History,https://libguides.csun.edu/history630
115,History,History,https://libguides.csun.edu/history
