,Category,Subject,Link
0,Anthropology,Anthropology & Sociology Guide,https://libguides.denison.edu/anthropology-sociology
1,Archives/Special Collections,Medieval Manuscripts,https://libguides.denison.edu/manuscripts
2,Archives/Special Collections,University Archives & Special Collections,https://libguides.denison.edu/archivesspecialcollections
3,Art History and Visual Culture,AHVC 101: The Western World: Ancient to Baroque,https://libguides.denison.edu/westernworld
4,Art History and Visual Culture,AHVC 111: Modern Art & Visual Culture,https://libguides.denison.edu/ARTH111
5,Art History and Visual Culture,AHVC 131: Asian Art & Visual Culture,https://libguides.denison.edu/AsianArt
6,Art History and Visual Culture,AHVC 201: Classical Art & Architecture,https://libguides.denison.edu/ClassicalArt
7,Art History and Visual Culture,AHVC 203: Early Renaissance Art & Architecture,https://libguides.denison.edu/ARTH203
8,Art History and Visual Culture,AHVC 204: High Renaissance & Baroque Art,https://libguides.denison.edu/HighRen
9,Art History and Visual Culture,AHVC 231: Art of Japan,https://libguides.denison.edu/ARTH231
10,Art History and Visual Culture,AHVC 232: Art of China,https://libguides.denison.edu/ARTH232
11,Art History and Visual Culture,AHVC 263/EAST 263/ENVS 263: Spatial Imagination in East Asia,https://libguides.denison.edu/AHVC263
12,Art History and Visual Culture,AHVC 302/ENVS 290: Medieval Art & Architecture,https://libguides.denison.edu/ARTH302
13,Art History and Visual Culture,AHVC 333/EAST 345: Art and Revolution in China,https://libguides.denison.edu/ChinaRevolution
14,Art History and Visual Culture,Art History Guide,https://libguides.denison.edu/ArtHistory
15,Athletic Training,"Health, Exercise & Sport Studies Guide",https://libguides.denison.edu/health_exercise_and_sport_studies
16,Audio/Visual,Audio/Visual,https://libguides.denison.edu/avmedia
17,Biography,Biography,https://libguides.denison.edu/biography
18,Biology,BIOL 110: Biology and Politics of Women's Health,https://libguides.denison.edu/biol110Jen
19,Biology,BIOL-356 Biostatistics,https://libguides.denison.edu/biostatistics
20,Biology,Biology Guide,https://libguides.denison.edu/biology_guide
21,Biology,W 101: A Citizen's Guide to Climate Change,https://libguides.denison.edu/w_101_climate_change
22,Black Studies,Black Studies Guide,https://libguides.denison.edu/black_studies
23,Chemistry,Chemistry & Biochemistry Guide,https://libguides.denison.edu/chemistry_guide
24,Cinema,"CINE 312 Genres, Authors, and Stars",https://libguides.denison.edu/CINE312
25,Cinema,CINE 326: History of Cinema,https://libguides.denison.edu/CINE326
26,Cinema,Cinema Guide,https://libguides.denison.edu/cinemaguide
27,Classical Studies,Classical Studies Guide,https://libguides.denison.edu/classics
28,Communication,COMM 130: Freedom of Speech,https://libguides.denison.edu/COMM130F2018
29,Communication,COMM 421 Press & the Presidency,https://libguides.denison.edu/COMM421F2018
30,Communication,Communication Guide,https://libguides.denison.edu/communication
31,Computer Science,Computer Science Guide,https://libguides.denison.edu/computer_science_guide
32,Computer Science,Digital Tools,https://libguides.denison.edu/digitaltools
