,Category,Subject,Link
0,Accounting,Accounting Research Guide,https://libguides.depaul.edu/accounting
1,Accounting,Business Ethics Research Guide,https://libguides.depaul.edu/businessethics
2,African & Black Diaspora Studies,African American Studies Research Guide,https://libguides.depaul.edu/africanamerican
3,African & Black Diaspora Studies,African Art Research Guide,https://libguides.depaul.edu/africanart
4,African & Black Diaspora Studies,African Studies Research Guide,https://libguides.depaul.edu/africanstudies
5,American Studies,1893 Columbian Exposition Research Guide,https://libguides.depaul.edu/1893
6,American Studies,American Studies Research Guide,https://libguides.depaul.edu/americanstudies
7,American Studies,Elections,https://libguides.depaul.edu/elections
8,American Studies,Native American Studies Research Guide,https://libguides.depaul.edu/nativeamericanstudies
9,"Animation, Game Development & Interactive Media","Digital Media, Animation & Game Development Research Guide",https://libguides.depaul.edu/digitalmedia
10,Anthropology,African Studies Research Guide,https://libguides.depaul.edu/africanstudies
11,Anthropology,Anthropology Research Guide,https://libguides.depaul.edu/anthropology
12,Anthropology,Country Information (A How-To Guide),https://libguides.depaul.edu/countryinformation
13,Anthropology,Native American Studies Research Guide,https://libguides.depaul.edu/nativeamericanstudies
14,Arabic Studies,Modern Languages Research Guide,https://libguides.depaul.edu/languages
15,Art & Architecture,African Art Research Guide,https://libguides.depaul.edu/africanart
16,Art & Architecture,Art History Research Guide,https://libguides.depaul.edu/art
17,Art & Architecture,Asian Art Research Guide,https://libguides.depaul.edu/asianart
18,Art & Architecture,Classics Research Guide,https://libguides.depaul.edu/classics
19,Art & Architecture,Community Archives,https://libguides.depaul.edu/CommunityArchives
20,Art & Architecture,DePaul University Archives,https://libguides.depaul.edu/dpuarchives
21,Art & Architecture,Digital Images: How to Find Them,https://libguides.depaul.edu/digitalimages
22,Art & Architecture,Latin-American & Caribbean Art Research Guide,https://libguides.depaul.edu/LatinArt
23,Art & Architecture,Photography Research Guide,https://libguides.depaul.edu/photography
24,Art & Architecture,Rare Book & Map Resources,https://libguides.depaul.edu/rare-books-maps
25,Biology,Biology Research Guide,https://libguides.depaul.edu/biology
26,Biology,Chemistry & Biochemistry Research Guide,https://libguides.depaul.edu/chemistry
27,Biology,Neuroscience,https://libguides.depaul.edu/neuroscience
28,Business,Accounting Research Guide,https://libguides.depaul.edu/accounting
29,Business,Business Ethics Research Guide,https://libguides.depaul.edu/businessethics
30,Business,Companies & Industries Research Guide,https://libguides.depaul.edu/businessdatabases
31,Business,Doctorate in Business Administration Guide,https://libguides.depaul.edu/DBA
32,Business,Economics Research Guide,https://libguides.depaul.edu/economics
33,Business,Entrepreneurship Research Guide,https://libguides.depaul.edu/entrepreneurship
34,Business,Finance Research Guide,https://libguides.depaul.edu/finance
35,Business,Islamic Banking and Finance Research Guide,https://libguides.depaul.edu/islamicbanking
36,Business,Management Research Guide,https://libguides.depaul.edu/management
37,Business,Marketing Research Guide,https://libguides.depaul.edu/marketing
38,Business,Public Relations & Advertising Research Guide,https://libguides.depaul.edu/pubrelations_advertising
39,Catholic Studies,Catholic Studies Research Guide,https://libguides.depaul.edu/catholicstudies
40,Catholic Studies,Community Archives,https://libguides.depaul.edu/CommunityArchives
41,Catholic Studies,Rare Book & Map Resources,https://libguides.depaul.edu/rare-books-maps
42,Catholic Studies,Religious Studies Research Guide,https://libguides.depaul.edu/religiousstudies
43,Catholic Studies,Vincentian Studies Collection,https://libguides.depaul.edu/vincentianstudies
44,Chemistry & Biochemistry,Biology Research Guide,https://libguides.depaul.edu/biology
45,Chemistry & Biochemistry,Chemistry & Biochemistry Research Guide,https://libguides.depaul.edu/chemistry
46,Chemistry & Biochemistry,Environmental Science & Studies Research Guide,https://libguides.depaul.edu/environmental
47,Chemistry & Biochemistry,Physics Research Guide,https://libguides.depaul.edu/physics
48,Chicago,1893 Columbian Exposition Research Guide,https://libguides.depaul.edu/1893
49,Chicago,Chicago Research Guide,https://libguides.depaul.edu/chicago
50,Chicago,Community Archives,https://libguides.depaul.edu/CommunityArchives
51,Chicago,DePaul University Archives,https://libguides.depaul.edu/dpuarchives
52,Chicago,Elections,https://libguides.depaul.edu/elections
53,Chicago,Primary Sources (A How-to Guide),https://libguides.depaul.edu/primarysources
54,Chicago,Rare Book & Map Resources,https://libguides.depaul.edu/rare-books-maps
55,Chinese Studies,Asian Studies Research Guide,https://libguides.depaul.edu/asianstudies
56,Chinese Studies,Modern Languages Research Guide,https://libguides.depaul.edu/languages
57,Cinema & Media Studies,Film Studies Research Guide,https://libguides.depaul.edu/filmstudies
58,Cinema & Media Studies,Mass Media Research Guide,https://libguides.depaul.edu/massmedia
59,Cinema & Media Studies,Popular Culture Research Guide,https://libguides.depaul.edu/popculture
60,Classics,Classics Research Guide,https://libguides.depaul.edu/classics
61,Classics,Modern Languages Research Guide,https://libguides.depaul.edu/languages
62,Classics,Philosophy Research Guide,https://libguides.depaul.edu/philosophy
63,Communication,Communication Research Guide,https://libguides.depaul.edu/communication
64,Communication,Film Studies Research Guide,https://libguides.depaul.edu/filmstudies
65,Communication,Journalism Research Guide,https://libguides.depaul.edu/journalism
66,Communication,Linguistics Research Guide,https://libguides.depaul.edu/linguistics
67,Communication,Mass Media Research Guide,https://libguides.depaul.edu/massmedia
68,Communication,Popular Culture Research Guide,https://libguides.depaul.edu/popculture
69,Communication,Public Relations & Advertising Research Guide,https://libguides.depaul.edu/pubrelations_advertising
70,Communication,Scholarly Communication,https://libguides.depaul.edu/scholarlycommunication
71,Communication,"Writing, Rhetoric, and Discourse Research Guide",https://libguides.depaul.edu/wrd
72,Computer Science,Computer Science Research Guide,https://libguides.depaul.edu/computerscience
