,Category,Subject,Link
0,*Digital Library,"Dissertations, Independent Studies projects and Theses",https://libguides.derby.ac.uk/indstud
1,*Digital Library,Image and Multimedia Collections,https://libguides.derby.ac.uk/c.php?g=493074
2,*Digital Library,Information Literacy,https://libguides.derby.ac.uk/infolit
3,*Digital Library,Introduction to the Library for UDOL and Distance Learning students,https://libguides.derby.ac.uk/UDOLanddistlearning
4,*Digital Library,Online Reading Lists and Copyright Cleared Content,https://libguides.derby.ac.uk/readinglists
5,*Digital Library,Quick Reference,https://libguides.derby.ac.uk/quick-reference
6,*Digital Library,Referencing Software,https://libguides.derby.ac.uk/referencing_software
7,*Digital Library,Staff Copyright Guide,https://libguides.derby.ac.uk/staffcopyright
8,*Digital Library,Student Copyright Guide,https://libguides.derby.ac.uk/studentcopyright
9,*Digital Library,UDORA (University of Derby Online Research Archive),https://libguides.derby.ac.uk/c.php?g=328309
10,Arts,Dance,https://libguides.derby.ac.uk/c.php?g=365831
11,Arts,Fashion and Textiles,https://libguides.derby.ac.uk/Fashion
12,Arts,Film Production and Media Production,https://libguides.derby.ac.uk/filmprod
13,Arts,Fine Art,https://libguides.derby.ac.uk/Art
14,Arts,"Graphic Design, Illustration and Animation",https://libguides.derby.ac.uk/c.php?g=369997
15,Arts,Interior Design,https://libguides.derby.ac.uk/Interiors
16,Arts,Music,https://libguides.derby.ac.uk/c.php?g=379285
17,Arts,Photography,https://libguides.derby.ac.uk/c.php?g=365678
18,Arts,Theatre,https://libguides.derby.ac.uk/Theatre
19,Business & Management,Accounting and Finance Guide,https://libguides.derby.ac.uk/accountingandfinance
20,Business & Management,Business & Management Guide,https://libguides.derby.ac.uk/businessmanagement
21,Business & Management,Culinary and Hospitality subjects,https://libguides.derby.ac.uk/hospitality
22,Business & Management,Economics Guide,https://libguides.derby.ac.uk/economics
23,Business & Management,Events Management,https://libguides.derby.ac.uk/events
24,Business & Management,Marketing and Advertising Guide,https://libguides.derby.ac.uk/marketingandadvertising
25,Business & Management,Purchasing & Supply Management Guide,https://libguides.derby.ac.uk/purchasingandsupplymanagement
26,Business & Management,Spa and Wellness Management,https://libguides.derby.ac.uk/spa
27,Business & Management,Tourism Management,https://libguides.derby.ac.uk/tourism
28,Buxton & Leek College (FE) Subjects,Access to HE and Foundation Programme,https://libguides.derby.ac.uk/access
29,Buxton & Leek College (FE) Subjects,Art and Design - FE,https://libguides.derby.ac.uk/FEArt
30,Buxton & Leek College (FE) Subjects,Building Trades and Construction - FE,https://libguides.derby.ac.uk/FEbuildingtrades
31,Buxton & Leek College (FE) Subjects,Business and Management - FE,https://libguides.derby.ac.uk/FEBusiness
32,Buxton & Leek College (FE) Subjects,Catering and Hospitality - FE,https://libguides.derby.ac.uk/FECatering
33,Buxton & Leek College (FE) Subjects,Childcare and Education - FE,https://libguides.derby.ac.uk/FEChildcare
34,Buxton & Leek College (FE) Subjects,Computing - FE,https://libguides.derby.ac.uk/FEComputing
35,Buxton & Leek College (FE) Subjects,Engineering - FE,https://libguides.derby.ac.uk/feengineering
36,Buxton & Leek College (FE) Subjects,Functional Skills and GCSE Maths and English - FE,https://libguides.derby.ac.uk/functionalskills
37,Buxton & Leek College (FE) Subjects,"Hair, Beauty and Spa - FE",https://libguides.derby.ac.uk/FEHairBeauty
38,Buxton & Leek College (FE) Subjects,Health and Social Care - FE,https://libguides.derby.ac.uk/healthandsocial
39,Buxton & Leek College (FE) Subjects,Media Production - FE,https://libguides.derby.ac.uk/FEMedia
40,Buxton & Leek College (FE) Subjects,Motor Vehicle - FE,https://libguides.derby.ac.uk/FEMotor
41,Buxton & Leek College (FE) Subjects,Public Services - FE,https://libguides.derby.ac.uk/FEPublicServices
42,Buxton & Leek College (FE) Subjects,Sport and Outdoor Adventure - FE,https://libguides.derby.ac.uk/FESport
43,Buxton & Leek College (FE) Subjects,Travel and Tourism - FE,https://libguides.derby.ac.uk/FETravel
44,Computing & Mathematics,Computing,https://libguides.derby.ac.uk/c.php?g=369879
45,Computing & Mathematics,Mathematics,https://libguides.derby.ac.uk/c.php?g=441631
46,Copyright,Online Reading Lists and Copyright Cleared Content,https://libguides.derby.ac.uk/readinglists
47,Copyright,Staff Copyright Guide,https://libguides.derby.ac.uk/staffcopyright
48,Copyright,Student Copyright Guide,https://libguides.derby.ac.uk/studentcopyright
49,Education,Early Childhood,https://libguides.derby.ac.uk/earlychildhood
50,Education,Education,https://libguides.derby.ac.uk/education
51,Engineering & Technology,Architecture,https://libguides.derby.ac.uk/architecture2
52,Engineering & Technology,"Building, Construction and Civil Engineering",https://libguides.derby.ac.uk/c.php?g=363811
53,Engineering & Technology,Electrical and Electronic Engineering,https://libguides.derby.ac.uk/c.php?g=367142
54,Engineering & Technology,Entertainment Engineering,https://libguides.derby.ac.uk/c.php?g=367519
55,Engineering & Technology,Mechanical and Manufacturing Engineering,https://libguides.derby.ac.uk/c.php?g=368977
56,Engineering & Technology,Motorsport Engineering,https://libguides.derby.ac.uk/c.php?g=370390
57,Engineering & Technology,Product Design Engineering,https://libguides.derby.ac.uk/c.php?g=370818
58,Health and Social Care,Counselling & Psychotherapy,https://libguides.derby.ac.uk/counselling-psychotherapy
59,Health and Social Care,Nursing & Healthcare Practice,https://libguides.derby.ac.uk/nursing
60,Health and Social Care,Occupational Therapy,https://libguides.derby.ac.uk/occupational-therapy
61,Health and Social Care,Public Health,https://libguides.derby.ac.uk/publichealth
62,Health and Social Care,Radiography,https://libguides.derby.ac.uk/radiography
63,Health and Social Care,Social & Community Studies,https://libguides.derby.ac.uk/social-community
64,Health and Social Care,Therapeutic Arts,https://libguides.derby.ac.uk/therapeutic-arts
65,Hospitality & Tourism,Culinary and Hospitality subjects,https://libguides.derby.ac.uk/hospitality
66,Hospitality & Tourism,Events Management,https://libguides.derby.ac.uk/events
67,Hospitality & Tourism,Spa and Wellness Management,https://libguides.derby.ac.uk/spa
68,Hospitality & Tourism,Tourism Management,https://libguides.derby.ac.uk/tourism
69,Humanities,American Studies,https://libguides.derby.ac.uk/america
70,Humanities,Creative Writing,https://libguides.derby.ac.uk/creative-writing
71,Humanities,English Literature and Language,https://libguides.derby.ac.uk/english-information-guide
72,Humanities,History,https://libguides.derby.ac.uk/history
73,Humanities,Journalism,https://libguides.derby.ac.uk/journalism
74,Humanities,Liberal Arts,https://libguides.derby.ac.uk/c.php?g=545299
75,Humanities,"Media, Film and Television Studies",https://libguides.derby.ac.uk/mediaandcomms
76,Humanities,Publishing,https://libguides.derby.ac.uk/publishing
77,"Law, Criminology & Policing",Criminology,https://libguides.derby.ac.uk/criminology
78,"Law, Criminology & Policing",Law,https://libguides.derby.ac.uk/law
79,"Law, Criminology & Policing",Online Legal Research,https://libguides.derby.ac.uk/legalresearch
80,"Law, Criminology & Policing",Policing,https://libguides.derby.ac.uk/c.php?g=566657
81,Library Services Guides,A Guide for New Staff,https://libguides.derby.ac.uk/academicstaff
82,Library Services Guides,Information Literacy,https://libguides.derby.ac.uk/infolit
83,Library Services Guides,International Students: Library Guide,https://libguides.derby.ac.uk/international
84,Library Services Guides,Introduction to Social Media,https://libguides.derby.ac.uk/socialmedia
85,Library Services Guides,Introduction to the Library for UDOL and Distance Learning students,https://libguides.derby.ac.uk/UDOLanddistlearning
86,Library Services Guides,Online Reading Lists and Copyright Cleared Content,https://libguides.derby.ac.uk/readinglists
87,Library Services Guides,Quick Reference,https://libguides.derby.ac.uk/quick-reference
88,Library Services Guides,Staff Copyright Guide,https://libguides.derby.ac.uk/staffcopyright
89,Library Services Guides,Student Copyright Guide,https://libguides.derby.ac.uk/studentcopyright
90,Library Services Guides,Student Guide to Online Reading Lists & Copyright Cleared Content,https://libguides.derby.ac.uk/studentlists
91,Local Studies,Local Collection,https://libguides.derby.ac.uk/local
92,Public Health,Public Health,https://libguides.derby.ac.uk/publichealth
93,Research Support Guides,Accessing Other Libraries,https://libguides.derby.ac.uk/otherlibs
94,Research Support Guides,"Dissertations, Independent Studies projects and Theses",https://libguides.derby.ac.uk/indstud
95,Research Support Guides,Getting published: A guide from journal writing to academic impact,https://libguides.derby.ac.uk/gettingpublished
96,Research Support Guides,Library Plus,https://libguides.derby.ac.uk/libraryplus-uodhelp
97,Research Support Guides,Online Reading Lists and Copyright Cleared Content,https://libguides.derby.ac.uk/readinglists
98,Research Support Guides,Open Access Resources,https://libguides.derby.ac.uk/openaccess
99,Research Support Guides,Referencing Software,https://libguides.derby.ac.uk/referencing_software
100,Research Support Guides,Staff Copyright Guide,https://libguides.derby.ac.uk/staffcopyright
101,Research Support Guides,Student Copyright Guide,https://libguides.derby.ac.uk/studentcopyright
102,Research Support Guides,Support for Researchers at the University of Derby,https://libguides.derby.ac.uk/research
103,Research Support Guides,UDORA (University of Derby Online Research Archive),https://libguides.derby.ac.uk/c.php?g=328309
104,Science,Acoustics and Noise Control,https://libguides.derby.ac.uk/acoustics
105,Science,Adventure Sport and Coaching Science,https://libguides.derby.ac.uk/adventuresport
106,Science,Biology and Zoology,https://libguides.derby.ac.uk/biology
107,Science,Biomedical Health & Human Biology,https://libguides.derby.ac.uk/HumanBiology
108,Science,Biosciences,https://libguides.derby.ac.uk/biosciences
109,Science,Environmental Management and Health,https://libguides.derby.ac.uk/environmental
110,Science,Ergonomics,https://libguides.derby.ac.uk/ergonomics
111,Science,Forensic Science,https://libguides.derby.ac.uk/forensic
112,Science,Geography,https://libguides.derby.ac.uk/geography
113,Science,Geology & Environmental Hazards,https://libguides.derby.ac.uk/geology
114,Science,Global Development,https://libguides.derby.ac.uk/thirdworld
115,Science,Mineral Products and Quarry Technology,https://libguides.derby.ac.uk/minerals
116,Science,Outdoor Activities Leadership and Management,https://libguides.derby.ac.uk/outdoor
117,Science,Psychology,https://libguides.derby.ac.uk/psychology
118,Science,Public Health,https://libguides.derby.ac.uk/publichealth
119,Science,Sport and Exercise,https://libguides.derby.ac.uk/sportkr
120,Social Sciences,Global Development,https://libguides.derby.ac.uk/thirdworld
121,Social Sciences,International Relations,https://libguides.derby.ac.uk/internationalrelations
122,Social Sciences,Sociology,https://libguides.derby.ac.uk/sociology
