,Category,Subject,Link
0,*General / Interdisciplinary,Academic Research: A Guide for International Students,https://libguides.du.edu/internationalstudentguide
1,*General / Interdisciplinary,Academic Search Complete Database,https://libguides.du.edu/asc
2,*General / Interdisciplinary,Annotated Bibliographies,https://libguides.du.edu/annotatedbibliographies
3,*General / Interdisciplinary,Article Linker: Getting to Online Full Text,https://libguides.du.edu/c.php?g=90221
4,*General / Interdisciplinary,Center for Research Libraries,https://libguides.du.edu/CRL
5,*General / Interdisciplinary,Citation Analysis & Bibliometrics,https://libguides.du.edu/citationanalysis
6,*General / Interdisciplinary,Cool Tools,https://libguides.du.edu/cool_tools
7,*General / Interdisciplinary,E-books,https://libguides.du.edu/ebooks
8,*General / Interdisciplinary,Fake News,https://libguides.du.edu/fake-news
9,*General / Interdisciplinary,Finding Quotations,https://libguides.du.edu/quotations
10,*General / Interdisciplinary,Finding the Full-Text of Articles with a Citation,https://libguides.du.edu/findingfulltext
11,*General / Interdisciplinary,Foreign Press Translations In Print,https://libguides.du.edu/foreignpress
12,*General / Interdisciplinary,Government Documents Ready Reference Online Shelf,https://libguides.du.edu/DocsRef
13,*General / Interdisciplinary,Information Visualization,https://libguides.du.edu/visualization
14,*General / Interdisciplinary,Internet Searching,https://libguides.du.edu/Internet
15,*General / Interdisciplinary,Library Instruction Services,https://libguides.du.edu/libraryinstruction
16,*General / Interdisciplinary,"Literature Reviews for the Humanities, Social Sciences, & Sciences",https://libguides.du.edu/litreview
17,*General / Interdisciplinary,Microfilm Instructions,https://libguides.du.edu/microfilm
18,*General / Interdisciplinary,Multimodal Resources,https://libguides.du.edu/multimodal
19,*General / Interdisciplinary,Newspapers - Current,https://libguides.du.edu/currentnewspapers
20,*General / Interdisciplinary,Prospector Tutorial,https://libguides.du.edu/prospector
21,*General / Interdisciplinary,RefWorks Tutorial,https://libguides.du.edu/Refworks
22,*General / Interdisciplinary,Scholarly Communication and Open Access Resources,https://libguides.du.edu/scoa
23,*General / Interdisciplinary,Searching with Compass,https://libguides.du.edu/c.php?g=568230
24,*General / Interdisciplinary,Streaming Media,https://libguides.du.edu/streaming
25,*General / Interdisciplinary,The Library Catalog,https://libguides.du.edu/catalog
26,*General / Interdisciplinary,Using the Library of Congress Classification System in the Main Library,https://libguides.du.edu/callnumbers
27,*General / Interdisciplinary,Using Yewno Discover,https://libguides.du.edu/yewno
28,Anthropology,"ANTH 2020 Artifacts, Texts, and Meanings",https://libguides.du.edu/ANTH2020
29,Anthropology,ANTH 3701 - Archaeology of Colonial Entanglements,https://libguides.du.edu/anth3701
30,Anthropology,Anthropology,https://libguides.du.edu/anthropology
31,Anthropology,ASEM 2449 American Material Culture,https://libguides.du.edu/materialculture
32,Anthropology,ASEM 2697 Muslims and Identity in Europe,https://libguides.du.edu/muslimsidentityeurope
33,Anthropology,"Literature Reviews for the Humanities, Social Sciences, & Sciences",https://libguides.du.edu/litreview
34,Anthropology,Museum Studies,https://libguides.du.edu/museumstudies
35,Archival Resources,Archival Resources,https://libguides.du.edu/archive
36,Archival Resources,Center on Human Rights Education Research Guide,https://libguides.du.edu/COHRE
37,Archival Resources,University Archives,https://libguides.du.edu/universityarchives
38,Area Studies,18th Century British Digital Collections,https://libguides.du.edu/18thcenturybritish
39,Area Studies,Asian Studies,https://libguides.du.edu/asianstudies
40,Area Studies,Center on Human Rights Education Research Guide,https://libguides.du.edu/COHRE
41,Area Studies,Country Studies,https://libguides.du.edu/CountryStudies
42,Area Studies,Islamic Studies,https://libguides.du.edu/islamicstudies
43,Area Studies,JAPN 3100 - Advanced Conversation & Composition,https://libguides.du.edu/japn3100
44,Area Studies,Modern Japan: Changing Perspectives in Literature and Culture,https://libguides.du.edu/modernjapan
45,Area Studies,Resources for American History,https://libguides.du.edu/history
46,Art & Art History,African American Studies,https://libguides.du.edu/africanamericanstudies
47,Art & Art History,Art - BA Portfolio,https://libguides.du.edu/artBAportfolio
48,Art & Art History,Art - Photography,https://libguides.du.edu/photography
49,Art & Art History,Art - Professional Practice,https://libguides.du.edu/professionalpractice
50,Art & Art History,Art - Websites for Studio Artists,https://libguides.du.edu/studioartwebsites
51,Art & Art History,Art and Art History,https://libguides.du.edu/artandarthistory
52,Art & Art History,Art and the Envrionment,https://libguides.du.edu/art_environment
53,Art & Art History,Art and the History of Science,https://libguides.du.edu/arth4333
54,Art & Art History,Art History - Contemporary Native American Art,https://libguides.du.edu/contemporarynativeamericanart
55,Art & Art History,Art History - Native American Art,https://libguides.du.edu/nativeamericanart
56,Art & Art History,Art of Mesoamerica,https://libguides.du.edu/mesoamericanart
57,Art & Art History,Art of the Andes,https://libguides.du.edu/artandes
58,Art & Art History,Art of the Maya,https://libguides.du.edu/maya
59,Art & Art History,ART2820 - Survey of Art,https://libguides.du.edu/artsurvey
60,Art & Art History,ARTH - English Artists and Biography: Victorians through Bloomsbury,https://libguides.du.edu/englishartistsbiography
61,Art & Art History,ARTH 3701 - Place and Spirituality in Asia,https://libguides.du.edu/arth3701
62,Art & Art History,ARTH 3832 - Nineteenth Century Art,https://libguides.du.edu/c.php?g=90192
63,Art & Art History,ARTH 3864 - Buddhism and the Fine Arts,https://libguides.du.edu/buddhism_and_the_fine_arts
64,Art & Art History,Contemporary Art,https://libguides.du.edu/contemporaryart
65,Art & Art History,Emergent Digital Practices,https://libguides.du.edu/emergentdigitalpractices
66,Art & Art History,Images,https://libguides.du.edu/images
67,Art & Art History,Medieval Art,https://libguides.du.edu/medievalart
68,Art & Art History,Museum Studies,https://libguides.du.edu/museumstudies
69,Art & Art History,Twentieth Century Art in Latin America,https://libguides.du.edu/latinamericanart
70,Art & Art History,Women in Art,https://libguides.du.edu/womeninart
71,Art & Art History,World Art II,https://libguides.du.edu/worldartii
72,Art & Art History,World Art III,https://libguides.du.edu/worldart3
73,Asian Studies,American Dream and Asian American Experience,https://libguides.du.edu/asianamericans
74,Asian Studies,Asian Studies,https://libguides.du.edu/asianstudies
75,Asian Studies,ECON 2510 - The Asian Economies Research Guide,https://libguides.du.edu/econ2510
76,Biology,A Guide to Biology Research,https://libguides.du.edu/biology
