,Category,Subject,Link
0,African / African-American Studies,African/African-American Studies,https://libguides.eku.edu/afa
1,Agriculture,Agriculture Research Guide,https://libguides.eku.edu/agriculture
2,Anthropology,ANT 201 Research Guide,https://libguides.eku.edu/ant201
3,Anthropology,Anthropology Research Guide,https://libguides.eku.edu/anthropology
4,Appalachian Studies,APP 200 Introduction to Appalachia: Research Guide,https://libguides.eku.edu/appalachianstudies/app200
5,Appalachian Studies,Appalachian Studies Research Guide,https://libguides.eku.edu/appalachianstudies
6,Applied Engineering & Technology,Applied Engineering and Technology - Research Guide,https://libguides.eku.edu/aeandt
7,Art & Design,Art & Design - ARH 494 - Research Guide,https://libguides.eku.edu/arh496
8,Art & Design,Art & Design - Research Guide,https://libguides.eku.edu/art-design
9,Art & Design,Cricut Explore - Topic Guide,https://libguides.eku.edu/cricut
10,Asian Studies,Asian Studies,https://libguides.eku.edu/asianstudies
11,Biology,BIO 801 Research Guide,https://libguides.eku.edu/bio801
12,Biology,Biology Research Guide,https://libguides.eku.edu/biology
13,Biology,WLD 489 Research Guide,https://libguides.eku.edu/wld489
14,Business,BTO 100,https://libguides.eku.edu/BTO
15,Business,Business Research Guide,https://libguides.eku.edu/business
16,Chemistry,CHE 385 Research Guide,https://libguides.eku.edu/che385
17,Chemistry,Chemistry Research Guide,https://libguides.eku.edu/chemistry
18,Communication,CMS 100 Kolloff,https://libguides.eku.edu/cms100kolloff
19,Computer Science,Computer Science Research Guide,https://libguides.eku.edu/cs
20,Criminal Justice,Corrections and Juvenile Justice Research Guide,https://libguides.eku.edu/corrections
21,Criminal Justice,Criminal Justice Research Guide,https://libguides.eku.edu/criminaljustice
22,Criminal Justice,CRJ 388 Research Guide,https://libguides.eku.edu/crj388
23,Criminal Justice,Women Police PLS 330 Research Guide,https://libguides.eku.edu/pls330
24,Economics,Economics Research Guide,https://libguides.eku.edu/economics
25,Education,"Children's, Adolescent, & Young Adult Literature Research Guide",https://libguides.eku.edu/cayalit
26,Education,Counseling and Educational Psychology Research Guide,https://libguides.eku.edu/counselingandedpsych
27,Education,Cricut Explore - Topic Guide,https://libguides.eku.edu/cricut
28,Education,Digital Storytelling & Booktalking Guide,https://libguides.eku.edu/digitalstorytellingandbooktalking
29,Education,Education Research Guide,https://libguides.eku.edu/education
30,Education,Educational Leadership and Policy Studies Research Guide,https://libguides.eku.edu/educationalleadership
31,Education,EMG 806 Course Guide,https://libguides.eku.edu/education/emg806
32,Education,EMS 300/EDC 300 Course Guide,https://libguides.eku.edu/ems300
33,Education,EMS 474 Course Guide,https://libguides.eku.edu/ems474
34,Education,EMS 846 Social Studies Investigation: Research Guide,https://libguides.eku.edu/ems846
35,Education,Special Education,https://libguides.eku.edu/specialeducation
36,Emergency Medical Care,Emergency Medical Care Research Guide,https://libguides.eku.edu/emergencymedicalcare
37,English,English & Literary Resources,https://libguides.eku.edu/englit
38,English,First Year Writing Research Guide,https://libguides.eku.edu/fyw
39,Environmental Health Science,Environmental Health Science Research Guide,https://libguides.eku.edu/ehs
40,Environmental Health Science,Master of Public Health Research Guide,https://libguides.eku.edu/mph
41,Exercise & Sport Science,Exercise & Sport Science Research Guide,https://libguides.eku.edu/exerciseandsportscience
42,Exercise & Sport Science,Sports Law,https://libguides.eku.edu/phe_322
43,Family & Consumer Science,CDF 132 Introduction to the Family: Research Guide,https://libguides.eku.edu/fcs/CDF132
44,Family & Consumer Science,CDF 327S Family Involvement with Young Children: Research Guide,https://libguides.eku.edu/fcs/CDF327S
45,Family & Consumer Science,CDF 437 Family Stress and Resilience: Research Guide,https://libguides.eku.edu/fcs/CDF437
46,Family & Consumer Science,CDF 538 Research Analysis in Child and Family Studies: Research Guide,https://libguides.eku.edu/cdf538
47,Family & Consumer Science,Family & Consumer Sciences Research Guide,https://libguides.eku.edu/fcs
48,Fire,Fire Research Guide,https://libguides.eku.edu/fire
49,Fire,Westlaw Next Research Guide,https://libguides.eku.edu/westlawnext
50,First Year Writing,First Year Writing Research Guide,https://libguides.eku.edu/fyw
51,Forensic Science,FOR 301 Research Guide,https://libguides.eku.edu/FOR301online
52,Forensic Science,FOR 442 Research Guide,https://libguides.eku.edu/FOR442
53,Forensic Science,Forensic Science Research Guide,https://libguides.eku.edu/forensics
54,Geosciences,Geosciences Research Guide,https://libguides.eku.edu/geosciences
55,Government & Law,Legal Research,https://libguides.eku.edu/legalresearch
56,Government & Law,Political Science,https://libguides.eku.edu/politicalscience
57,Health Promotion & Administration,HEA 290,https://libguides.eku.edu/hea290
58,Health Promotion & Administration,Health Promotion & Administration Research Guide,https://libguides.eku.edu/hp
59,Health Promotion & Administration,Master of Public Health Research Guide,https://libguides.eku.edu/mph
60,History,History Research Guide,https://libguides.eku.edu/history
61,Homeland Security,HLS 321W Research Guide,https://libguides.eku.edu/hls321
62,Homeland Security,HLS 403 Intelligence Analysis eCampus Research Guide,https://libguides.eku.edu/hls403collier
63,Homeland Security,HLS 430 Domestic Terrorism Research Guide,https://libguides.eku.edu/hls430
64,Homeland Security,HLS 435 Modern Natural Disasters Research Guide,https://libguides.eku.edu/hls435
65,Homeland Security,HLS 495 Strategic Planning & Leadership Senior Capstone Research Guide,https://libguides.eku.edu/hls495
66,Homeland Security,HLS 820 Terrorism and Intelligence Research Guide,https://libguides.eku.edu/hls820collier
67,Homeland Security,Infrastructure Protection and Risk Analysis Research Guide,https://libguides.eku.edu/criticalinfrastructure
68,Honors,HON 420 - Research Guide,https://libguides.eku.edu/honors
69,"Justice, Policy & Leadership",Corrections and Juvenile Justice Research Guide,https://libguides.eku.edu/corrections
70,"Justice, Policy & Leadership",Criminal Justice Research Guide,https://libguides.eku.edu/criminaljustice
71,"Languages, Cultures, & Humanities","Languages, Cultures, & Humanities Research Guide",https://libguides.eku.edu/languages
