,Category,Subject,Link
0,Accountancy,"Business, Accounting and Finance",https://libguides.exeter.ac.uk/business
1,Anatomy,Anatomy resources,https://libguides.exeter.ac.uk/anatomy
2,Animal Behaviour,Animal Behaviour,https://libguides.exeter.ac.uk/animalbehaviour
3,Anthropology,Anthropology,https://libguides.exeter.ac.uk/anthropology
4,Arab and Islamic Studies,Arab and Islamic Studies,https://libguides.exeter.ac.uk/arabandislamicstudiescollections
5,Archaeology,Archaeology,https://libguides.exeter.ac.uk/archaeology
6,Art History and Visual Culture,Art History and Visual Culture,https://libguides.exeter.ac.uk/AHVC
7,Biosciences,Biosciences,https://libguides.exeter.ac.uk/biosciences
8,Business,"Business, Accounting and Finance",https://libguides.exeter.ac.uk/business
9,Chemistry,Chemistry,https://libguides.exeter.ac.uk/chemistry
10,Classics and Ancient History,Classics and Ancient History,https://libguides.exeter.ac.uk/classics
11,Computer Science,Computer Science,https://libguides.exeter.ac.uk/computerscience
12,Cornish/Celtic studies,Cornish Studies,https://libguides.exeter.ac.uk/cornishstudies
13,Criminology,Criminology,https://libguides.exeter.ac.uk/criminology
14,Drama,Drama,https://libguides.exeter.ac.uk/drama
15,Economics,Economics,https://libguides.exeter.ac.uk/economics
16,Education,Education,https://libguides.exeter.ac.uk/education
17,Education,Education: effective library research,https://libguides.exeter.ac.uk/educationeffectiveresearch
18,Engineering,Engineering,https://libguides.exeter.ac.uk/engineering
19,Engineering,Mining and Minerals Engineering,https://libguides.exeter.ac.uk/mining
20,Engineering,Renewable Energy,https://libguides.exeter.ac.uk/renewable
21,English,English,https://libguides.exeter.ac.uk/english
22,Environmental Studies,Environmental Studies,https://libguides.exeter.ac.uk/environmentalstudies
23,European Studies,European Studies,https://libguides.exeter.ac.uk/european
24,Film Studies,Film Studies,https://libguides.exeter.ac.uk/film
25,Finance,"Business, Accounting and Finance",https://libguides.exeter.ac.uk/business
26,Food Studies,Food Studies,https://libguides.exeter.ac.uk/foodstudies
27,Geography,Geography,https://libguides.exeter.ac.uk/geography
28,Geology,Geology,https://libguides.exeter.ac.uk/geology
29,History,History,https://libguides.exeter.ac.uk/history
30,Law,Law,https://libguides.exeter.ac.uk/law
31,Law,Law - Case Law & Law Reports,https://libguides.exeter.ac.uk/caselaw
32,Law,Law - Books,https://libguides.exeter.ac.uk/lawbooks
33,Law,Law - Citing Legal Sources,https://libguides.exeter.ac.uk/citinglaw
34,Law,Law - Dissertations & Research Papers,https://libguides.exeter.ac.uk/lawdissertations
35,Law,Law - French Law,https://libguides.exeter.ac.uk/FrenchLaw
36,Law,Law - German Law,https://libguides.exeter.ac.uk/GermanLaw
37,Law,Law - Insurance Law,https://libguides.exeter.ac.uk/InsuranceLaw
38,Law,Law - Journals,https://libguides.exeter.ac.uk/lawjournals
39,Law,Law - Key Legal Databases,https://libguides.exeter.ac.uk/lawdatabases
40,Law,Law - Legal Abbreviations,https://libguides.exeter.ac.uk/lawabbreviations
41,Law,Law - Legal Dictionaries & Reference Works,https://libguides.exeter.ac.uk/c.php?g=662301
42,Law,Law - Legislation,https://libguides.exeter.ac.uk/legislation
43,Law,Law - Library Induction and Intro to Legal Sources,https://libguides.exeter.ac.uk/lawinduction
44,Law,Law - LLM Library & Information Sources Induction,https://libguides.exeter.ac.uk/LLMInduction
45,Law,Law - Maritime & Commercial,https://libguides.exeter.ac.uk/MCLaw
46,Law,Law - Treaties,https://libguides.exeter.ac.uk/treaties
47,Law,Penryn Law Guide,https://libguides.exeter.ac.uk/c.php?g=663327
48,Liberal Arts,Liberal Arts,https://libguides.exeter.ac.uk/LiberalArts
49,Management,"Business, Accounting and Finance",https://libguides.exeter.ac.uk/business
50,Mathematics,Mathematics,https://libguides.exeter.ac.uk/maths
51,Medical Imaging,Medical imaging,https://libguides.exeter.ac.uk/medicalimaging
52,Medical Sciences,Medical Sciences,https://libguides.exeter.ac.uk/medicalsciences
53,Medicine,Medicine,https://libguides.exeter.ac.uk/medicine
54,Middle Eastern Studies,Middle Eastern Studies,https://libguides.exeter.ac.uk/middleeast
55,Mining and Minerals Engineering,Mining and Minerals Engineering,https://libguides.exeter.ac.uk/mining
56,Modern Languages,Modern Languages,https://libguides.exeter.ac.uk/modernlanguages
57,Natural Sciences,Natural Sciences,https://libguides.exeter.ac.uk/naturalsciences
58,Neuroscience,Neuroscience,https://libguides.exeter.ac.uk/neuroscience
59,Nursing,Nursing,https://libguides.exeter.ac.uk/nursing
60,Pharmacy,Clinical Pharmacy,https://libguides.exeter.ac.uk/clinicalpharmacy
61,Philosophy,Philosophy,https://libguides.exeter.ac.uk/philosophy
62,Physics and Astronomy,Physics and Astronomy,https://libguides.exeter.ac.uk/physics
63,Politics and International Relations,Politics & International Relations,https://libguides.exeter.ac.uk/politics
64,Psychology,Psychology,https://libguides.exeter.ac.uk/psychology
65,Renewable Energy Engineering,Renewable Energy,https://libguides.exeter.ac.uk/renewable
66,Security Studies,Security Studies,https://libguides.exeter.ac.uk/security
67,Sociology,Sociology,https://libguides.exeter.ac.uk/sociology
68,Sports Science,Sports Science,https://libguides.exeter.ac.uk/sportsscience
69,Theology,Theology and Religion,https://libguides.exeter.ac.uk/theology
70,Tourism Management,Tourism Management,https://libguides.exeter.ac.uk/tourism
