,Category,Subject,Link
0,Arts & Humanities,American Studies,https://libguides.fau.edu/american_history-jupiter
1,Arts & Humanities,Anthropology,https://libguides.fau.edu/anthropology-boca
2,Arts & Humanities,ARC 2461,https://libguides.fau.edu/arc2461
3,Arts & Humanities,Archaeology,https://libguides.fau.edu/archaeology-boca
4,Arts & Humanities,ARH 1930 Honors Art Appreciation-Leader,https://libguides.fau.edu/ARH1930-Leader
5,Arts & Humanities,ARH 2051 Art History-Leader,https://libguides.fau.edu/ARH2051
6,Arts & Humanities,ARH 4371 - 18th and 19th Century Art History,https://libguides.fau.edu/ARH4371-Leader
7,Arts & Humanities,ARH 4937 Art History Senior Seminar - Leader,https://libguides.fau.edu/ARH4937
8,Arts & Humanities,ARH 4937 Art History Senior Seminar - McConnell,https://libguides.fau.edu/ARH4937-McConnell-Sp2015
9,Arts & Humanities,ARH 6897 Visual Art & Sound - McConnell,https://libguides.fau.edu/ARH6987
10,Arts & Humanities,Art,https://libguides.fau.edu/art-boca
11,Arts & Humanities,ART 4954 BA Senior Seminar,https://libguides.fau.edu/ART4954
12,Arts & Humanities,Art History,https://libguides.fau.edu/art_history-boca
13,Arts & Humanities,Classical Studies,https://libguides.fau.edu/classicalstudies-boca
14,Arts & Humanities,Classics,https://libguides.fau.edu/classics
15,Arts & Humanities,Communication,https://libguides.fau.edu/communication-boca
16,Arts & Humanities,ENC 1102 Research-Tal-mason,https://libguides.fau.edu/ENC-1102-tal-mason
17,Arts & Humanities,Ethnic Studies,https://libguides.fau.edu/ethnic_studies-boca
18,Arts & Humanities,EUH 6939: Research Seminar in European History: Cooperation and Resistance in Nazi Germany / Dr. Kollander,https://libguides.fau.edu/EUH6939-Kollander
19,Arts & Humanities,Film,https://libguides.fau.edu/film-boca
20,Arts & Humanities,HIS 3150 Introduction to Historical Study,https://libguides.fau.edu/HIS3150
21,Arts & Humanities,HIS 4935 Senior Seminar in Women's History,https://libguides.fau.edu/HIS4935-Ganson
22,Arts & Humanities,HIS 4935 Senior Seminar: The Rise of Adolf Hitler / Dr. Kollander,https://libguides.fau.edu/HIS4935-kollander
23,Arts & Humanities,Hispanic Latino Heritage Month,https://libguides.fau.edu/hispanic-latino
24,Arts & Humanities,History,https://libguides.fau.edu/history-boca
25,Arts & Humanities,Holocaust & Judaica,https://libguides.fau.edu/holocaust_judaica-boca
26,Arts & Humanities,Humanities,https://libguides.fau.edu/humanities-boca
27,Arts & Humanities,Images,https://libguides.fau.edu/images-boca
28,Arts & Humanities,Judaica & Holocaust,https://libguides.fau.edu/judaica_holocaust-boca
29,Arts & Humanities,LAH 3721 Women in Latin American History,https://libguides.fau.edu/LAH3721-Ganson
