,Category,Subject,Link
0,African American and African Diaspora Cultures,*African American and African Diaspora Cultures,https://libguides.furman.edu/adc
1,African American and African Diaspora Cultures,ADC 475: African Diaspora Capstone,https://libguides.furman.edu/ADC475
2,African American and African Diaspora Cultures,"Ernest E. Harrill Papers, 1954-2012; bulk 1970-1971",https://libguides.furman.edu/special-collections/ernest-harrill-papers
3,African American and African Diaspora Cultures,"James L. Lancaster, Ph.D. Dissertation, “The Origins of Native White Republicanism in NC, 1850-1868” Manuscript Draft",https://libguides.furman.edu/special-collections/james-l-lancaster-dissertation
4,African American and African Diaspora Cultures,Rosa Bogar Publicity Collection,https://libguides.furman.edu/special-collections/rosa-bogar-collection
5,Anthropology,*Anthropology,https://libguides.furman.edu/anthropology
6,Anthropology,ANT 101,https://libguides.furman.edu/ANT101
7,Anthropology,ANT 105: World Prehistory,https://libguides.furman.edu/c.php?g=486583
8,Anthropology,ANT 210: Anthropology of China,https://libguides.furman.edu/ant210
9,Art,*Art,https://libguides.furman.edu/art
10,Art,"ART 230: Arts of the Ancient World I: Egypt, Near East, Greece",https://libguides.furman.edu/art230archino
11,Art,ART 231: Arts of the Ancient World II: Etruscans and Roman,https://libguides.furman.edu/art231watson
12,Art,ART 245: Nineteenth Century Art,https://libguides.furman.edu/art245archino
13,Art,ART 250: Modern Art 1800-1960,https://libguides.furman.edu/art250watkins
14,Art,"P.C. Gregory, Jr. Photographs from the Mediterranean, Peru, Brazil and Mexico",https://libguides.furman.edu/special-collections/pc-gregory-photographs
15,Asian Studies,"""John Lake, Canton, China: A Biography,"" by Carrie Bostick Lake and Hortense Woodson, unpublished manuscript, 1986",https://libguides.furman.edu/special-collections/john-lake-biography
16,Asian Studies,*Asian Studies,https://libguides.furman.edu/asianstudies
17,Asian Studies,AST 211: Media in Asia,https://libguides.furman.edu/ast211
18,Asian Studies,HST 256: Gender History of South Asia,https://libguides.furman.edu/hst256nair
19,Asian Studies,"Robert ""Bob"" W. Smith Collection",https://libguides.furman.edu/special-collections/robert-w-smith-collection
20,Biology,*Biology,https://libguides.furman.edu/biology
21,Biology,*Ecology,https://libguides.furman.edu/ecology
22,Biology,BIO 222: Research & Analysis - Haney,https://libguides.furman.edu/bio222haney
23,Biology,BIO 222: Research & Analysis - Lewis,https://libguides.furman.edu/lewis
24,Business & Accounting,*Business and Accounting,https://libguides.furman.edu/businessandaccounting
25,Business & Accounting,BUS 422: Integrated Marketing Communications,https://libguides.furman.edu/bus422buttell
26,Business & Accounting,Business Block,https://libguides.furman.edu/business-block
27,Business & Accounting,"Business Ledgers: Gower, Mills & Co. and Mills & McBrayer, 1872-1879",https://libguides.furman.edu/special-collections/business-ledgers-2005-061
28,Business & Accounting,ENG 211: Professional Communication - Shackelford,https://libguides.furman.edu/eng211shackelford
29,Business & Accounting,"James F. Esten’s Account Book and Journal, 1833-1837",https://libguides.furman.edu/special-collections/james-f-esten-account-book
30,Business & Accounting,James H. Irby Papers,https://libguides.furman.edu/special-collections/james-h-irby-papers
31,Business & Accounting,"James L. Orr, Jr. Papers",https://libguides.furman.edu/special-collections/james-l-orr-papers
32,Business & Accounting,John H. Bonser Collection of British Legal Documents,https://libguides.furman.edu/special-collections/bonser-british-legal-documents
33,Business & Accounting,The Business Block,https://libguides.furman.edu/c.php?g=486641
34,Business & Accounting,Ware Family Papers 1784-1967,https://libguides.furman.edu/special-collections/ware-family-papers
35,Business & Accounting,"Woodside Cotton Mills Cash Ledger, 1914-1915",https://libguides.furman.edu/special-collections/woodside-mill-ledger
36,Chemistry,*Chemistry,https://libguides.furman.edu/chemistry
37,Chemistry,CHM 250: Intro to Research Methods,https://libguides.furman.edu/chm250
38,Chemistry,FYW: Chemistry and Its Characters,https://libguides.furman.edu/wagen
39,Classics,"""The Reign of Man"", by T.P. Crawford, unpublished manuscript, 1900",https://libguides.furman.edu/special-collections/tp-crawford
40,Classics,*Classics,https://libguides.furman.edu/classics
41,Classics,CLS 231: Reading Latin Literature (Leen),https://libguides.furman.edu/CLS231
42,Communication Studies,*Communication Studies,https://libguides.furman.edu/communicationstudies
43,Communication Studies,COM 101: Public Speaking - Bentley,https://libguides.furman.edu/com101bentley2
44,Communication Studies,COM 101: Public Speaking - DeLancey,https://libguides.furman.edu/COM101delancey
45,Communication Studies,COM 101: Public Speaking - King,https://libguides.furman.edu/com101king
46,Communication Studies,COM 221: Intro to Mass Communication,https://libguides.furman.edu/com221
47,Communication Studies,COM 316: US Public Address Since 1866,https://libguides.furman.edu/com316king
48,Communication Studies,"COM 323: Race, Class, and Gender in the Media",https://libguides.furman.edu/com323
49,Communication Studies,COM 337: International Communications,https://libguides.furman.edu/com337kwami
50,Communication Studies,COM 411: African American Rhetoric,https://libguides.furman.edu/com411king
51,Communication Studies,COM 421C: Advanced Oral Presentations Across Digital Platforms,https://libguides.furman.edu/com421cbuttell
52,Communication Studies,"James J. Collins, Jr. Papers, 1943-1976 and undated",https://libguides.furman.edu/special-collections/james-collins-papers-acc-0000-009
53,Communication Studies,"Rev. Dr. W. Horace Benjamin Papers, 1957-1978",https://libguides.furman.edu/special-collections/horace-benjamin-papers
54,Communication Studies,"Rev. Emerson L. Isler Papers, 1952-1988",https://libguides.furman.edu/special-collections/emerson-isler-papers
