,Category,Subject,Link
0,Africana Studies,Africana Studies,https://libguides.gwu.edu/africanastudies
1,Africana Studies,Race and Gender in the New Negro Era (HIST 2305-12),https://libguides.gwu.edu/newnegroera
2,Africana Studies,Slavery & Freedom,https://libguides.gwu.edu/slavery
3,American Studies,American Studies,https://libguides.gwu.edu/americanstudies
4,American Studies,AMST/HIST 2010 Early American Cultural History,https://libguides.gwu.edu/eachlarson
5,American Studies,"U.S.-China Relations: Background, Issues, and Outlook",https://libguides.gwu.edu/uschina
6,Anthropology,Anthropology,https://libguides.gwu.edu/anth
7,Anthropology,Central Asia,https://libguides.gwu.edu/central_asia
8,Area Studies,Africana Studies,https://libguides.gwu.edu/africanastudies
9,Area Studies,American Studies,https://libguides.gwu.edu/americanstudies
10,Area Studies,Battle of Okinawa,https://libguides.gwu.edu/okinawa/battle
11,Area Studies,Blogging and Microblogging: Archiving and Preserving Non-Official Voices in China’s Anti-Corruption Campaign,https://libguides.gwu.edu/weibo
12,Area Studies,Boris Nemtsov Assassination in Moscow,https://libguides.gwu.edu/nemtsov_assassination
13,Area Studies,Central Asia,https://libguides.gwu.edu/central_asia
14,Area Studies,CHIN 3163: Taiwanese Literature and Film,https://libguides.gwu.edu/c.php?g=624759
15,Area Studies,China Studies,https://libguides.gwu.edu/china
16,Area Studies,Contemporary Russian Politics,https://libguides.gwu.edu/russian_politics
17,Area Studies,Country Information Guide,https://libguides.gwu.edu/country
18,Area Studies,Crisis in Ukraine,https://libguides.gwu.edu/CrisisinUkraine
19,Area Studies,Global Resources Center Database Guide,https://libguides.gwu.edu/grcdatabases
20,Area Studies,Guide to Chinese Foreign Policy,https://libguides.gwu.edu/chineseforeignpolicy
21,Area Studies,Guide to PSC6371: POLITICS OF CHINA II:,https://libguides.gwu.edu/PSC6371
22,Area Studies,"International Terrorism: Middle East, Eurasia, and beyond",https://libguides.gwu.edu/international_terrorism
23,Area Studies,Islamic Studies,https://libguides.gwu.edu/Islam
24,Area Studies,Japan Studies,https://libguides.gwu.edu/japan
25,Area Studies,Korean Studies,https://libguides.gwu.edu/korea
26,Area Studies,Latin American Studies Guide,https://libguides.gwu.edu/latinamer
27,Area Studies,Middle East and North Africa by the Global Resources Center,https://libguides.gwu.edu/MENA
28,Area Studies,Okinawa Collection Recent Acquisitions,https://libguides.gwu.edu/OC/recentacquisitions
29,Area Studies,Senkaku Islands (Diaoyudao Islands),https://libguides.gwu.edu/okinawa/senkaku
30,Area Studies,Shanghai in the Spotlight,https://libguides.gwu.edu/shanghai
31,Area Studies,Taiwan Studies,https://libguides.gwu.edu/taiwan
32,Area Studies,Think Tanks in China,https://libguides.gwu.edu/c.php?g=258831
33,Area Studies,"U.S.-China Relations: Background, Issues, and Outlook",https://libguides.gwu.edu/uschina
34,Area Studies,US-Japan Military Base Issues,https://libguides.gwu.edu/okinawa/militarybases
35,Art and Architecture,Art,https://libguides.gwu.edu/art
36,Art and Architecture,Art and the Book,https://libguides.gwu.edu/artistsbooks
37,Art and Architecture,Art Therapy,https://libguides.gwu.edu/arttherapy
38,Art and Architecture,Exhibition Design,https://libguides.gwu.edu/exhibitiondesign
39,Art and Architecture,Finding Images: Photography,https://libguides.gwu.edu/photoimages
40,Art and Architecture,Interior Architecture and Design,https://libguides.gwu.edu/interiordesign
41,Art and Architecture,Photojournalism,https://libguides.gwu.edu/photojournalism
42,Art and Architecture,"Washington, DC Architecture",https://libguides.gwu.edu/dcarchitecture
43,Asia,Battle of Okinawa,https://libguides.gwu.edu/okinawa/battle
44,Asia,Blogging and Microblogging: Archiving and Preserving Non-Official Voices in China’s Anti-Corruption Campaign,https://libguides.gwu.edu/weibo
45,Asia,CHIN 3163: Taiwanese Literature and Film,https://libguides.gwu.edu/c.php?g=624759
46,Asia,China Studies,https://libguides.gwu.edu/china
47,Asia,Guide to Chinese Foreign Policy,https://libguides.gwu.edu/chineseforeignpolicy
48,Asia,Guide to Locating Japanese & Okinawa-related Resources,https://libguides.gwu.edu/okinawa/generalguide
49,Asia,Guide to PSC6371: POLITICS OF CHINA II:,https://libguides.gwu.edu/PSC6371
50,Asia,Japan Studies,https://libguides.gwu.edu/japan
51,Asia,LibGuide for Japanese Language Students,https://libguides.gwu.edu/nihongo
52,Asia,Okinawa Collection Recent Acquisitions,https://libguides.gwu.edu/OC/recentacquisitions
53,Asia,Senkaku Islands (Diaoyudao Islands),https://libguides.gwu.edu/okinawa/senkaku
54,Asia,Shanghai in the Spotlight,https://libguides.gwu.edu/shanghai
55,Asia,Taiwan Studies,https://libguides.gwu.edu/taiwan
56,Asia,Think Tanks in China,https://libguides.gwu.edu/c.php?g=258831
57,Asia,"U.S.-China Relations: Background, Issues, and Outlook",https://libguides.gwu.edu/uschina
58,Asia,US-Japan Military Base Issues,https://libguides.gwu.edu/okinawa/militarybases
59,Business,Business,https://libguides.gwu.edu/business
60,Business,Company Information,https://libguides.gwu.edu/company
61,Business,Decision Sciences and Operations Research,https://libguides.gwu.edu/decision_sciences
62,Business,Entrepreneurship/Small Business,https://libguides.gwu.edu/entrepreneurship
63,Business,Industry Information,https://libguides.gwu.edu/industry
64,Business,Information Technology,https://libguides.gwu.edu/informationtechnology
65,Business,Project Management,https://libguides.gwu.edu/project
66,Business,Social and Environmental Aspects of Business,https://libguides.gwu.edu/social
67,Communication,Communication,https://libguides.gwu.edu/comm
68,Communication,Political Communication,https://libguides.gwu.edu/politicalcommunication
69,Communication,Speech and Hearing,https://libguides.gwu.edu/Speech_and_Hearing
70,Course Guides,BADM 2301 Management Information Systems Technology,https://libguides.gwu.edu/BADM2301
71,Course Guides,Copyright Basics for GW,https://libguides.gwu.edu/copyright
72,Course Guides,"Darwin's Legacy: Science, Religion, and American Politics",https://libguides.gwu.edu/darwins_legacy
73,Course Guides,EDUC 6500: Introduction to Student Affairs and Higher Education,https://libguides.gwu.edu/EDUC6500
74,Course Guides,Evolution of Human Thought,https://libguides.gwu.edu/origins
75,Course Guides,French Films at the GW Libraries,https://libguides.gwu.edu/gelmanfilms
76,Course Guides,Guide to 20th Century China,https://libguides.gwu.edu/20thcenturychina
77,Course Guides,Guide to the Chinese Military,https://libguides.gwu.edu/chinesemilitary
78,Course Guides,GW Libraries for International Students,https://libguides.gwu.edu/internationalstudents
79,Course Guides,Italian 56: Italian Journeys Medieval to Postmodern,https://libguides.gwu.edu/italian56
80,Course Guides,Sexuality in Early American Lit,https://libguides.gwu.edu/sexamlit
81,Course Guides,Slavery & Freedom,https://libguides.gwu.edu/slavery
82,Course Guides,Spanish Language Learners,https://libguides.gwu.edu/learnspanish
83,Course Guides,UDL: Universal Design for Learning,https://libguides.gwu.edu/UDL
84,Course Guides,UW1020: Legacies of the Holocaust,https://libguides.gwu.edu/legacies
85,Course Guides,UW1020: Writing for Social Change,https://libguides.gwu.edu/write4change
86,Course Guides,Women's Leadership Program,https://libguides.gwu.edu/wlp
