,Category,Subject,Link
0,Health Sciences,Clinical Management and Leadership,https://libguides.gwumc.edu/CML
1,Health Sciences,Clinical Research Administration,https://libguides.gwumc.edu/ClinicalResearchAdministration
2,Health Sciences,Cultural Competency,https://libguides.gwumc.edu/culturalcompetency
3,Health Sciences,HIV/AIDS,https://libguides.gwumc.edu/hiv-aids
4,Health Sciences,Immunohematology,https://libguides.gwumc.edu/Immunohematology
5,Health Sciences,Immunology,https://libguides.gwumc.edu/immunology
6,Health Sciences,MS3 Clerkships: Information Resources,https://libguides.gwumc.edu/ms3clerkships
7,Health Sciences,MS4 Electives,https://libguides.gwumc.edu/electives
8,Health Sciences,Nurse Practitioners,https://libguides.gwumc.edu/nursepractitioners
9,Health Sciences,Nursing,https://libguides.gwumc.edu/Nursing
10,Health Sciences,Pharmacology,https://libguides.gwumc.edu/pharmacology
11,Health Sciences,Physical Therapy,https://libguides.gwumc.edu/PT
12,Health Sciences,Physician Assistants,https://libguides.gwumc.edu/pa
13,Health Sciences,Psychology Resources,https://libguides.gwumc.edu/Psychology
14,Health Sciences,Radiology,https://libguides.gwumc.edu/radiology
15,Medicine,ABOG Maintenance of Certification Readings,https://libguides.gwumc.edu/ABOG
16,Medicine,Anatomy Resources,https://libguides.gwumc.edu/anatomy
17,Medicine,Anesthesiology Residency @ GW,https://libguides.gwumc.edu/anesthesia
18,Medicine,Board Preparation: USMLE Step 1,https://libguides.gwumc.edu/step1
19,Medicine,Board Preparation: USMLE Step 2,https://libguides.gwumc.edu/step2
20,Medicine,Board Preparation: USMLE Step 3,https://libguides.gwumc.edu/step3
21,Medicine,Case Reports,https://libguides.gwumc.edu/casereports
22,Medicine,Complementary and Alternative Medicine (CAM),https://libguides.gwumc.edu/CAM
23,Medicine,Cultural Competency,https://libguides.gwumc.edu/culturalcompetency
24,Medicine,Dermatology,https://libguides.gwumc.edu/dermatology
25,Medicine,Emergency Medicine,https://libguides.gwumc.edu/emergency
26,Medicine,Emergency Preparedness and Response Resources,https://libguides.gwumc.edu/preparedness
27,Medicine,Evidence Based Medicine,https://libguides.gwumc.edu/ebm
28,Medicine,Geriatrics & Palliative Medicine,https://libguides.gwumc.edu/geriatrics
29,Medicine,Internal Medicine Residency Readings,https://libguides.gwumc.edu/imreadings
30,Medicine,MD Program,https://libguides.gwumc.edu/md
31,Medicine,Medicine,https://libguides.gwumc.edu/medicine
32,Medicine,MS3 Clerkships: Information Resources,https://libguides.gwumc.edu/ms3clerkships
33,Medicine,MS4 Electives,https://libguides.gwumc.edu/electives
34,Medicine,OBResidents,https://libguides.gwumc.edu/OBResidents
35,Medicine,Pathology,https://libguides.gwumc.edu/pathology
36,Medicine,Pharmacology,https://libguides.gwumc.edu/pharmacology
37,Medicine,Psychiatry Resources,https://libguides.gwumc.edu/Psychiatry
38,Medicine,Wertlieb Long-Term Care Resources,https://libguides.gwumc.edu/Wertlieb
39,Nursing,Anatomy Resources,https://libguides.gwumc.edu/anatomy
40,Nursing,Cultural Competency,https://libguides.gwumc.edu/culturalcompetency
41,Nursing,Nurse Practitioners,https://libguides.gwumc.edu/nursepractitioners
42,Nursing,Nursing,https://libguides.gwumc.edu/Nursing
43,Public Health,Clinical and Translational Sciences,https://libguides.gwumc.edu/ctsi
44,Public Health,Complementary and Alternative Medicine (CAM),https://libguides.gwumc.edu/CAM
45,Public Health,Cultural Competency,https://libguides.gwumc.edu/culturalcompetency
46,Public Health,Emergency Preparedness and Response Resources,https://libguides.gwumc.edu/preparedness
47,Public Health,Environmental and Occupational Health,https://libguides.gwumc.edu/eoh
48,Public Health,Epidemiology and Biostatistics,https://libguides.gwumc.edu/EpiBiostats
49,Public Health,Exercise & Nutrition Sciences,https://libguides.gwumc.edu/exercisescience
50,Public Health,Foundations of Sports Psychology: EXSC 2117W,https://libguides.gwumc.edu/FDN_SPORT_PSYCH
51,Public Health,Global Health,https://libguides.gwumc.edu/globalhealth
52,Public Health,GWSPH 3133 Global Health and Development,https://libguides.gwumc.edu/gwsph3133
53,Public Health,Health Care Quality,https://libguides.gwumc.edu/HCQ
54,Public Health,Health Economics,https://libguides.gwumc.edu/HealthEconomics
55,Public Health,Health Information Technology/Informatics,https://libguides.gwumc.edu/HIT
56,Public Health,Health Policy,https://libguides.gwumc.edu/healthpolicy
57,Public Health,Health Services Management and Leadership,https://libguides.gwumc.edu/hsml
58,Public Health,HSML 6213: Health Services Marketing and Planning,https://libguides.gwumc.edu/hsml6213
59,Public Health,International Food and Nutrition Programs and Policies,https://libguides.gwumc.edu/global_nutrition
60,Public Health,Introduction to Public Health Communication & Marketing: PubH 6503.10,https://libguides.gwumc.edu/PH_Comm_Mktg
61,Public Health,Milken Institute School of Public Health,https://libguides.gwumc.edu/misph
62,Public Health,Nutrition,https://libguides.gwumc.edu/nutrition
63,Public Health,Prevention & Community Health,https://libguides.gwumc.edu/prevention_and_community_health
64,Public Health,Psychology of Injury and Performance: EXNS 3123W (WID),https://libguides.gwumc.edu/Psych_Injury
65,Public Health,PubH 105: Plagues and Peoples,https://libguides.gwumc.edu/pubh105
66,Public Health,Public Health Doctoral Studies (PhD and DrPH),https://libguides.gwumc.edu/PhD
67,Public Health,Public Health Microbiology,https://libguides.gwumc.edu/micro
68,Public Health,Public Health Reference,https://libguides.gwumc.edu/PubHlthRef
69,Public Health,Wertlieb Long-Term Care Resources,https://libguides.gwumc.edu/Wertlieb
70,Research,Active Learning Resources (Himmelfarb Library),https://libguides.gwumc.edu/activelearning
71,Research,AMA Citation Style,https://libguides.gwumc.edu/AMA
72,Research,"APA Citation Style, 6th edition",https://libguides.gwumc.edu/APA
73,Research,Autism,https://libguides.gwumc.edu/autism
74,Research,Consumer Health Resources,https://libguides.gwumc.edu/ConsumerHealth
75,Research,Copyright,https://libguides.gwumc.edu/copyright
76,Research,Creating an Annotated Bibliography,https://libguides.gwumc.edu/annotatedbibliography
77,Research,Critical Appraisal of Research Articles,https://libguides.gwumc.edu/CriticalAppraisal
78,Research,Data Management Plans,https://libguides.gwumc.edu/DMP
79,Research,Find Libraries Near You,https://libguides.gwumc.edu/librariesnearyou
80,Research,Freely Available Resources,https://libguides.gwumc.edu/free
81,Research,GW Research Day Resources,https://libguides.gwumc.edu/ResearchDay
82,Research,Harvard Citation Style,https://libguides.gwumc.edu/harvard_citation
83,Research,Healthy Living @ Himmelfarb,https://libguides.gwumc.edu/healthyliving
84,Research,Infographics,https://libguides.gwumc.edu/Infographics
85,Research,Institute for Biomedical Sciences,https://libguides.gwumc.edu/IBS
86,Research,Interlibrary Loan and Document Delivery,https://libguides.gwumc.edu/interlibraryloan
87,Research,Linking to Electronic Resources: Creating Durable Links,https://libguides.gwumc.edu/durablelinks
88,Research,Medical Education Research,https://libguides.gwumc.edu/education
89,Research,Mobile/Handheld Resources,https://libguides.gwumc.edu/mobile
90,Research,Neglected Infectious Diseases,https://libguides.gwumc.edu/neglected_diseases
91,Research,Open access to publicly funded journal articles & research data,https://libguides.gwumc.edu/NIHcompliance
92,Research,Panopto Guide,https://libguides.gwumc.edu/panopto
93,Research,PollEverywhere,https://libguides.gwumc.edu/polleverywhere
94,Research,Predatory Publishing,https://libguides.gwumc.edu/PredatoryPublishing
95,Research,Reference and Research Resources,https://libguides.gwumc.edu/reference
96,Research,RefWorks Classic,https://libguides.gwumc.edu/refworks
97,Research,Researcher Services and Support,https://libguides.gwumc.edu/researcher-services
98,Research,Scholarly Publishing,https://libguides.gwumc.edu/scholarlypub
99,Research,Systematic reviews,https://libguides.gwumc.edu/systematic_review
