,Category,Subject,Link
0,Academic Integrity & Plagiarism,Academic Integrity & Plagiarism,https://libguides.kpu.ca/academicintegrity
1,Academic Integrity & Plagiarism,Citation Styles,https://libguides.kpu.ca/citations
2,Accounting,Accounting,https://libguides.kpu.ca/accounting
3,Agriculture,Sustainable Agriculture,https://libguides.kpu.ca/agriculture
4,Anthropology,Anthropology,https://libguides.kpu.ca/anth
5,Anthropology,Food Studies,https://libguides.kpu.ca/c.php?g=702020
6,Asian Studies,Asian Studies,https://libguides.kpu.ca/asian-studies
7,Biology,Biology,https://libguides.kpu.ca/biology
8,Brewing,Brewing and Brewery Operations,https://libguides.kpu.ca/brewing
9,Business,Accounting,https://libguides.kpu.ca/accounting
10,Business,Business,https://libguides.kpu.ca/busi
11,Business,Business Statistics,https://libguides.kpu.ca/busistatistics
12,Business,Computer Science & Information Technology,https://libguides.kpu.ca/computer
13,Business,Economics,https://libguides.kpu.ca/econ
14,Business,Human Resource Management,https://libguides.kpu.ca/HR
15,Business,Marketing,https://libguides.kpu.ca/market
16,Business,Operations and Supply Chain Management,https://libguides.kpu.ca/OSCM
17,Business,Public Relations,https://libguides.kpu.ca/pr
18,Business,Small Business and Entrepreneurship,https://libguides.kpu.ca/entre
19,Business,Statistics,https://libguides.kpu.ca/stats
20,Business,Technical Management and Services,https://libguides.kpu.ca/TMAS
21,CADD,CADD Computer-aided Design and Drafting,https://libguides.kpu.ca/cadd
22,Chemistry,Chemistry,https://libguides.kpu.ca/chem
23,Citations & Research help,Academic Integrity & Plagiarism,https://libguides.kpu.ca/academicintegrity
24,Citations & Research help,APA Citation Style,https://libguides.kpu.ca/apa
25,Citations & Research help,Citation Styles,https://libguides.kpu.ca/citations
26,Citations & Research help,"Images--How to Find, Use and Cite",https://libguides.kpu.ca/citing_images
27,Citations & Research help,Information Literacy,https://libguides.kpu.ca/InfoLit
28,Citations & Research help,MLA Citation Style,https://libguides.kpu.ca/mla
29,Citations & Research help,"Reference - Encyclopedias, Dictionaries, Directories, etc.",https://libguides.kpu.ca/reference
30,Citations & Research help,Research Help,https://libguides.kpu.ca/research
31,Computer Science & Information Technology,Computer Science & Information Technology,https://libguides.kpu.ca/computer
32,Copyright,Copyright & You,https://libguides.kpu.ca/copyright
33,Creative Writing,Creative Writing,https://libguides.kpu.ca/writing
34,Criminology,Criminology,https://libguides.kpu.ca/crim
35,Criminology,Government Information,https://libguides.kpu.ca/gov
36,Criminology,Law,https://libguides.kpu.ca/law
37,"Data, Statistics & GIS",Business Statistics,https://libguides.kpu.ca/busistats
38,"Data, Statistics & GIS",Business Statistics,https://libguides.kpu.ca/busistatistics
39,"Data, Statistics & GIS",Data Services,https://libguides.kpu.ca/data
40,"Data, Statistics & GIS",GIS Services,https://libguides.kpu.ca/gis
41,"Data, Statistics & GIS",Government Information,https://libguides.kpu.ca/gov
42,"Data, Statistics & GIS",Statistics,https://libguides.kpu.ca/stats
43,Design,"Design (DESN, FIND)",https://libguides.kpu.ca/Design
44,Design,Digital Physicalities Collection,https://libguides.kpu.ca/DigitalPhysicalities
45,Design,Fashion (FASN),https://libguides.kpu.ca/fashion
46,Design,Fashion Marketing (FMRK),https://libguides.kpu.ca/FashionMarketing
47,Design,History of Costume,https://libguides.kpu.ca/CostumeHistory
48,Design,Interior Design (IDSN),https://libguides.kpu.ca/interiordesign
49,Design,Product Design (DEPD),https://libguides.kpu.ca/productdesign
50,Design,Technical Apparel (DETA),https://libguides.kpu.ca/technicalapparel
51,Economics,Economics,https://libguides.kpu.ca/econ
52,Education,Education Assistant Program (EDAS),https://libguides.kpu.ca/c.php?g=695811
53,Education,Educational Studies,https://libguides.kpu.ca/c.php?g=666126
54,English,English,https://libguides.kpu.ca/english
55,English,English Language Studies / English Qualifying,https://libguides.kpu.ca/ELST
56,Environmental Protection Technology,Environmental Protection Technology,https://libguides.kpu.ca/ept
57,Fine Arts,Fine Arts,https://libguides.kpu.ca/finearts
58,Geography,Geography and the Environment,https://libguides.kpu.ca/geography
59,Government Info,GIS Services,https://libguides.kpu.ca/gis
60,Government Info,Government Information,https://libguides.kpu.ca/gov
61,Government Info,Law,https://libguides.kpu.ca/law
62,Government Info,Political Science,https://libguides.kpu.ca/poli
63,Health Sciences,Acupuncture,https://libguides.kpu.ca/acupuncture
64,Health Sciences,Health Care Assistant,https://libguides.kpu.ca/hca
65,Health Sciences,Health Science,https://libguides.kpu.ca/health_sciences
66,Health Sciences,Health Studies,https://libguides.kpu.ca/healthstudies
67,Health Sciences,Health Unit Coordinator,https://libguides.kpu.ca/HAUC
68,History,American History,https://libguides.kpu.ca/american-history
69,History,British History,https://libguides.kpu.ca/british-history
70,History,Canadian History,https://libguides.kpu.ca/canadian-history
71,History,History / World History,https://libguides.kpu.ca/history
72,History,Medieval History,https://libguides.kpu.ca/medieval-history
73,Horticulture,Horticulture,https://libguides.kpu.ca/hort
74,Horticulture,Kwantlen Seed Library,https://libguides.kpu.ca/seeds
75,Human Resource Management,Human Resource Management,https://libguides.kpu.ca/HR
76,Indigenous Studies,Indigenous Studies,https://libguides.kpu.ca/indigenous
77,Job & Career Search,Job and Career Search: Choosing a Career,https://libguides.kpu.ca/career
