,Category,Subject,Link
0,Accessibility and Assistive Technology,Library Accessibility and Technology,https://libguides.lehman.edu/library-accessibility-and-technology
1,African American Studies,AAS 390 Research Methods African American Studies,https://libguides.lehman.edu/aasmethods
2,African American Studies,AAS/HIS 245 History of African Americans,https://libguides.lehman.edu/aas245
3,African American Studies,African American Studies,https://libguides.lehman.edu/african-american-studies
4,African American Studies,CREATED EQUAL: America's Civil Rights Struggle,https://libguides.lehman.edu/createdequal
5,African American Studies,Gee's Bend,https://libguides.lehman.edu/GeesBend
6,African American Studies,HIS 780-XW81 Seminar in History,https://libguides.lehman.edu/seminar
7,African American Studies,The African American Civil Rights Movement (1954-1968),https://libguides.lehman.edu/CivilRights
8,Anthropology,ANT238 Ethnography of Latin America,https://libguides.lehman.edu/ant-forero_pena
9,Anthropology,Anthropology,https://libguides.lehman.edu/anthropology
10,Art and Art History,Art and Art History,https://libguides.lehman.edu/art
11,Astronomy,Astronomy,https://libguides.lehman.edu/astronomy
12,Biology,BIO 184: Plants and People,https://libguides.lehman.edu/bio184
13,Biology,BIO 400/644: Biological Chemistry Course Guide,https://libguides.lehman.edu/bio400
14,Biology,BIO 450/630/791: Biology Seminar,https://libguides.lehman.edu/bio450
15,Biology,Biology,https://libguides.lehman.edu/biology
16,Business and Economics,"ACC 442, Professor Lisser",https://libguides.lehman.edu/lisser_acc
17,Business and Economics,"BBA 204 Principles of Management, Prof. Rosh",https://libguides.lehman.edu/principles-of-management-prof-rosh
18,Business and Economics,BBA 204 Prof. Choudhary,https://libguides.lehman.edu/bba204choudhary
19,Business and Economics,BBA 204 Prof. Doyran,https://libguides.lehman.edu/bba204doyran
20,Business and Economics,BBA 204 Prof. Fuller,https://libguides.lehman.edu/BBA204fuller
21,Business and Economics,BBA 204 Prof. Merguzhis,https://libguides.lehman.edu/merguzhis_204
22,Business and Economics,BBA 204 Prof. Tormey,https://libguides.lehman.edu/bba204tormey
23,Business and Economics,BBA 204-Online: Professor Choudhary,https://libguides.lehman.edu/bba_204_Choudhary_Online
24,Business and Economics,BBA 204: Professor Sanders,https://libguides.lehman.edu/bba_204_sanders_online
25,Business and Economics,BBA 403 Delacruz,https://libguides.lehman.edu/BBA403
26,Business and Economics,BBA 407 Prof. Doyran,https://libguides.lehman.edu/BBA407/Doyran
27,Business and Economics,BBA 407 Prof. Fuller,https://libguides.lehman.edu/bba407/fuller
28,Business and Economics,BBA 407 Prof. Sutherland,https://libguides.lehman.edu/BBA407
29,Business and Economics,"BBA 407, Prof. Choudhary",https://libguides.lehman.edu/choudhary-bba407
30,Business and Economics,Business and Economics,https://libguides.lehman.edu/economics_databases
31,Business and Economics,Econometrics,https://libguides.lehman.edu/econometrics
32,Business and Economics,Economics & Business Department: Business Statistics,https://libguides.lehman.edu/economics_business_hurley_statistics
33,Business and Economics,"ENW 304, Prof. Anderson, Grant-Writing",https://libguides.lehman.edu/grant_writing-anderson
34,Business and Economics,LEH 450: Professor Sanders,https://libguides.lehman.edu/Sanders_Cuba
35,Business and Economics,Market Research Guide - Video Tutorials,https://libguides.lehman.edu/market_research
36,Business and Economics,MSB 795 Prof. Choudhary Seminar in Strategic Management,https://libguides.lehman.edu/msb795choudhary
37,Business and Economics,Organizational Leadership,https://libguides.lehman.edu/organizationalleadership
38,Business and Economics,SAGE Research Methods Database,https://libguides.lehman.edu/sage_research_methods
39,Business and Economics,Small Business Development Center,https://libguides.lehman.edu/sbdc
40,Business and Economics,Statistics and Data,https://libguides.lehman.edu/statistics-and-data
41,Business and Economics,Video Tutorials: Searching Databases for Company Information,https://libguides.lehman.edu/bustutorialsbscdatabase
42,Careers and Occupations,Careers & Occupations,https://libguides.lehman.edu/careers
43,Chemistry,CHE 450 - Chemistry Seminar,https://libguides.lehman.edu/che450
44,Chemistry,Chemistry,https://libguides.lehman.edu/chemistry
45,Citations,Citation Style Guide,https://libguides.lehman.edu/citation
46,Citations,Citing Government Documents,https://libguides.lehman.edu/citing-government-documents
47,Citations,Planning against Plagiarism,https://libguides.lehman.edu/planning_against_plagiarism
48,Citations,RefWorks,https://libguides.lehman.edu/refworks
49,Citations,Zotero,https://libguides.lehman.edu/zotero
50,Citizenship & Immigration,Citizenship and Immigration,https://libguides.lehman.edu/citizenship-immigration
51,Citizenship & Immigration,"DACA, Immigration & Sanctuary Campuses",https://libguides.lehman.edu/immigration
52,Citizenship & Immigration,SOC 320 Immigration and Adaptation,https://libguides.lehman.edu/soc320-spence
53,Computer Science,Computer Science,https://libguides.lehman.edu/computer-science
54,Computer Science,iPad,https://libguides.lehman.edu/ipad
55,Dance,DNC 345,https://libguides.lehman.edu/dnc345
56,Education,Certification,https://libguides.lehman.edu/Certification
57,Education,Childhood Education,https://libguides.lehman.edu/childhood_education
58,Education,Children's Books--Content Area Themes and Topics,https://libguides.lehman.edu/ChildrensBooksThemes
59,Education,Early Childhood Education,https://libguides.lehman.edu/early_childhood
60,Education,EdTPA: Early Childhood,https://libguides.lehman.edu/EdTPAEarlyChildhood
61,Education,Education,https://libguides.lehman.edu/education
62,Education,Education - Counseling,https://libguides.lehman.edu/educationcounseling
63,Education,Education - Curriculum Materials,https://libguides.lehman.edu/curriculum
64,Education,Education - For Faculty,https://libguides.lehman.edu/education_faculty
65,Education,Education Community Information,https://libguides.lehman.edu/EducationCommunity
66,Education,Exploration: Imaginative Learning and Innovative Teaching,https://libguides.lehman.edu/Exploration
67,Education,Foreign Language Education,https://libguides.lehman.edu/foreignlanguage
68,Education,Innovation: Quantitative Reasoning,https://libguides.lehman.edu/quantitative-reasoning-innovation
69,Education,Inquiry and Creativity in Higher Education,https://libguides.lehman.edu/InquiryandCreativity
70,Education,Juvenile Literature,https://libguides.lehman.edu/juvenile
71,Education,Leadership in Education,https://libguides.lehman.edu/leadership
72,Education,Lehman College Read Aloud Resource,https://libguides.lehman.edu/ReadAloudResource
73,Education,Literacy,https://libguides.lehman.edu/literacy
74,Education,Middle and High School Education - English Education,https://libguides.lehman.edu/EnglishEducation
75,Education,Middle and High School Education - Math Education,https://libguides.lehman.edu/math_education
76,Education,Middle and High School Education - Social Studies Education,https://libguides.lehman.edu/social_studies
77,Education,Middle and High School Education- Science Education,https://libguides.lehman.edu/science_education
78,Education,Mirrors and Windows: Children’s Literature for Latino and Bilingual Children,https://libguides.lehman.edu/MirrorsandWindows
79,Education,Organizational Leadership,https://libguides.lehman.edu/organizationalleadership
80,Education,Restorative Justice,https://libguides.lehman.edu/RestorativeJustice
81,Education,SAGE Research Methods Database,https://libguides.lehman.edu/sage_research_methods
82,Education,Special Education,https://libguides.lehman.edu/special_education
83,Education,Student Teaching: A Guide to Practical Resources,https://libguides.lehman.edu/studentteachers
84,Education,TESOL,https://libguides.lehman.edu/TESOL
85,Education,Tests and Measurements,https://libguides.lehman.edu/tests-and-measurements
86,Education,Undergraduate Education: Early Childhood and Childhood,https://libguides.lehman.edu/undergradchildhood
87,Education,Undergraduate Education: Middle School-High School,https://libguides.lehman.edu/mshs
88,ENG111,English 111 - Fake News,https://libguides.lehman.edu/fakenews
89,ENG111,English 111 Fall 2016 - Professor Tabak,https://libguides.lehman.edu/c.php?g=596750
90,ENG121,ENG 121 Prof Di Raimo,https://libguides.lehman.edu/eng121-diraimo
91,ENG121,ENG 121: English Composition / Prof. Slugocki,https://libguides.lehman.edu/eng121Slugocki
92,ENG121,English 121 - Chavez,https://libguides.lehman.edu/english121/chavez
93,ENG121,English 121 - Spring 2018,https://libguides.lehman.edu/english121
94,English,Annotated Bibliography,https://libguides.lehman.edu/annotated-bibliography
95,English,Biography,https://libguides.lehman.edu/biography
96,English,ENG 121 Prof Di Raimo,https://libguides.lehman.edu/eng121-diraimo
97,English,ENG 121: English Composition / Prof. Slugocki,https://libguides.lehman.edu/eng121Slugocki
98,English,ENG 481/482,https://libguides.lehman.edu/eng481
99,English,English,https://libguides.lehman.edu/english
100,English,English 111 - Fake News,https://libguides.lehman.edu/fakenews
101,English,English 120 Workshop,https://libguides.lehman.edu/english120
102,English,"ENW 304, Prof. Anderson, Grant-Writing",https://libguides.lehman.edu/grant_writing-anderson
103,English,ENW 791,https://libguides.lehman.edu/c.php?g=331744
104,English,MLA Citation Guide,https://libguides.lehman.edu/mla
105,English,Prof. Anderson's Writing Guide,https://libguides.lehman.edu/anderson_writing
106,English,Romeo and Juliet,https://libguides.lehman.edu/romeo-and-juliet
107,Faculty Resources,10th Annual Student Scholarship Showcase - How to Submit to Academic Works,https://libguides.lehman.edu/student-scholarship
108,Faculty Resources,Boost Your Scholarly Profile!,https://libguides.lehman.edu/profile
109,Faculty Resources,CUNY Academic Works,https://libguides.lehman.edu/cunyacademicworks
110,Faculty Resources,Data Management Plans for Grant-Sponsored Research,https://libguides.lehman.edu/DATA_PLAN
