,Category,Subject,Link
0,Anthropology,Anthropology,https://libguides.lib.cuhk.edu.hk/anthropology
1,Anthropology,Archaeology and Cultural Heritage,https://libguides.lib.cuhk.edu.hk/archaeology_cultural_heritage
2,Architecture,Architecture,https://libguides.lib.cuhk.edu.hk/architecture
3,Area Studies,Chinese Overseas Studies,https://libguides.lib.cuhk.edu.hk/cos
4,Area Studies,Hong Kong Statistics,https://libguides.lib.cuhk.edu.hk/hk_stat
5,Area Studies,Hong Kong Studies,https://libguides.lib.cuhk.edu.hk/hk_studies
6,Area Studies,Japanese Studies,https://libguides.lib.cuhk.edu.hk/japanese_studies
7,Area Studies,Modern Chinese History 近現代中國歷史,https://libguides.lib.cuhk.edu.hk/modern_china
8,Area Studies,Southeast Asian Studies,https://libguides.lib.cuhk.edu.hk/southeast_asia
9,Area Studies,Taiwan Studies,https://libguides.lib.cuhk.edu.hk/taiwan_studies
10,Arts & Humanities,Anthropology,https://libguides.lib.cuhk.edu.hk/anthropology
11,Arts & Humanities,Archaeology and Cultural Heritage,https://libguides.lib.cuhk.edu.hk/archaeology_cultural_heritage
12,Arts & Humanities,Chinese History (General),https://libguides.lib.cuhk.edu.hk/chinese_history
13,Arts & Humanities,Cultural Studies and Management,https://libguides.lib.cuhk.edu.hk/cultural_studies_and_management
14,Arts & Humanities,Film,https://libguides.lib.cuhk.edu.hk/film
15,Arts & Humanities,Fine Arts,https://libguides.lib.cuhk.edu.hk/fine_arts
16,Arts & Humanities,Geographic Information System (GIS) and Digital Scholarship Research,https://libguides.lib.cuhk.edu.hk/DS-GIS
17,Arts & Humanities,Humanities,https://libguides.lib.cuhk.edu.hk/humanities
18,Arts & Humanities,Introduction to Digital Humanities (DH),https://libguides.lib.cuhk.edu.hk/Intro-DH
19,Arts & Humanities,Modern Chinese History 近現代中國歷史,https://libguides.lib.cuhk.edu.hk/modern_china
20,Arts & Humanities,Music,https://libguides.lib.cuhk.edu.hk/music
21,Arts & Humanities,Philosophy,https://libguides.lib.cuhk.edu.hk/philosophy
22,Arts & Humanities,Religious Studies and Theology,https://libguides.lib.cuhk.edu.hk/religious_studies
23,Arts & Humanities,Western History & Civilization,https://libguides.lib.cuhk.edu.hk/west_his_civil
24,Business,Accounting & Tax,https://libguides.lib.cuhk.edu.hk/accouting_tax
25,Business,Business Database Guides,https://libguides.lib.cuhk.edu.hk/BusinessDatabaseGuides
26,Business,Business Economics,https://libguides.lib.cuhk.edu.hk/businesseconomics
27,Business,Company Information,https://libguides.lib.cuhk.edu.hk/companyinfo
28,Business,Entrepreneurship,https://libguides.lib.cuhk.edu.hk/entrepreneurship
29,Business,Finance,https://libguides.lib.cuhk.edu.hk/finance
30,Business,Hotel & Tourism Management,https://libguides.lib.cuhk.edu.hk/hotel
31,Business,HTMG5007 Hospitality and Tourism Strategic Management,https://libguides.lib.cuhk.edu.hk/htmg5007
32,Business,Key Business Journals,https://libguides.lib.cuhk.edu.hk/c.php?g=532390
33,Business,Management,https://libguides.lib.cuhk.edu.hk/management
34,Business,Management Information Systems,https://libguides.lib.cuhk.edu.hk/mis
35,Business,Marketing,https://libguides.lib.cuhk.edu.hk/marketing
36,Business,Operations Management,https://libguides.lib.cuhk.edu.hk/om
37,Business,Sustainability,https://libguides.lib.cuhk.edu.hk/sustainability
