,Category,Subject,Link
0,Accountancy,Accountancy,https://libguides.lib.miamioh.edu/acc
1,American Studies,American Studies,https://libguides.lib.miamioh.edu/AmericanStudies
2,American Studies,"Miami U, Oxford, and Local History",https://libguides.lib.miamioh.edu/Miami_Oxford
3,Anthropology,3D Printing,https://libguides.lib.miamioh.edu/3dprinting
4,Anthropology,Anthropology,https://libguides.lib.miamioh.edu/anthropology
5,Appalachian Studies,Appalachian Studies (Hamilton),https://libguides.lib.miamioh.edu/appstudies
6,Applied Social Research,Applied Social Research (Regionals),https://libguides.lib.miamioh.edu/appliedsocialresearch
7,Area Studies,American Studies,https://libguides.lib.miamioh.edu/AmericanStudies
8,Area Studies,Anthropology,https://libguides.lib.miamioh.edu/anthropology
9,Area Studies,Appalachian Studies (Hamilton),https://libguides.lib.miamioh.edu/appstudies
10,Area Studies,Asian Studies,https://libguides.lib.miamioh.edu/asia
11,Area Studies,Asian-American Studies,https://libguides.lib.miamioh.edu/asian-american
12,Area Studies,Black World Studies,https://libguides.lib.miamioh.edu/bws
13,Area Studies,Classics,https://libguides.lib.miamioh.edu/classics
14,Area Studies,Latin American Studies,https://libguides.lib.miamioh.edu/las
15,Area Studies,"Russian, Eastern European, and Eurasian Studies",https://libguides.lib.miamioh.edu/slavic
16,Art & Architecture,3D Printing,https://libguides.lib.miamioh.edu/3dprinting
17,Art & Architecture,Architecture and Interior Design,https://libguides.lib.miamioh.edu/architecture
18,Art & Architecture,Art and Architecture History,https://libguides.lib.miamioh.edu/arthistory
19,Art & Architecture,Art Education,https://libguides.lib.miamioh.edu/arteducation
20,Art & Architecture,Art Studio & Graphic Design,https://libguides.lib.miamioh.edu/art-design
21,Art & Architecture,Arts Management,https://libguides.lib.miamioh.edu/artsmanagement
22,Art & Architecture,ARTstor,https://libguides.lib.miamioh.edu/artstor
23,Art & Architecture,Community Arts (Regionals),https://libguides.lib.miamioh.edu/communityarts
24,Asian Studies,Asian Studies,https://libguides.lib.miamioh.edu/asia
25,Asian-American Studies,Asian-American Studies,https://libguides.lib.miamioh.edu/asian-american
