,Category,Subject,Link
0,Accounting,Accounting,https://libguides.lib.umanitoba.ca/c.php?g=702211
1,Accounting,The Albert D. Cohen Management Library,https://libguides.lib.umanitoba.ca/mgmtlibrary
2,Actuarial Studies,Actuarial Studies,https://libguides.lib.umanitoba.ca/c.php?g=703144
3,Actuarial Studies,The Albert D. Cohen Management Library,https://libguides.lib.umanitoba.ca/mgmtlibrary
4,Agribusiness and Agricultural Economics,Agribusiness and Agricultural Economics,https://libguides.lib.umanitoba.ca/c.php?g=297633
5,Animal Science,Animal Science,https://libguides.lib.umanitoba.ca/c.php?g=297638
6,Animal Science,Biology,https://libguides.lib.umanitoba.ca/biology
7,Anthropology,Anthropology,https://libguides.lib.umanitoba.ca/c.php?g=297594
8,Architecture,Architecture,https://libguides.lib.umanitoba.ca/UMarchitecture
9,Architecture,City Planning,https://libguides.lib.umanitoba.ca/c.php?g=297636
10,Architecture,Environmental Design,https://libguides.lib.umanitoba.ca/c.php?g=297701
11,Architecture,Interior Design,https://libguides.lib.umanitoba.ca/interior_design
12,Architecture,Landscape Architecture,https://libguides.lib.umanitoba.ca/c.php?g=297653
13,Architecture,Mobile Technology for Art & Architecture,https://libguides.lib.umanitoba.ca/mobileapps
14,Architecture,Soil/Waterways/Flood Plains,https://libguides.lib.umanitoba.ca/c.php?g=298281
15,Art History,Art DVDS in the Architecture/Fine Arts Library,https://libguides.lib.umanitoba.ca/c.php?g=298356
16,Art History,Art History: an introduction,https://libguides.lib.umanitoba.ca/c.php?g=297455
17,Art History,Art in New Media,https://libguides.lib.umanitoba.ca/c.php?g=298612
18,Art History,Art Now/Fine Arts/Studio Art,https://libguides.lib.umanitoba.ca/c.php?g=704032
19,Art History,Art Theory/Documents,https://libguides.lib.umanitoba.ca/c.php?g=297736
20,Art History,Canadian Art,https://libguides.lib.umanitoba.ca/c.php?g=297482
21,Art History,Canadian Art Web Sites,https://libguides.lib.umanitoba.ca/canadianartwebs
22,Art History,Contemporary Art,https://libguides.lib.umanitoba.ca/contemporaryart
23,Art History,Contemporary Art Web Sites,https://libguides.lib.umanitoba.ca/c.php?g=297524
24,Art History,Medieval/Gothic Art & Architecture,https://libguides.lib.umanitoba.ca/c.php?g=297497
25,Art History,Mobile Technology for Art & Architecture,https://libguides.lib.umanitoba.ca/mobileapps
26,Art History,Modern Art (19th/20th Centuries),https://libguides.lib.umanitoba.ca/modernart
27,Art History,Renaissance/Baroque Art,https://libguides.lib.umanitoba.ca/c.php?g=297745
28,Asian Studies,Asian Studies,https://libguides.lib.umanitoba.ca/AsianStudies
29,Astronomy,Astronomy,https://libguides.lib.umanitoba.ca/astronomy
30,Athletic Therapy,Kinesiology and Recreation Management,https://libguides.lib.umanitoba.ca/kinrec
31,Biochemistry,Biochemistry,https://libguides.lib.umanitoba.ca/biochemistry
32,Biochemistry,Science Information Life Cycle,https://libguides.lib.umanitoba.ca/Science_Information_Life_Cycle
33,Biochemistry,Science Summer Research Experience,https://libguides.lib.umanitoba.ca/Science_Summer_Research
34,Biochemistry,SciFinder Web,https://libguides.lib.umanitoba.ca/scifinder
35,Biology,Biology,https://libguides.lib.umanitoba.ca/biology
36,Biology,Genetics,https://libguides.lib.umanitoba.ca/genetics
37,Biology,Know B.S.,https://libguides.lib.umanitoba.ca/knowbs
38,Biology,Science Information Life Cycle,https://libguides.lib.umanitoba.ca/Science_Information_Life_Cycle
39,Biology,Science Summer Research Experience,https://libguides.lib.umanitoba.ca/Science_Summer_Research
40,Biosystems Engineering,Biosystems Engineering,https://libguides.lib.umanitoba.ca/c.php?g=298069
41,Biotechnology,Biotechnology,https://libguides.lib.umanitoba.ca/c.php?g=297916
42,Biotechnology,Science Information Life Cycle,https://libguides.lib.umanitoba.ca/Science_Information_Life_Cycle
43,Biotechnology,Science Summer Research Experience,https://libguides.lib.umanitoba.ca/Science_Summer_Research
44,Botany,Science Summer Research Experience,https://libguides.lib.umanitoba.ca/Science_Summer_Research
45,Business Administration,Business Administration,https://libguides.lib.umanitoba.ca/c.php?g=703148
46,Business Administration,The Albert D. Cohen Management Library,https://libguides.lib.umanitoba.ca/mgmtlibrary
47,Canadian Art,Canadian Art,https://libguides.lib.umanitoba.ca/c.php?g=297482
48,Canadian Art,Canadian Art Web Sites,https://libguides.lib.umanitoba.ca/canadianartwebs
49,Catholic Studies,Catholic Studies,https://libguides.lib.umanitoba.ca/catholicstudies
50,Chemistry,Biochemistry,https://libguides.lib.umanitoba.ca/biochemistry
51,Chemistry,Chemistry,https://libguides.lib.umanitoba.ca/chemistry
52,Chemistry,Citation Management Software,https://libguides.lib.umanitoba.ca/citationmanagers
53,Chemistry,Genetics,https://libguides.lib.umanitoba.ca/genetics
54,Chemistry,Graduate Student Resources,https://libguides.lib.umanitoba.ca/grad_resources
55,Chemistry,Organic Chemistry,https://libguides.lib.umanitoba.ca/organic_chemistry
56,Chemistry,Science Information Life Cycle,https://libguides.lib.umanitoba.ca/Science_Information_Life_Cycle
57,Chemistry,Science Summer Research Experience,https://libguides.lib.umanitoba.ca/Science_Summer_Research
58,Chemistry,SciFinder Web,https://libguides.lib.umanitoba.ca/scifinder
59,City Planning,City Planning,https://libguides.lib.umanitoba.ca/c.php?g=297636
60,City Planning,Soil/Waterways/Flood Plains,https://libguides.lib.umanitoba.ca/c.php?g=298281
61,Classical Studies,Classical Studies,https://libguides.lib.umanitoba.ca/classics
62,Computer Science,Computer Science,https://libguides.lib.umanitoba.ca/computer_science
63,Computer Science,Getting Started with Arduino,https://libguides.lib.umanitoba.ca/arduino
64,Computer Science,Science Information Life Cycle,https://libguides.lib.umanitoba.ca/Science_Information_Life_Cycle
65,Computer Science,Science Summer Research Experience,https://libguides.lib.umanitoba.ca/Science_Summer_Research
66,Contemporary Art,Contemporary Art,https://libguides.lib.umanitoba.ca/contemporaryart
67,Criminology,Criminology,https://libguides.lib.umanitoba.ca/criminology
68,Dental Hygiene,Dental Hygiene,https://libguides.lib.umanitoba.ca/dentalhygiene
69,Dentistry,Dentistry,https://libguides.lib.umanitoba.ca/dentistry
70,Ecology,Biology,https://libguides.lib.umanitoba.ca/biology
71,Ecology,Science Summer Research Experience,https://libguides.lib.umanitoba.ca/Science_Summer_Research
72,Economics,Economics,https://libguides.lib.umanitoba.ca/Economics
73,Education,Education,https://libguides.lib.umanitoba.ca/education
74,Electrical and Computer Engineering,Engineering - Broad-based Engineering Resources,https://libguides.lib.umanitoba.ca/c.php?g=297721
75,Electrical and Computer Engineering,Getting Started with Arduino,https://libguides.lib.umanitoba.ca/arduino
76,Engineering,Getting Started with Arduino,https://libguides.lib.umanitoba.ca/arduino
77,English,English,https://libguides.lib.umanitoba.ca/english
