,Category,Subject,Link
0,Accounting and Taxation,Accounting and Taxation,https://libguides.libraries.wsu.edu/c.php?g=294304
1,Agricultural Sciences,AgNIC Tree Fruit,https://libguides.libraries.wsu.edu/agnictreefruit
2,Agricultural Sciences,Botany,https://libguides.libraries.wsu.edu/c.php?g=294116
3,Agricultural Sciences,Crop & Soil Sciences,https://libguides.libraries.wsu.edu/cropandsoilsciences
4,Agricultural Sciences,Horticulture,https://libguides.libraries.wsu.edu/horticulture
5,Agricultural Sciences,Natural Resource Sciences,https://libguides.libraries.wsu.edu/naturalresourcesciences
6,Agricultural Sciences,Plant Pathology,https://libguides.libraries.wsu.edu/plantpathology
7,American and English Literature,English and American Literature,https://libguides.libraries.wsu.edu/englishandamericanlit
8,Animal Sciences,Animal Sciences,https://libguides.libraries.wsu.edu/animalsciences
9,Animal Sciences,Zoology,https://libguides.libraries.wsu.edu/zoology
10,Anthropology/Archaeology,Anthropology & Archaeology,https://libguides.libraries.wsu.edu/anthro
11,"Apparel, Merchandising, Design and Textiles","Apparel, Merchandising, Design, and Textiles",https://libguides.libraries.wsu.edu/apparel
12,"Apparel, Merchandising, Design and Textiles",Claritas Segmentation & Market Solutions,https://libguides.libraries.wsu.edu/claritassms
13,"Apparel, Merchandising, Design and Textiles",Consumer Behavior,https://libguides.libraries.wsu.edu/consumer_behavior
14,Architecture and Interior Design,Design,https://libguides.libraries.wsu.edu/architecture
15,Architecture and Interior Design,Interior Design,https://libguides.libraries.wsu.edu/interiordesign
16,Architecture and Interior Design,WSU Engineering Standards,https://libguides.libraries.wsu.edu/wsustandards
17,Asian Studies,Asia Studies,https://libguides.libraries.wsu.edu/asiastudies
18,Asian Studies,Asian American Studies,https://libguides.libraries.wsu.edu/asianamericanstudies
19,Asian Studies,Asian Film,https://libguides.libraries.wsu.edu/asianfilm
20,Asian Studies,"Chinese Literature, Language, and Culture",https://libguides.libraries.wsu.edu/chinese
21,Asian Studies,HIST 476 Revolutionary China,https://libguides.libraries.wsu.edu/hist476
22,Asian Studies,"Japanese Literature, Language and Culture",https://libguides.libraries.wsu.edu/japaneselit
23,Astronomy,Astronomy,https://libguides.libraries.wsu.edu/c.php?g=294119
24,Biological Sciences,Biochemistry,https://libguides.libraries.wsu.edu/biochemistry
25,Biological Sciences,Biology,https://libguides.libraries.wsu.edu/biology
26,Biological Sciences,Cell Biology,https://libguides.libraries.wsu.edu/cellbiology
27,Biological Sciences,Genetics,https://libguides.libraries.wsu.edu/genetics
28,Biological Sciences,Microbiology,https://libguides.libraries.wsu.edu/microbiology
29,Biological Sciences,Molecular Biosciences,https://libguides.libraries.wsu.edu/molecularbiosciences
30,Biological Sciences,Molecular Plant Sciences,https://libguides.libraries.wsu.edu/molecularplantsciences
31,Business,Accounting and Taxation,https://libguides.libraries.wsu.edu/c.php?g=294304
32,Business,Anti-Bribery and Corruption Law in International Business,https://libguides.libraries.wsu.edu/anti-briberylaw
33,Business,Business Plans,https://libguides.libraries.wsu.edu/businessplans
34,Business,Claritas Segmentation & Market Solutions,https://libguides.libraries.wsu.edu/claritassms
35,Business,Company Research,https://libguides.libraries.wsu.edu/companyresearch
36,Business,Consumer Behavior,https://libguides.libraries.wsu.edu/consumer_behavior
37,Business,Entrepreneurship,https://libguides.libraries.wsu.edu/entrepreneurship
38,Business,"Finance, Real Estate, & Insurance",https://libguides.libraries.wsu.edu/finance
39,Business,HBM 235 - Travel Society and Business,https://libguides.libraries.wsu.edu/hbm235
40,Business,Hospitality Business Management,https://libguides.libraries.wsu.edu/hbm
41,Business,Industry Research,https://libguides.libraries.wsu.edu/industryresearch
42,Business,Information Systems,https://libguides.libraries.wsu.edu/informationsystems
43,Business,International Business,https://libguides.libraries.wsu.edu/internationalbusiness
44,Business,Management,https://libguides.libraries.wsu.edu/management
45,Business,Management Science,https://libguides.libraries.wsu.edu/managementscience
46,Business,Marketing,https://libguides.libraries.wsu.edu/marketing
47,Business,Nexis Uni,https://libguides.libraries.wsu.edu/nexisuni
48,Business,WRDS: Wharton Research Data Services,https://libguides.libraries.wsu.edu/WRDS
49,Chemistry,Biochemistry,https://libguides.libraries.wsu.edu/biochemistry
50,Chemistry,Chemical Engineering,https://libguides.libraries.wsu.edu/chemicalengineering
51,Chemistry,Chemistry,https://libguides.libraries.wsu.edu/chemistry
52,Chemistry,WSU Engineering Standards,https://libguides.libraries.wsu.edu/wsustandards
53,Classical Studies,Classical Studies,https://libguides.libraries.wsu.edu/classicalstudies
54,Communication,Com 400: Communicating Science & Technology,https://libguides.libraries.wsu.edu/Com400
55,Communication,Communication & Society,https://libguides.libraries.wsu.edu/commstudies
56,Communication,Journalism & Media Production,https://libguides.libraries.wsu.edu/journalism
57,Communication,Newspapers and News,https://libguides.libraries.wsu.edu/news
58,Communication,Strategic Communication,https://libguides.libraries.wsu.edu/stratcom
59,Composition and Rhetoric,Composition and Rhetoric,https://libguides.libraries.wsu.edu/compositionandrhetoric
60,Composition and Rhetoric,Library Guide for ENGL 101 Instructors,https://libguides.libraries.wsu.edu/101instructors
61,Criminal Justice,CJ/PS 503,https://libguides.libraries.wsu.edu/cjps503
62,Criminal Justice,Criminal Justice,https://libguides.libraries.wsu.edu/criminaljustice
63,Criminal Justice,Criminal Justice 311 (Online),https://libguides.libraries.wsu.edu/CRMJ311online
64,Criminal Justice,Soc 361: Criminology,https://libguides.libraries.wsu.edu/soc361
65,Criminal Justice,Social Sciences Data: ICPSR and More,https://libguides.libraries.wsu.edu/socialsciencesdata
66,Crop and Soil Sciences,Crop & Soil Sciences,https://libguides.libraries.wsu.edu/cropandsoilsciences
67,Economic Sciences,Economic Sciences,https://libguides.libraries.wsu.edu/economics
68,Economic Sciences,Entrepreneurship,https://libguides.libraries.wsu.edu/entrepreneurship
69,Education,Education,https://libguides.libraries.wsu.edu/education
70,Education,Higher Education,https://libguides.libraries.wsu.edu/highereducation
71,Engineering,Chemical Engineering,https://libguides.libraries.wsu.edu/chemicalengineering
72,Engineering,Civil and Environmental Engineering,https://libguides.libraries.wsu.edu/CE
73,Engineering,Electrical Engineering,https://libguides.libraries.wsu.edu/EE
74,Engineering,Engineering Exploratory Searching,https://libguides.libraries.wsu.edu/engineersearching
75,Engineering,Materials Science Engineering,https://libguides.libraries.wsu.edu/MSE
76,Engineering,Mechanical Engineering,https://libguides.libraries.wsu.edu/ME
77,Engineering,WSU Engineering Standards,https://libguides.libraries.wsu.edu/wsustandards
78,Entomology,Entomology,https://libguides.libraries.wsu.edu/entomology
79,Environmental Sciences & Resource Planning,Civil and Environmental Engineering,https://libguides.libraries.wsu.edu/CE
80,Environmental Sciences & Resource Planning,Environmental Science and Regional Planning,https://libguides.libraries.wsu.edu/environmentalsciences
81,Environmental Sciences & Resource Planning,Natural Resource Sciences,https://libguides.libraries.wsu.edu/naturalresourcesciences
82,Ethnic Studies,Asian American Studies,https://libguides.libraries.wsu.edu/asianamericanstudies
83,Ethnic Studies,Asian Film,https://libguides.libraries.wsu.edu/asianfilm
84,Ethnic Studies,Chicana/o and Latina/o Studies,https://libguides.libraries.wsu.edu/latinostudies
85,Ethnic Studies,"Chinese Literature, Language, and Culture",https://libguides.libraries.wsu.edu/chinese
86,Ethnic Studies,Comparative Ethnic Studies,https://libguides.libraries.wsu.edu/ces
