,Category,Subject,Link
0,Accounting,Accounting,https://libguides.library.nd.edu/accounting
1,Aerospace Engineering,Aerospace Engineering,https://libguides.library.nd.edu/aerospace-engineering
2,Africana Studies,AAS 359 — Twentieth Century and Contemporary African American Poetry (Sanders),https://libguides.library.nd.edu/aas-359-sanders
3,Africana Studies,Africana Studies,https://libguides.library.nd.edu/africana-studies
4,Agriculture,Agriculture,https://libguides.library.nd.edu/agriculture
5,American Studies,American Studies,https://libguides.library.nd.edu/american-studies
6,American Studies,Catholic Collections in the Notre Dame Archives,https://libguides.library.nd.edu/catholic-collections-in-the-archives
7,American Studies,Native American History and Culture,https://libguides.library.nd.edu/native-american-history-culture
8,Anthropology,Anthropology,https://libguides.library.nd.edu/anthropology
9,Anthropology,Maps,https://libguides.library.nd.edu/maps
10,Anthropology,Philippine Studies,https://libguides.library.nd.edu/philippine-studies
11,Applied Mathematics,Applied Mathematics,https://libguides.library.nd.edu/applied-mathematics
12,"Arabic, Near Eastern, and Islamic Studies","Arabic, Near Eastern, and Islamic Studies",https://libguides.library.nd.edu/arabic-islamic-studies
13,Architecture,ARCH 21111 — Sophomore Design Studio,https://libguides.library.nd.edu/architecture-sophomore
14,Architecture,ARCH 40312 — Social Factors & Sustainability,https://libguides.library.nd.edu/social-factors-sustainability
15,Architecture,Architecture,https://libguides.library.nd.edu/architecture
16,Architecture,Digitized Rare Books,https://libguides.library.nd.edu/digitized-rare-books
17,Architecture,Ryan Rare Book Room,https://libguides.library.nd.edu/ryan-rare-book-room
18,"Art, Art History, and Design","Art, Art History, and Design",https://libguides.library.nd.edu/art-history-design
19,"Art, Art History, and Design",Visual Resources Center,https://libguides.library.nd.edu/visual-resources-center
20,Astronomy,Astronomy,https://libguides.library.nd.edu/astronomy
21,Astronomy,Videos About Science,https://libguides.library.nd.edu/science-videos
22,Biochemistry,Biochemistry,https://libguides.library.nd.edu/biochemistry
23,Biology and Life Sciences,Biology and Life Sciences,https://libguides.library.nd.edu/biology-life-sciences
24,Biology and Life Sciences,GH 68550 — Global Health Capstone Seminar (Beidinger),https://libguides.library.nd.edu/GH68550
25,Biology and Life Sciences,Global Health,https://libguides.library.nd.edu/global-health
26,Biology and Life Sciences,Leisure Reading — Science and Technology,https://libguides.library.nd.edu/reading-science-technology
27,Biology and Life Sciences,Videos About Science,https://libguides.library.nd.edu/science-videos
28,Biomedical Engineering,Biomedical Engineering,https://libguides.library.nd.edu/biomedical-engineering
29,"Business, General",Business Market Research,https://libguides.library.nd.edu/business-market-research
30,"Business, General","Business, General",https://libguides.library.nd.edu/business-general
31,Byzantine Studies,Byzantine Studies,https://libguides.library.nd.edu/byzantine-studies
32,Catholic Studies,Alliance for Catholic Education / Institute for Educational Initiatives,https://libguides.library.nd.edu/alliance-catholic-education
33,Catholic Studies,Catholic Collections in the Notre Dame Archives,https://libguides.library.nd.edu/catholic-collections-in-the-archives
34,Catholic Studies,Catholic Studies,https://libguides.library.nd.edu/catholic-studies
35,Chemical and Biomolecular Engineering,Chemical and Biomolecular Engineering,https://libguides.library.nd.edu/chemical-biomolecular-engineering
36,Chemistry,Chem 23201 - Seminar ( Finding and Presenting Chemical Information),https://libguides.library.nd.edu/chem23201
37,Chemistry,CHEM 60533,https://libguides.library.nd.edu/chem60533
38,Chemistry,Chemistry,https://libguides.library.nd.edu/chemistry
39,Chemistry,Videos About Science,https://libguides.library.nd.edu/science-videos
40,Chinese Studies,Chinese Studies,https://libguides.library.nd.edu/chinese-studies
41,Chinese Studies,Readings in Chinese,https://libguides.library.nd.edu/ealc-readings
42,Civil Engineering,Civil Engineering,https://libguides.library.nd.edu/civil-engineering
43,Classics,Classics,https://libguides.library.nd.edu/classics
44,Computer Science and Engineering,Computer Science and Engineering,https://libguides.library.nd.edu/computer-science
45,Computer Science and Engineering,Leisure Reading — Science and Technology,https://libguides.library.nd.edu/reading-science-technology
46,Earth Science,Earth Science,https://libguides.library.nd.edu/earth-science
47,Economics,Economics,https://libguides.library.nd.edu/economics
48,Education,Alliance for Catholic Education / Institute for Educational Initiatives,https://libguides.library.nd.edu/alliance-catholic-education
49,Education,Education,https://libguides.library.nd.edu/education
50,Education,How to Prepare an Annotated Bibliography,https://libguides.library.nd.edu/annotated-bibliography
51,Electrical Engineering,Electrical Engineering,https://libguides.library.nd.edu/electrical-engineering
52,"Engineering, General",Engineering,https://libguides.library.nd.edu/engineering
53,English Language and Literature,18th-Century Studies,https://libguides.library.nd.edu/18c
54,English Language and Literature,19th-Century Studies,https://libguides.library.nd.edu/nineteenth-century-studies
55,English Language and Literature,AAS 359 — Twentieth Century and Contemporary African American Poetry (Sanders),https://libguides.library.nd.edu/aas-359-sanders
56,English Language and Literature,ENGL 30101 — Introduction to Literary Studies,https://libguides.library.nd.edu/english-30101
57,English Language and Literature,English Language and Literature,https://libguides.library.nd.edu/english-language-literature
58,English Language and Literature,Leisure Reading — Literature,https://libguides.library.nd.edu/leisure-reading
59,English Language and Literature,Literary Research Strategy,https://libguides.library.nd.edu/literary-research
60,English Language and Literature,Text Mining and Analysis,https://libguides.library.nd.edu/text-mining
61,Environmental Engineering,Environmental Engineering,https://libguides.library.nd.edu/environmental-engineering
62,"Film, Television, and Theatre","Film, Television and Theatre",https://libguides.library.nd.edu/film-television-theatre
63,"Film, Television, and Theatre",RU 13186 — Contemporary Russian Cinema from Perestroika to Putin Country_,https://libguides.library.nd.edu/contemporary-russian-cinema-from-perestroika-to-putin-county
64,"Film, Television, and Theatre",Visual Resources Center,https://libguides.library.nd.edu/visual-resources-center
65,Finance,Finance,https://libguides.library.nd.edu/finance
66,French Language and Literature,French Language and Literature,https://libguides.library.nd.edu/french-language-literature
67,Gender Studies,Gender Studies,https://libguides.library.nd.edu/gender-studies
68,German Language and Literature,German Language and Literature,https://libguides.library.nd.edu/german-language-literature
69,Global Affairs,Global Affairs,https://libguides.library.nd.edu/global-affairs
70,Global Affairs,Global Health,https://libguides.library.nd.edu/global-health
71,Global Affairs,KSGA 30011 — Global Policy Seminar,https://libguides.library.nd.edu/global-policy-seminar
72,Global Affairs,MGA 60010 — Keough Policy Seminar,https://libguides.library.nd.edu/keogh-policy-seminar
73,Global Affairs,"Nigeria: Post-Colonial History, Politics, Life and Culture",https://libguides.library.nd.edu/nigeria-politics-life-culture
74,Global Affairs,THEO 60845 / 40827 — Comparative Spirituality (Malkovsky),https://libguides.library.nd.edu/comparative-spirituality-malkovsky
75,History and Philosophy of Science,History and Philosophy of Science,https://libguides.library.nd.edu/history-philosophy-science
76,"History, United States and Canada",Canadian Legal Resources,https://libguides.library.nd.edu/canadian-legal-resources
77,"History, United States and Canada",Government Information (updated),https://libguides.library.nd.edu/government-information
78,"History, United States and Canada",HIST 13184 — History University Seminar (Pierce),https://libguides.library.nd.edu/history-university-seminar-pierce
79,"History, United States and Canada","History, United States and Canada",https://libguides.library.nd.edu/history-united-states-canada
80,"History, Western Europe","History, Western Europe",https://libguides.library.nd.edu/history-western-europe
81,"History, World",Early Modern Atlantic,https://libguides.library.nd.edu/early-modern-atlantic-world
82,"History, World",Philippine Studies,https://libguides.library.nd.edu/philippine-studies
83,"History, World",World War I,https://libguides.library.nd.edu/world-war-one
84,"Information Technology, Analytics and Operations","Information Technology, Analytics, & Operations",https://libguides.library.nd.edu/information-technology-analytics-and-operations
85,Irish Language and Literature,Irish Language and Literature,https://libguides.library.nd.edu/irish-language-literature
86,Irish Language and Literature,IRLL 30118 - Storied Landscapes from Ireland to Chicago (Mulligan),https://libguides.library.nd.edu/storiedlandscapes
87,Irish Language and Literature,Literature in the Irish Language,https://libguides.library.nd.edu/literature-irish-language
88,Irish Studies,Ireland on Film,https://libguides.library.nd.edu/irish-film
89,Irish Studies,Irish Music,https://libguides.library.nd.edu/irish-music
90,Irish Studies,Irish News Sources,https://libguides.library.nd.edu/irish-news
91,Irish Studies,Irish Studies,https://libguides.library.nd.edu/irish-studies
92,Irish Studies,Irish Studies Resources for Graduate Research,https://libguides.library.nd.edu/irish-studies-grad
93,Irish Studies,Travels in Ireland — A Guide and Bibliography,https://libguides.library.nd.edu/ireland-travel
94,Italian Language and Literature,Dante at Notre Dame,https://libguides.library.nd.edu/dante-at-notre-dame
95,Italian Language and Literature,Italian Language and Literature,https://libguides.library.nd.edu/italian-language-literature
96,Japanese Studies,Japanese Studies,https://libguides.library.nd.edu/japanese-studies
97,Japanese Studies,Professor Hanabusa's Extensive Reading in Japanese,https://libguides.library.nd.edu/ealj-er
98,Journalism,Journalism,https://libguides.library.nd.edu/journalism
99,Journalism,Newspapers,https://libguides.library.nd.edu/newspapers
100,Journalism,Scholarly Publishing,https://libguides.library.nd.edu/scholarly-publishing
101,Korean Studies,Korean Book Reading Club,https://libguides.library.nd.edu/ealk-reading-club
102,Korean Studies,Korean Studies,https://libguides.library.nd.edu/korean-studies
103,Latin American Studies,Latin American Studies,https://libguides.library.nd.edu/latin-american-studies
104,Latino Studies,Latino Studies,https://libguides.library.nd.edu/latino-studies
105,Leisure Reading,Leisure Reading — Literature,https://libguides.library.nd.edu/leisure-reading
106,Leisure Reading,Leisure Reading — Science and Technology,https://libguides.library.nd.edu/reading-science-technology
107,Management and Organization,Management and Organization,https://libguides.library.nd.edu/management-organization
108,Marketing,MARK 20100 — Principles of Marketing (Cherian),https://libguides.library.nd.edu/principles-marketing-cherian
109,Marketing,MARK 43700 — Product Innovation (Cherian),https://libguides.library.nd.edu/c.php?g=863442
110,Marketing,MARK 70450 — New Product Development (Cherian),https://libguides.library.nd.edu/c.php?g=863444
111,Marketing,Marketing,https://libguides.library.nd.edu/marketing
112,Materials Science,Materials Science,https://libguides.library.nd.edu/materials-science
113,Mathematics,Mathematics,https://libguides.library.nd.edu/mathematics
114,Mechanical Engineering,Mechanical Engineering,https://libguides.library.nd.edu/mechanical-engineering
115,Medicine and Health,GH 68550 — Global Health Capstone Seminar (Beidinger),https://libguides.library.nd.edu/GH68550
116,Medicine and Health,Global Health,https://libguides.library.nd.edu/global-health
117,Medicine and Health,Medicine and Health,https://libguides.library.nd.edu/medicine-health
118,Medieval Studies,Medieval Studies,https://libguides.library.nd.edu/medieval-studies
119,Medieval Studies,MUS 20101 — Medieval and Renaissance Music History (Blachly),https://libguides.library.nd.edu/renaissance-music-history-20101
120,Music,Audio Digitization Station Instructions,https://libguides.library.nd.edu/audio-digitization
121,Music,Finding Music Items,https://libguides.library.nd.edu/finding-music
122,Music,MUS 20101 — Medieval and Renaissance Music History (Blachly),https://libguides.library.nd.edu/renaissance-music-history-20101
123,Music,Music,https://libguides.library.nd.edu/music
124,Music,Using Notation Software: Finale & MuseScore,https://libguides.library.nd.edu/notation
125,Peace Studies,"America's Wars, Causes of",https://libguides.library.nd.edu/causes-of-americas-wars-3
126,Peace Studies,"Arabic, Near Eastern, and Islamic Studies",https://libguides.library.nd.edu/arabic-islamic-studies
127,Peace Studies,Genocide,https://libguides.library.nd.edu/genocide
128,Peace Studies,IIPS 33101 — Perspectives on Peacebuilding (Powers),https://libguides.library.nd.edu/junior-seminar-peace-studies-powers
129,Peace Studies,IIPS 50604 — Islamic Ethics of War and Peace (Omar),https://libguides.library.nd.edu/islamic-ethics-omer
130,Peace Studies,Peace Studies,https://libguides.library.nd.edu/peace-studies
131,Peace Studies,"The Cold War, Causes of",https://libguides.library.nd.edu/cold-war
132,Philosophy,Philosophy,https://libguides.library.nd.edu/philosophy
133,Physics,Physics,https://libguides.library.nd.edu/physics
134,Physics,Videos About Science,https://libguides.library.nd.edu/science-videos
135,Political Science,Government Information (updated),https://libguides.library.nd.edu/government-information
136,Political Science,Political Science,https://libguides.library.nd.edu/political-science
137,Political Science,POLS 30040 — Introduction to Public Policy (Francis),https://libguides.library.nd.edu/introduction-public-policy-anewalt
138,Political Science,POLS 53001 — NGOs in International Relations (Rosato),https://libguides.library.nd.edu/ngos-international-relations-rosato
139,Political Science,"SW 334 — Social Welfare Policy & Service, Legislative History (Kominkiewicz)",https://libguides.library.nd.edu/social-welfare-kominkiewicz
140,Poverty Studies,Poverty Studies,https://libguides.library.nd.edu/poverty-studies
141,Professional Development,Graduate Student Thesis & Dissertation and Senior Thesis Camp,https://libguides.library.nd.edu/dissertation-camp
142,Professional Development,Resources for Graduate Professional Development,https://libguides.library.nd.edu/graduate-study-resources
143,Professional Development,Workplace Literacy Program Resources,https://libguides.library.nd.edu/workplace-literacy
144,Psychology,Psychology,https://libguides.library.nd.edu/psychology
145,Russian and East European Studies,RU 13186 — Contemporary Russian Cinema from Perestroika to Putin Country,https://libguides.library.nd.edu/contemporary-russian-cinema
146,Russian and East European Studies,RU 13186 — Contemporary Russian Cinema from Perestroika to Putin Country_,https://libguides.library.nd.edu/contemporary-russian-cinema-from-perestroika-to-putin-county
147,Russian and East European Studies,Russian Language and Literature,https://libguides.library.nd.edu/russian-language-literature
148,Russian Language and Literature,RU 13186 — Contemporary Russian Cinema from Perestroika to Putin Country_,https://libguides.library.nd.edu/contemporary-russian-cinema-from-perestroika-to-putin-county
149,Sociology,Sociology,https://libguides.library.nd.edu/sociology
150,Spanish Language and Literature,Spanish and Portuguese Languages and Literatures,https://libguides.library.nd.edu/spanish-language-literature
151,Sports Studies,Sports Studies,https://libguides.library.nd.edu/sports-studies
152,Statistics and Probability,Datasets and Statistics,https://libguides.library.nd.edu/datasets-statistics
153,Statistics and Probability,Statistics and Probability,https://libguides.library.nd.edu/statistics-probability
154,Theology and Religion,Theology and Religion,https://libguides.library.nd.edu/theology-and-religion
155,Writing and Rhetoric,Starting Your Research,https://libguides.library.nd.edu/starting-your-research
156,Writing and Rhetoric,"WR 13200 — Bridging the Gap: Community, Social Justice, and Service (Kelly)",https://libguides.library.nd.edu/kelly-bridging-the-gap
