,Category,Subject,Link
0,Business / Accounting,Accounting,https://libguides.library.qut.edu.au/accounting
1,Business / Accounting,Business and corporations law,https://libguides.library.qut.edu.au/businesslaw
2,Business / Accounting,Finance and banking,https://libguides.library.qut.edu.au/fin
3,Business / Accounting,Graduate Certificate in Business,https://libguides.library.qut.edu.au/gradcertbusiness
4,Business / Accounting,Philanthropy and nonprofit studies,https://libguides.library.qut.edu.au/philanthropy
5,"Business / Advertising, marketing and public relations",International business,https://libguides.library.qut.edu.au/internationalbusiness
6,"Business / Advertising, marketing and public relations",International trade: importing and exporting,https://libguides.library.qut.edu.au/internationaltrade
7,"Business / Advertising, marketing and public relations",Leadership,https://libguides.library.qut.edu.au/leadership
8,"Business / Advertising, marketing and public relations",Marketing,https://libguides.library.qut.edu.au/marketing
9,"Business / Advertising, marketing and public relations",Public relations,https://libguides.library.qut.edu.au/PR
10,Business / Economics and finance,Accounting,https://libguides.library.qut.edu.au/accounting
11,Business / Economics and finance,Economics,https://libguides.library.qut.edu.au/economics
12,Business / Economics and finance,Finance and banking,https://libguides.library.qut.edu.au/fin
13,Business / General business,Accounting,https://libguides.library.qut.edu.au/accounting
14,Business / General business,Business and corporations law,https://libguides.library.qut.edu.au/businesslaw
15,Business / General business,Complex program leadership,https://libguides.library.qut.edu.au/emcpl
16,Business / General business,Data Science and Data Mining,https://libguides.library.qut.edu.au/datascience
17,Business / General business,Datasets for research in social science,https://libguides.library.qut.edu.au/DatasetsForResearch
18,Business / General business,Economics,https://libguides.library.qut.edu.au/economics
19,Business / General business,Finance and banking,https://libguides.library.qut.edu.au/fin
20,Business / General business,Graduate Certificate in Business,https://libguides.library.qut.edu.au/gradcertbusiness
21,Business / General business,Human resource management,https://libguides.library.qut.edu.au/hrm
22,Business / General business,International business,https://libguides.library.qut.edu.au/internationalbusiness
23,Business / General business,International trade: importing and exporting,https://libguides.library.qut.edu.au/internationaltrade
24,Business / General business,Leadership,https://libguides.library.qut.edu.au/leadership
25,Business / General business,Management,https://libguides.library.qut.edu.au/management
26,Business / General business,Marketing,https://libguides.library.qut.edu.au/marketing
27,Business / General business,Operations management,https://libguides.library.qut.edu.au/om
28,Business / General business,Philanthropy and nonprofit studies,https://libguides.library.qut.edu.au/philanthropy
29,Business / General business,Postgraduate human resources management,https://libguides.library.qut.edu.au/c.php?g=428019
30,Business / General business,Public relations,https://libguides.library.qut.edu.au/PR
31,Business / General business,Public sector management,https://libguides.library.qut.edu.au/psmp
32,Business / International business,Accounting,https://libguides.library.qut.edu.au/accounting
33,Business / International business,Graduate Certificate in Business,https://libguides.library.qut.edu.au/gradcertbusiness
34,Business / International business,Human resource management,https://libguides.library.qut.edu.au/hrm
35,Business / International business,International business,https://libguides.library.qut.edu.au/internationalbusiness
36,Business / International business,International trade: importing and exporting,https://libguides.library.qut.edu.au/internationaltrade
37,Business / International business,Leadership,https://libguides.library.qut.edu.au/leadership
38,Business / International business,Marketing,https://libguides.library.qut.edu.au/marketing
39,Business / International business,Operations management,https://libguides.library.qut.edu.au/om
40,Business / Management and human resources,Complex program leadership,https://libguides.library.qut.edu.au/emcpl
41,Business / Management and human resources,Graduate Certificate in Business,https://libguides.library.qut.edu.au/gradcertbusiness
42,Business / Management and human resources,Human resource management,https://libguides.library.qut.edu.au/hrm
43,Business / Management and human resources,International business,https://libguides.library.qut.edu.au/internationalbusiness
44,Business / Management and human resources,Leadership,https://libguides.library.qut.edu.au/leadership
45,Business / Management and human resources,Management,https://libguides.library.qut.edu.au/management
46,Business / Management and human resources,Operations management,https://libguides.library.qut.edu.au/om
47,Business / Management and human resources,Postgraduate human resources management,https://libguides.library.qut.edu.au/c.php?g=428019
48,Business / Management and human resources,Public sector management,https://libguides.library.qut.edu.au/psmp
49,Business / Philanthropy and nonprofit studies,Accounting,https://libguides.library.qut.edu.au/accounting
50,Business / Philanthropy and nonprofit studies,Philanthropy and nonprofit studies,https://libguides.library.qut.edu.au/philanthropy
