,Category,Subject,Link
0,Animal & Veterinary Science,Animal and Veterinary Sciences,https://libguides.library.umaine.edu/animalvetsci
1,Animal & Veterinary Science,AVS 477/577: Zoonoses and Animal Health,https://libguides.library.umaine.edu/avs477
2,Animal & Veterinary Science,Research Data Management,https://libguides.library.umaine.edu/datamanagement
3,Anthropology,Anthropology,https://libguides.library.umaine.edu/ant
4,Anthropology,Archaeology,https://libguides.library.umaine.edu/arch
5,Anthropology,Geography,https://libguides.library.umaine.edu/geo
6,Anthropology,Native American Studies,https://libguides.library.umaine.edu/nas
7,Art,Architecture,https://libguides.library.umaine.edu/architect
8,Art,Art,https://libguides.library.umaine.edu/arts
9,Art,Dance,https://libguides.library.umaine.edu/umaine-dance
10,Art,Finding Funding,https://libguides.library.umaine.edu/funding
11,"Biochemistry, Biomedicine, Microbiology, Molecular & Cellular Biology",Beer: Just Brew It,https://libguides.library.umaine.edu/beer
12,"Biochemistry, Biomedicine, Microbiology, Molecular & Cellular Biology","Biochemistry, Biomedicine, Microbiology, Molecular & Cellular Biology",https://libguides.library.umaine.edu/biomed
13,"Biochemistry, Biomedicine, Microbiology, Molecular & Cellular Biology",Conference Posters and Presentations,https://libguides.library.umaine.edu/confposters
14,"Biochemistry, Biomedicine, Microbiology, Molecular & Cellular Biology",Crystallography,https://libguides.library.umaine.edu/crystallography
15,"Biochemistry, Biomedicine, Microbiology, Molecular & Cellular Biology",Hot Topics: Zika Virus,https://libguides.library.umaine.edu/zika
16,"Biochemistry, Biomedicine, Microbiology, Molecular & Cellular Biology","PubMed, Full Text, and My NCBI",https://libguides.library.umaine.edu/my_ncbi
17,"Biochemistry, Biomedicine, Microbiology, Molecular & Cellular Biology",Research Data Management,https://libguides.library.umaine.edu/datamanagement
18,"Biochemistry, Biomedicine, Microbiology, Molecular & Cellular Biology",SciFinder Database Guide,https://libguides.library.umaine.edu/scifinder_database_guide
19,Biology,BIO 100 Resources for Lab Reports,https://libguides.library.umaine.edu/bio100lab
20,Biology,Biology and Ecology,https://libguides.library.umaine.edu/biologyecology
21,Biology,Hot Topics: Zika Virus,https://libguides.library.umaine.edu/zika
22,Biology,Research Data Management,https://libguides.library.umaine.edu/datamanagement
23,Business,Accounting,https://libguides.library.umaine.edu/bua202-library-resources
24,Business,BUA 220 (Professor Broderick) Legal Issues Research Guide,https://libguides.library.umaine.edu/bua220
25,Business,BUA 343 Country-Industry Analysis Guide,https://libguides.library.umaine.edu/_bua343
26,Business,Business Databases,https://libguides.library.umaine.edu/business-databases
27,Business,Business Research: Country Analysis,https://libguides.library.umaine.edu/international_business
28,Business,Business Research: Entrepreneur and Small Business Toolkit,https://libguides.library.umaine.edu/c.php?g=786881
29,Business,Business Research: Exchange Rates,https://libguides.library.umaine.edu/c.php?g=150206
30,Business,Business Research: Market Analysis,https://libguides.library.umaine.edu/market_research
31,Business,Business Research: SWOT Analysis,https://libguides.library.umaine.edu/swot
