,Category,Subject,Link
0,Accounting,Accounting,https://libguides.library.winthrop.edu/accounting
1,Accounting,Finance,https://libguides.library.winthrop.edu/finance
2,Art,Architecture,https://libguides.library.winthrop.edu/architecture
3,Art,Art Education,https://libguides.library.winthrop.edu/c.php?g=284084
4,Art,Art History: Basic Sources,https://libguides.library.winthrop.edu/c.php?g=284107
5,Art,Art History: Pre-History Through the Middle Ages,https://libguides.library.winthrop.edu/c.php?g=284112
6,Art,Arts Administration (MAAA),https://libguides.library.winthrop.edu/maaa
7,Art,Fine Arts,https://libguides.library.winthrop.edu/finearts
8,Athletic Training/Exercise Science,Athletic Training/Exercise Science,https://libguides.library.winthrop.edu/c.php?g=284078
9,Biology,Biology Resource Guide,https://libguides.library.winthrop.edu/biology
10,Book Review Sources,Book Review Sources,https://libguides.library.winthrop.edu/c.php?g=284095
11,Business Administration,Accounting,https://libguides.library.winthrop.edu/accounting
12,Business Administration,Arts Administration (MAAA),https://libguides.library.winthrop.edu/maaa
13,Business Administration,Company Information,https://libguides.library.winthrop.edu/companyinfo
14,Business Administration,Country Information,https://libguides.library.winthrop.edu/countries
15,Business Administration,Digital Information Design,https://libguides.library.winthrop.edu/difd
16,Business Administration,Economics,https://libguides.library.winthrop.edu/econ
17,Business Administration,Finance,https://libguides.library.winthrop.edu/finance
18,Business Administration,Management,https://libguides.library.winthrop.edu/management
19,Business Administration,Marketing,https://libguides.library.winthrop.edu/marketing
20,Business Administration,MCOM 341 Advertising Principles,https://libguides.library.winthrop.edu/MCOM341
21,Business Administration,Small Business Resources,https://libguides.library.winthrop.edu/c.php?g=284147
22,Citation Guides,Citation Styles,https://libguides.library.winthrop.edu/c.php?g=381504
23,Citation Guides,Online Students Library Orientation,https://libguides.library.winthrop.edu/OnlineStudents
24,Computer Science,Computer Science,https://libguides.library.winthrop.edu/c.php?g=284164
25,Copyright,Conundrums of Copyright,https://libguides.library.winthrop.edu/copyright
26,Dance,Dance,https://libguides.library.winthrop.edu/dance
27,Design,Architecture,https://libguides.library.winthrop.edu/architecture
28,Design,Computer Science,https://libguides.library.winthrop.edu/c.php?g=284164
29,Design,Digital Information Design,https://libguides.library.winthrop.edu/difd
30,Design,Interior Design,https://libguides.library.winthrop.edu/interior
31,Economics,Economics,https://libguides.library.winthrop.edu/econ
32,Economics,ENVS 520: Senior Seminar in the Environment,https://libguides.library.winthrop.edu/envs520
33,Economics,Finance,https://libguides.library.winthrop.edu/finance
34,Education,Education Resources,https://libguides.library.winthrop.edu/c.php?g=284123
35,Education,K-12 Education Resources,https://libguides.library.winthrop.edu/K-12
36,Education,Testing and Assessment,https://libguides.library.winthrop.edu/c.php?g=284142
37,English and Literature,Composition Theory and Pedagogy,https://libguides.library.winthrop.edu/c.php?g=284115
38,English and Literature,French Literature of the 18th Century,https://libguides.library.winthrop.edu/c.php?g=284113
39,English and Literature,Literary Criticism,https://libguides.library.winthrop.edu/litcriticism
40,English and Literature,Shakespeare,https://libguides.library.winthrop.edu/c.php?g=284101
41,English and Literature,Women and Literature,https://libguides.library.winthrop.edu/womenandlit
42,Environmental Science,Biology Resource Guide,https://libguides.library.winthrop.edu/biology
43,Environmental Science,ENVS 520: Senior Seminar in the Environment,https://libguides.library.winthrop.edu/envs520
44,Finance,Company Information,https://libguides.library.winthrop.edu/companyinfo
45,Finance,Finance,https://libguides.library.winthrop.edu/finance
46,Finance,Mathematics,https://libguides.library.winthrop.edu/math
47,Geography,Country Information,https://libguides.library.winthrop.edu/countries
48,Geography,ENVS 520: Senior Seminar in the Environment,https://libguides.library.winthrop.edu/envs520
49,Geography,Geography,https://libguides.library.winthrop.edu/geography
50,Geography,South Carolina History,https://libguides.library.winthrop.edu/southcarolina
51,Geology,ENVS 520: Senior Seminar in the Environment,https://libguides.library.winthrop.edu/envs520
52,Geology,Geography,https://libguides.library.winthrop.edu/geography
53,Global Learning,Country Information,https://libguides.library.winthrop.edu/countries
54,Global Learning,US & the Middle East,https://libguides.library.winthrop.edu/c.php?g=284108
55,Government,Government Information Guide,https://libguides.library.winthrop.edu/govdocs
56,Government,Model United Nations,https://libguides.library.winthrop.edu/c.php?g=284160
57,Health & Medicine,ENVS 520: Senior Seminar in the Environment,https://libguides.library.winthrop.edu/envs520
58,History,African American Studies,https://libguides.library.winthrop.edu/aams
59,History,American History,https://libguides.library.winthrop.edu/ushistory
60,History,Historical Preservation,https://libguides.library.winthrop.edu/historicpreservation
61,History,South Carolina History,https://libguides.library.winthrop.edu/southcarolina
62,History,Terrorism,https://libguides.library.winthrop.edu/c.php?g=284094
63,History,US & the Middle East,https://libguides.library.winthrop.edu/c.php?g=284108
64,History,World History (Non-U.S.),https://libguides.library.winthrop.edu/c.php?g=592979
65,Human Nutrition,Human Nutrition,https://libguides.library.winthrop.edu/nutrition
66,Human Nutrition,Nutrition 370 -- Food and Nutrition in Cultural Perspective,https://libguides.library.winthrop.edu/nutr370
67,Law,Conundrums of Copyright,https://libguides.library.winthrop.edu/copyright
68,Law,Digital Information Design,https://libguides.library.winthrop.edu/difd
69,Law,Finance,https://libguides.library.winthrop.edu/finance
70,Law,Legal Research,https://libguides.library.winthrop.edu/legalresearch
71,Marketing,MCOM 341 Advertising Principles,https://libguides.library.winthrop.edu/MCOM341
72,Mass Communication,Digital Information Design,https://libguides.library.winthrop.edu/difd
73,Mass Communication,MCOM 341 Advertising Principles,https://libguides.library.winthrop.edu/MCOM341
74,Mass Communication,Motion Picture Review and Analysis,https://libguides.library.winthrop.edu/c.php?g=284100
75,Mass Communication,Newspaper and Other Current Event Sources,https://libguides.library.winthrop.edu/c.php?g=284159
76,Mass Communication,US & the Middle East,https://libguides.library.winthrop.edu/c.php?g=284108
77,Mathematics,Mathematics,https://libguides.library.winthrop.edu/math
78,Mathematics,Statistics,https://libguides.library.winthrop.edu/statistics
79,Model UN,Model United Nations,https://libguides.library.winthrop.edu/c.php?g=284160
80,Music,Foundations of Music Education,https://libguides.library.winthrop.edu/c.php?g=284103
81,Music,History of Music from 1750-1900,https://libguides.library.winthrop.edu/c.php?g=284087
82,Music,Opera Literature,https://libguides.library.winthrop.edu/c.php?g=284109
83,Music,Piano Pedagogy,https://libguides.library.winthrop.edu/c.php?g=284110
84,Music,Research in Music,https://libguides.library.winthrop.edu/c.php?g=284121
85,Music,Vocal Pedagogy,https://libguides.library.winthrop.edu/c.php?g=284111
86,Music,World Music,https://libguides.library.winthrop.edu/c.php?g=284093
87,Philosophy,Finding Information in Philosophy,https://libguides.library.winthrop.edu/philosophy
88,Physical Education and Recreation,Athletic Training/Exercise Science,https://libguides.library.winthrop.edu/c.php?g=284078
89,Physical Education and Recreation,Physical Education and Recreation,https://libguides.library.winthrop.edu/c.php?g=284079
90,Physical Education and Recreation,Sport Management,https://libguides.library.winthrop.edu/c.php?g=284080
91,Political Science,Model United Nations,https://libguides.library.winthrop.edu/c.php?g=284160
92,Political Science,Political Science,https://libguides.library.winthrop.edu/politcalscience
93,Political Science,Terrorism,https://libguides.library.winthrop.edu/c.php?g=284094
94,Psychology,Psychology,https://libguides.library.winthrop.edu/psychology
95,Ready Reference,Online Calculators and Converters,https://libguides.library.winthrop.edu/c.php?g=284098
96,Ready Reference,Online Ready Reference Resources,https://libguides.library.winthrop.edu/c.php?g=284099
97,Religion,Finding Religion/Theology Information,https://libguides.library.winthrop.edu/religion
98,Social Work,Social Work,https://libguides.library.winthrop.edu/socialwork
99,Speech,US & the Middle East,https://libguides.library.winthrop.edu/c.php?g=284108
100,Sport Management,Sport Management,https://libguides.library.winthrop.edu/c.php?g=284080
101,Statistics,Statistics,https://libguides.library.winthrop.edu/statistics
102,Theater & Film,Motion Picture Review and Analysis,https://libguides.library.winthrop.edu/c.php?g=284100
103,Theater & Film,Theatre Research,https://libguides.library.winthrop.edu/thea
104,Using Dacus Resources,Conundrums of Copyright,https://libguides.library.winthrop.edu/copyright
105,Using Dacus Resources,Library of Congress Classification System: A Brief Guide,https://libguides.library.winthrop.edu/c.php?g=284096
106,Using Dacus Resources,New Titles in Dacus,https://libguides.library.winthrop.edu/newtitles
107,Using Dacus Resources,Online Students Library Orientation,https://libguides.library.winthrop.edu/OnlineStudents
108,Using Dacus Resources,Pre-1900 Newspaper Holdings,https://libguides.library.winthrop.edu/c.php?g=284097
109,Using Dacus Resources,Pre-1950 Journal Holdings,https://libguides.library.winthrop.edu/c.php?g=284105
110,World Languages and Cultures,Country Information,https://libguides.library.winthrop.edu/countries
111,World Languages and Cultures,French Literature of the 18th Century,https://libguides.library.winthrop.edu/c.php?g=284113
112,Writing,Composition Theory and Pedagogy,https://libguides.library.winthrop.edu/c.php?g=284115
113,Writing,Pros and Cons Research Paper,https://libguides.library.winthrop.edu/c.php?g=284165
