,Category,Subject,Link
0,African American Studies,African American Studies,https://libguides.lmu.edu/africanamericanstudies
1,American Cultures,American Cultures,https://libguides.lmu.edu/americancultures
2,American Cultures,Riot Grrrl Research,https://libguides.lmu.edu/riotgrrrl
3,Animation,Animation,https://libguides.lmu.edu/animation
4,Archives and Special Collections,Research Guide to Archives and Special Collections,https://libguides.lmu.edu/asc
5,Art / Art History,Art History,https://libguides.lmu.edu/arthistory
6,Art / Art History,"Culture, Art and Society: The Shaping of Los Angeles",https://libguides.lmu.edu/FYS_Noreen
7,Art / Art History,Medieval Art History,https://libguides.lmu.edu/MedievalArt
8,Art / Art History,Northern Renaissance Art History,https://libguides.lmu.edu/northernrenaissanceart
9,Art Therapy,Art Therapy,https://libguides.lmu.edu/arttherapy
10,Asian and Pacific Studies,Asian and Pacific Studies,https://libguides.lmu.edu/asianpacific
11,Asian and Pacific Studies,Asian Pacific American Studies,https://libguides.lmu.edu/asianamericanstudies
12,Bioethics,Bioethics,https://libguides.lmu.edu/bioethics
13,Bioethics,Bioethics & Yoga Studies Graduate Student Overview,https://libguides.lmu.edu/bioyoga
14,Biology,Biology,https://libguides.lmu.edu/biology
15,Business,Business,https://libguides.lmu.edu/business
16,Business,Business Law,https://libguides.lmu.edu/businesslaw
17,Careers & Graduate Study,Career Research,https://libguides.lmu.edu/careers
18,Chemistry and Biochemistry,Chemistry and Biochemistry,https://libguides.lmu.edu/chemistry
19,Chicana/o Studies,Chicana/o Latina/o Studies,https://libguides.lmu.edu/chicanaostudies
20,Classics & Archaeology,Archaeology,https://libguides.lmu.edu/archaeology
21,Classics & Archaeology,Classics,https://libguides.lmu.edu/classics
22,Communication Studies,Communication Studies,https://libguides.lmu.edu/commstudies
23,Computer Science,Computer Science & Electrical Engineering,https://libguides.lmu.edu/cs_ee
24,Dance,Dance,https://libguides.lmu.edu/dance
25,Economics,Economics,https://libguides.lmu.edu/economics
26,Education,Counseling Program,https://libguides.lmu.edu/counseling
27,Education,Education,https://libguides.lmu.edu/education
28,Education,FFYS 1000 Education and the Public Good,https://libguides.lmu.edu/fys_education
29,Education,Lesson Plans,https://libguides.lmu.edu/LessonPlans
30,Education,Online Literacy Program,https://libguides.lmu.edu/onlineliteracy
31,Engineering,Civil Engineering,https://libguides.lmu.edu/civeng
32,Engineering,Computer Science & Electrical Engineering,https://libguides.lmu.edu/cs_ee
33,Engineering,Environmental Science,https://libguides.lmu.edu/environmentalscience
34,Engineering,General Engineering,https://libguides.lmu.edu/geneng
35,Engineering,Mechanical Engineering,https://libguides.lmu.edu/mecheng
36,Engineering,Physics and Engineering Physics,https://libguides.lmu.edu/physics
37,English,Digital+Scholarship,https://libguides.lmu.edu/digitalscholarship
38,English,English,https://libguides.lmu.edu/english
39,English,Irish Studies,https://libguides.lmu.edu/irishstudies
40,English,Jesuit Studies,https://libguides.lmu.edu/JesuitStudies
41,English,Library Resources for High School Students,https://libguides.lmu.edu/highschool
42,English,Riot Grrrl Research,https://libguides.lmu.edu/riotgrrrl
43,Environment,Environmental Science,https://libguides.lmu.edu/environmentalscience
44,Events,Banned Books Week,https://libguides.lmu.edu/bbw
