,Category,Subject,Link
0,African-American Studies,Black Lives and Contemporary Resistance,https://libguides.memphis.edu/blacklivesmatter
1,Anthropology,Anthropology,https://libguides.memphis.edu/anthro
2,Anthropology,Ethnomusicology,https://libguides.memphis.edu/ethnomusicology
3,Architecture,Architecture,https://libguides.memphis.edu/architecture
4,Art,Art,https://libguides.memphis.edu/art
5,Biology,Biological Sciences,https://libguides.memphis.edu/biosci
6,Business and Economics,Advertising,https://libguides.memphis.edu/advertising
7,Business and Economics,Bibliometrics & Online Scholarly Presence,https://libguides.memphis.edu/bibliometrics
8,Business and Economics,Business Management,https://libguides.memphis.edu/businessmgmt
9,Business and Economics,Management of Information Systems,https://libguides.memphis.edu/mis
10,Business and Economics,MRCH 4600: Senior Seminar,https://libguides.memphis.edu/MRCH4600
11,Business and Economics,Music Industry,https://libguides.memphis.edu/music_industry
12,Chemistry,Chemistry,https://libguides.memphis.edu/chemistry
13,City and Regional Planning,City and Regional Planning,https://libguides.memphis.edu/city_planning
14,Communication,Alternative Facts & News Literacy: How to Be a Skeptic,https://libguides.memphis.edu/newsliteracy
15,Communication,AUSP 7500: Evaluating Research 1,https://libguides.memphis.edu/c.php?g=863290
16,Communication,COMM 2381: Oral Communication,https://libguides.memphis.edu/comm2381
17,Communication,COMM4856/6856: Women & Film,https://libguides.memphis.edu/women_and_film
18,Communication,Communication,https://libguides.memphis.edu/communication
19,Communication Sciences and Disorders,Audiology Resources,https://libguides.memphis.edu/c.php?g=875400
20,Communication Sciences and Disorders,AUSP 7500: Evaluating Research 1,https://libguides.memphis.edu/c.php?g=863290
21,Communication Sciences and Disorders,Communication Sciences and Disorders information resources,https://libguides.memphis.edu/c.php?g=730796
22,Computer Science,Computer Science,https://libguides.memphis.edu/cs
23,Computer Science,Management of Information Systems,https://libguides.memphis.edu/mis
24,Computer Science,Usability,https://libguides.memphis.edu/usability
25,Criminology and Criminal Justice,Black Lives and Contemporary Resistance,https://libguides.memphis.edu/blacklivesmatter
26,Criminology and Criminal Justice,CJUS 3540: Criminology,https://libguides.memphis.edu/cjus3540
27,Criminology and Criminal Justice,CJUS 4110: Advanced Applications in CJUS,https://libguides.memphis.edu/CJUS4110
28,Criminology and Criminal Justice,CJUS 4533: Juvenile Delinquency,https://libguides.memphis.edu/juveniledelinquency
29,Criminology and Criminal Justice,Criminology & Criminal Justice,https://libguides.memphis.edu/criminology
30,Earth Sciences,Earth Sciences,https://libguides.memphis.edu/earthsci
31,Education,Applied Behavioral Analysis,https://libguides.memphis.edu/ABA
32,Education,Audiology Resources,https://libguides.memphis.edu/c.php?g=875400
33,Education,AUSP 7500: Evaluating Research 1,https://libguides.memphis.edu/c.php?g=863290
34,Education,Bibliometrics & Online Scholarly Presence,https://libguides.memphis.edu/bibliometrics
35,Education,Children's Literature,https://libguides.memphis.edu/c.php?g=101333
36,Education,Clinical Nutrition,https://libguides.memphis.edu/clinicalnutrition
37,Education,Educational Psychology & Research,https://libguides.memphis.edu/edpr
38,Education,Health and Sport Sciences,https://libguides.memphis.edu/healthsportsciences
39,Education,HIAD: Higher and Adult Education,https://libguides.memphis.edu/HIAD
40,Education,Instruction and Curriculum Leadership,https://libguides.memphis.edu/ICL
41,Education,Instructional Design and Technology,https://libguides.memphis.edu/idt
42,Education,SPED 3803: Behavior Management in Special Education,https://libguides.memphis.edu/sped3803
43,Education,STEM Education,https://libguides.memphis.edu/STEM_Ed
44,Engineering,Engineering,https://libguides.memphis.edu/engineering1
45,English,ENGL 1010: English Composition 1010,https://libguides.memphis.edu/engl1010
46,English,ENGL 1020: English Composition 1020,https://libguides.memphis.edu/engl1020
47,English,Primary Sources,https://libguides.memphis.edu/primarysources
48,Ethnic Studies,Black Lives and Contemporary Resistance,https://libguides.memphis.edu/blacklivesmatter
49,Film,COMM4856/6856: Women & Film,https://libguides.memphis.edu/women_and_film
50,Government Publications,Gov Docs for Diverse Populations,https://libguides.memphis.edu/govpops
51,Government Publications,Government Publications,https://libguides.memphis.edu/govpubs
52,Health Studies,AUSP 7500: Evaluating Research 1,https://libguides.memphis.edu/c.php?g=863290
53,Health Studies,Health Administration,https://libguides.memphis.edu/healthadmin
54,Health Studies,Health and Sport Sciences,https://libguides.memphis.edu/healthsportsciences
55,Health Studies,HLSC 3500: Healthy Habits,https://libguides.memphis.edu/HLSC3500
56,Health Studies,Public Health information resources,https://libguides.memphis.edu/PublicHealth
57,Health Studies,Wellness and Prevention,https://libguides.memphis.edu/c.php?g=875298
58,History,Black Lives and Contemporary Resistance,https://libguides.memphis.edu/blacklivesmatter
59,History,HIST 2010: U.S. History until 1877,https://libguides.memphis.edu/history2010
60,History,Historical Newspapers,https://libguides.memphis.edu/historical_newspapers
61,History,Primary Sources,https://libguides.memphis.edu/primarysources
62,Journalism and Strategic Media,Advertising,https://libguides.memphis.edu/advertising
63,Journalism and Strategic Media,Journalism,https://libguides.memphis.edu/journalism
64,Journalism and Strategic Media,Public Relations,https://libguides.memphis.edu/publicrelations
65,Law,Intellectual Property in Libraries,https://libguides.memphis.edu/iplibraries
66,Library Help/How-To Guides,Book Reviews - A Finding Guide,https://libguides.memphis.edu/bookreviews
67,Library Help/How-To Guides,Citation Resources,https://libguides.memphis.edu/citationguide
68,Library Help/How-To Guides,Classic Catalog vs. Discovery Layer (EBSCO Discovery Service),https://libguides.memphis.edu/catalogs
69,Library Help/How-To Guides,"Finding DVDs, CDs, and Streaming Media",https://libguides.memphis.edu/dvds
70,Library Help/How-To Guides,Graduate Library Orientation,https://libguides.memphis.edu/graduate
71,Library Help/How-To Guides,Historical Newspapers,https://libguides.memphis.edu/historical_newspapers
72,Library Help/How-To Guides,Off Campus Access,https://libguides.memphis.edu/access
73,Library Help/How-To Guides,Online Tutorials,https://libguides.memphis.edu/onlinetutorials
74,Library Help/How-To Guides,Plagiarism and Academic Integrity,https://libguides.memphis.edu/academicintegrity
75,Library Help/How-To Guides,Resources for Scholars: Digital Resources to Promote Scholarship & Learning,https://libguides.memphis.edu/scholars
