,Category,Subject,Link
0,Accounting,Accounting & Taxation Resources,https://libguides.merrimack.edu/accounting
1,Accounting,Company Research,https://libguides.merrimack.edu/company_research
2,Accounting,Industry Analysis,https://libguides.merrimack.edu/industry_analysis
3,Accounting,Ratios & Industry Averages,https://libguides.merrimack.edu/ratios
4,Art & Architecture,Architecture & Architectural History,https://libguides.merrimack.edu/architecture
5,Art & Architecture,Art & Art History,https://libguides.merrimack.edu/art
6,Biology,Biology,https://libguides.merrimack.edu/biology
7,Biology,STEM Education,https://libguides.merrimack.edu/science_education
8,Business,Accounting & Taxation Resources,https://libguides.merrimack.edu/accounting
9,Business,Building Financial Capability,https://libguides.merrimack.edu/financialcapabiity
10,Business,BUS 1100 Introduction to Business,https://libguides.merrimack.edu/BUS1100
11,Business,BUS 2205 Principles of Marketing,https://libguides.merrimack.edu/BUS2205
12,Business,Business Plan Research,https://libguides.merrimack.edu/businessplans
13,Business,Company Research,https://libguides.merrimack.edu/company_research
14,Business,Consumer Behavior,https://libguides.merrimack.edu/consumerbehavior
15,Business,Country Studies,https://libguides.merrimack.edu/country_studies
16,Business,Economics,https://libguides.merrimack.edu/economics
17,Business,Finance & Investments,https://libguides.merrimack.edu/finance
18,Business,Global Marketing,https://libguides.merrimack.edu/MKT3320
19,Business,Human Resources Management,https://libguides.merrimack.edu/HRM
20,Business,ICPSR - Inter-University Consortium for Political and Social Research,https://libguides.merrimack.edu/icpsr
21,Business,Industry Analysis,https://libguides.merrimack.edu/industry_analysis
22,Business,International Management & Entrepreneurship,https://libguides.merrimack.edu/internationalmgt
23,Business,LexisNexis Academic - Introduction,https://libguides.merrimack.edu/lexisnexis_academic
24,Business,Management,https://libguides.merrimack.edu/management
25,Business,Managerial Communication,https://libguides.merrimack.edu/managerialcommunication
26,Business,Marketing,https://libguides.merrimack.edu/marketing
27,Business,Marketing Research/MKT4420,https://libguides.merrimack.edu/market_research
28,Business,MGT3330 Legal Environment of Business (Kapelner) Fall 2018,https://libguides.merrimack.edu/MGT3330KapelnerFall18
29,Business,Ratios & Industry Averages,https://libguides.merrimack.edu/ratios
30,Business,Retail Management,https://libguides.merrimack.edu/retailmanagement
31,Business,Sport Management,https://libguides.merrimack.edu/sport_management
32,Business,Sports Marketing & Sponsorship,https://libguides.merrimack.edu/sportsmarketing
33,Career,Career Resources,https://libguides.merrimack.edu/careers
34,Chemistry,Chemistry,https://libguides.merrimack.edu/chemistry
35,Chemistry,STEM Education,https://libguides.merrimack.edu/science_education
36,Communication,Communications & Media,https://libguides.merrimack.edu/communicationsandmedia
37,Communication,Film Studies,https://libguides.merrimack.edu/film_studies
38,Community Engagement,Community Engagement,https://libguides.merrimack.edu/communityengagement
39,Community Engagement,Nonprofit Management & Organizations,https://libguides.merrimack.edu/nonprofits
40,Computer Science,Computer Science,https://libguides.merrimack.edu/computer_science
41,Computer Science,Digital Literacy and Computer Science (DLCS) Guide,https://libguides.merrimack.edu/DLCS
42,Computer Science,STEM Education,https://libguides.merrimack.edu/science_education
43,Computer Science,Wind Turbines,https://libguides.merrimack.edu/windturbines
44,Course Guides,Advanced Education Research,https://libguides.merrimack.edu/ed610gwardfall2013
45,Course Guides,BUS 1100 Introduction to Business,https://libguides.merrimack.edu/BUS1100
46,Course Guides,FYE 1000/1050: First Year Experience,https://libguides.merrimack.edu/firstyear
47,Course Guides,FYW 1050 (S.Smith),https://libguides.merrimack.edu/FYW1050_SSmith_FA18
48,Course Guides,Global Marketing,https://libguides.merrimack.edu/MKT3320
49,Course Guides,Marketing Research/MKT4420,https://libguides.merrimack.edu/market_research
50,Course Guides,Sports Medicine,https://libguides.merrimack.edu/sports_medicine
51,Criminology,CRIM 3500 Domestic Violence (Yetter),https://libguides.merrimack.edu/EDU3500_Fall2018
52,Criminology,CRIM 4000 Research Methods (Frisch),https://libguides.merrimack.edu/CRIM4000_Frisch
53,Criminology,Criminology,https://libguides.merrimack.edu/criminology
54,Criminology,ICPSR - Inter-University Consortium for Political and Social Research,https://libguides.merrimack.edu/icpsr
55,Current Events,Government Information,https://libguides.merrimack.edu/governmentinformation
56,Current Events,Piper Kerman,https://libguides.merrimack.edu/piperkerman
57,Current Events,Writers House Speakers,https://libguides.merrimack.edu/whspeakers
58,Economics,Building Financial Capability,https://libguides.merrimack.edu/financialcapabiity
59,Economics,Country Studies,https://libguides.merrimack.edu/country_studies
60,Economics,Economics,https://libguides.merrimack.edu/economics
61,Economics,ICPSR - Inter-University Consortium for Political and Social Research,https://libguides.merrimack.edu/icpsr
62,Economics,Industry Analysis,https://libguides.merrimack.edu/industry_analysis
63,Education,Advanced Education Research,https://libguides.merrimack.edu/ed610gwardfall2013
64,Education,Assessment in Education,https://libguides.merrimack.edu/assessment
65,Education,Clinical Mental Health,https://libguides.merrimack.edu/ClinicalMentalHealth
66,Education,Community Engagement,https://libguides.merrimack.edu/communityengagement
67,Education,Digital Literacy and Computer Science (DLCS) Guide,https://libguides.merrimack.edu/DLCS
68,Education,EDU 2210 Child and Adolescent Development (Meegan) Fall 2018,https://libguides.merrimack.edu/EDU2210MeeganFall18
69,Education,EDU 3210 Psychology of Learning and Assessment (Meegan) Fall 2018,https://libguides.merrimack.edu/EDU3210_Fall2018
70,Education,EDU 4340 Children's Literature (Gatling) Fall 2018,https://libguides.merrimack.edu/EDU4340_Fall2018
71,Education,Education (PreK-12),https://libguides.merrimack.edu/education
72,Education,ERC (Educational Resources Collection) Guide,https://libguides.merrimack.edu/erc
73,Education,Health Education,https://libguides.merrimack.edu/healtheducation
