,Category,Subject,Link
0,Biological Sciences,Biology and Biotechnology,https://libguides.mines.edu/bio
1,Biological Sciences,CBEN 311 -- Introduction to Neuroscience,https://libguides.mines.edu/neuroscience
2,Biological Sciences,Environment,https://libguides.mines.edu/environment
3,Biological Sciences,Ethics,https://libguides.mines.edu/ethics
4,Biological Sciences,"HNRS 430 -- Exploration in Ideas, Ethics and Religion",https://libguides.mines.edu/psychology
5,Biological Sciences,Library Tutorials,https://libguides.mines.edu/tutorials
6,Biological Sciences,Off Campus Access,https://libguides.mines.edu/offcampusaccess
7,Biological Sciences,Streaming Video Collections,https://libguides.mines.edu/streamingvideos
8,Business & Economics,Business and Economics,https://libguides.mines.edu/bizecon
9,Business & Economics,EBGN 434 -- Property Rights and Natural Resources,https://libguides.mines.edu/propertyrights
10,Business & Economics,Library Tutorials,https://libguides.mines.edu/tutorials
11,Business & Economics,Mineral Commodities,https://libguides.mines.edu/Mineral-Commodities
12,Business & Economics,Off Campus Access,https://libguides.mines.edu/offcampusaccess
13,Business & Economics,Streaming Video Collections,https://libguides.mines.edu/streamingvideos
14,Chemistry & Materials Science,CBEN 311 -- Introduction to Neuroscience,https://libguides.mines.edu/neuroscience
15,Chemistry & Materials Science,Chemistry and Chemical Engineering,https://libguides.mines.edu/chem
16,Chemistry & Materials Science,Environment,https://libguides.mines.edu/environment
17,Chemistry & Materials Science,Ethics,https://libguides.mines.edu/ethics
18,Chemistry & Materials Science,Library Tutorials,https://libguides.mines.edu/tutorials
19,Chemistry & Materials Science,Metallurgy & Materials Science,https://libguides.mines.edu/materials
20,Chemistry & Materials Science,Off Campus Access,https://libguides.mines.edu/offcampusaccess
21,Chemistry & Materials Science,Streaming Video Collections,https://libguides.mines.edu/streamingvideos
22,Earth & Space Sciences,Archived Government Data,https://libguides.mines.edu/archiveddata
23,Earth & Space Sciences,Colorado Geology,https://libguides.mines.edu/coloradogeology
24,Earth & Space Sciences,Common Read Initiative,https://libguides.mines.edu/commonread
25,Earth & Space Sciences,Energy,https://libguides.mines.edu/energy
26,Earth & Space Sciences,Environment,https://libguides.mines.edu/environment
27,Earth & Space Sciences,Ethics,https://libguides.mines.edu/ethics
28,Earth & Space Sciences,Geology,https://libguides.mines.edu/geology
29,Earth & Space Sciences,Geophysics,https://libguides.mines.edu/geophysics
30,Earth & Space Sciences,Green & Sustainable Engineering,https://libguides.mines.edu/greeneng
31,Earth & Space Sciences,Historic Mines & Mining Companies,https://libguides.mines.edu/historicminesmining
32,Earth & Space Sciences,Hydrology and Water Resources,https://libguides.mines.edu/hydrology
33,Earth & Space Sciences,Library Tutorials,https://libguides.mines.edu/tutorials
34,Earth & Space Sciences,Maps and Geospatial Information,https://libguides.mines.edu/maps
35,Earth & Space Sciences,Mineral Commodities,https://libguides.mines.edu/Mineral-Commodities
36,Earth & Space Sciences,Mining Engineering,https://libguides.mines.edu/miningeng
37,Earth & Space Sciences,Off Campus Access,https://libguides.mines.edu/offcampusaccess
38,Earth & Space Sciences,Oil Shale,https://libguides.mines.edu/oilshale
39,Earth & Space Sciences,"PEGN 530 -- Environmental, Energy, and Natural Resources Law",https://libguides.mines.edu/envlaw
