,Category,Subject,Link
0,Agriculture,Common Ground,https://libguides.mjc.edu/CommonGround
1,Agriculture,Elements of Agricultural Economics (AGEC 210 ),https://libguides.mjc.edu/agec210
2,Anthropology & Archaeology,ANTHR 101 - Bolter,https://libguides.mjc.edu/anthr101
3,Anthropology & Archaeology,ANTHR 130 - Kerr,https://libguides.mjc.edu/anthro130
4,Anthropology & Archaeology,Countries & Cultures,https://libguides.mjc.edu/CountriesandCultures
5,Anthropology & Archaeology,World Religions,https://libguides.mjc.edu/religions
6,Arts & Humanities,Art Research Basics,https://libguides.mjc.edu/artresearch
7,Arts & Humanities,Common Ground,https://libguides.mjc.edu/CommonGround
8,Arts & Humanities,Introduction to World Dance (DANCE 102 - Davis),https://libguides.mjc.edu/dance
9,Arts & Humanities,Music Appreciation (MUSG 101 - Demus-Leslie),https://libguides.mjc.edu/musicapp
10,Arts & Humanities,Researching Music & Musicians,https://libguides.mjc.edu/MusicandMusicians
11,Arts & Humanities,World Music (Music 102 - Chapman),https://libguides.mjc.edu/worldmusic
12,Biography,Art Research Basics,https://libguides.mjc.edu/artresearch
13,Biography,Biographies,https://libguides.mjc.edu/biographies
14,Biography,Black History Month,https://libguides.mjc.edu/blackhistorymonth
15,Biography,Researching Music & Musicians,https://libguides.mjc.edu/MusicandMusicians
16,Biography,Researching Writers and Their Work,https://libguides.mjc.edu/writersandtheirwork
17,Business & Careers,Business Communication (BUSAD 210 - Arnold),https://libguides.mjc.edu/busad210
18,Business & Careers,Business Law (BUSAD 218),https://libguides.mjc.edu/busad218
19,Business & Careers,Career Exploration,https://libguides.mjc.edu/careerexploration
20,Business & Careers,Human Resources Management (BUSAD 274 - Akiona),https://libguides.mjc.edu/busad274
21,Business & Careers,Legal Research & Law,https://libguides.mjc.edu/LegalResearch
22,Celebrations & Events,Banned Books Week 2018,https://libguides.mjc.edu/BannedBooksWeek2018
23,Celebrations & Events,Black History Month,https://libguides.mjc.edu/blackhistorymonth
24,Celebrations & Events,Earth Day 2017,https://libguides.mjc.edu/EarthDay2015
25,Celebrations & Events,Hispanic Heritage Month,https://libguides.mjc.edu/HispanicHeritageMonth
26,Celebrations & Events,Poetry Month,https://libguides.mjc.edu/PoetryMonth
27,Celebrations & Events,Women's History Month,https://libguides.mjc.edu/womens_history
28,Citing Sources,Format & Cite,https://libguides.mjc.edu/citeyoursources
29,Citing Sources,NoodleTools,https://libguides.mjc.edu/Noodlebib
30,Citing Sources,NoodleTools for Researchers,https://libguides.mjc.edu/NoodleBibBasics
31,Citing Sources,"Ready, Set, Cite (APA)",https://libguides.mjc.edu/apa
32,Citing Sources,"Ready, Set, Cite (Chicago)",https://libguides.mjc.edu/chicago
33,Citing Sources,"Ready, Set, Cite (MLA), 8th",https://libguides.mjc.edu/MLA
34,Communication Studies,Interpersonal Communications (COMM 103 - Sahlman),https://libguides.mjc.edu/interpersonal
35,Communication Studies,Library Research Assignment (COMM 100 - McKissick),https://libguides.mjc.edu/comm100
36,Communication Studies,Local Sources,https://libguides.mjc.edu/LocalSources
37,Communication Studies,Speech Research Basics,https://libguides.mjc.edu/speech
38,Countries & Cultures,Countries & Cultures,https://libguides.mjc.edu/CountriesandCultures
39,Countries & Cultures,World Religions,https://libguides.mjc.edu/religions
40,Education & Child Development,Advocacy Issues in Child Development (CLDDV 109 - Williams-Jackson),https://libguides.mjc.edu/Advocacy
41,Education & Child Development,"CLDDV 111-HEALTH, SAFETY, AND NUTRITION - Carnahan-Cook",https://libguides.mjc.edu/c.php?g=794572
42,Education & Child Development,Researching Issues in Child Development (Osburn),https://libguides.mjc.edu/childdevelopment
43,English,Academic Reading and Composition (ELIC 140 - Luman),https://libguides.mjc.edu/esl48
44,English,Affirmative Action (Engl 103 - Miranda),https://libguides.mjc.edu/affirmativeaction
45,English,American Dream--Engl 45,https://libguides.mjc.edu/AmericanDream
46,English,Banned Books Week 2018,https://libguides.mjc.edu/BannedBooksWeek2018
47,English,Basic Composition and Reading (ENGL 50 - Herold),https://libguides.mjc.edu/engl50
48,English,Common Ground,https://libguides.mjc.edu/CommonGround
49,English,Composition and Reading (ENGL 101 - Beggs),https://libguides.mjc.edu/engl101beggs
50,English,Crossing Over Engl 101 (Isaacson),https://libguides.mjc.edu/CrossingOver
51,English,English Research Basics,https://libguides.mjc.edu/english
52,English,Feminine Beauty--Engl 50 (Bento),https://libguides.mjc.edu/FeminineBeauty
53,English,Goblin Market (Engl 101 - Bento),https://libguides.mjc.edu/GoblinMarket
54,English,Heroes (ENGL 101 Bento),https://libguides.mjc.edu/heroes
55,English,Humor Theory (Engl 101--Eckrich),https://libguides.mjc.edu/HumorTheory
56,English,Local Sources,https://libguides.mjc.edu/LocalSources
57,English,Narcissism (Engl 101 - Bento),https://libguides.mjc.edu/narcissism
58,English,Oppression (Engl 101--Miranda),https://libguides.mjc.edu/oppression
59,English,Parenting (Engl 101 - Beggs),https://libguides.mjc.edu/Beggs101
60,English,Poetry Month,https://libguides.mjc.edu/PoetryMonth
61,English,Political Parties (Engl 101--Jensen),https://libguides.mjc.edu/101Jensen
62,English,Reading Portfolio (READ 184--Hawes),https://libguides.mjc.edu/ReadingPortfolio
63,English,"Ready, Set, Cite (MLA), 8th",https://libguides.mjc.edu/MLA
64,English,Research Snapshot: 8 Steps to Writing a Research Paper,https://libguides.mjc.edu/8steps
65,English,Researching Writers and Their Work,https://libguides.mjc.edu/writersandtheirwork
66,English,Resources to use with Shakespeare Saved my Life (Engl 101 - Zandarski),https://libguides.mjc.edu/Zandarski
