,Category,Subject,Link
0,Accounting & Business Law,.Accounting & Business Law,https://libguides.mnsu.edu/c.php?g=76586
1,Accounting & Business Law,RIA Checkpoint,https://libguides.mnsu.edu/checkpoint
2,American Indigenous Studies,.Anthropology,https://libguides.mnsu.edu/c.php?g=76486
3,American Indigenous Studies,American Indigenous Studies,https://libguides.mnsu.edu/c.php?g=76759
4,American Indigenous Studies,American Indigenous Studies 210: Oral Traditions,https://libguides.mnsu.edu/c.php?g=76773
5,American Indigenous Studies,American Indigenous Studies 340,https://libguides.mnsu.edu/c.php?g=76778
6,Anthropology,.Anthropology,https://libguides.mnsu.edu/c.php?g=76486
7,Anthropology,American Indigenous Studies 210: Oral Traditions,https://libguides.mnsu.edu/c.php?g=76773
8,Anthropology,Anthropology 240: Language & Culture,https://libguides.mnsu.edu/c.php?g=76772
9,Anthropology,Anthropology 245: The Social Life of Swearing,https://libguides.mnsu.edu/c.php?g=709696
10,Anthropology,Anthropology 250W,https://libguides.mnsu.edu/c.php?g=863606
11,Anthropology,Anthropology 260,https://libguides.mnsu.edu/c.php?g=76776
12,Anthropology,Anthropology 425/525,https://libguides.mnsu.edu/c.php?g=377471
13,Anthropology,Anthropology 438: Theory,https://libguides.mnsu.edu/c.php?g=76812
14,Anthropology,Anthropology Careers,https://libguides.mnsu.edu/c.php?g=210058
15,Anthropology,Archaeology of Minnesota,https://libguides.mnsu.edu/c.php?g=76767
16,Anthropology,Guide to Websites about Women Around the World,https://libguides.mnsu.edu/c.php?g=833649
17,Applied Organizational Studies,Applied Organizational Studies,https://libguides.mnsu.edu/c.php?g=763113
18,Art,.Art,https://libguides.mnsu.edu/c.php?g=76549
19,Art,Image Resources,https://libguides.mnsu.edu/c.php?g=76708
20,Aviation,Aviation,https://libguides.mnsu.edu/aviation
21,Aviation,Maps Guide (Mary T Dooley Map Library),https://libguides.mnsu.edu/mapsarea
22,Biological Sciences,.Biological Sciences,https://libguides.mnsu.edu/biology
23,Biological Sciences,BIOL 602 Research Methods,https://libguides.mnsu.edu/biol602
24,Biological Sciences,Research and Writing in the Sciences,https://libguides.mnsu.edu/science-writing
25,Business,.Accounting & Business Law,https://libguides.mnsu.edu/c.php?g=76586
26,Business,.Business,https://libguides.mnsu.edu/business
27,Business,.Business Management,https://libguides.mnsu.edu/management
28,Business,.Finance,https://libguides.mnsu.edu/c.php?g=76588
29,Business,.International Business,https://libguides.mnsu.edu/c.php?g=76589
30,Business,.Marketing,https://libguides.mnsu.edu/c.php?g=76590
31,Business,Business Writing Resources,https://libguides.mnsu.edu/business_writing
32,Business,Company Research,https://libguides.mnsu.edu/c.php?g=596643
33,Business,Eikon Login/Logoff,https://libguides.mnsu.edu/c.php?g=736209
34,Business,Eikon Training,https://libguides.mnsu.edu/c.php?g=656149
35,Business,Researching Business Ideas,https://libguides.mnsu.edu/businessideas
36,Chemistry & Geology,.Chemistry,https://libguides.mnsu.edu/chemistry
37,Chemistry & Geology,.Geology,https://libguides.mnsu.edu/geology
38,Chemistry & Geology,Maps Guide (Mary T Dooley Map Library),https://libguides.mnsu.edu/mapsarea
