,Category,Subject,Link
0,Arts,Anthropology,https://libguides.mq.edu.au/anthro
1,Arts,English,https://libguides.mq.edu.au/English
2,Arts,Geography & Planning,https://libguides.mq.edu.au/geographyplanning
3,Arts,History - Ancient,https://libguides.mq.edu.au/ancient_history
4,Arts,History - Big History,https://libguides.mq.edu.au/bighistory
5,Arts,History - Modern,https://libguides.mq.edu.au/modern-history
6,Arts,History - Modern History primary sources,https://libguides.mq.edu.au/primarysources
7,Arts,History Resources for High School Students,https://libguides.mq.edu.au/history-resources-for-hss
8,Arts,International Relations,https://libguides.mq.edu.au/International_Relations
9,Arts,Language - Modern,https://libguides.mq.edu.au/modern_languages
10,Arts,Law,https://libguides.mq.edu.au/law
11,Arts,"Media, Music, Dance & Performance, Cultural Studies",https://libguides.mq.edu.au/mmccs
12,Arts,Philosophy,https://libguides.mq.edu.au/philosophy
13,Arts,Politics,https://libguides.mq.edu.au/politics_guide
14,Arts,"Security Studies and Criminology (formerly Policing, Intelligence and Counter Terrorism Studies)",https://libguides.mq.edu.au/securitystudiesandcriminology
15,Arts,Sociology,https://libguides.mq.edu.au/sociologyguide
16,Business and Economics,Accounting,https://libguides.mq.edu.au/accounting
17,Business and Economics,"Company, Industry and Country Information",https://libguides.mq.edu.au/companyindustrycountry
18,Business and Economics,"Confidentialised Unit Record File (CURF), TableBuilder & HILDA",https://libguides.mq.edu.au/curftablebuilderhilda
19,Business and Economics,Demography,https://libguides.mq.edu.au/demography
20,Business and Economics,Economics,https://libguides.mq.edu.au/economics
21,Business and Economics,Finance,https://libguides.mq.edu.au/finance
22,Business and Economics,Management,https://libguides.mq.edu.au/management
23,Business and Economics,Marketing,https://libguides.mq.edu.au/marketing
24,Business and Economics,MKTG101 Marketing Fundamentals,https://libguides.mq.edu.au/mktg101
25,Finding & Using,'Access via Macquarie' Bookmarklet,https://libguides.mq.edu.au/bookmarklet
26,Finding & Using,Ebooks@Macquarie,https://libguides.mq.edu.au/ebooks
27,Finding & Using,Leganto Reading Lists for Instructors,https://libguides.mq.edu.au/Leganto-instructors
28,Finding & Using,Leganto Reading Lists for Students,https://libguides.mq.edu.au/leganto
29,Finding & Using,Lynda.com,https://libguides.mq.edu.au/lynda
30,Finding & Using,MultiSearch Advanced,https://libguides.mq.edu.au/MultiSearch-Advanced
31,Finding & Using,MultiSearch Basic,https://libguides.mq.edu.au/Multisearch
32,Finding & Using,Newspapers,https://libguides.mq.edu.au/newspapers
33,Finding & Using,Open Educational Resources,https://libguides.mq.edu.au/oer
34,Finding & Using,Referencing,https://libguides.mq.edu.au/referencing
35,Finding & Using,Troubleshooting Eresource Problems,https://libguides.mq.edu.au/troubleshooting
36,Finding & Using,Video Streaming,https://libguides.mq.edu.au/videostreaming
37,Finding & Using,VRoom,https://libguides.mq.edu.au/VRoom
38,Human Sciences,Audiology & Speech Pathology,https://libguides.mq.edu.au/audiology_speech-pathology
39,Human Sciences,Cognitive Science,https://libguides.mq.edu.au/cognitive-science
40,Human Sciences,Curriculum Resources,https://libguides.mq.edu.au/curriculum-resources
41,Human Sciences,Education,https://libguides.mq.edu.au/education
42,Human Sciences,Education - Early Childhood,https://libguides.mq.edu.au/early-childhood-education
43,Human Sciences,Education - Early Childhood BTeach,https://libguides.mq.edu.au/early-childhood-BTeach
44,Human Sciences,Education - Special Education,https://libguides.mq.edu.au/specialeducation
45,Human Sciences,Linguistics,https://libguides.mq.edu.au/linguistics
46,Human Sciences,Psychology,https://libguides.mq.edu.au/psychology
47,Medicine and Health Sciences,Biomedical Sciences,https://libguides.mq.edu.au/biomedsciences
48,Medicine and Health Sciences,Cancer Information Website,https://libguides.mq.edu.au/MQ-Cancer-Resources
49,Medicine and Health Sciences,Cardiovascular Medicine,https://libguides.mq.edu.au/cardiovascular-medicine
50,Medicine and Health Sciences,Clinical Medicine,https://libguides.mq.edu.au/clinical-medicine
51,Medicine and Health Sciences,Clinical Science,https://libguides.mq.edu.au/clinical-science
52,Medicine and Health Sciences,EBM,https://libguides.mq.edu.au/ebpractice
53,Medicine and Health Sciences,Macquarie University Cancer Program,https://libguides.mq.edu.au/cancer-program
54,Medicine and Health Sciences,Medicine Quick Links,https://libguides.mq.edu.au/medicinequicklinks
55,Medicine and Health Sciences,Neurology,https://libguides.mq.edu.au/neurology
56,Medicine and Health Sciences,Neurosurgery,https://libguides.mq.edu.au/neurosurgery
57,Medicine and Health Sciences,Orthopaedics,https://libguides.mq.edu.au/orthopaedics
58,Medicine and Health Sciences,Physiotherapy,https://libguides.mq.edu.au/physiotherapy
59,Medicine and Health Sciences,Public Health,https://libguides.mq.edu.au/PublicHealth
60,Research Support,Bibliographic Referencing Software,https://libguides.mq.edu.au/referencing-software
61,Research Support,Open Access,https://libguides.mq.edu.au/Open_Access
62,Research Support,Postgrad Research Support,https://libguides.mq.edu.au/postgrad-research
63,Research Support,Systematic Reviews,https://libguides.mq.edu.au/systematic-reviews
64,Research Support,Text and Data Mining (TDM),https://libguides.mq.edu.au/textdatamining
65,Research Support,Tracking Your Research,https://libguides.mq.edu.au/tracking-your-research
66,Science and Engineering,Biological Sciences,https://libguides.mq.edu.au/biologicalsciences
67,Science and Engineering,Chiropractic,https://libguides.mq.edu.au/chiropractic
68,Science and Engineering,Computing,https://libguides.mq.edu.au/computing
69,Science and Engineering,Earth & Planetary Sciences,https://libguides.mq.edu.au/earthandplanetarysciences
70,Science and Engineering,Engineering,https://libguides.mq.edu.au/all_engineering
71,Science and Engineering,Environmental Sciences,https://libguides.mq.edu.au/environmentalscience
72,Science and Engineering,Lab Safety Virtual Library,https://libguides.mq.edu.au/lab_safety_virtual_library
73,Science and Engineering,Marine Science,https://libguides.mq.edu.au/marinescience
74,Science and Engineering,Mathematics,https://libguides.mq.edu.au/mathematics
75,Science and Engineering,Molecular Sciences,https://libguides.mq.edu.au/chemistryandbiomolecularscience
76,Science and Engineering,Physics and Astronomy,https://libguides.mq.edu.au/physicsandastronomy
77,Science and Engineering,Statistics,https://libguides.mq.edu.au/statistics
