,Category,Subject,Link
0,Accounting,Accounting & Finance,https://libguides.murdoch.edu.au/accountingfinance
1,Accounting,Foundations of Accounting (BUS170),https://libguides.murdoch.edu.au/BUS170
2,Agriculture,Agriculture at Murdoch University Library,https://libguides.murdoch.edu.au/agriculture
3,Animal Science,Animal Science at Murdoch University Library,https://libguides.murdoch.edu.au/animal
4,Asian Studies,Asian Studies at Murdoch University Library,https://libguides.murdoch.edu.au/asian_studies
5,Asian Studies,CJK (Chinese Japanese Korean) Collection 中日韩文藏书 at Murdoch University Library,https://libguides.murdoch.edu.au/cjk
6,Australian Indigenous Studies,Australian Indigenous Studies at Murdoch University Library,https://libguides.murdoch.edu.au/indigenous
7,Biological Sciences,Biological Sciences at Murdoch University Library,https://libguides.murdoch.edu.au/biolsci
8,Biomedical Science,Biomedical Science at Murdoch University Library,https://libguides.murdoch.edu.au/biomed
9,Business,Accounting & Finance,https://libguides.murdoch.edu.au/accountingfinance
10,Business,Economics at Murdoch University Library,https://libguides.murdoch.edu.au/economics
11,Business,Human Resource Management at Murdoch University Library,https://libguides.murdoch.edu.au/hrm
12,Business,Library Research Skills,https://libguides.murdoch.edu.au/LibraryResearchSkills
13,Business,Management at Murdoch University Library,https://libguides.murdoch.edu.au/management
14,Business,Marketing at Murdoch University Library,https://libguides.murdoch.edu.au/marketing
15,Chemistry,BSC304 Library Training,https://libguides.murdoch.edu.au/c.php?g=464132
16,Chemistry,Chemistry at Murdoch University Library,https://libguides.murdoch.edu.au/chemistry
17,Chiropractic,Chiropractic Studies,https://libguides.murdoch.edu.au/chiropractic
18,Communication and Public Relations,Communication and Public Relations at Murdoch University Library,https://libguides.murdoch.edu.au/MassCommunication
19,Community Development,Community and Social Policy - COD214,https://libguides.murdoch.edu.au/COD214
20,Community Development,Community Development at Murdoch University Library,https://libguides.murdoch.edu.au/community
21,Counselling,Counselling,https://libguides.murdoch.edu.au/counselling
22,Criminology,Criminology,https://libguides.murdoch.edu.au/criminology
23,Economics,Economics at Murdoch University Library,https://libguides.murdoch.edu.au/economics
24,Education,Education at Murdoch University Library,https://libguides.murdoch.edu.au/Education
25,Energy,Energy at Murdoch University Library,https://libguides.murdoch.edu.au/energy
26,Engineering,Engineering at Murdoch University Library,https://libguides.murdoch.edu.au/engineering
27,English and Creative Writing,English & Creative Writing at Murdoch University Library,https://libguides.murdoch.edu.au/english
28,English as a Second Language,English as a Second Language,https://libguides.murdoch.edu.au/engseclang
