,Category,Subject,Link
0,Accounting,Accounting,https://libguides.murraystate.edu/accounting
1,Advertising,Marketing & Advertising,https://libguides.murraystate.edu/marketingadvertising
2,Agriculture,100T: Science and Agriculture,https://libguides.murraystate.edu/100T
3,Agriculture,AGR 199 Contemporary Issues in Agriculture,https://libguides.murraystate.edu/AGR199
4,Agriculture,AGR 735 Research Methodology,https://libguides.murraystate.edu/AGR735
5,Agriculture,AGR 739 - Agribusiness management,https://libguides.murraystate.edu/AGR739
6,Agriculture,Agriculture,https://libguides.murraystate.edu/agr
7,Agriculture,Veterinary & Animal Sciences,https://libguides.murraystate.edu/AnimalVet1
8,Archaeology,Archaeology,https://libguides.murraystate.edu/archaeo
9,Art & Design,Art & Design,https://libguides.murraystate.edu/art-design
10,Athletic Training,Athletic Training,https://libguides.murraystate.edu/athletictraining
11,Biology,100T: Science and Agriculture,https://libguides.murraystate.edu/100T
12,Biology,Biology,https://libguides.murraystate.edu/bio
13,Business,Accounting,https://libguides.murraystate.edu/accounting
14,Business,Center for International Business and Trade,https://libguides.murraystate.edu/CIBT
15,Business,Computer Science & Information Systems,https://libguides.murraystate.edu/csis
16,Business,Data Visualization,https://libguides.murraystate.edu/dataviz
17,Business,"Development, Inequality & Investment",https://libguides.murraystate.edu/development
18,Business,Economics,https://libguides.murraystate.edu/economics
19,Business,Finance,https://libguides.murraystate.edu/finance
20,Business,Finance 602,https://libguides.murraystate.edu/FIN602
21,Business,International Trade,https://libguides.murraystate.edu/internationaltrade
22,Business,Macroeconomics - International,https://libguides.murraystate.edu/macroeconomicsinternational
23,Business,Macroeconomics - United States/Regional,https://libguides.murraystate.edu/macroeconomics
24,Business,Management & Business Administration,https://libguides.murraystate.edu/management
25,Business,Marketing & Advertising,https://libguides.murraystate.edu/marketingadvertising
26,Business,MBA,https://libguides.murraystate.edu/mba
27,Business,Researching Countries,https://libguides.murraystate.edu/countryresearch
28,Business,Small Business Guide,https://libguides.murraystate.edu/smallbusiness
29,Chemistry,100T: Science and Agriculture,https://libguides.murraystate.edu/100T
30,Chemistry,Chemistry,https://libguides.murraystate.edu/chemistry
31,Communication,COM 161,https://libguides.murraystate.edu/COM161
32,Communication,COM 201,https://libguides.murraystate.edu/COM201
33,Communication,Communication,https://libguides.murraystate.edu/orgcom
34,Communication,Public Speaking Anxiety (PSA) Management,https://libguides.murraystate.edu/publicspeakinganxiety
35,Communication,Racer Oral Communication Center,https://libguides.murraystate.edu/comcenter
36,Communication Disorders,Communication Disorders,https://libguides.murraystate.edu/cdi
37,Computer Science,Computer Science & Information Systems,https://libguides.murraystate.edu/csis
38,Counseling,Counseling and School Psychology,https://libguides.murraystate.edu/counseling
39,Criminal Justice,Criminal Justice,https://libguides.murraystate.edu/criminaljustice
40,Dietetics & Nutrition,"Nutrition, Dietetics and Food Management",https://libguides.murraystate.edu/nutrition
41,Economics,Economics,https://libguides.murraystate.edu/economics
42,Economics,Macroeconomics - International,https://libguides.murraystate.edu/macroeconomicsinternational
43,Economics,Macroeconomics - United States/Regional,https://libguides.murraystate.edu/macroeconomics
44,Economics,Researching Countries,https://libguides.murraystate.edu/countryresearch
45,Education,Career and Technical Education,https://libguides.murraystate.edu/careered
46,Education,Curriculum Materials Center,https://libguides.murraystate.edu/cmc
47,Education,Early Childhood Education,https://libguides.murraystate.edu/earlychilded
48,Education,Educational Leadership/School Administration,https://libguides.murraystate.edu/edleadership
49,Education,Elementary Education,https://libguides.murraystate.edu/elementaryed
50,Education,FACULTY DEVELOPMENT,https://libguides.murraystate.edu/facdev
51,Education,Gifted Education,https://libguides.murraystate.edu/gifteded
52,Education,Health and Physical Education,https://libguides.murraystate.edu/health
53,Education,Middle School Education,https://libguides.murraystate.edu/middleed
54,Education,Reading and Writing (Education),https://libguides.murraystate.edu/reading
55,Education,Secondary Education,https://libguides.murraystate.edu/secondaryed
56,Education,Special Education,https://libguides.murraystate.edu/sped
57,Education (Higher),Educational Leadership/School Administration,https://libguides.murraystate.edu/edleadership
58,Education (Higher),FACULTY DEVELOPMENT,https://libguides.murraystate.edu/facdev
59,Education (Higher),Post-Secondary Education,https://libguides.murraystate.edu/psedu
60,Educational Leadership,FACULTY DEVELOPMENT,https://libguides.murraystate.edu/facdev
61,Engineering & Technology,100T: Science and Agriculture,https://libguides.murraystate.edu/100T
62,Engineering & Technology,Engineering & Technology,https://libguides.murraystate.edu/engine
63,English,English Language and Literature,https://libguides.murraystate.edu/english
64,"English 101, 102, & 105",General Research,https://libguides.murraystate.edu/research
65,Environmental Sciences,100T: Science and Agriculture,https://libguides.murraystate.edu/100T
66,Environmental Sciences,Earth and Environmental Sciences (Geoscience),https://libguides.murraystate.edu/geo
67,Exercise Science,Exercise Science,https://libguides.murraystate.edu/exercisescience
68,Finance,Finance,https://libguides.murraystate.edu/finance
69,Finance,Finance 602,https://libguides.murraystate.edu/FIN602
70,General,Distance Students,https://libguides.murraystate.edu/distance
71,General,Federal Government Depository,https://libguides.murraystate.edu/govdoc
72,General,Murray State's Digital Commons,https://libguides.murraystate.edu/digitalcommons
73,Geosciences,100T: Science and Agriculture,https://libguides.murraystate.edu/100T
74,Geosciences,Earth and Environmental Sciences (Geoscience),https://libguides.murraystate.edu/geo
75,Global Languages,Global Languages,https://libguides.murraystate.edu/gl
76,Government & International Affairs,Federal Government Depository,https://libguides.murraystate.edu/govdoc
77,Government & International Affairs,Law,https://libguides.murraystate.edu/law
78,Guidance,FACULTY DEVELOPMENT,https://libguides.murraystate.edu/facdev
79,History,History,https://libguides.murraystate.edu/history
