,Category,Subject,Link
0,Accounting & Finance,Business School Library,https://libguides.napier.ac.uk/nubs
1,Acting,Arts & Creative Industries Subject Guide,https://libguides.napier.ac.uk/saci
2,Animal & Plant Sciences,School of Applied Sciences,https://libguides.napier.ac.uk/sas
3,Biomedical Science,School of Applied Sciences,https://libguides.napier.ac.uk/sas
4,Biotechnology & Chemical Science,School of Applied Sciences,https://libguides.napier.ac.uk/sas
5,Built Environment,"Built Environment, Computing and Engineering",https://libguides.napier.ac.uk/sebe-soc
6,Chemistry,School of Applied Sciences,https://libguides.napier.ac.uk/sas
7,"Communication, Advertising & PR",Arts & Creative Industries Subject Guide,https://libguides.napier.ac.uk/saci
8,Computing,"Built Environment, Computing and Engineering",https://libguides.napier.ac.uk/sebe-soc
9,Copyright,Copyright guidance,https://libguides.napier.ac.uk/copyright
10,Criminology,School of Applied Sciences,https://libguides.napier.ac.uk/sas
11,Design,Arts & Creative Industries Subject Guide,https://libguides.napier.ac.uk/saci
12,Design & Art,Arts & Creative Industries Subject Guide,https://libguides.napier.ac.uk/saci
13,Economics,Business School Library,https://libguides.napier.ac.uk/nubs
14,Education,Learning and Teaching,https://libguides.napier.ac.uk/learningandteaching
15,Engineering,"Built Environment, Computing and Engineering",https://libguides.napier.ac.uk/sebe-soc
16,English,Arts & Creative Industries Subject Guide,https://libguides.napier.ac.uk/saci
17,Entrepreneurship,Business School Library,https://libguides.napier.ac.uk/nubs
18,Festival & Event Management,Business School Library,https://libguides.napier.ac.uk/nubs
19,Film Studies,Arts & Creative Industries Subject Guide,https://libguides.napier.ac.uk/saci
20,General,Shelf Help,https://libguides.napier.ac.uk/shelfhelp
21,Health and Social Care,Health and Social Care,https://libguides.napier.ac.uk/shsc
22,Health and Social Care,Literature Reviewing,https://libguides.napier.ac.uk/litrev
23,Hospitality,Business School Library,https://libguides.napier.ac.uk/nubs
24,Information Skills,Apps,https://libguides.napier.ac.uk/apps
25,Information Skills,Critical thinking,https://libguides.napier.ac.uk/criticalthinking
26,Information Skills,Current Awareness,https://libguides.napier.ac.uk/currentawareness
27,Information Skills,Google Scholar,https://libguides.napier.ac.uk/googlescholar
28,Information Skills,Literature Reviewing,https://libguides.napier.ac.uk/litrev
29,Information Skills,Reference Management,https://libguides.napier.ac.uk/refman
30,Information Skills,Statistical Packages,https://libguides.napier.ac.uk/stats
31,Journalism,Arts & Creative Industries Subject Guide,https://libguides.napier.ac.uk/saci
32,Languages,Business School Library,https://libguides.napier.ac.uk/nubs
33,Law,Business School Library,https://libguides.napier.ac.uk/nubs
34,Learning & Teaching,Learning and Teaching,https://libguides.napier.ac.uk/learningandteaching
35,Management,Business School Library,https://libguides.napier.ac.uk/nubs
36,Marketing,Business School Library,https://libguides.napier.ac.uk/nubs
37,Music,Arts & Creative Industries Subject Guide,https://libguides.napier.ac.uk/saci
38,Nursing & Midwifery,Health and Social Care,https://libguides.napier.ac.uk/shsc
39,Nursing & Midwifery,Literature Reviewing,https://libguides.napier.ac.uk/litrev
40,Photography,Arts & Creative Industries Subject Guide,https://libguides.napier.ac.uk/saci
41,Psychology,School of Applied Sciences,https://libguides.napier.ac.uk/sas
42,Publishing,Arts & Creative Industries Subject Guide,https://libguides.napier.ac.uk/saci
43,Research,Copyright guidance,https://libguides.napier.ac.uk/copyright
44,Research,Critical thinking,https://libguides.napier.ac.uk/criticalthinking
45,Research,Current Awareness,https://libguides.napier.ac.uk/currentawareness
46,Research,Data Collection & Analysis,https://libguides.napier.ac.uk/methods
47,Research,Google Scholar,https://libguides.napier.ac.uk/googlescholar
48,Research,Literature Reviewing,https://libguides.napier.ac.uk/litrev
49,Research,Measure your Research Performance,https://libguides.napier.ac.uk/researchperformance
50,Research,Reference Management,https://libguides.napier.ac.uk/refman
51,Research,Research Data Management,https://libguides.napier.ac.uk/rdm
52,Research,Research Ethics,https://libguides.napier.ac.uk/ethics
53,Research,Sharing Your Research,https://libguides.napier.ac.uk/share
54,Research,Statistical Packages,https://libguides.napier.ac.uk/stats
55,Research,Write & Publish,https://libguides.napier.ac.uk/writeandpublish
56,Social Sciences,School of Applied Sciences,https://libguides.napier.ac.uk/sas
57,Sports & Exercise Sciences,School of Applied Sciences,https://libguides.napier.ac.uk/sas
58,Statistics,Business School Library,https://libguides.napier.ac.uk/nubs
59,Statistics,Statistical Packages,https://libguides.napier.ac.uk/stats
60,Television Studies,Arts & Creative Industries Subject Guide,https://libguides.napier.ac.uk/saci
61,Tourism,Business School Library,https://libguides.napier.ac.uk/nubs
62,Transport,"Built Environment, Computing and Engineering",https://libguides.napier.ac.uk/sebe-soc
63,Veterinary Nursing,School of Applied Sciences,https://libguides.napier.ac.uk/sas
