,Category,Subject,Link
0,African American Studies,African American Studies,https://libguides.northwestern.edu/africanamerican
1,African American Studies,"AFAM 101: Race, Sexuality, & Representation: HIV/AIDS in Black America (Watkins-Hayes)",https://libguides.northwestern.edu/hiv/aids_black_america
2,African American Studies,AFAM 215: African American Social and Political Life (Smith),https://libguides.northwestern.edu/AFAMsoc_and_pol_life
3,African American Studies,AFAM 225: AFAM Culture: Queer in the City (Green),https://libguides.northwestern.edu/c.php?g=213095
4,African American Studies,AFAM 375: Postcolonial African American Studies (Hesse),https://libguides.northwestern.edu/postcolonial
5,African American Studies,AFAM 380: Unsettling Whiteness (Hesse),https://libguides.northwestern.edu/whiteness
6,African American Studies,AFAM 381: Topics in Diaspora Studies: Black Dance (Johnson),https://libguides.northwestern.edu/BlackDance
7,African American Studies,"African Diaspora in the Americas and the Caribbean: Resistance, Culture and Survival",https://libguides.northwestern.edu/AfricanDiaspora
8,African American Studies,"AF_AM_ST_101-6: Slavery, Race, and the Law in the Americas (Bryant)",https://libguides.northwestern.edu/slaverylaw
9,African American Studies,Analyzing Text,https://libguides.northwestern.edu/analyzingtext
10,African American Studies,ART_HIST_222-0: African American Art History (Thompson),https://libguides.northwestern.edu/AH222
11,African American Studies,Digital Humanities,https://libguides.northwestern.edu/dh
12,African American Studies,INTL_ST_395-0: Slavery in Global Relational Perspective (Jayawardene),https://libguides.northwestern.edu/intl395jayawardene
13,African American Studies,"RTVF 322: Genre: Race, History, and the Biopic (Petty)",https://libguides.northwestern.edu/biopic
14,African American Studies,The Black Experience at Northwestern University,https://libguides.northwestern.edu/c.php?g=849758
15,African Studies,African Studies Resources,https://libguides.northwestern.edu/africana
16,African Studies,Arabic Manuscripts from West Africa: A Catalog of the Herskovits Library Collection,https://libguides.northwestern.edu/arabic-manuscripts
17,African Studies,Visiting the Herskovits Library,https://libguides.northwestern.edu/visiting-the-herskovits-library
18,American Studies,AMER_ST_301: Comparative Race and Ethnicity (Bernstein),https://libguides.northwestern.edu/comparativerace
19,American Studies,Analyzing Text,https://libguides.northwestern.edu/analyzingtext
20,American Studies,ART_HIST_222-0: African American Art History (Thompson),https://libguides.northwestern.edu/AH222
21,American Studies,ART_HIST_390-0: Special Topics in American Art: Chicago 1968 (Zorach),https://libguides.northwestern.edu/chicago1968
22,American Studies,The Black Experience at Northwestern University,https://libguides.northwestern.edu/c.php?g=849758
23,Anthropology,Anthropology,https://libguides.northwestern.edu/anthro
24,Anthropology,Fashion,https://libguides.northwestern.edu/fashion
25,Anthropology,Analyzing Text,https://libguides.northwestern.edu/analyzingtext
26,Anthropology,ANTHRO 101-6: Castles (Johnson),https://libguides.northwestern.edu/castles
27,Anthropology,Anthro 211 Culture and Society (Smith),https://libguides.northwestern.edu/Culture_and_Society
28,Anthropology,ANTHRO_101-6: Making of the Fittest: Issues in Evolution (Waxenbaum),https://libguides.northwestern.edu/making_of_the_fittest
29,Anthropology,ANTHRO_390-0-24: Methods in Anthro/Global Health (Young),https://libguides.northwestern.edu/anthromethods
30,Anthropology,Culture and the Brain (Seligman),https://libguides.northwestern.edu/culture_and_the_brain
31,Anthropology,Food and Culture (Logan),https://libguides.northwestern.edu/food_culture
32,Anthropology,How the Other 99% Live (di Leonardo),https://libguides.northwestern.edu/99percent
33,Anthropology,How to Find Site Reports,https://libguides.northwestern.edu/c.php?g=115095
34,Anthropology,Young African Leaders Initiative,https://libguides.northwestern.edu/YoungAfricanLeadersInitiative
35,Anthropology,Zotero for Anthropology of Time (101-6-21),https://libguides.northwestern.edu/c.php?g=114904
36,Art and Architecture,Art History,https://libguides.northwestern.edu/art
37,Art and Architecture,Architectural History,https://libguides.northwestern.edu/architecture
38,Art and Architecture,Art Library Book Display,https://libguides.northwestern.edu/art-library-displays
39,Art and Architecture,Contemporary Art,https://libguides.northwestern.edu/contemporaryART
40,Art and Architecture,Design History,https://libguides.northwestern.edu/design
41,Art and Architecture,Fashion,https://libguides.northwestern.edu/fashion
42,Art and Architecture,ART HIST 250-CN: Introduction to European Art (Katz),https://libguides.northwestern.edu/c.php?g=143886
43,Art and Architecture,ART HIST 379-CN: Frank Lloyd Wright and the Prairie School (Cummings),https://libguides.northwestern.edu/c.php?g=114960
44,Art and Architecture,ART HIST 379: Chicago Architecture (Cummings),https://libguides.northwestern.edu/c.php?g=472123
45,Art and Architecture,ART_HIST_222-0: African American Art History (Thompson),https://libguides.northwestern.edu/AH222
46,Art and Architecture,ART_HIST_230-CN: Introduction to American Art (R. Katz),https://libguides.northwestern.edu/IntroAmericanArt
47,Art and Architecture,ART_HIST_260-0: Introduction to Contemporary Art and Its Histories (Feldman),https://libguides.northwestern.edu/AH260
48,Art and Architecture,ART_HIST_330-1: Renaissance Art: Italian Art from c.1300 to the Sack of Rome (Randolph),https://libguides.northwestern.edu/AH330Fall18
