,Category,Subject,Link
0,Academic Writing,Battling Plagiarism,https://libguides.nps.edu/plagiarism
1,Academic Writing,Glen Koué,https://libguides.nps.edu/prf.php?account_id=35529
2,Academic Writing,Academic Writing,https://libguides.nps.edu/sb.php?subject_id=42066
3,Academic Writing,plagiarism,https://libguides.nps.edu/srch.php?q=plagiarism
4,Academic Writing,Copyright at NPS,https://libguides.nps.edu/copyright
5,Academic Writing,Thesis Quickstart,https://libguides.nps.edu/thesis
6,Academic Writing,Writing Resources,https://libguides.nps.edu/writingresources
7,Area Studies,African Studies,https://libguides.nps.edu/africa
8,Area Studies,Asian Studies,https://libguides.nps.edu/asianstudies
9,Area Studies,European Studies,https://libguides.nps.edu/europe
10,Area Studies,Latin America,https://libguides.nps.edu/latam
11,Area Studies,Middle East,https://libguides.nps.edu/middleeast
12,"Business, Management & Economics",Acquisition & Contracting,https://libguides.nps.edu/acqcont
13,"Business, Management & Economics","Business, Management & Economics",https://libguides.nps.edu/gsbpp
14,"Business, Management & Economics",Company & Industry Information,https://libguides.nps.edu/company
15,"Business, Management & Economics",Cost Estimating & Analysis,https://libguides.nps.edu/costestimation
16,"Business, Management & Economics",Defense Acquisition Programs,https://libguides.nps.edu/acqprog
17,"Business, Management & Economics",Defense Budget,https://libguides.nps.edu/budget
18,"Business, Management & Economics",Manpower,https://libguides.nps.edu/manpower
19,Citation Tools,Citation Management with RefWorks,https://libguides.nps.edu/refworks3
20,Citation Tools,Citation Management with Zotero,https://libguides.nps.edu/zotero
21,Citation Tools,Citation Styles,https://libguides.nps.edu/citation
22,Citation Tools,Citation Tools,https://libguides.nps.edu/citationtools
23,Computer & Information Sciences,Computer & Information Sciences,https://libguides.nps.edu/cis
24,Conflict & Security Studies,Civil Affairs and Rule of Law,https://libguides.nps.edu/rol
25,Conflict & Security Studies,"Conflict, Peacekeeping & Reconstruction",https://libguides.nps.edu/peace
26,Conflict & Security Studies,Defense Analysis,https://libguides.nps.edu/defenseanalysis
27,Conflict & Security Studies,Governance Innovation for Security & Development,https://libguides.nps.edu/governance
28,Conflict & Security Studies,Maritime Piracy & Violence,https://libguides.nps.edu/maritime
29,Conflict & Security Studies,National Security Affairs,https://libguides.nps.edu/nsa
30,Conflict & Security Studies,Terrorism,https://libguides.nps.edu/terror
31,Conflict & Security Studies,Vietnam Conflict,https://libguides.nps.edu/vietnamwar
32,Congressional Information,Congressional Information,https://libguides.nps.edu/congress
33,Congressional Information,Congressional Research Service (CRS) Reports,https://libguides.nps.edu/crs
34,Engineering,Electrical & Computer Engineering,https://libguides.nps.edu/ece
35,Engineering,Mechanical & Aerospace Engineering,https://libguides.nps.edu/mae
36,Engineering,Satellite Communications,https://libguides.nps.edu/satcom
37,Engineering,Space Systems,https://libguides.nps.edu/space
38,Engineering,Systems Engineering,https://libguides.nps.edu/systems_engineering
39,Engineering,Unmanned Systems (UxS),https://libguides.nps.edu/unmanned
40,Homeland Security,Homeland Security,https://libguides.nps.edu/homesec
41,Military Information,DOD Service Portals,https://libguides.nps.edu/portals
42,Military Information,Military Equipment,https://libguides.nps.edu/militaryequipment
43,Military Information,Military History & Leadership,https://libguides.nps.edu/militaryhistory
44,Military Information,Military Images & Art,https://libguides.nps.edu/militaryimages
45,Military Information,Military Music,https://libguides.nps.edu/militarymusic
46,Military Information,Military Professional Reading,https://libguides.nps.edu/military-reading
47,Military Information,Military Publications,https://libguides.nps.edu/milpubs
48,Military Information,"Military Rank, Insignia, Awards, Seals,Ceremonies",https://libguides.nps.edu/militaryrank
49,Military Information,Warfare Analysis,https://libguides.nps.edu/warfare
50,Operations Research & Analysis,Cost Estimating & Analysis,https://libguides.nps.edu/costestimation
51,Operations Research & Analysis,Human Systems Integration (HSI),https://libguides.nps.edu/hsi
52,Operations Research & Analysis,Operations Research,https://libguides.nps.edu/opr
53,Political & Social Sciences,African Studies,https://libguides.nps.edu/africa
54,Political & Social Sciences,Asian Studies,https://libguides.nps.edu/asianstudies
55,Political & Social Sciences,Civil Affairs and Rule of Law,https://libguides.nps.edu/rol
56,Political & Social Sciences,"Conflict, Peacekeeping & Reconstruction",https://libguides.nps.edu/peace
57,Political & Social Sciences,European Studies,https://libguides.nps.edu/europe
58,Political & Social Sciences,Latin America,https://libguides.nps.edu/latam
59,Political & Social Sciences,Maritime Piracy & Violence,https://libguides.nps.edu/maritime
60,Political & Social Sciences,Middle East,https://libguides.nps.edu/middleeast
61,Research Tools,Data Management at NPS,https://libguides.nps.edu/datamanagement
62,Research Tools,Library Search,https://libguides.nps.edu/library-search
63,Research Tools,Reference Tools,https://libguides.nps.edu/referencetools
64,Research Tools,Researcher Visibility,https://libguides.nps.edu/profiles
65,Research Tools,Search Basics,https://libguides.nps.edu/search
66,Research Tools,Thesis Quickstart,https://libguides.nps.edu/thesis
67,Science,Physics,https://libguides.nps.edu/physics
68,Special Topics,Design Thinking,https://libguides.nps.edu/designthinking
69,Special Topics,Energy,https://libguides.nps.edu/energy
70,"Statistics, Maps & More",Bibliographies,https://libguides.nps.edu/bibliographies
71,"Statistics, Maps & More",Book Reviews,https://libguides.nps.edu/bookreviews
72,"Statistics, Maps & More","Directives, Instructions, Specifications & Standards",https://libguides.nps.edu/directives
73,"Statistics, Maps & More",Ebooks,https://libguides.nps.edu/ebooks
74,"Statistics, Maps & More",Libraries,https://libguides.nps.edu/libraries
75,"Statistics, Maps & More",Maps,https://libguides.nps.edu/maps
76,"Statistics, Maps & More",Primary/Original Sources,https://libguides.nps.edu/primary
77,"Statistics, Maps & More",Public Opinion,https://libguides.nps.edu/opinion
78,"Statistics, Maps & More",Statistics,https://libguides.nps.edu/statistics
