,Category,Subject,Link
0,Accounting (ACC),ACC 221/222: Intermediate Accounting (Online),https://libguides.nvcc.edu/ELI-ACC221-222
1,"Administration of Justice & Paralegal (ADJ,LGL)",ADJ 100: Survey of Criminal Justice (Online),https://libguides.nvcc.edu/ELI-ADJ100
2,"Administration of Justice & Paralegal (ADJ,LGL)",Administration of Justice,https://libguides.nvcc.edu/adj
3,"Administration of Justice & Paralegal (ADJ,LGL)",Paralegal Studies,https://libguides.nvcc.edu/paralegal
4,"Art & Architecture (ART, ARC)",Art & Architecture,https://libguides.nvcc.edu/art
5,Biographies,Biographies,https://libguides.nvcc.edu/biographies
6,Biographies,Music Biographies,https://libguides.nvcc.edu/musicbio
7,Biology (BIO),Biology,https://libguides.nvcc.edu/biology
8,Biology (BIO),Natural Sciences,https://libguides.nvcc.edu/naturalsciences
9,"Business & Marketing (BUS,MKT)",Business & Marketing,https://libguides.nvcc.edu/business
10,Careers/Student Development (SDV),Careers,https://libguides.nvcc.edu/careers
11,Chemistry (CHM),Chemistry,https://libguides.nvcc.edu/chemistry
12,Chemistry (CHM),Natural Sciences,https://libguides.nvcc.edu/naturalsciences
13,Citing Sources,APA Citation Style Guide,https://libguides.nvcc.edu/APACitationStyle
14,Citing Sources,Chicago/Turabian Citation Style Guide,https://libguides.nvcc.edu/ChicagoTurabian
15,Citing Sources,Citing Media,https://libguides.nvcc.edu/citingmedia
16,Citing Sources,MLA Citation Style Guide,https://libguides.nvcc.edu/MLACitationStyle
17,Citing Sources,Plagiarism,https://libguides.nvcc.edu/plagiarism
18,"Communication Studies, Film & Theatre (CST)","Communication Studies, Film & Theatre",https://libguides.nvcc.edu/communicationstudies
19,Computer Science (CSC),Computer Science,https://libguides.nvcc.edu/computerscience
20,Current & Controversial Issues,Current Events & Controversial Issues,https://libguides.nvcc.edu/currentevents
21,Current & Controversial Issues,Ebola Hemorrhagic Fever,https://libguides.nvcc.edu/ebola
22,Dental Hygiene (DNH),Cultural Competencies for Health Professionals,https://libguides.nvcc.edu/cultural_competency_health
23,Dental Hygiene (DNH),Dental Hygiene,https://libguides.nvcc.edu/dnh
24,Diagnostic Medical Sonography,Cultural Competencies for Health Professionals,https://libguides.nvcc.edu/cultural_competency_health
25,Dual Enrollment,Dual Enrollment Students: Guide to Library Resources & Services,https://libguides.nvcc.edu/dual-enrollment
26,Economics (ECO),Economics,https://libguides.nvcc.edu/economics
27,"Education (EDU, CHD)",Education,https://libguides.nvcc.edu/education
28,Emergency Medical Services,Cultural Competencies for Health Professionals,https://libguides.nvcc.edu/cultural_competency_health
29,Emergency Medical Services,Emergency Medical Services,https://libguides.nvcc.edu/ems
30,"Engineering (CIV,EGR,MEC)",Engineering,https://libguides.nvcc.edu/engineering
31,English (ENG),English Literature,https://libguides.nvcc.edu/literature
32,English (ENG),English Placement Test (Virginia Placement Test),https://libguides.nvcc.edu/vptenglish
33,English (ENG),English: Current Events,https://libguides.nvcc.edu/english
34,English (Literature),English Literature,https://libguides.nvcc.edu/literature
35,English (Literature),Literature Criticism,https://libguides.nvcc.edu/litcrit
36,English as a Second Language (ESL),ESL Guide,https://libguides.nvcc.edu/esl-guide
37,English as a Second Language (ESL),ESL Placement Test (Accuplacer),https://libguides.nvcc.edu/eslplacement
38,Environmental Science (ENV),Climate Change,https://libguides.nvcc.edu/climatechange
39,Environmental Science (ENV),Environmental Science,https://libguides.nvcc.edu/enviro
40,Environmental Science (ENV),Natural Sciences,https://libguides.nvcc.edu/naturalsciences
41,Fire Science Technology (FST),Fire Science Technology,https://libguides.nvcc.edu/firescience
42,Geography/GIS (GEO),Geography and Geographic Information Systems,https://libguides.nvcc.edu/gis
43,Geology (GOL),Geology,https://libguides.nvcc.edu/Geology
44,Health Information Management (HIM),Cultural Competencies for Health Professionals,https://libguides.nvcc.edu/cultural_competency_health
45,Health Information Management (HIM),Health Information Management,https://libguides.nvcc.edu/health-information-management
46,Health Sciences,Cultural Competencies for Health Professionals,https://libguides.nvcc.edu/cultural_competency_health
47,Health Sciences,Dental Assisting,https://libguides.nvcc.edu/dentassistant
48,Health Sciences,Dental Hygiene,https://libguides.nvcc.edu/dnh
49,Health Sciences,Emergency Medical Services,https://libguides.nvcc.edu/ems
50,Health Sciences,Health Information Management,https://libguides.nvcc.edu/health-information-management
51,Health Sciences,Health Sciences,https://libguides.nvcc.edu/health
52,Health Sciences,Massage Therapy,https://libguides.nvcc.edu/massage
53,Health Sciences,NCLEX Resources,https://libguides.nvcc.edu/nclex
54,Health Sciences,Nursing,https://libguides.nvcc.edu/nursing
