,Category,Subject,Link
0,American Studies,American Studies,https://libguides.oxy.edu/americanstudies
1,American Studies,English,https://libguides.oxy.edu/ecls
2,American Studies,History,https://libguides.oxy.edu/history
3,American Studies,Los Angeles Region,https://libguides.oxy.edu/LA
4,Art & Art History,Art History and Studio Arts,https://libguides.oxy.edu/arts
5,Art & Art History,Crossroads Visual Resources,https://libguides.oxy.edu/crossroadsVR
6,Art & Art History,Los Angeles Region,https://libguides.oxy.edu/LA
7,Art & Art History,Media Arts & Culture,https://libguides.oxy.edu/mac
8,Art & Art History,Theater and Dance,https://libguides.oxy.edu/theater
9,Art & Art History,Visual Resources,https://libguides.oxy.edu/visualresources
10,Biochemistry,Chemistry & Biochemistry,https://libguides.oxy.edu/chemistry
11,Biochemistry,Los Angeles Region,https://libguides.oxy.edu/LA
12,Biology,Biology,https://libguides.oxy.edu/biology
13,Biology,Chemistry & Biochemistry,https://libguides.oxy.edu/chemistry
14,Biology,Kinesiology & Sports,https://libguides.oxy.edu/kinesiology
15,Biology,Los Angeles Region,https://libguides.oxy.edu/LA
16,Biology,Medicine & Health,https://libguides.oxy.edu/medicine
17,Chemistry,Chemistry & Biochemistry,https://libguides.oxy.edu/chemistry
18,Cognitive Science,Biology,https://libguides.oxy.edu/biology
19,Cognitive Science,Cognitive Science,https://libguides.oxy.edu/cognitivescience
20,Cognitive Science,Psychology,https://libguides.oxy.edu/psychology
21,Comparative Studies in Literature & Culture,Art History and Studio Arts,https://libguides.oxy.edu/arts
22,Comparative Studies in Literature & Culture,English,https://libguides.oxy.edu/ecls
23,Comparative Studies in Literature & Culture,History,https://libguides.oxy.edu/history
24,Comparative Studies in Literature & Culture,Language and Linguistics Studies,https://libguides.oxy.edu/languages
25,Comparative Studies in Literature & Culture,Los Angeles Region,https://libguides.oxy.edu/LA
26,Critical Theory & Social Justice,American Studies,https://libguides.oxy.edu/americanstudies
27,Critical Theory & Social Justice,Critical Theory and Social Justice,https://libguides.oxy.edu/ctsj
28,Critical Theory & Social Justice,Latino/a and Latin American Studies,https://libguides.oxy.edu/latinamericanstudies
29,Critical Theory & Social Justice,Los Angeles Region,https://libguides.oxy.edu/LA
30,Critical Theory & Social Justice,Philosophy,https://libguides.oxy.edu/philosophy
31,Diplomacy & World Affairs,Crossroads Visual Resources,https://libguides.oxy.edu/crossroadsVR
32,Diplomacy & World Affairs,Data,https://libguides.oxy.edu/c.php?g=466702
33,Diplomacy & World Affairs,Diplomacy and World Affairs,https://libguides.oxy.edu/dwa
34,Diplomacy & World Affairs,Economics,https://libguides.oxy.edu/economics
35,Diplomacy & World Affairs,News Sources,https://libguides.oxy.edu/news
36,Diplomacy & World Affairs,Politics,https://libguides.oxy.edu/politics
37,East Asian Languages & Culture,History,https://libguides.oxy.edu/history
38,East Asian Languages & Culture,Language and Linguistics Studies,https://libguides.oxy.edu/languages
39,East Asian Languages & Culture,Religious Studies,https://libguides.oxy.edu/religiousstudies
40,Economics,Data,https://libguides.oxy.edu/c.php?g=466702
41,Economics,Diplomacy and World Affairs,https://libguides.oxy.edu/dwa
42,Economics,Economics,https://libguides.oxy.edu/economics
43,Economics,Los Angeles Region,https://libguides.oxy.edu/LA
44,Education,Los Angeles Region,https://libguides.oxy.edu/LA
45,English,English,https://libguides.oxy.edu/ecls
46,English,Los Angeles Region,https://libguides.oxy.edu/LA
47,Geology,Geology,https://libguides.oxy.edu/geology
48,Geology,Los Angeles Region,https://libguides.oxy.edu/LA
49,History,American Studies,https://libguides.oxy.edu/americanstudies
50,History,Art History and Studio Arts,https://libguides.oxy.edu/arts
51,History,History,https://libguides.oxy.edu/history
52,History,Latino/a and Latin American Studies,https://libguides.oxy.edu/latinamericanstudies
53,History,Los Angeles Region,https://libguides.oxy.edu/LA
54,History,News Sources,https://libguides.oxy.edu/news
55,Interdisciplinary & General Resources,Data,https://libguides.oxy.edu/c.php?g=466702
56,Interdisciplinary & General Resources,Database Quick Search,https://libguides.oxy.edu/articles
57,Interdisciplinary & General Resources,Los Angeles Region,https://libguides.oxy.edu/LA
58,Interdisciplinary & General Resources,News Sources,https://libguides.oxy.edu/news
59,Interdisciplinary & General Resources,Research Tips,https://libguides.oxy.edu/researchtips
60,Interdisciplinary & General Resources,Special Collections & College Archives,https://libguides.oxy.edu/SpecialCollections
61,Interdisciplinary & General Resources,Visual Resources,https://libguides.oxy.edu/visualresources
62,Interdisciplinary & General Resources,What I Read: formative texts,https://libguides.oxy.edu/WhatIRead
63,Kinesiology,Kinesiology & Sports,https://libguides.oxy.edu/kinesiology
64,Kinesiology,Medicine & Health,https://libguides.oxy.edu/medicine
65,Latin@ & Latin American Studies,Critical Theory and Social Justice,https://libguides.oxy.edu/ctsj
66,Latin@ & Latin American Studies,History,https://libguides.oxy.edu/history
67,Latin@ & Latin American Studies,Latino/a and Latin American Studies,https://libguides.oxy.edu/latinamericanstudies
68,Latin@ & Latin American Studies,Los Angeles Region,https://libguides.oxy.edu/LA
69,Latin@ & Latin American Studies,Sociology,https://libguides.oxy.edu/sociology
70,Mathematics,Mathematics,https://libguides.oxy.edu/mathematics
71,Media Arts & Culture,Art History and Studio Arts,https://libguides.oxy.edu/arts
72,Media Arts & Culture,Los Angeles Region,https://libguides.oxy.edu/LA
73,Media Arts & Culture,Media Arts & Culture,https://libguides.oxy.edu/mac
74,Media Arts & Culture,News Sources,https://libguides.oxy.edu/news
