,Category,Subject,Link
0,Accounting,Accounting,https://libguides.pace.edu/accounting
1,Accounting,iPace Business Studies Library Resource Guide,https://libguides.pace.edu/ipacebusinessstudies
2,Acting,Theater,https://libguides.pace.edu/theater
3,African & African-American Studies,African and African-American Studies,https://libguides.pace.edu/african-american
4,American Studies,American Studies,https://libguides.pace.edu/american_studies
5,Anthropology,Anthropology,https://libguides.pace.edu/anthropology
6,Art History,Art History,https://libguides.pace.edu/arthistory
7,Biography,Biographical Research,https://libguides.pace.edu/Biographical
8,Biology,Biology,https://libguides.pace.edu/biology
9,Biology,Communication Sciences and Disorders,https://libguides.pace.edu/CSD
10,Biology,Public Health and Epidemiology,https://libguides.pace.edu/publichealth
11,Business,Accounting,https://libguides.pace.edu/accounting
12,Business,Advertising & Marketing,https://libguides.pace.edu/marketing
13,Business,Bloomberg Basics,https://libguides.pace.edu/bloomberg
14,Business,Business Databases: Company Information,https://libguides.pace.edu/businessdatabases
15,Business,Business Ethics and Corporate Social Responsibility,https://libguides.pace.edu/businessethics
16,Business,Business Plans,https://libguides.pace.edu/businessplans
17,Business,Company Research,https://libguides.pace.edu/company-research
18,Business,Corporate Reports,https://libguides.pace.edu/CorporateReports
19,Business,Country Information,https://libguides.pace.edu/countries
20,Business,Distance Education Services,https://libguides.pace.edu/distance-education-services
21,Business,DPS in Business,https://libguides.pace.edu/dpsinbusiness
22,Business,Financial Research,https://libguides.pace.edu/finance
23,Business,Hospitality and Tourism Management,https://libguides.pace.edu/hospitality
24,Business,Industry Research,https://libguides.pace.edu/industry
25,Business,International Management,https://libguides.pace.edu/internationalmanagement
26,Business,iPace Business Studies Library Resource Guide,https://libguides.pace.edu/ipacebusinessstudies
27,Business,Lubin School of Business GA Guide,https://libguides.pace.edu/LubinGA
28,Business,Management,https://libguides.pace.edu/mgmt
29,Business,MAR351: International Marketing,https://libguides.pace.edu/MAR351
30,Business,Nonprofit Research,https://libguides.pace.edu/c.php?g=460781
31,Business,Online Business Programs Resources,https://libguides.pace.edu/online-business-programs
32,Business,Publishing Research Page,https://libguides.pace.edu/publishing
33,Business,Simmons OneView & MRI University Internet Reporter,https://libguides.pace.edu/simmonsmri
34,Business,WRDS: Wharton Research Data Services,https://libguides.pace.edu/c.php?g=202810
35,Citing Sources,Citing Multimedia,https://libguides.pace.edu/citingmultimedia
36,Citing Sources,Citing Sources,https://libguides.pace.edu/citing_sources
37,Citing Sources,Pace Honors: Library Guide,https://libguides.pace.edu/pacehonors
38,Citing Sources,Perma.cc,https://libguides.pace.edu/perma
39,Citing Sources,Using Zotero,https://libguides.pace.edu/usingzotero
40,Communication Sciences & Disorders,Communication Sciences and Disorders,https://libguides.pace.edu/CSD
41,Communication Studies,COM 242: New Communication Technologies & Moral Panic,https://libguides.pace.edu/com242
42,Communication Studies,iPace Professional Communication Studies Library Resource Guide,https://libguides.pace.edu/ipaceprofessionalcommunication
43,Communication Studies,Media & Communication Arts,https://libguides.pace.edu/media
44,Communication Studies,REAL NEWS vs. FAKE NEWS,https://libguides.pace.edu/fakenews
45,Computer Science,Computer Science & Information Systems,https://libguides.pace.edu/computerscience
46,Computer Science,Computer Science Doctoral Research Page,https://libguides.pace.edu/DPSComputing
47,Computer Science,Dissertations and Theses,https://libguides.pace.edu/theses
48,Computer Science,Distance Education Services,https://libguides.pace.edu/distance-education-services
49,Computer Science,Educational Technology,https://libguides.pace.edu/edtech
50,Computer Science,iPace Professional Technology Studies Library Resource Guide,https://libguides.pace.edu/ipacetechnology
51,Computer Science,Lynda.com,https://libguides.pace.edu/lynda
52,Computer Science,NACTEL - National Coalition for Telecommunications Education and Learning,https://libguides.pace.edu/nactel
53,Computer Science,Seidenberg CSIS DPS Dissertations,https://libguides.pace.edu/Seidenbergdissertations
54,Counseling,Disability Services at Pace Birnbaum Library,https://libguides.pace.edu/c.php?g=358110
55,Counseling,Mental Health Counseling Research Page,https://libguides.pace.edu/mentalhealthcounseling
56,Counseling,Psychological Tests,https://libguides.pace.edu/psychtests
57,Counseling,Psychology,https://libguides.pace.edu/psychology
58,Counseling,School Clinical Psychology,https://libguides.pace.edu/schoolclinicalpsychology
59,Course Guides,Digital Remix Multimedia Sources,https://libguides.pace.edu/digitalremix
60,Course Guides,ED 677: Research a Topic (RAT),https://libguides.pace.edu/ED677
61,Course Guides,EDU 673: Teaching Students with Disabilities,https://libguides.pace.edu/edu673
62,Course Guides,ENG 110: Rhetorical Analysis and Research,https://libguides.pace.edu/ENG110
63,Course Guides,ENG 120: Rhetorical Analysis and Ethnography Research,https://libguides.pace.edu/eng120
64,Course Guides,ENG 201: Research in the Disciplines (PLV),https://libguides.pace.edu/eng201
65,Course Guides,ENG 302: Composition Theory & Practice,https://libguides.pace.edu/eng302
66,Course Guides,"FRE155D: Paris, City of Light in Film and Fiction",https://libguides.pace.edu/paris
67,Course Guides,FRE161: The French Speaking World Through Film,https://libguides.pace.edu/FRE161
68,Course Guides,HIS 297K: Europe in the Enlightenment & Revolutionary Era,https://libguides.pace.edu/HIS297K
69,Course Guides,Honors College,https://libguides.pace.edu/honors
70,Course Guides,INT 197H - Exploring Majors & Careers,https://libguides.pace.edu/careers
71,Course Guides,MAR351: International Marketing,https://libguides.pace.edu/MAR351
72,Course Guides,MCA 254: Producing the Documentary,https://libguides.pace.edu/MCA254
73,Course Guides,PAA 601: Public Administration & Its Environment,https://libguides.pace.edu/paa601
74,Course Guides,Richmond Pearson-Hobson,https://libguides.pace.edu/richmondpearsonhobson
75,Course Guides,SOC 212: Families in Crisis,https://libguides.pace.edu/soc212
76,Course Guides,SOC 215: Sociology of the Family,https://libguides.pace.edu/soc215
77,Course Guides,SOC 220: Social Class,https://libguides.pace.edu/soc220
78,Course Guides,Study Abroad / International Programs,https://libguides.pace.edu/StudyAbroad
79,Course Guides,UNV 101: Student Library Guide,https://libguides.pace.edu/unv101
80,Criminal Justice,Criminal Justice,https://libguides.pace.edu/CriminalJustice
81,Criminal Justice,Homeland Security (MA in Management for Public Safety & Homeland Security),https://libguides.pace.edu/HomelandSecurity
82,Criminal Justice,iPace Professional Technology Studies Library Resource Guide,https://libguides.pace.edu/ipacetechnology
83,Criminal Justice,The War on Drugs,https://libguides.pace.edu/c.php?g=63900
84,Dissertations and Theses,Dissertations and Theses,https://libguides.pace.edu/theses
85,Dissertations and Theses,Graduate Student Research Services,https://libguides.pace.edu/graduateresearchservices
86,Dissertations and Theses,Perma.cc,https://libguides.pace.edu/perma
87,E-Books,E-Books,https://libguides.pace.edu/ebooks
88,Economics,Bloomberg Basics,https://libguides.pace.edu/bloomberg
89,Economics,Economics,https://libguides.pace.edu/economics
90,Economics,WRDS: Wharton Research Data Services,https://libguides.pace.edu/c.php?g=202810
91,Education,ED 677: Research a Topic (RAT),https://libguides.pace.edu/ED677
92,Education,EDU 673: Teaching Students with Disabilities,https://libguides.pace.edu/edu673
93,Education,"Education, Teaching and Action Research",https://libguides.pace.edu/education
94,Education,Educational Technology,https://libguides.pace.edu/edtech
95,Education,iPace Disabilities & Community Living Library Resource Guide,https://libguides.pace.edu/ipacedisabilitiescommunity
96,Education,Learning Disabilities,https://libguides.pace.edu/c.php?g=63865
97,Education,Lynda.com,https://libguides.pace.edu/lynda
98,English,Citing Multimedia,https://libguides.pace.edu/citingmultimedia
99,English,Comic Books and Graphic Novels,https://libguides.pace.edu/comics
100,English,E-Books,https://libguides.pace.edu/ebooks
101,English,ENG 110: Rhetorical Analysis and Research,https://libguides.pace.edu/ENG110
102,English,ENG 120 Goldleaf : MLK & Plagiarism,https://libguides.pace.edu/ENG120Goldleaf
103,English,ENG 120 Roth: Watergate,https://libguides.pace.edu/ENG120Roth
104,English,ENG 120: New York City,https://libguides.pace.edu/NYC
105,English,ENG 120: Rhetorical Analysis and Ethnography Research,https://libguides.pace.edu/eng120
106,English,ENG 201: Research in the Disciplines (NYC),https://libguides.pace.edu/c.php?g=724817
107,English,ENG 201: Research in the Disciplines (PLV),https://libguides.pace.edu/eng201
108,English,ENG 302: Composition Theory & Practice,https://libguides.pace.edu/eng302
109,English,"Fairy Tales, Fables and Folklore",https://libguides.pace.edu/fairytales
110,English,Literary Criticism and Author Research,https://libguides.pace.edu/litcrit
111,English Language Institute,English Language Institute Research Seminar,https://libguides.pace.edu/ELI
112,Environmental Science,Environmental Studies and Science,https://libguides.pace.edu/environsci
113,ESL,ESL / English as a Second Language,https://libguides.pace.edu/esl
114,Faculty Support,Adjunct Faculty Resources,https://libguides.pace.edu/adjuncts
115,Faculty Support,Citation Analysis: Tools for finding who's citing you and calculating journal impact,https://libguides.pace.edu/citationanalysis
116,Faculty Support,Citation Searching,https://libguides.pace.edu/citation_searching
117,Faculty Support,Dissertations and Theses,https://libguides.pace.edu/theses
118,Faculty Support,Faculty Resources,https://libguides.pace.edu/faculty
119,Faculty Support,Pace Digital Campus,https://libguides.pace.edu/pace-digital-campus
120,Faculty Support,Perma.cc,https://libguides.pace.edu/perma
121,Film Studies,Film Criticism,https://libguides.pace.edu/film
122,Film Studies,Pace Digital Campus,https://libguides.pace.edu/pace-digital-campus
123,Finance,Bloomberg Basics,https://libguides.pace.edu/bloomberg
124,Finance,Financial Research,https://libguides.pace.edu/finance
125,Finance,Industry Research,https://libguides.pace.edu/industry
126,Finance,Lynda.com,https://libguides.pace.edu/lynda
127,Finance,WRDS: Wharton Research Data Services,https://libguides.pace.edu/c.php?g=202810
128,Forensic Science,Forensic Science,https://libguides.pace.edu/forensicscience
129,Forensic Science,iPace Professional Technology Studies Library Resource Guide,https://libguides.pace.edu/ipacetechnology
130,General,Adjunct Faculty Resources,https://libguides.pace.edu/adjuncts
131,General,Apps for Academics: Mobile Web Sites & Apps,https://libguides.pace.edu/c.php?g=162630
132,General,Biographical Research,https://libguides.pace.edu/Biographical
133,General,Book Reviews,https://libguides.pace.edu/bookreviews
134,General,Citation Searching,https://libguides.pace.edu/citation_searching
135,General,Citing Sources,https://libguides.pace.edu/citing_sources
136,General,Country Information,https://libguides.pace.edu/countries
137,General,Digital Remix Multimedia Sources,https://libguides.pace.edu/digitalremix
138,General,Disability Services at Pace Birnbaum Library,https://libguides.pace.edu/c.php?g=358110
139,General,Dissertations and Theses,https://libguides.pace.edu/theses
140,General,Distance Education Services,https://libguides.pace.edu/distance-education-services
141,General,E-Books,https://libguides.pace.edu/ebooks
142,General,EndNote: Using EndNote X8 and X9 with Library Databases,https://libguides.pace.edu/endnote
143,General,ENG 201: Research in the Disciplines (NYC),https://libguides.pace.edu/c.php?g=724817
144,General,ENG 201: Research in the Disciplines (PLV),https://libguides.pace.edu/eng201
145,General,Faculty Resources,https://libguides.pace.edu/faculty
146,General,Google Search Tips,https://libguides.pace.edu/google
147,General,Interlibrary Loan & ConnectNY,https://libguides.pace.edu/interlibrary_loan_and_connectny
148,General,iPace Associate in Arts & Sciences Library Resource Guide,https://libguides.pace.edu/ipaceassociate
149,General,iPace Business Studies Library Resource Guide,https://libguides.pace.edu/ipacebusinessstudies
150,General,iPace Disabilities & Community Living Library Resource Guide,https://libguides.pace.edu/ipacedisabilitiescommunity
151,General,iPace Nursing Library Resource Guide,https://libguides.pace.edu/ipacenursing
152,General,iPace Professional Communication Studies Library Resource Guide,https://libguides.pace.edu/ipaceprofessionalcommunication
153,General,iPace Professional Technology Studies Library Resource Guide,https://libguides.pace.edu/ipacetechnology
154,General,"Liberal, Conservative, Non-Partisan Periodicals",https://libguides.pace.edu/partisanperiodicals
155,General,Library Mobile Site,https://libguides.pace.edu/mobile3
156,General,Lower Manhattan,https://libguides.pace.edu/c.php?g=63884
157,General,Lynda.com,https://libguides.pace.edu/lynda
158,General,Online Reference Tools,https://libguides.pace.edu/reference
159,General,Pace Honors: Library Guide,https://libguides.pace.edu/pacehonors
160,General,Primary Sources in History,https://libguides.pace.edu/primary_sources
161,General,REAL NEWS vs. FAKE NEWS,https://libguides.pace.edu/fakenews
162,General,Statistics & Polls,https://libguides.pace.edu/stats
163,General,Study Abroad / International Programs,https://libguides.pace.edu/StudyAbroad
164,General,UG Research - Library Resources & Services,https://libguides.pace.edu/ugresearch
165,General,Using Zotero,https://libguides.pace.edu/usingzotero
166,General,Video Tutorials,https://libguides.pace.edu/videos
167,General,"What is ""Quick Search""",https://libguides.pace.edu/c.php?g=141452
168,Health Professions,Communication Sciences and Disorders,https://libguides.pace.edu/CSD
169,Health Professions,iPace Nursing Library Resource Guide,https://libguides.pace.edu/ipacenursing
170,Health Professions,NURS 830: Health Policy: Advocacy in Action,https://libguides.pace.edu/healthpolicy
171,Health Professions,Nursing Research,https://libguides.pace.edu/nursingresearch
172,Health Professions,Physician Assistant Program,https://libguides.pace.edu/PAS
173,Health Professions,Public Health and Epidemiology,https://libguides.pace.edu/publichealth
174,History,COM 242: New Communication Technologies & Moral Panic,https://libguides.pace.edu/com242
175,History,Country Information,https://libguides.pace.edu/countries
176,History,ENG 120 Roth: Watergate,https://libguides.pace.edu/ENG120Roth
177,History,ENG 120: New York City,https://libguides.pace.edu/NYC
178,History,"Ethnicity, Ethnic Groups, Immigration (PLV)",https://libguides.pace.edu/ethnicity-immigration
179,History,"FRE155D: Paris, City of Light in Film and Fiction",https://libguides.pace.edu/paris
180,History,HIS 297K: Europe in the Enlightenment & Revolutionary Era,https://libguides.pace.edu/HIS297K
181,History,HIS113U Rubenstein: Hiroshima & Nagasaki,https://libguides.pace.edu/HIS113URubenstein
182,History,Latin American Studies & Spanish,https://libguides.pace.edu/latinamerica
183,History,Lessons in Liberty (PLV),https://libguides.pace.edu/liberty
184,History,Lower Manhattan,https://libguides.pace.edu/c.php?g=63884
185,History,New York City History,https://libguides.pace.edu/c.php?g=63810
186,History,Political Science,https://libguides.pace.edu/politicalsci
187,History,Primary Sources in History,https://libguides.pace.edu/primary_sources
188,History,Westchester History,https://libguides.pace.edu/localhistory-westchestercounty
189,Homeland Security,Homeland Security (MA in Management for Public Safety & Homeland Security),https://libguides.pace.edu/HomelandSecurity
190,Humanities,Art History,https://libguides.pace.edu/arthistory
191,Humanities,"Ethnicity, Ethnic Groups, Immigration (PLV)",https://libguides.pace.edu/ethnicity-immigration
192,Humanities,"Fairy Tales, Fables and Folklore",https://libguides.pace.edu/fairytales
193,Humanities,"FRE155D: Paris, City of Light in Film and Fiction",https://libguides.pace.edu/paris
194,Humanities,Latin American Studies & Spanish,https://libguides.pace.edu/latinamerica
195,Humanities,Literary Criticism and Author Research,https://libguides.pace.edu/litcrit
196,Humanities,Peace and Justice Studies,https://libguides.pace.edu/peaceandjustice
197,Humanities,Philosophy and Religious Studies,https://libguides.pace.edu/philosophy
198,Humanities,Primary Sources in History,https://libguides.pace.edu/primary_sources
199,Humanities,REAL NEWS vs. FAKE NEWS,https://libguides.pace.edu/fakenews
200,Humanities,Theater,https://libguides.pace.edu/theater
201,Information Systems,Computer Science & Information Systems,https://libguides.pace.edu/computerscience
202,Information Systems,Seidenberg CSIS DPS Dissertations,https://libguides.pace.edu/Seidenbergdissertations
203,Interdisciplinary,Lynda.com,https://libguides.pace.edu/lynda
204,iPace,Distance Education Services,https://libguides.pace.edu/distance-education-services
205,iPace,iPace Associate in Arts & Sciences Library Resource Guide,https://libguides.pace.edu/ipaceassociate
206,iPace,iPace Business Studies Library Resource Guide,https://libguides.pace.edu/ipacebusinessstudies
207,iPace,iPace Disabilities & Community Living Library Resource Guide,https://libguides.pace.edu/ipacedisabilitiescommunity
208,iPace,iPace Nursing Library Resource Guide,https://libguides.pace.edu/ipacenursing
209,iPace,iPace Professional Communication Studies Library Resource Guide,https://libguides.pace.edu/ipaceprofessionalcommunication
210,iPace,iPace Professional Technology Studies Library Resource Guide,https://libguides.pace.edu/ipacetechnology
211,Latin American Studies,Latin American Studies & Spanish,https://libguides.pace.edu/latinamerica
212,Literature,Comic Books and Graphic Novels,https://libguides.pace.edu/comics
213,Literature,"Fairy Tales, Fables and Folklore",https://libguides.pace.edu/fairytales
214,Literature,Literary Criticism and Author Research,https://libguides.pace.edu/litcrit
215,Management,Hospitality and Tourism Management,https://libguides.pace.edu/hospitality
216,Management,International Management,https://libguides.pace.edu/internationalmanagement
217,Management,iPace Business Studies Library Resource Guide,https://libguides.pace.edu/ipacebusinessstudies
218,Management,Management,https://libguides.pace.edu/mgmt
219,Management,WRDS: Wharton Research Data Services,https://libguides.pace.edu/c.php?g=202810
220,Marketing,Advertising & Marketing,https://libguides.pace.edu/marketing
221,Marketing,iPace Business Studies Library Resource Guide,https://libguides.pace.edu/ipacebusinessstudies
222,Marketing,Lubin School of Business GA Guide,https://libguides.pace.edu/LubinGA
223,Marketing,MAR351: International Marketing,https://libguides.pace.edu/MAR351
224,Marketing,Simmons OneView & MRI University Internet Reporter,https://libguides.pace.edu/simmonsmri
225,Media & Communication Arts,iPace Professional Communication Studies Library Resource Guide,https://libguides.pace.edu/ipaceprofessionalcommunication
226,Media & Communication Arts,Lynda.com,https://libguides.pace.edu/lynda
227,Media & Communication Arts,MCA 254: Producing the Documentary,https://libguides.pace.edu/MCA254
228,Media & Communication Arts,Media & Communication Arts,https://libguides.pace.edu/media
229,Media & Communication Arts,REAL NEWS vs. FAKE NEWS,https://libguides.pace.edu/fakenews
230,News,ENG 120: New York City,https://libguides.pace.edu/NYC
231,News,REAL NEWS vs. FAKE NEWS,https://libguides.pace.edu/fakenews
232,Nonprofit,Nonprofit Research,https://libguides.pace.edu/c.php?g=460781
233,Nonprofit,Public Administration Nonprofit Resources Page,https://libguides.pace.edu/nonprofit
234,Nursing & Medicine,iPace Nursing Library Resource Guide,https://libguides.pace.edu/ipacenursing
235,Nursing & Medicine,NURS 830: Health Policy: Advocacy in Action,https://libguides.pace.edu/healthpolicy
236,Nursing & Medicine,Nursing 803 Advanced Nursing in Primary Health Care,https://libguides.pace.edu/NURS803
237,Nursing & Medicine,Nursing Research,https://libguides.pace.edu/nursingresearch
238,Nursing & Medicine,Physician Assistant Program,https://libguides.pace.edu/PAS
239,Nursing & Medicine,Public Health and Epidemiology,https://libguides.pace.edu/publichealth
