,Category,Subject,Link
0,Accounting & Taxation,Accounting & Taxation Research Guide,https://libguides.regis.edu/accounting
1,Alumni,Alumni Resources,https://libguides.regis.edu/alumni
2,Anthropology,Anthropology Research Guide,https://libguides.regis.edu/anthropology
3,Archives & Special Collections,African Art Collection,https://libguides.regis.edu/africanart
4,Archives & Special Collections,American Recorder Society Records,https://libguides.regis.edu/recorder
5,Archives & Special Collections,Ammon Hennacy Papers,https://libguides.regis.edu/hennacy
6,Archives & Special Collections,"Armand William Forstall, S.J. Papers",https://libguides.regis.edu/forstall
7,Archives & Special Collections,Charles J. Roitz Photography Collection,https://libguides.regis.edu/roitz
8,Archives & Special Collections,Colorado Calligraphers' Guild Collection,https://libguides.regis.edu/calligraphers
9,Archives & Special Collections,Colorado Native Plants Society Records,https://libguides.regis.edu/conps
10,Archives & Special Collections,David Goldstein Collection,https://libguides.regis.edu/goldstein
11,Archives & Special Collections,David Goldstein Popular Sheet Music Collection,https://libguides.regis.edu/goldstein_sheetmusic
12,Archives & Special Collections,Dick Connor Papers,https://libguides.regis.edu/connor
13,Archives & Special Collections,Doris M. Drury Papers,https://libguides.regis.edu/drury
14,Archives & Special Collections,Elinor Miller Greenberg Papers,https://libguides.regis.edu/greenberg
15,Archives & Special Collections,Erich Katz Collection,https://libguides.regis.edu/katz
16,Archives & Special Collections,Irish Collection,https://libguides.regis.edu/irish
17,Archives & Special Collections,Jesuitica Collection,https://libguides.regis.edu/jesuitica_collection
18,Archives & Special Collections,Larry Varnell Papers,https://libguides.regis.edu/varnell
19,Archives & Special Collections,Lois Beebe Hayna Papers,https://libguides.regis.edu/hayna
20,Archives & Special Collections,Martha Bixler Collection,https://libguides.regis.edu/bixler
21,Archives & Special Collections,Notarianni Political Collection,https://libguides.regis.edu/notarianni
22,Archives & Special Collections,Rare Book Collection,https://libguides.regis.edu/rarebooks
23,Archives & Special Collections,Recorder Music Archival Collections,https://libguides.regis.edu/recorder_archives
24,Archives & Special Collections,Regis University Archives and Special Collections,https://libguides.regis.edu/archives
25,Archives & Special Collections,Regis University Faculty Collection,https://libguides.regis.edu/faculty_collection
26,Archives & Special Collections,Richard H. Truly U.S. Space Program Collection,https://libguides.regis.edu/truly
27,Archives & Special Collections,Santo Collection,https://libguides.regis.edu/santo
28,Archives & Special Collections,"Thomas J. Steele, S.J. Collection",https://libguides.regis.edu/steele
29,Archives & Special Collections,Vatican Stamp Collection,https://libguides.regis.edu/vaticanstamps
30,Archives & Special Collections,Volunteerism,https://libguides.regis.edu/volunteerism
31,Arrupe Jesuit High School,Arrupe Jesuit High School Research Guide,https://libguides.regis.edu/arrupe
32,Arts,Arts Research Guide,https://libguides.regis.edu/arts
33,Arts,Santo Collection,https://libguides.regis.edu/santo
34,Biological Sciences,Biological Sciences Research Guide,https://libguides.regis.edu/bioscience
35,Browsing Collection,Browsing Collection,https://libguides.regis.edu/browsing
36,Business,Accounting & Taxation Research Guide,https://libguides.regis.edu/accounting
37,Business,Business Research Guide,https://libguides.regis.edu/business
38,Business,Economics Research Guide,https://libguides.regis.edu/economics
39,Business,Management Research Guide,https://libguides.regis.edu/management
40,Business,Marketing Research Guide,https://libguides.regis.edu/marketing
41,Business,MGT 6010 The Ethical & Legal Environment of Business,https://libguides.regis.edu/c.php?g=841562
42,Business,Nonprofit Management Research Guide,https://libguides.regis.edu/nonprofitmanagement
43,Business,Public Administration Research Guide,https://libguides.regis.edu/publicadministration
44,Career Information,Career Information Research Guide,https://libguides.regis.edu/careerinformation
45,Catholic & Jesuit Studies,Catholic Studies Research Guide,https://libguides.regis.edu/catholicstudies
46,Catholic & Jesuit Studies,Jesuitica Research Guide,https://libguides.regis.edu/jesuitica
47,Chemistry,Chemistry Research Guide,https://libguides.regis.edu/chemistry
48,Circulation,Circulation,https://libguides.regis.edu/circ
49,College & University Resources,College & University Research Guide,https://libguides.regis.edu/college_university
50,Communication,COM 211 - Tech-Based Public Speaking,https://libguides.regis.edu/c.php?g=451387
51,Communication,COM 250 Research Guide: Speaking to Make a Difference,https://libguides.regis.edu/com250
52,Communication,COM 495 Research Guide: Senior Capstone Experience,https://libguides.regis.edu/com495
53,Communication,Communication Research Guide,https://libguides.regis.edu/communication
54,Communication,Film Studies Research Guide,https://libguides.regis.edu/film
55,Computer & Information Sciences,Computer & Information Sciences Research Guide,https://libguides.regis.edu/computer_informationsciences
56,Counseling & Family Therapy,Counseling & Family Therapy Research Guide,https://libguides.regis.edu/counseling
57,Counseling & Family Therapy,MCPY/MFT 640 Research Methods and Program Evaluation,https://libguides.regis.edu/mcpy640
58,Craft Brewing,Craft Brewing Research Guide,https://libguides.regis.edu/c.php?g=108205
59,Creative Writing Center,Lois Beebe Hayna Creative Writing Center,https://libguides.regis.edu/haynawritingcenter
60,Criminology,Criminology Research Guide,https://libguides.regis.edu/criminology
61,Development Practice,Master of Development Practice,https://libguides.regis.edu/mdp
62,Digital Collections,Digital Collections,https://libguides.regis.edu/digcoll
63,Economics,Economics Research Guide,https://libguides.regis.edu/economics
64,Education,Education Research Guide,https://libguides.regis.edu/education
65,Education,MAE 614 Action Research: Foundations,https://libguides.regis.edu/mae614
66,English,English Research Guide,https://libguides.regis.edu/english
67,Environmental Science,Environmental Science Research Guide,https://libguides.regis.edu/environmentalscience
68,Exercise & Sports Science,Health & Exercise Science Research Guide,https://libguides.regis.edu/exercise
69,Fake News & News Literacy,Fake News and News Literacy,https://libguides.regis.edu/fakeandnewsliteracy
70,Film Studies,Film Studies Research Guide,https://libguides.regis.edu/film
71,Government,Government Research Guide,https://libguides.regis.edu/government
72,Health Care,Health Care Ethics Research Guide,https://libguides.regis.edu/hce
73,Health Care,Health Care Informatics & Information Management,https://libguides.regis.edu/healthcareinformatics
74,Health Care,Here's to Your Health! A Consumer Health Research Guide,https://libguides.regis.edu/yourhealth
75,Health Care,Nursing Research Guide,https://libguides.regis.edu/nursing
76,Health Care,"Nutrition, Food and Community Health Research Guide",https://libguides.regis.edu/nutrition
77,Health Care,Pharmacy Research Guide,https://libguides.regis.edu/pharmacy
78,Health Care,Physical Therapy Research Guide,https://libguides.regis.edu/pt
79,Health Care Ethics,Health Care Ethics Research Guide,https://libguides.regis.edu/hce
80,Health Services Education,Health Services Education Research Guide,https://libguides.regis.edu/hse
81,Health Services Education,HSE 675 Comm in a Health Care Setting,https://libguides.regis.edu/hsa675
82,History,History Research Guide,https://libguides.regis.edu/history
83,History,Stories from Wartime Research Guide,https://libguides.regis.edu/war
84,History,Vietnam and US Culture & History,https://libguides.regis.edu/vietnam
85,History of Inequity reading list,History of Inequity,https://libguides.regis.edu/inequity
86,Human Resources,Human Resources Research Guide,https://libguides.regis.edu/humanresources
87,Humanities,Arts Research Guide,https://libguides.regis.edu/arts
88,Humanities,English Research Guide,https://libguides.regis.edu/english
89,Humanities,Humanities Research Guide,https://libguides.regis.edu/humanities
90,Humanities,Music Research Guide,https://libguides.regis.edu/music
91,Immigrant Resources,Immigrant Resources,https://libguides.regis.edu/immigrants
92,Integrative Core,RCC 400D: Acting and Oral Interpretation (Goodwin),https://libguides.regis.edu/acting
93,Integrative Core,Stories from Wartime Research Guide,https://libguides.regis.edu/war
94,Integrative Core,Vietnam and US Culture & History,https://libguides.regis.edu/vietnam
95,Interlibrary Loan,Interlibrary Loan,https://libguides.regis.edu/ill
96,Jewish Studies,Jewish Studies Research Guide,https://libguides.regis.edu/jewishstudies
97,Law,Law Research Guide,https://libguides.regis.edu/law
98,Leadership,Leadership Research Guide,https://libguides.regis.edu/leadership
99,Management,Management Research Guide,https://libguides.regis.edu/management
100,Management,MGT 6010 The Ethical & Legal Environment of Business,https://libguides.regis.edu/c.php?g=841562
101,Marketing,Marketing Research Guide,https://libguides.regis.edu/marketing
102,Mathematics,Mathematics Research Guide,https://libguides.regis.edu/mathematics
103,Modern and Classical Languages,Modern and Classical Languages Research Guide,https://libguides.regis.edu/modernlanguages
104,Music,Music Research Guide,https://libguides.regis.edu/music
105,Music,Writing Analytically: Big Bangs in Twentieth Century Music (Notareschi),https://libguides.regis.edu/bigbangs
106,Neuroscience,Neuroscience Research Guide,https://libguides.regis.edu/neuroscience
107,Neuroscience,NS/PY 410 Neurological Disorders,https://libguides.regis.edu/ns410
108,Nonprofit Management,Nonprofit Management Research Guide,https://libguides.regis.edu/nonprofitmanagement
109,Nursing,Nursing Research Guide,https://libguides.regis.edu/nursing
110,Nutrition,"Nutrition, Food and Community Health Research Guide",https://libguides.regis.edu/nutrition
111,Occupational Therapy,Occupational Therapy Research Guide,https://libguides.regis.edu/OT
112,Opus Prize 2017,Opus Prize 2017 resource guide,https://libguides.regis.edu/opus2017
113,Peace & Justice,Peace & Justice Research Guide,https://libguides.regis.edu/peace_justice
114,Peace & Justice,Vietnam and US Culture & History,https://libguides.regis.edu/vietnam
115,Peace & Justice,Writing Analytically: Writing for Social Justice (Adkins & Taylor),https://libguides.regis.edu/social
116,Pharmacy,Pharmacy Research Guide,https://libguides.regis.edu/pharmacy
117,Philosophy,Philosophy Research Guide,https://libguides.regis.edu/philosophy
118,Physical Therapy,Physical Therapy Research Guide,https://libguides.regis.edu/pt
119,Physics,Physics Research Guide,https://libguides.regis.edu/physics
120,Politics,Politics Research Guide,https://libguides.regis.edu/politics
121,Psychology,Psychology Research Guide,https://libguides.regis.edu/psychology
122,Psychology,PY 422 Research Methods and Behavioral Statistics,https://libguides.regis.edu/py422
123,Public Administration,Public Administration Research Guide,https://libguides.regis.edu/publicadministration
124,Reference,Reference Resources Guide,https://libguides.regis.edu/reference
125,Regis University Library,Browsing Collection,https://libguides.regis.edu/browsing
126,Regis University Library,Dayton Memorial Library - Room information,https://libguides.regis.edu/dmlrooms
127,Regis University Library,Denver Public Library,https://libguides.regis.edu/dpl
128,Regis University Library,Fake News and News Literacy,https://libguides.regis.edu/fakeandnewsliteracy
129,Regis University Library,"Handouts, Guides and FAQs",https://libguides.regis.edu/handouts
130,Regis University Library,Library Location and Hours,https://libguides.regis.edu/dmlloc
131,Regis University Library,Library Policies & Committees,https://libguides.regis.edu/policies
132,Regis University Library,Overview and Mission,https://libguides.regis.edu/overview
133,Regis University Library,"Plug-ins, Toolbars & Apps",https://libguides.regis.edu/plugins
134,Regis University Library,Regis Library Tutorials,https://libguides.regis.edu/tutorials
135,Regis University Library,Regis University Library - Departments,https://libguides.regis.edu/depts
136,Regis University Library,Santo Collection,https://libguides.regis.edu/santo
137,Regis University Library,Services for Faculty,https://libguides.regis.edu/facservices
138,Religious Studies,Religious Studies Research Guide,https://libguides.regis.edu/religiousstudies
139,Reserves,Reserves,https://libguides.regis.edu/reserves
140,Social Sciences,History Research Guide,https://libguides.regis.edu/history
141,Social Sciences,Psychology Research Guide,https://libguides.regis.edu/psychology
142,Social Sciences,Social Sciences Research Guide,https://libguides.regis.edu/socialsciences
143,Social Sciences,Sociology Research Guide,https://libguides.regis.edu/sociology
144,Sociology,Sociology Research Guide,https://libguides.regis.edu/sociology
145,Study Support,Study Support,https://libguides.regis.edu/studysupport
146,Subject Tutoring,Tutoring,https://libguides.regis.edu/subjecttutoring
147,Women's & Gender Studies,Women's & Gender Studies Research Guide,https://libguides.regis.edu/wgs
148,Writing & Citation Help,"Writing, Citing, Tutoring, and Studying Resources",https://libguides.regis.edu/writecite
149,Writing Analytically,Writing Analytically: Big Bangs in Twentieth Century Music (Notareschi),https://libguides.regis.edu/bigbangs
150,Writing Analytically,Writing Analytically: Chinese Food Culture in America (Chiang),https://libguides.regis.edu/chinesefoodcultureinamerica
151,Writing Analytically,"Writing Analytically: Communication, Prisons, and Social Justice (Dawe)",https://libguides.regis.edu/prisons
152,Writing Analytically,"Writing Analytically: Fiction, Film, and Culture (Dimovitz)",https://libguides.regis.edu/reading
153,Writing Analytically,Writing Analytically: Food Fights (McGill),https://libguides.regis.edu/foodfights
154,Writing Analytically,Writing Analytically: How We Live (Land-Closson),https://libguides.regis.edu/Howwelive
155,Writing Analytically,Writing Analytically: Language Games (Myklebust),https://libguides.regis.edu/languagegames
156,Writing Analytically,Writing Analytically: Music and the Creative Process (Wright),https://libguides.regis.edu/firstnights
157,Writing Analytically,Writing Analytically: Superheroes (Knorr),https://libguides.regis.edu/c.php?g=570221
158,Writing Analytically,Writing Analytically: Sustainable Cities (Hickey),https://libguides.regis.edu/c.php?g=740551
159,Writing Analytically,Writing Analytically: The Idea of a University: Balancing Heart and Mind (Honors),https://libguides.regis.edu/honors
160,Writing Analytically,Writing Analytically: The Only Thing We Have to Fear is Fear Itself (Mier),https://libguides.regis.edu/c.php?g=724409
161,Writing Analytically,Writing Analytically: Writing for Social Justice (Adkins & Taylor),https://libguides.regis.edu/social
