,Category,Subject,Link
0,**Looking for the Hollins and Roanoke library catalog?,Looking for Wyndham Robertson library at Hollins University?,https://libguides.roanoke.edu/fintel_redirect
1,Anthropology,Public Health Studies Guide,https://libguides.roanoke.edu/PHST
2,Biology,Biology,https://libguides.roanoke.edu/BiologyGuide
3,Biology,Health Careers Advisory Group (Health PAG- Professional Advisory Group),https://libguides.roanoke.edu/c.php?g=316035
4,Biology,"INQ 300 Powerful Medicine, How Do Drugs Affect Our Life? / Pharmaceuticals",https://libguides.roanoke.edu/c.php?g=315858
5,Biology,Primary Literature,https://libguides.roanoke.edu/primary_literature
6,Business & Economics,Business Research Guide,https://libguides.roanoke.edu/business
7,Chemistry,Biology,https://libguides.roanoke.edu/BiologyGuide
8,Chemistry,CHEM 260: Descriptive Inorganic (Hughes),https://libguides.roanoke.edu/chem260
9,Chemistry,CHEM 270 Environmental Chemistry (Keithley),https://libguides.roanoke.edu/c.php?g=613392
10,Chemistry,Chemistry,https://libguides.roanoke.edu/chemistry
11,Chemistry,"Chemistry & Forensics of Poisoning, etc. (Prof.Harris, Spring 2016)",https://libguides.roanoke.edu/c.php?g=315823
12,Chemistry,Health Careers Advisory Group (Health PAG- Professional Advisory Group),https://libguides.roanoke.edu/c.php?g=316035
13,Chemistry,HONORS 250: Poison... by Alcohol (Hollis),https://libguides.roanoke.edu/HNRS250Hollis
14,Chemistry,HONORS 250: Poison... by Cannabis (Hollis),https://libguides.roanoke.edu/honors250hollis
15,Chemistry,Honors 251 : Chemistry of Art (Hughes),https://libguides.roanoke.edu/c.php?g=611778
16,Chemistry,"INQ 300 Powerful Medicine, How Do Drugs Affect Our Life? / Pharmaceuticals",https://libguides.roanoke.edu/c.php?g=315858
17,Chemistry,Primary Literature,https://libguides.roanoke.edu/primary_literature
18,Communication,Communication 350,https://libguides.roanoke.edu/comm350_khoo
19,Communication,Image and Video Resources,https://libguides.roanoke.edu/images
20,Education,Education,https://libguides.roanoke.edu/education
21,Education,Education 250: Teaching & Learning (Stoneman),https://libguides.roanoke.edu/c.php?g=315655
22,Education,Education Lesson Plans + Educ352 (Stoneman),https://libguides.roanoke.edu/c.php?g=315704
23,Education,Education: Diff Instr for Elem Math & Sci (EDUC320) (Stoneman),https://libguides.roanoke.edu/c.php?g=316017
24,Education,Education: Differentiated Classrooms in the Secondary School (EDUC345) (Stoneman),https://libguides.roanoke.edu/c.php?g=316016
25,Education,INQ 110 Finding Ourselves in FOLKTALES (Stoneman),https://libguides.roanoke.edu/FindingOurselvesInFolktales
26,Education,INQ 300 Cross-Cultural Inquiry (Stallions),https://libguides.roanoke.edu/crosscultural_stallions
27,Education,INQ 300 Issues in Education (Whitt),https://libguides.roanoke.edu/c.php?g=316014
28,Education,TESL - Teaching English as a Second Language (Stallions),https://libguides.roanoke.edu/c.php?g=315888
29,English,Communication 350,https://libguides.roanoke.edu/comm350_khoo
30,English,ENGL 354: STUDIES IN DRAMA—CONTEMPORARY DRAMA,https://libguides.roanoke.edu/contempdrama
31,English,English Research Guide,https://libguides.roanoke.edu/english
32,English,"RHET 125-A & C Text, Rhetoric, and Media Abraham Lincoln - Dr. Heller",https://libguides.roanoke.edu/lincoln
33,Environmental Studies,Biology,https://libguides.roanoke.edu/BiologyGuide
34,Environmental Studies,Climate Change Resources,https://libguides.roanoke.edu/climatechange
35,Environmental Studies,ENVI 265 Conservation Science,https://libguides.roanoke.edu/Conservation_Science
36,Environmental Studies,ENVI 360 Sustainable Agriculture,https://libguides.roanoke.edu/sustainableagriculture
37,Environmental Studies,Environmental Studies Research Guide,https://libguides.roanoke.edu/environmental_studies
38,Environmental Studies,INQ 300 Revitalizing Main Street,https://libguides.roanoke.edu/mainstreet
