,Category,Subject,Link
0,- Behavioural & Social Sciences,Economics and Business,https://libguides.rug.nl/economics
1,- Behavioural & Social Sciences,Pedagogy and Educational Sciences,https://libguides.rug.nl/pedagogics
2,- Behavioural & Social Sciences,Population Studies,https://libguides.rug.nl/populationstudies
3,- Behavioural & Social Sciences,Psychology,https://libguides.rug.nl/psychology
4,- Behavioural & Social Sciences,Real Estate Studies,https://libguides.rug.nl/realestate
5,- Behavioural & Social Sciences,Sociology,https://libguides.rug.nl/sociology
6,- Behavioural & Social Sciences,Spatial Sciences,https://libguides.rug.nl/spatialsciences
7,- Humanities,American Studies,https://libguides.rug.nl/AS
8,- Humanities,Ancient History 500 BC-500 AD,https://libguides.rug.nl/ancient_history
9,- Humanities,Applied Linguistics,https://libguides.rug.nl/appliedlinguistics
10,- Humanities,Archaeology,https://libguides.rug.nl/archeology
11,- Humanities,Arctic studies,https://libguides.rug.nl/arcticstudies
12,- Humanities,Art History,https://libguides.rug.nl/art_history
13,- Humanities,"Arts, Culture and Media",https://libguides.rug.nl/ACM
14,- Humanities,Bijzondere Collecties,https://libguides.rug.nl/bijzonderecollecties
15,- Humanities,Classical Languages,https://libguides.rug.nl/classical_languages
16,- Humanities,Communication and Information Sciences,https://libguides.rug.nl/communication_and_information_sciences
17,- Humanities,Early Modern History 1500-1800 AD,https://libguides.rug.nl/earlymodernhistory
18,- Humanities,English Language and Culture,https://libguides.rug.nl/english
19,- Humanities,European Languages and Cultures,https://libguides.rug.nl/etc
20,- Humanities,French language and culture,https://libguides.rug.nl/french
21,- Humanities,Friese taal en cultuur,https://libguides.rug.nl/fries
22,- Humanities,German Language & Culture,https://libguides.rug.nl/german
23,- Humanities,History,https://libguides.rug.nl/history
24,- Humanities,Humanitarian Action,https://libguides.rug.nl/humanitarianaction
25,- Humanities,Informatiekunde / Humanities computing,https://libguides.rug.nl/c.php?g=408437
26,- Humanities,International Relations,https://libguides.rug.nl/internationalrelations
27,- Humanities,Italian language and culture,https://libguides.rug.nl/italiaans
28,- Humanities,Journalism and Media Studies,https://libguides.rug.nl/journalism
29,- Humanities,Linguistics,https://libguides.rug.nl/linguistics
30,- Humanities,Medieval History 500-1500 AD,https://libguides.rug.nl/medievalhistory
31,- Humanities,Medieval Urban History,https://libguides.rug.nl/medievalurbanhistory
32,- Humanities,Middle East Studies,https://libguides.rug.nl/middleeaststudies
33,- Humanities,Minor Mediterranean World,https://libguides.rug.nl/mediterraneanworld
34,- Humanities,Minorities & Multilingualism,https://libguides.rug.nl/mm
35,- Humanities,Modern and Contemporary History 1800 AD - Present,https://libguides.rug.nl/modernhistory
36,- Humanities,Nederlandse Geschiedenis,https://libguides.rug.nl/nederlandsegeschiedenis
37,- Humanities,Nederlandse Taal en Cultuur,https://libguides.rug.nl/nederlands
38,- Humanities,Philosophy,https://libguides.rug.nl/philosophy
39,- Humanities,Scandinavian studies,https://libguides.rug.nl/scandinavian
40,- Humanities,Slavic studies,https://libguides.rug.nl/slavicstudies
41,- Humanities,Spanish language and culture,https://libguides.rug.nl/spanish
42,- Humanities,Theology & Religious Studies,https://libguides.rug.nl/GGW
43,- Humanities,Translation Studies,https://libguides.rug.nl/translationstudies
44,"- Law, legislation, government",Colloquium,https://libguides.rug.nl/colloquium
45,"- Law, legislation, government",Euroculture,https://libguides.rug.nl/euroculture
46,"- Law, legislation, government",European Law,https://libguides.rug.nl/europeanlaw
47,"- Law, legislation, government",International Law,https://libguides.rug.nl/internationallaw
48,"- Law, legislation, government",JOV2,https://libguides.rug.nl/jov2
49,"- Law, legislation, government",Jurisprudentie,https://libguides.rug.nl/jurisprudentie
50,"- Law, legislation, government",Law,https://libguides.rug.nl/law
51,"- Law, legislation, government",Law in Europe,https://libguides.rug.nl/lawineurope
52,"- Law, legislation, government",LLM and Exchange students,https://libguides.rug.nl/llmexchange
53,"- Law, legislation, government",Onderzoeksmaster,https://libguides.rug.nl/onderzoeksmaster
54,"- Law, legislation, government",Scriptie:,https://libguides.rug.nl/scriptie
55,"- Law, legislation, government",Togamaster,https://libguides.rug.nl/togamaster
56,"- Law, legislation, government",Wetgeving en officiële publicaties,https://libguides.rug.nl/wetgeving
57,- Medicine,CAT guide,https://libguides.rug.nl/CAT_guide
58,- Medicine,Dentistry,https://libguides.rug.nl/dentistry
59,- Medicine,G2020 & CMB,https://libguides.rug.nl/CMBG2020
60,- Medicine,Medical e-books,https://libguides.rug.nl/medical_e-books
61,- Medicine,Medical e-Journals,https://libguides.rug.nl/medicalejournals
62,- Medicine,Medicine,https://libguides.rug.nl/medicine/home
63,- Medicine,Mendeley,https://libguides.rug.nl/umcg/mendeley
64,- Medicine,Neuroscience,https://libguides.rug.nl/neuroscience
65,- Medicine,"New RefWorks - collect, organize, annotate en cite publications",https://libguides.rug.nl/umcg/refworks
66,- Medicine,"Nieuwe RefWorks - verzamel, organiseer, annoteer en citeer publicaties",https://libguides.rug.nl/umcg/refworksnl
67,- Medicine,Pharmacy,https://libguides.rug.nl/pharmacy
68,- Medicine,Publish Open Access - the agreements with publishers,https://libguides.rug.nl/umcg/openaccess
69,- Medicine,PubMed (English),https://libguides.rug.nl/pubmed-en
70,- Medicine,PubMed (Nederlands),https://libguides.rug.nl/pubmed-nl
71,- Medicine,Pure UMCG,https://libguides.rug.nl/PureUMCG
72,- Medicine,Researchers Guide - Central Medical Library,https://libguides.rug.nl/researchers_guide
73,- Medicine,Startpagina voor verpleegkundigen en paramedici,https://libguides.rug.nl/verpleegkunde
74,- Science,Agriculture,https://libguides.rug.nl/agriculture
75,- Science,Astronomy and Space Research,https://libguides.rug.nl/astronomy
76,- Science,Biology,https://libguides.rug.nl/biology
77,- Science,Chemistry,https://libguides.rug.nl/chemistry
78,- Science,Energy and Environmental Sciences,https://libguides.rug.nl/energy
79,- Science,Geology,https://libguides.rug.nl/geology
80,- Science,Mathematics and Science education,https://libguides.rug.nl/SciEdu
81,- Science,"Mathematics, Computer Science and Artificial Intelligence",https://libguides.rug.nl/math-computer
82,- Science,Pharmacy,https://libguides.rug.nl/pharmacy
83,- Science,Physics,https://libguides.rug.nl/physics
84,- Science,Sciences,https://libguides.rug.nl/sciences
85,- Science,Technology,https://libguides.rug.nl/technology
86,Multidisciplinary,Arctic studies,https://libguides.rug.nl/arcticstudies
87,Multidisciplinary,Bijzondere Collecties,https://libguides.rug.nl/bijzonderecollecties
88,Multidisciplinary,Information Literacy Graduates,https://libguides.rug.nl/ivo/graduates
89,Online cursussen literatuur zoeken / Online courses literature searching,Informatievaardigheden/Information Literacy,https://libguides.rug.nl/informationliteracy-overview
90,"Other : SmartCat, Open Access, Career Company, AVM, Reference Management, Systematic Review, Fake news",AVM,https://libguides.rug.nl/avm
91,"Other : SmartCat, Open Access, Career Company, AVM, Reference Management, Systematic Review, Fake news",Careers Company,https://libguides.rug.nl/CareersCompany
92,"Other : SmartCat, Open Access, Career Company, AVM, Reference Management, Systematic Review, Fake news",CAT guide,https://libguides.rug.nl/CAT_guide
93,"Other : SmartCat, Open Access, Career Company, AVM, Reference Management, Systematic Review, Fake news",Fake news,https://libguides.rug.nl/fakenews
94,"Other : SmartCat, Open Access, Career Company, AVM, Reference Management, Systematic Review, Fake news",Mendeley,https://libguides.rug.nl/umcg/mendeley
95,"Other : SmartCat, Open Access, Career Company, AVM, Reference Management, Systematic Review, Fake news","New RefWorks - collect, organize, annotate en cite publications",https://libguides.rug.nl/umcg/refworks
96,"Other : SmartCat, Open Access, Career Company, AVM, Reference Management, Systematic Review, Fake news","Nieuwe RefWorks - verzamel, organiseer, annoteer en citeer publicaties",https://libguides.rug.nl/umcg/refworksnl
97,"Other : SmartCat, Open Access, Career Company, AVM, Reference Management, Systematic Review, Fake news",Publish Open Access - the agreements with publishers,https://libguides.rug.nl/umcg/openaccess
98,"Other : SmartCat, Open Access, Career Company, AVM, Reference Management, Systematic Review, Fake news",Reference Management,https://libguides.rug.nl/referencemanagement
99,"Other : SmartCat, Open Access, Career Company, AVM, Reference Management, Systematic Review, Fake news",SmartCat,https://libguides.rug.nl/SmartCatNed
100,"Other : SmartCat, Open Access, Career Company, AVM, Reference Management, Systematic Review, Fake news",SmartCat (English),https://libguides.rug.nl/SmartCatEng
101,"Other : SmartCat, Open Access, Career Company, AVM, Reference Management, Systematic Review, Fake news",Systematic Review,https://libguides.rug.nl/systematic-review
