,Category,Subject,Link
0,American Studies,American Studies,https://libguides.salemstate.edu/americanstudies
1,American Studies,"IDS 232 American Identities, Professor Duclos-Orsello",https://libguides.salemstate.edu/american_identities
2,Art,ART 332A: Art of the Modern World (Sinnett),https://libguides.salemstate.edu/modernart
3,Art,STEAMists: Scientists Who Are Also Artists,https://libguides.salemstate.edu/STEAMists
4,Biology,BIO 301: Conservation Biology,https://libguides.salemstate.edu/DelissioBIO301
5,Biology,BIO208 Environmental Problems: Delissio,https://libguides.salemstate.edu/BIO208
6,Biology,BIO415 Fall 2018 Professor Tapley,https://libguides.salemstate.edu/tapley
7,Biology,FYS Plant Intelligence,https://libguides.salemstate.edu/FYS-plant-intelligence
8,Biology,Primary Biology Research Articles in SSU Library Databases,https://libguides.salemstate.edu/biologyprimarydatabases
9,Biology,Primary Biology Research on the Web,https://libguides.salemstate.edu/bioprimaryweb
10,Biology,STEAMists: Scientists Who Are Also Artists,https://libguides.salemstate.edu/STEAMists
11,Business,Business Writing,https://libguides.salemstate.edu/businesswriting
12,Business,Course Guides,https://libguides.salemstate.edu/c.php?g=857889
13,Business,Guides for Bertolon Faculty,https://libguides.salemstate.edu/c.php?g=865571
14,Business,Sources for Particular Types of Information,https://libguides.salemstate.edu/c.php?g=858274
15,Business,Sources Relating to Business Functions,https://libguides.salemstate.edu/c.php?g=857892
16,Business,Tutorials,https://libguides.salemstate.edu/tutorials
17,Chemistry,Primary Chemistry Research Articles in SSU Library Databases,https://libguides.salemstate.edu/articleschemistry
18,Chemistry,Primary Chemistry Research on the Web,https://libguides.salemstate.edu/chemweb
19,Communications,Building Websites with Weebly,https://libguides.salemstate.edu/weebly
20,Communications,Media and Communication,https://libguides.salemstate.edu/communications
21,Computer Science,Computer Science,https://libguides.salemstate.edu/computerscience
22,Criminal Justice,Criminal Justice,https://libguides.salemstate.edu/criminaljustice
23,Dance,Music and Dance,https://libguides.salemstate.edu/MusicandDance
24,Education,EDC 405: Culturally Responsive Teaching,https://libguides.salemstate.edu/EDC405
25,Education,EDC 760: Adolescent Literacy in the Disciplines,https://libguides.salemstate.edu/EDC760
26,Education,EDU 335 - Secondary School Curriculum Materials and Methods - English,https://libguides.salemstate.edu/EDU335
27,Education,"EDU 719: Student Affairs: Theory, Research, and Practice",https://libguides.salemstate.edu/edu719
28,Education,EDU 736: Psychology of Learning,https://libguides.salemstate.edu/EDU736
29,Education,EDU 738: Educational Research Across the Curriculum,https://libguides.salemstate.edu/edu738
30,Education,EDU 963R: Action Research in Education,https://libguides.salemstate.edu/edu963r
31,Education,Education Resource Area,https://libguides.salemstate.edu/ERA
32,Education,Education: Childhood Education and Care,https://libguides.salemstate.edu/childhood_education_and_care
33,Education,Education: Secondary and Higher Education,https://libguides.salemstate.edu/secondary_and_higher_education
34,Education,ENG 839: Research in Teaching English to Speakers of Other Languages,https://libguides.salemstate.edu/eng839
35,English,ENG 707 Nineteenth Century American Novel,https://libguides.salemstate.edu/ENG707
36,English,ENL 110: Foundations of Writing,https://libguides.salemstate.edu/ENL110
37,English,ENL 161: Reading Closely,https://libguides.salemstate.edu/enl161
38,English,ENL 235: Studies in Literature,https://libguides.salemstate.edu/ENL235
39,English,ENL 502: Writing Skills Center Practicum,https://libguides.salemstate.edu/ENL502
40,English,ESL,https://libguides.salemstate.edu/esl
41,English,FYEN 100-02: Harry Potter in Literature and Film,https://libguides.salemstate.edu/FYSWalker
42,Foreign Languages,SPN 354: Spanish Composition through Film,https://libguides.salemstate.edu/todosobreSPN354
43,General,Information Literacy Videos & Tutorials,https://libguides.salemstate.edu/home/videos
44,General,The Research Process,https://libguides.salemstate.edu/researchprocess
45,Geography,Geography,https://libguides.salemstate.edu/Geography
46,Geography,Geography 100P,https://libguides.salemstate.edu/GPH100P
47,Geological Sciences,Geology,https://libguides.salemstate.edu/c.php?g=689773
48,Geological Sciences,Geomorphology GLS210 Sources for Peer-Reviewed Articles Sources,https://libguides.salemstate.edu/GLS210
49,Geological Sciences,Primary Geological Science Research on the Web,https://libguides.salemstate.edu/c.php?g=689789
50,Geological Sciences,Primary Geological Sciences Research Articles in SSU Library Databases,https://libguides.salemstate.edu/geoprimary
51,Health Sciences,Healthcare Studies,https://libguides.salemstate.edu/healthcare_studies
52,Healthcare Studies,FYS - Healthcare Studies,https://libguides.salemstate.edu/FYS_Healthcare_Studies
53,Healthcare Studies,Healthcare Studies,https://libguides.salemstate.edu/healthcare_studies
54,History,American Studies,https://libguides.salemstate.edu/americanstudies
55,History,FY HI 100 Climate Change and Environmental Justice,https://libguides.salemstate.edu/ChomskyFYS
56,History,Historiography,https://libguides.salemstate.edu/historiography
57,History,History,https://libguides.salemstate.edu/history
58,History,World War II,https://libguides.salemstate.edu/WWII
59,Interdisciplinary Studies,American Studies,https://libguides.salemstate.edu/americanstudies
60,Interdisciplinary Studies,IDS255: Comparative Religions,https://libguides.salemstate.edu/IDS255
61,Language and Literature,ENL 110: Foundations of Writing,https://libguides.salemstate.edu/ENL110
62,Language and Literature,ENL 161: Reading Closely,https://libguides.salemstate.edu/enl161
63,Language and Literature,ENL 300: Advanced Writing,https://libguides.salemstate.edu/ENL300
64,Language and Literature,ESL,https://libguides.salemstate.edu/esl
65,Language and Literature,Literature in English,https://libguides.salemstate.edu/english_lit
66,Library - General Guides,Black Lives Matter,https://libguides.salemstate.edu/blacklivesmatter
67,Library - General Guides,ESL,https://libguides.salemstate.edu/esl
68,Library - General Guides,Information Literacy Videos & Tutorials,https://libguides.salemstate.edu/home/videos
69,Library - General Guides,Media and Presentation Tools,https://libguides.salemstate.edu/media_presentation_tools
70,Library - General Guides,News Literacy Workshop,https://libguides.salemstate.edu/newsworkshop
71,Library - General Guides,NOBLE Catalog from Evergreen,https://libguides.salemstate.edu/evergreen
72,Library - General Guides,Open Educational Resources,https://libguides.salemstate.edu/oer
73,Library - General Guides,OverDrive @ SSU Library,https://libguides.salemstate.edu/overdrive
74,Mathematics,FYMA 100: The Simpsons and their Mathematical Secret,https://libguides.salemstate.edu/fyma100
75,Mathematics,Mathematics,https://libguides.salemstate.edu/mathematics
76,Microfilm Reader/Printer Cheat Sheet,Microfilm Reader/Printer Cheat Sheet for Salem State University,https://libguides.salemstate.edu/microfilm
77,Music,Music and Dance,https://libguides.salemstate.edu/MusicandDance
78,Nursing,Copyright for Nursing Students,https://libguides.salemstate.edu/nursing_copyright
79,Nursing,Nursing,https://libguides.salemstate.edu/nursing
80,Nursing,Nursing 104,https://libguides.salemstate.edu/nursing104
81,Nursing,Nursing Research,https://libguides.salemstate.edu/nursingresearch
82,Nursing,Public Health Nursing,https://libguides.salemstate.edu/publichealthnursing
83,Occupational Therapy,Occupational Therapy,https://libguides.salemstate.edu/OT
84,Philosophy,Philosophy,https://libguides.salemstate.edu/philosophy
85,Physics,Primary Physics Research Articles in SSU Library Databases,https://libguides.salemstate.edu/primaryphysics
86,Political Science,Political Science,https://libguides.salemstate.edu/politicalscience
87,Psychology,PSY 203/204 Research Methods & Statistics,https://libguides.salemstate.edu/psy203/204
88,Psychology,Psychology,https://libguides.salemstate.edu/psychology
89,Social Work,Grant Writing Resources in the Social Sciences,https://libguides.salemstate.edu/grants
90,Social Work,Social Work,https://libguides.salemstate.edu/socialwork
