,Category,Subject,Link
0,Arts & Social Sciences,Arts and Social Sciences (Postgraduates),https://libguides.scu.edu.au/sasspg
1,Arts & Social Sciences,History,https://libguides.scu.edu.au/history
2,Arts & Social Sciences,Media,https://libguides.scu.edu.au/media
3,Arts & Social Sciences,Music,https://libguides.scu.edu.au/music
4,Arts & Social Sciences,Social Science,https://libguides.scu.edu.au/social_science
5,Arts & Social Sciences,Social Welfare and Social Work,https://libguides.scu.edu.au/socialwelfare_socialwork
6,Arts & Social Sciences,Visual arts,https://libguides.scu.edu.au/visual
7,Arts & Social Sciences,Writing,https://libguides.scu.edu.au/writing
8,Business & Tourism,Accounting,https://libguides.scu.edu.au/accounting
9,Business & Tourism,Business and Management,https://libguides.scu.edu.au/management
10,Business & Tourism,Convention and Event Management,https://libguides.scu.edu.au/convention
11,Business & Tourism,DBA Candidates' Guide,https://libguides.scu.edu.au/DBAcandidates
12,Business & Tourism,English-Chinese Bilingual Business Resources,https://libguides.scu.edu.au/bilingual
13,Business & Tourism,Finance,https://libguides.scu.edu.au/finance
14,Business & Tourism,Gastronomic Tourism,https://libguides.scu.edu.au/gastronomic_tourism
15,Business & Tourism,Hospitality,https://libguides.scu.edu.au/hospitality
16,Business & Tourism,Human Resource Management,https://libguides.scu.edu.au/hrm
17,Business & Tourism,Information Technology,https://libguides.scu.edu.au/IT
18,Business & Tourism,Marketing,https://libguides.scu.edu.au/marketing
19,Business & Tourism,Project Management,https://libguides.scu.edu.au/project_management
20,Business & Tourism,Tourism,https://libguides.scu.edu.au/tourism
21,Business & Tourism,Tourism and Hospitality Management (Postgraduates),https://libguides.scu.edu.au/THMpostgrad
22,Education,Childhood and Youth Studies,https://libguides.scu.edu.au/childhoodyouthstudies
23,Education,Early childhood,https://libguides.scu.edu.au/earlychildhood
24,Education,Education & Pedagogy,https://libguides.scu.edu.au/pedagogy
25,Education,Education (Postgraduates),https://libguides.scu.edu.au/education_research
26,Education,Indigenous Education,https://libguides.scu.edu.au/Indigenous_Education
27,Education,KLAs,https://libguides.scu.edu.au/KLAs
28,Education,Technology Education,https://libguides.scu.edu.au/teched
29,Education,Vocational Education & Training,https://libguides.scu.edu.au/VET
30,"Environment, Science & Engineering",Engineering,https://libguides.scu.edu.au/engineering
31,"Environment, Science & Engineering",Environmental Science,https://libguides.scu.edu.au/environmental
32,Gnibi College of Indigenous Australian Peoples,Gnibi Postgraduate Studies,https://libguides.scu.edu.au/Gnibi_Postgraduate_Studies
