,Category,Subject,Link
0,Anthropology,Anthropology,https://libguides.seattleu.edu/anthropology
1,Art,Art and Art History,https://libguides.seattleu.edu/art_arthistory
2,Art History,Art and Art History,https://libguides.seattleu.edu/art_arthistory
3,Arts Leadership,Arts Leadership,https://libguides.seattleu.edu/arts_leadership
4,Biochemistry,Biochemistry & Molecular Biology,https://libguides.seattleu.edu/biochem
5,Biology,Biology,https://libguides.seattleu.edu/bio
6,Business,Articles for Business Research,https://libguides.seattleu.edu/articlesforbusiness
7,Business,BCOM 2800 : Business Communication (Barnes),https://libguides.seattleu.edu/bcom2800barnes
8,Business,BCOM 2800 : Business Communication (Ruppert),https://libguides.seattleu.edu/bcom2800ruppert
9,Business,Business Research,https://libguides.seattleu.edu/business
10,Business,Business Writing,https://libguides.seattleu.edu/businesswriting
11,Business,Company Research,https://libguides.seattleu.edu/company
12,Business,Economics,https://libguides.seattleu.edu/economics
13,Business,Entrepreneurship,https://libguides.seattleu.edu/entrepreneurship
14,Business,Ethics & CSR,https://libguides.seattleu.edu/businessethics
15,Business,Finance,https://libguides.seattleu.edu/finance
16,Business,Human Resources,https://libguides.seattleu.edu/humanresources
17,Business,Industry Research,https://libguides.seattleu.edu/industry
18,Business,Information Systems,https://libguides.seattleu.edu/ecommerce
19,Business,International Business,https://libguides.seattleu.edu/internationalbusiness
20,Business,International Economics,https://libguides.seattleu.edu/internationaleconomics
21,Business,Management,https://libguides.seattleu.edu/management
22,Business,Marketing,https://libguides.seattleu.edu/marketing
23,Business,Organizational Leadership,https://libguides.seattleu.edu/organizationalleadership
24,Business,Sports Business Leadership,https://libguides.seattleu.edu/sports
25,Business,Statistics and Data Sources,https://libguides.seattleu.edu/statisticsanddata
26,Catholic Studies,STMM 5110: Theology of Vatican II,https://libguides.seattleu.edu/c.php?g=308659
27,Cell and Molecular Biology,Biochemistry & Molecular Biology,https://libguides.seattleu.edu/biochem
28,Chemistry,Biochemistry & Molecular Biology,https://libguides.seattleu.edu/biochem
29,Chemistry,Chemistry,https://libguides.seattleu.edu/chem
30,Civil and Environmental Engineering,Civil & Environmental Engineering,https://libguides.seattleu.edu/cee
31,Civil and Environmental Engineering,Climate Change,https://libguides.seattleu.edu/climatechange
32,Civil and Environmental Engineering,Electrical & Computer Engineering,https://libguides.seattleu.edu/ece
33,Civil and Environmental Engineering,Environmental Science,https://libguides.seattleu.edu/ensc
34,Civil and Environmental Engineering,Geology and Earth Sciences,https://libguides.seattleu.edu/geology
35,Civil and Environmental Engineering,Mechanical Engineering,https://libguides.seattleu.edu/mech
36,Civil and Environmental Engineering,Systems Engineering,https://libguides.seattleu.edu/systemsengineering
37,Communication,CMME 3183: Persuasion (Homchick Crowe),https://libguides.seattleu.edu/CMME3183
38,Communication,Communication,https://libguides.seattleu.edu/communication
39,Communication,UCOR 1100 - Politics and Media (Tracy),https://libguides.seattleu.edu/politicsmedia
40,Computer Science,Computer Science,https://libguides.seattleu.edu/compsci
41,Criminal Justice,Criminal Justice and Forensics,https://libguides.seattleu.edu/criminaljustice
42,Diagnostic Ultrasound,Diagnostic Ultrasound,https://libguides.seattleu.edu/diagnosticultrasound
43,Economics,Economics,https://libguides.seattleu.edu/economics
44,Economics,International Development Internship Program,https://libguides.seattleu.edu/inip
45,Economics,International Economics,https://libguides.seattleu.edu/internationaleconomics
46,Education,EDUC 5000: Introduction to Education Research,https://libguides.seattleu.edu/educ5000
47,Education,Education,https://libguides.seattleu.edu/education
48,Electrical and Computer Engineering,Electrical & Computer Engineering,https://libguides.seattleu.edu/ece
49,English,Creative Expressions - Pacific Northwest (Tara Roth),https://libguides.seattleu.edu/creativeseattle
50,English,ENGL 2000: Literary Studies (Allison Meyer),https://libguides.seattleu.edu/english2000meyer
51,English,ENGL 2000: Literary Studies (Bryn Gribben),https://libguides.seattleu.edu/engl2000fall2017
52,English,ENGL 2000: Literary Studies (Molly Clark Hillard),https://libguides.seattleu.edu/literarystudieshillard
53,English,ENGL 312: Writing the Personal Narrative,https://libguides.seattleu.edu/Eng312
54,English,English & Literature,https://libguides.seattleu.edu/English
55,English,Film and Media Studies,https://libguides.seattleu.edu/film
56,English,Haunted Houses - Fall 2017,https://libguides.seattleu.edu/hauntedhouses
57,Environmental Science,Environmental Science,https://libguides.seattleu.edu/ensc
58,Environmental Studies,A Sound Ecosystem,https://libguides.seattleu.edu/soundeco
59,Environmental Studies,Climate Change,https://libguides.seattleu.edu/climatechange
60,Environmental Studies,Environmental Science,https://libguides.seattleu.edu/ensc
61,Environmental Studies,Environmental Studies,https://libguides.seattleu.edu/Environmental_Studies
62,Environmental Studies,Geography,https://libguides.seattleu.edu/geography
63,Environmental Studies,GIS (Geographic Information Systems),https://libguides.seattleu.edu/gis
64,Environmental Studies,Marine and Conservation Biology,https://libguides.seattleu.edu/marinebio
65,Environmental Studies,Theology/Religion & Ecology,https://libguides.seattleu.edu/religion_ecology
66,Film Studies,Film and Media Studies,https://libguides.seattleu.edu/film
67,Fine Arts,Art and Art History,https://libguides.seattleu.edu/art_arthistory
68,Fine Arts,UCOR 1300: Spectacle,https://libguides.seattleu.edu/spectacle
69,Global African Studies,Global African Studies,https://libguides.seattleu.edu/AfricanStudies
70,History,History,https://libguides.seattleu.edu/history
71,History,Medieval Studies,https://libguides.seattleu.edu/medieval_research
72,History,UCOR 1440-04: European Witch Hunts (Tracey Pepper),https://libguides.seattleu.edu/witchcraft
73,International Studies,International Studies,https://libguides.seattleu.edu/intstudies
74,Kinesiology,Kinesiology,https://libguides.seattleu.edu/kinesiology
75,Library Skills,Borrowing,https://libguides.seattleu.edu/borrowing
76,Library Skills,Course Reserves,https://libguides.seattleu.edu/course_reserves
77,Library Skills,Group Study Rooms,https://libguides.seattleu.edu/gsr
78,Library Skills,History-Finding Primary Sources for Historical Research,https://libguides.seattleu.edu/primary
79,Library Skills,How to Find and Use eBooks,https://libguides.seattleu.edu/ebooks
80,Library Skills,Images,https://libguides.seattleu.edu/images
81,Library Skills,Interlibrary Loan,https://libguides.seattleu.edu/illiad
82,Library Skills,Legacy RefWorks,https://libguides.seattleu.edu/oldrefworks
83,Library Skills,Lemieux Library and McGoldrick Learning Commons Hours,https://libguides.seattleu.edu/libraryhours
84,Library Skills,Lemieux Library Policies,https://libguides.seattleu.edu/policies
85,Library Skills,Library Tutorials and Videos,https://libguides.seattleu.edu/tutorials
86,Library Skills,New RefWorks @ SU!,https://libguides.seattleu.edu/refworks
87,Library Skills,Online Learning Support at the Library,https://libguides.seattleu.edu/onlinelearning
88,Library Skills,Online Reference Tools,https://libguides.seattleu.edu/reference
89,Library Skills,Research Path,https://libguides.seattleu.edu/theresearchpath
90,Library Skills,Special Collections,https://libguides.seattleu.edu/SpecialCollections
91,Library Skills,Streaming Film & Media,https://libguides.seattleu.edu/streamingmedia
92,Library Skills,Your Guide to Primo,https://libguides.seattleu.edu/primo
93,Marine and Conservation Biology,A Sound Ecosystem,https://libguides.seattleu.edu/soundeco
94,Mathematics,Mathematics,https://libguides.seattleu.edu/mathematics
95,Mechanical Engineering,Mechanical Engineering,https://libguides.seattleu.edu/mech
96,Medieval Studies,Medieval Studies,https://libguides.seattleu.edu/medieval_research
97,Military Science,Military Science,https://libguides.seattleu.edu/militaryscience
98,Nonprofit and Public Administration,Environmental Studies,https://libguides.seattleu.edu/Environmental_Studies
99,Nonprofit and Public Administration,Nonprofit Leadership,https://libguides.seattleu.edu/npl
100,Nonprofit and Public Administration,Public Administration/Public Affairs,https://libguides.seattleu.edu/pubpa
101,Nonprofit and Public Administration,PUBM 5010 Foundations of Public Administration (Richard Nafziger),https://libguides.seattleu.edu/pubm5010
102,Nonprofit and Public Administration,PUBM 5010: Foundations of Public Administration (Kevin Ward),https://libguides.seattleu.edu/ward
103,Nursing,Nursing,https://libguides.seattleu.edu/nursing
104,Online Learning,Online Learning Support at the Library,https://libguides.seattleu.edu/onlinelearning
105,Online Learning,Online Reference Tools,https://libguides.seattleu.edu/reference
106,Organizational Leadership,Organizational Leadership,https://libguides.seattleu.edu/organizationalleadership
107,Philosophy,Philosophy,https://libguides.seattleu.edu/philosophy
108,Philosophy,UCOR 2500: Philosophy of the Human Person (Colaner),https://libguides.seattleu.edu/PhilosophyHumanPerson
109,Physics,Physics,https://libguides.seattleu.edu/physics
110,Political Science,Political Science,https://libguides.seattleu.edu/c.php?g=705070
111,Psychology,Psychology,https://libguides.seattleu.edu/psychology
112,Public Affairs,Public Administration/Public Affairs,https://libguides.seattleu.edu/pubpa
113,Reference Tools,Biography Resources,https://libguides.seattleu.edu/biography
114,Reference Tools,Images,https://libguides.seattleu.edu/images
115,Reference Tools,Legacy RefWorks,https://libguides.seattleu.edu/oldrefworks
116,Reference Tools,New RefWorks @ SU!,https://libguides.seattleu.edu/refworks
117,Reference Tools,News and Newspapers,https://libguides.seattleu.edu/news
118,Reference Tools,Online Reference Tools,https://libguides.seattleu.edu/reference
119,Reference Tools,Research Path,https://libguides.seattleu.edu/theresearchpath
120,Reference Tools,Streaming Film & Media,https://libguides.seattleu.edu/streamingmedia
121,Social Work,Social Work,https://libguides.seattleu.edu/socialwork
122,Sociology,Sociology,https://libguides.seattleu.edu/sociology
123,Software Engineering,Computer Science,https://libguides.seattleu.edu/compsci
124,Special Collections,Special Collections,https://libguides.seattleu.edu/SpecialCollections
125,Studio Art,Art and Art History,https://libguides.seattleu.edu/art_arthistory
126,Theology and Religious Studies,Catholic Imagination,https://libguides.seattleu.edu/catholicimagination
127,Theology and Religious Studies,Holocaust & Christian Faith,https://libguides.seattleu.edu/thrsHolocaust
128,Theology and Religious Studies,Theology & Religious Studies -Getting Started,https://libguides.seattleu.edu/theology
129,Theology and Religious Studies,Theology/Religion & Ecology,https://libguides.seattleu.edu/religion_ecology
130,Theology and Religious Studies,Vatican II : The Theology of Vatican II,https://libguides.seattleu.edu/STMM5110
131,Women & Gender Studies,Women & Gender Studies,https://libguides.seattleu.edu/women
