,Category,Subject,Link
0,African American Studies,African American Studies,https://libguides.slu.edu/africanamericanstudies
1,American Studies,American Studies,https://libguides.slu.edu/AmericanStudies
2,Aviation & Engineering,Aerospace Engineering,https://libguides.slu.edu/aerospace
3,Aviation & Engineering,Aviation Science,https://libguides.slu.edu/aviation_science
4,Aviation & Engineering,Biomedical Engineering,https://libguides.slu.edu/biomed
5,Aviation & Engineering,Civil Engineering,https://libguides.slu.edu/civil
6,Aviation & Engineering,"Design for ""X""",https://libguides.slu.edu/designx
7,Aviation & Engineering,Electrical & Computer Engineering,https://libguides.slu.edu/ece
8,Aviation & Engineering,Mechanical Engineering,https://libguides.slu.edu/mechanical_engineering
9,Aviation & Engineering,Quick Search Tools for Engineers,https://libguides.slu.edu/quick
10,Business,*Business Library Best Bets,https://libguides.slu.edu/business
11,Business,"Biotech, Pharmaceutical and Medical Device Industry Research",https://libguides.slu.edu/biotech
12,Business,"Business Resources for EAP, ESL & International Students",https://libguides.slu.edu/ESLbusiness
13,Business,Business Writing,https://libguides.slu.edu/businesswriting
14,Business,Citing Company & Industry Information,https://libguides.slu.edu/APA
15,Business,Company Research,https://libguides.slu.edu/company
16,Business,Economics,https://libguides.slu.edu/economics
17,Business,Entrepreneurship,https://libguides.slu.edu/entrepreneurship
18,Business,Human Resources Management (HRM),https://libguides.slu.edu/HRM
19,Business,Industry Research,https://libguides.slu.edu/industry
20,Business,Interview Prep,https://libguides.slu.edu/interview
21,Business,Marketing,https://libguides.slu.edu/marketing
22,Business,Project Management,https://libguides.slu.edu/projectmgt
23,Business,Sports Business Management,https://libguides.slu.edu/sportsbusiness
24,Business,Supply Chain Management (SCM),https://libguides.slu.edu/SCM
25,Business,U.S. Government Information,https://libguides.slu.edu/govt_info
26,Criminology & Criminal Justice,Criminology & Criminal Justice,https://libguides.slu.edu/criminal_justice
27,Criminology & Criminal Justice,Forensic Science,https://libguides.slu.edu/forensic_science
28,Education,Children's Literature & Media,https://libguides.slu.edu/childrens_literature
29,Education,Colleges & Universities,https://libguides.slu.edu/collegesanduniversities
30,Education,Education Law,https://libguides.slu.edu/education_law
31,Education,Education Resources for Research,https://libguides.slu.edu/EducationResearch
32,Education,Education: Sources for Distance Learners,https://libguides.slu.edu/distanceeducation
