,Category,Subject,Link
0,Arts & Social Sciences,Anthropology,https://libguides.smu.ca/anthropology
1,Arts & Social Sciences,Asian Studies,https://libguides.smu.ca/asianstudies
2,Arts & Social Sciences,Atlantic Canada Studies,https://libguides.smu.ca/atlanticcanada
3,Arts & Social Sciences,Classics,https://libguides.smu.ca/classics
4,Arts & Social Sciences,Criminology,https://libguides.smu.ca/criminology
5,Arts & Social Sciences,Economics,https://libguides.smu.ca/economics
6,Arts & Social Sciences,English Language & Literature,https://libguides.smu.ca/english
7,Arts & Social Sciences,Geography,https://libguides.smu.ca/geography
8,Arts & Social Sciences,History,https://libguides.smu.ca/history
9,Arts & Social Sciences,International Development Studies,https://libguides.smu.ca/internationaldevelopment
10,Arts & Social Sciences,Irish Studies,https://libguides.smu.ca/irishstudies
11,Arts & Social Sciences,Linguistics,https://libguides.smu.ca/linguistics
12,Arts & Social Sciences,Modern Languages,https://libguides.smu.ca/modernlanguages
13,Arts & Social Sciences,Philosophy,https://libguides.smu.ca/philosophy
14,Arts & Social Sciences,Political Science,https://libguides.smu.ca/politicalscience
15,Arts & Social Sciences,Psychology,https://libguides.smu.ca/psychology
16,Arts & Social Sciences,Religious Studies,https://libguides.smu.ca/religiousstudies
17,Arts & Social Sciences,Sociology,https://libguides.smu.ca/sociology
18,Arts & Social Sciences,Women and Gender Studies,https://libguides.smu.ca/womensstudies
19,Business,Accounting,https://libguides.smu.ca/accounting
20,Business,Economics,https://libguides.smu.ca/economics
21,Business,Entrepreneurship,https://libguides.smu.ca/entrepreneurship
22,Business,Finance & Management Science,https://libguides.smu.ca/financemanagement
23,Business,Management & Business Administration,https://libguides.smu.ca/managementbusinessadmin
24,Business,Marketing,https://libguides.smu.ca/marketing
25,Business,PRME,https://libguides.smu.ca/prme
26,Government Documents,"Aboriginal Peoples (Canada. Royal Commission on Aboriginal Peoples, 1996)",https://libguides.smu.ca/rcap
27,Government Documents,GovDocs - Gateway to Government Resources,https://libguides.smu.ca/govdoc/gateway
28,Government Documents,Government Documents - Canada,https://libguides.smu.ca/govdoc/canada
29,Government Documents,Government Documents - Halifax Regional Municipality,https://libguides.smu.ca/govdocs/halifax
30,Government Documents,Government Documents - Nova Scotia,https://libguides.smu.ca/govdoc/novascotia
31,Guides for Groups and Special Topics,"Aboriginal Peoples (Canada. Royal Commission on Aboriginal Peoples, 1996)",https://libguides.smu.ca/rcap
32,Guides for Groups and Special Topics,Community Users Guide,https://libguides.smu.ca/community
33,Guides for Groups and Special Topics,Copyright Guide for Faculty and Staff,https://libguides.smu.ca/copyright-faculty
34,Guides for Groups and Special Topics,Copyright Guide for Students,https://libguides.smu.ca/studentcopyright
35,Guides for Groups and Special Topics,Faculty Information Guide,https://libguides.smu.ca/facultyguide
36,Guides for Groups and Special Topics,Graduate Students' Resource Guide,https://libguides.smu.ca/graduatestudents
37,Guides for Groups and Special Topics,How to Find Literary Criticism,https://libguides.smu.ca/literarycriticism
38,Guides for Groups and Special Topics,International Students' Resource Guide,https://libguides.smu.ca/internationalstudents
39,Guides for Groups and Special Topics,New Books,https://libguides.smu.ca/newbooks
40,Guides for Groups and Special Topics,Open Access,https://libguides.smu.ca/openaccess
41,Guides for Groups and Special Topics,Open Textbooks,https://libguides.smu.ca/opentextbooks
42,Guides for Groups and Special Topics,Primary Sources,https://libguides.smu.ca/primarysources
43,Guides for Groups and Special Topics,Teaching English as a Second Language,https://libguides.smu.ca/tesl
44,Sciences,Astronomy & Physics,https://libguides.smu.ca/astronomyphysics
45,Sciences,Biology,https://libguides.smu.ca/biology
46,Sciences,Chemistry,https://libguides.smu.ca/chemistry
47,Sciences,Computing Science,https://libguides.smu.ca/computingscience
48,Sciences,Engineering,https://libguides.smu.ca/engineering
49,Sciences,Environmental Science/Studies,https://libguides.smu.ca/environmentalstudies
50,Sciences,Forensic Sciences,https://libguides.smu.ca/forensicsciences
51,Sciences,Geography,https://libguides.smu.ca/geography
52,Sciences,Geology,https://libguides.smu.ca/geology
53,Sciences,Mathematics,https://libguides.smu.ca/mathematics
54,Sciences,Psychology,https://libguides.smu.ca/psychology
55,Statistics and Data,Statistics & Data,https://libguides.smu.ca/statistics
