,Category,Subject,Link
0,About the Library,Alumni and the Library,https://libguides.southernct.edu/alumni
1,About the Library,Collection Development,https://libguides.southernct.edu/collectiondevelopment
2,About the Library,Color Our Collections,https://libguides.southernct.edu/colorourcollections
3,About the Library,Course Reserves- Print & Electronic,https://libguides.southernct.edu/Reserves
4,About the Library,Distance Learning Library Services,https://libguides.southernct.edu/distance
5,About the Library,EndNote Web,https://libguides.southernct.edu/endnoteweb
6,About the Library,Friends of Hilton C. Buley Library,https://libguides.southernct.edu/hcblfriends
7,About the Library,Group Study Rooms,https://libguides.southernct.edu/studyrooms
8,About the Library,INQ 101,https://libguides.southernct.edu/inq101
9,About the Library,Interlibrary Loan,https://libguides.southernct.edu/ill
10,About the Library,Librarians by School,https://libguides.southernct.edu/librariansbyschool
11,About the Library,Library Calculator,https://libguides.southernct.edu/libcalc
12,About the Library,Reference Librarian,https://libguides.southernct.edu/prf.php?account_id=1853
13,About the Library,About the Library,https://libguides.southernct.edu/sb.php?subject_id=1526
14,About the Library,Library Glossary,https://libguides.southernct.edu/glossary
15,About the Library,Library Help and Tutorials,https://libguides.southernct.edu/libraryhelp
16,About the Library,Library Hours,https://libguides.southernct.edu/hours
17,About the Library,Library Jobs,https://libguides.southernct.edu/libraryjobs
18,About the Library,Library Services for Online/Distance Faculty,https://libguides.southernct.edu/onlinefaculty
19,About the Library,Library Staff & Departmental Directory,https://libguides.southernct.edu/directory
20,About the Library,Library Tutorial,https://libguides.southernct.edu/librarytutorial
21,About the Library,Mobile Access to Buley Library,https://libguides.southernct.edu/m
22,About the Library,Policies,https://libguides.southernct.edu/policies
23,About the Library,Reference Department,https://libguides.southernct.edu/refdept
24,About the Library,SCSU Buley Library Research Committee,https://libguides.southernct.edu/researchcommittee
25,About the Library,Special Collections,https://libguides.southernct.edu/specialcollections
26,About the Library,Virtual Tour of Buley Library,https://libguides.southernct.edu/virtualtour
27,Accounting,Accounting Resources,https://libguides.southernct.edu/c.php?g=7121
28,Accounting,Business Databases,https://libguides.southernct.edu/businessdb
29,Accounting,Google Scholar Guide,https://libguides.southernct.edu/googlescholar
30,Accounting,Open Access Resources,https://libguides.southernct.edu/openaccess
31,Accounting,Peer Reviewed Articles,https://libguides.southernct.edu/peerreview
32,Anthropology,ANTH 201: Global Community,https://libguides.southernct.edu/global
33,Anthropology,Anthropology,https://libguides.southernct.edu/anthropology
34,Anthropology,APA Citation Guide,https://libguides.southernct.edu/apastyle
35,Anthropology,Google Scholar Guide,https://libguides.southernct.edu/googlescholar
36,Anthropology,Open Access Resources,https://libguides.southernct.edu/openaccess
37,Anthropology,Peer Reviewed Articles,https://libguides.southernct.edu/peerreview
38,Anthropology,"WMS 530/ANT 530: Women, Culture, and Globalization",https://libguides.southernct.edu/WMSANT530
39,Art,"Art Research (Art Education, Art History, Fine Art, Design)",https://libguides.southernct.edu/artresearch
40,Art,Art Education,https://libguides.southernct.edu/arteducation
41,Art,Artists' Books at Buley Library,https://libguides.southernct.edu/c.php?g=7187
42,Art,Biological Illustration,https://libguides.southernct.edu/biologicalillustration
43,Art,Google Scholar Guide,https://libguides.southernct.edu/googlescholar
44,Art,Islamic Art & Architecture & Literature,https://libguides.southernct.edu/islamic-art
45,Art,MLA Style Guide Eighth Edition,https://libguides.southernct.edu/mla
46,Art,Open Access Resources,https://libguides.southernct.edu/openaccess
