,Category,Subject,Link
0,Accounting,Accounting,https://libguides.stonehill.edu/c.php?g=16649
1,Biology,BIO 101 Bio Lab,https://libguides.stonehill.edu/biolab
2,Biology,BIO 211 Cell Biology Lab,https://libguides.stonehill.edu/cellbio
3,Biology,BIO 296 Scientific Method: Women's Health Issues,https://libguides.stonehill.edu/whi
4,Biology,BIO 407 Ornithology,https://libguides.stonehill.edu/ornithology
5,Biology,Biology,https://libguides.stonehill.edu/biology
6,Biology,Climate Justice,https://libguides.stonehill.edu/climate
7,Biology,Neuroscience,https://libguides.stonehill.edu/neuro
8,Biology,Science Information Literacy in a Democratic Society,https://libguides.stonehill.edu/WILU
9,Business Adminstration,Bloomberg,https://libguides.stonehill.edu/bloomberg
10,Business Adminstration,"BUS 333 Organizational Behavior, Edinger",https://libguides.stonehill.edu/c.php?g=588122
11,Business Adminstration,"BUS 333-C Organizational Behavior, Gettman",https://libguides.stonehill.edu/c.php?g=16827
12,Business Adminstration,BUS 336 International Business- Swanson,https://libguides.stonehill.edu/c.php?g=16803
13,Business Adminstration,"BUS 340 Marketing Principles, Lantos",https://libguides.stonehill.edu/BUS340lantos
14,Business Adminstration,Business,https://libguides.stonehill.edu/businessguide
15,Chemistry,Chemistry,https://libguides.stonehill.edu/chemistry
16,College Archives and Special Collections,Bauman Collection,https://libguides.stonehill.edu/c.php?g=16826
17,College Archives and Special Collections,College Archives & Special Collections,https://libguides.stonehill.edu/CollegeArchives
18,Communication,Cinema Studies Resources,https://libguides.stonehill.edu/cinemastudies
19,Communication,"COM 103-A Public Speaking, Wenson",https://libguides.stonehill.edu/Publicspeaking
20,Communication,"COM 103-C Public Speaking, Boragine",https://libguides.stonehill.edu/c.php?g=683725
21,Communication,"COM 103-D Public Speaking, Dahlene-Gaudiello",https://libguides.stonehill.edu/COM103
22,Communication,COM 105 Interpersonal Communication,https://libguides.stonehill.edu/interpersonalcommunication
23,Communication,COM 110 Navigating the Media Landscape,https://libguides.stonehill.edu/COM110
24,Communication,COM 441 Rhetorical Criticism,https://libguides.stonehill.edu/rhetorical
25,Communication,Communication,https://libguides.stonehill.edu/c.php?g=16638
26,Communication,JRN 222 Development of the American News Media,https://libguides.stonehill.edu/newsmedia
27,Communication,WRI 110 Writing in New Media,https://libguides.stonehill.edu/c.php?g=589372
